,AI.mean,AI.median,AI.sd,AI_Mod.mean,AI_Mod.median,AI_Mod.sd,DBE.mean,DBE.median,DBE.sd,DBE_O.mean,DBE_O.median,DBE_O.sd,KenMass.mean,KenMass.median,KenMass.sd,KenDef.mean,KenDef.median,KenDef.sd,NOSC.mean,NOSC.median,NOSC.sd,HtoC.mean,HtoC.median,HtoC.sd,OtoC.mean,OtoC.median,OtoC.sd,NtoC.mean,NtoC.median,NtoC.sd,PtoC.mean,PtoC.median,PtoC.sd,NtoP.mean,NtoP.median,NtoP.sd,GFE_0.mean,GFE_0.median,GFE_0.sd,GFE_7.mean,GFE_7.median,GFE_7.sd,GFEperC_0.mean,GFEperC_0.median,GFEperC_0.sd,GFEperC_7.mean,GFEperC_7.median,GFEperC_7.sd,lambdaO2_0.mean,lambdaO2_0.median,lambdaO2_0.sd,lambdaO2_7.mean,lambdaO2_7.median,lambdaO2_7.sd
HJA_177_2016,0.140499349879455,0,0.206670090308528,0.253928182506497,0.212121212121212,0.237362004628523,8.18690248565966,7,5.59966527011268,1.48948374760994,0,6.03840604046628,387.013781559391,384.619093936564,99.3373555737775,0.302184023782939,0.289067580811462,0.119937625919768,-0.463923099569265,-0.461538461538462,0.568837927974979,1.33596467022151,1.33333333333333,0.445130698551854,0.389050503158632,0.375,0.174198551916464,0.0403448152857375,0,0.0655915196650223,0.0135772782922835,0,0.0235533598935073,Inf,2,NA,1380.6223709369,1377,506.182088653642,-2718.06518576526,-2672.82280545657,840.813371197328,73.5218083377241,73.4538461538462,16.2118809472869,-145.070826533575,-144.885454382081,8.41535773282683,0.0565795458632172,0.0496945151964034,0.0242412662487943,0.0501654679599911,0.0439828751733889,0.0210486830292974
HJA_178_2016,0.128487537324585,0,0.207474236642874,0.230357167608891,0.161290322580645,0.241249045830998,7.84016563146998,6,5.91132708251276,1.03354037267081,0,6.51154997125046,393.729799770418,388.653516010032,104.772135229041,0.307881389002593,0.292860353676076,0.123311892590011,-0.498538806775056,-0.482758620689655,0.57259577451124,1.38076650380966,1.41176470588235,0.455147575249787,0.399281251711847,0.375,0.183741634355438,0.0401584142822498,0,0.0658825827700996,0.0170437330218079,0,0.0266156197941336,Inf,2,NA,1406.21677018634,1377,561.220857512925,-2742.71274967538,-2670.79970894313,924.969687230912,74.5083559930891,74.0586206896552,16.3189795735703,-145.903899588289,-145.456029163318,8.72457697446059,0.0564957584129464,0.0496945151964034,0.0250520614185541,0.0500397263825134,0.0440108601578293,0.0217649715324214
HJA_190_2016,0.0978283360338281,0,0.185917962913836,0.212735852537975,0.142857142857143,0.234633504558687,6.96905124302385,6,4.85114001598936,-0.0329781836631152,-1,4.82731527881147,369.328273282278,362.825254450703,95.6852482557275,0.277003227108236,0.260488729670101,0.110063660290423,-0.472147070838764,-0.444444444444445,0.668071054692301,1.41232778648417,1.45454545454545,0.463699561595248,0.42320523085114,0.411764705882353,0.169965217759981,0.0476704147634433,0,0.0807808408488052,0.0142270953809357,0,0.0272866095690782,Inf,Inf,NA,1296.46179604262,1239.9,543.320151589717,-2532.09345230891,-2464.63052854913,821.40491547997,73.7561915189048,72.9666666666667,19.0400250587306,-144.546737805619,-143.775625399992,9.96602973457383,0.0597814608010539,0.0553982333765033,0.0250835972277149,0.0532003866130064,0.0493686087127137,0.0220111037840546
HJA_192_2016,0.0876740527498482,0,0.180793089541665,0.202627861278846,0.130434782608696,0.223173218116488,7.06418604651163,6,5.1263760288527,-0.552558139534884,-2,5.59613145520652,384.112133254199,382.616186316154,99.5664639590561,0.291587676033529,0.280029649356294,0.111147099393778,-0.527672093443996,-0.533333333333333,0.641493194109032,1.41295279622693,1.45454545454545,0.435091738156408,0.443393490200311,0.4375,0.175479813684961,0.0236269483639398,0,0.057724853113684,0.0177005443643886,0,0.0286292467997755,Inf,0,NA,1371.08930232558,1360.5,530.167944906517,-2660.29065858227,-2630.5766488118,829.981407698063,75.3386546631539,75.5,18.2825560321074,-146.305452498378,-145.716767697142,9.50768396009862,0.056487340080549,0.0505809439519614,0.0240782652555809,0.0500250646015083,0.0445429671150116,0.0208869662034243
HJA_260_2016,0.0865153023037397,0,0.179801316731695,0.204112322766086,0.131884057971014,0.227598369713911,6.59351753453773,6,4.52919180097003,-0.492561105207226,-1,4.55367865472769,361.902805016988,358.242371547591,91.7479406751767,0.268820912873969,0.255687528156073,0.105974541639415,-0.5144809055699,-0.5,0.674534436532707,1.42022302149994,1.45454545454545,0.445065706744448,0.431648721264463,0.421052631578947,0.16493268003309,0.033268475692569,0,0.0721900628969929,0.0147305036669961,0,0.0273813390883232,Inf,2,NA,1299.73613177471,1253.1,533.789160412683,-2509.95411882292,-2462.60743203568,779.913020137662,74.9627058087421,74.55,19.2242314411822,-145.535336789955,-144.755606016984,9.96142673629086,0.0599486892764504,0.054737005891597,0.026230268013698,0.0531692226377719,0.0481700710984196,0.0228909173857753
HJA_360_2016,0.0903240113114463,0,0.177512501368083,0.176546790862939,0.0769230769230769,0.216019449438872,6.37916126242975,5,4.76599817137726,-0.426286208387376,-1,5.57202299208086,385.158715328198,382.816249821735,100.035240911847,0.280541048801329,0.273895874112156,0.1013634754287,-0.614889768531702,-0.615384615384615,0.582062559938666,1.48581732435513,1.55555555555556,0.418670199053344,0.400716554504129,0.380952380952381,0.179467172795125,0.0343071001246693,0,0.063172018758828,0.0147906655628841,0,0.0247790043352192,Inf,2,NA,1447.62749675746,1420.8,570.225256434491,-2711.389678412,-2649.91511874613,861.675023438504,77.8243584031535,77.8384615384615,16.588782958252,-147.132849433362,-146.341522789246,9.26689590709666,0.0551519441826839,0.0485736710424676,0.0253615965509166,0.0491195806456077,0.0438259717823437,0.0220959066006427
HJA_45_2016,0.0766757530990586,0,0.168593164157781,0.184028856298971,0.111111111111111,0.213454256983317,6.44018643190057,6,4.36518501010885,-0.32936302433972,-1,4.47969079223687,364.396753289413,361.78089174801,88.4213004285117,0.264562091218893,0.251315692957519,0.0987411155801349,-0.548867437158194,-0.533333333333333,0.639554299962347,1.45905815008628,1.5,0.420054695101872,0.409206900966537,0.4,0.160964907616714,0.0469124365053701,0,0.0832747501003743,0.0144507282472998,0,0.0271089765482392,Inf,Inf,NA,1325.85660279648,1300.2,515.164875847934,-2529.34788356386,-2492.65355229835,758.795911320911,75.9427219590085,75.5,18.2272975489269,-145.501577835423,-145.196138453723,10.0504274470262,0.0585335356728279,0.0529346346828105,0.0254694395527688,0.052224789805811,0.0476959208914583,0.0227447746044993
HJA_47_2016,0.0761969462702517,0,0.160758291199698,0.219802117577252,0.181818181818182,0.212994746837515,7.10384615384615,6,4.71518345879367,-0.572435897435897,-1,4.4485379500751,378.083840848686,370.789093625197,104.164587526155,0.287954023108893,0.269920595762614,0.117869120241115,-0.481612027890643,-0.448028673835125,0.711484145636634,1.38040448008074,1.36,0.439459243414274,0.448071873883651,0.444444444444444,0.178389070442699,0.0192872620127163,0,0.0530611167172723,0.0141473866327106,0,0.0268349488884468,Inf,0,NA,1335.20884615385,1310.1,580.141648369722,-2618.17273096932,-2579.16896210135,852.973781876996,74.0259427948833,73.0688172043011,20.2772981506441,-145.655528961687,-144.675509210304,9.86293320471289,0.0579660253115696,0.0519842706623621,0.0254044185458692,0.0511106590120888,0.0457068236792891,0.0218040348106147
HJA_49_2016,0.0840562286332519,0,0.166339427672161,0.202206563014811,0.142857142857143,0.213417184163921,7.04289044289044,6,4.76402358788459,-0.133333333333333,-1,4.97005335466921,376.59384920101,372.777492906858,97.4799176347494,0.283073875913405,0.266461645374989,0.109341622343311,-0.487638282502723,-0.470588235294118,0.625885935279946,1.41401023482158,1.42857142857143,0.42221446522415,0.426739594358199,0.411764705882353,0.174699668153623,0.042151009582798,0,0.0769777582700313,0.0149280363978614,0,0.0270742750715641,Inf,2,NA,1330.57370629371,1300.2,534.015026104098,-2590.67715764169,-2533.35358868046,832.278377689885,74.1976910513276,73.7117647058824,17.8377491554785,-144.984431147205,-144.449148669687,9.52954778975245,0.0586018686905217,0.0529346346828105,0.025027142672714,0.0521259912723242,0.0473368216121162,0.0218099591204921
HJA_50_2016,0.0613752746489227,0,0.156533960783042,0.164761577511122,0.0909090909090909,0.200271259311342,5.76493108728943,5,4.35659836404416,-0.688361408882083,-2,4.49249379017091,350.359245612823,348.684287575032,86.5739862663017,0.246420543379253,0.233861112756131,0.0949098857981958,-0.6458739443546,-0.666666666666667,0.653725525410007,1.50934911308545,1.5625,0.419811628612898,0.405141322762246,0.4,0.165353131884669,0.0373381983763599,0,0.0774769158446979,0.0161930768663127,0,0.0292552263167838,Inf,1,NA,1336.65252679939,1295.25,561.549866266528,-2482.27409932552,-2431.81511874613,801.972264957235,78.7074074141061,79.3,18.6311774741852,-147.11145776366,-147.10511234626,9.91888274226768,0.0584792699398632,0.0529755306196305,0.0253711603560308,0.0521083947660509,0.0478667499664713,0.0222660157127878
HJA_53_2016,0.102286787061802,0,0.18175933529352,0.208136882119251,0.138996138996139,0.226703078140752,7.05901189387008,6,4.84937361619248,-0.005032021957914,-1,5.26153281160331,381.334549405682,380.587920110019,96.4311797969252,0.285304208224985,0.274244754613591,0.108623472419879,-0.485479900923845,-0.476190476190476,0.586661615594728,1.41576495488543,1.45643939393939,0.435690847642531,0.415865530418312,0.4,0.172001921428023,0.044335150780951,0,0.073399396789764,0.012478983783004,0,0.0228865352682408,Inf,3,NA,1357.67950594694,1316.7,536.706092589198,-2631.9292511214,-2577.14586558791,821.8429486665,74.1361771763296,73.8714285714286,16.7198560444497,-144.813858876338,-144.445335729466,8.87811829738109,0.0579285056143419,0.0526280225265598,0.0251993298265242,0.0515366917098226,0.046791771581261,0.021787946890715
