Calibrated m/z,C,H,O,N,S,P,Molecular Formula,Is Isotopologue,Heteroatom Class,Calculated m/z,m/z Error (ppm),MolForm,AI,AI_Mod,DBE_1,DBE_O,DBE_AI,GFE,kmass.CH2,kdefect.CH2,NOSC,OtoC_ratio,HtoC_ratio,NtoC_ratio,PtoC_ratio,NtoP_ratio,bs1_class,bs2_class,bs3_class,delGcox0PerCmol,delGcoxPerCmol,lamO20,lamO2,delGd0,delGd
257.030346449,10,10,8,0,0,0,C10H10O8,0,O8,257.030290827,0.216403121,C10H10O8,0,0.333333333333333,6,-2,-2,43.2,256.743344067953,0.256655932047408,0.6,0.8,1,0,0,NA,Tannin,Tannin,Other,43.2,-132.596910762979,0.123315729873717,0.10721476065314,432,-1325.96910762979
320.974601847,10,10,8,0,2,0,C10H10O8S2,0,S2 O8,320.974433175,0.525499038,C10H10O8S2,0,0,6,-2,-4,31.8,320.616198739124,0.383801260876282,1,0.8,1,0,0,NA,Tannin,Tannin,Other,31.8,-136.006142091934,0.13450353892821,0.108575488697322,318,-1360.06142091934
273.025426278,10,10,9,0,0,0,C10H10O9,0,O9,273.025205446,0.808833629,C10H10O9,0,0.272727272727273,6,-3,-3,37.5,272.720563647922,0.27943635207788,0.8,0.9,1,0,0,NA,Tannin,Tannin,Other,37.5,-130.306142091934,0.128690678753946,0.110497871175573,375,-1303.06142091934
333.003368018,10,10,9,2,1,0,C10H10O9N2S1,0,N2 S1 O9,333.003424629,-0.170001048,C10H10O9N2S,0,0,7,-2,-5,14.7,332.631533482357,0.368466517642787,1.6,0.9,1,0.2,0,Inf,Tannin,Tannin,Other,14.7,-117.147683072234,0.154960434201604,0.12751077117965,147,-1171.47683072234
364.975749321,10,10,9,2,2,0,C10H10O9N2S2,0,N2 S2 O9,364.975495804,0.694615028,C10H10O9N2S2,0,0,7,-2,-6,9,364.568214138766,0.431785861233664,1.8,0.9,1,0.2,0,Inf,Tannin,Tannin,Other,9,-118.852298736712,0.162875954425022,0.126528365604519,90,-1188.52298736712
336.969411968,10,10,9,0,2,0,C10H10O9S2,0,S2 O9,336.969347795,0.190441145,C10H10O9S2,0,0,6,-3,-5,26.1,336.593148912252,0.406851087748407,1.2,0.9,1,0,0,NA,Tannin,Tannin,Other,26.1,-133.71537342089,0.140794973410313,0.111392808780186,261,-1337.1537342089
224.056476858,10,11,5,1,0,0,C10H11O5N1,0,N1 O5,224.056446004,0.137704081,C10H11O5N,0,0.384615384615385,6,1,0,54.6,223.806293394313,0.193706605687225,0.2,0.5,1.1,0.1,0,Inf,Lignin,Lignin,Other,54.6,-133.183063769545,0.117093485793402,0.102852204446593,546,-1331.83063769545
240.05131291,10,11,6,1,0,0,C10H11O6N1,0,N1 O6,240.051360624,-0.198765575,C10H11O6N,0,0.333333333333333,6,0,-1,48.9,239.783269469486,0.216730530514099,0.4,0.6,1.1,0.1,0,Inf,Lignin,Lignin,Other,48.9,-130.892295098501,0.11833913086197,0.10608796442409,489,-1308.92295098501
256.046291632,10,11,7,1,0,0,C10H11O7N1,0,N1 O7,256.046275244,0.064005486,C10H11O7N,0,0.272727272727273,6,-1,-2,43.2,255.760388055352,0.239611944647578,0.6,0.7,1.1,0.1,0,Inf,Tannin,Tannin,Other,43.2,-128.601526427456,0.123315729873717,0.109463197008941,432,-1286.01526427456
332.995398191,10,11,7,2,1,1,C10H11O7N2P1S1,0,N2 S1 P1 O7,332.995182421,0.647969013,C10H11O7N2SP,0,0,7,0,-4,43.2,332.623572554537,0.376427445462753,0.6,0.7,1.1,0.2,0.1,2,Tannin,Tannin,Other,43.2,-136.592295098501,0.123315729873717,0.105009305453483,432,-1365.92295098501
332.019628456,10,11,8,3,1,0,C10H11O8N3S1,0,N3 S1 O8,332.019409046,0.660834862,C10H11O8N3S,0,0,7,-1,-5,14.7,331.64889237274,0.351107627259523,1.6,0.8,1.1,0.3,0,Inf,Tannin,Tannin,Other,14.7,-113.152298736712,0.154960434201604,0.131387085734027,147,-1131.52298736712
348.014531759,10,11,9,3,1,0,C10H11O9N3S1,0,N3 S1 O9,348.014323666,0.59794285,C10H11O9N3S,0,0,7,-2,-6,9,347.625935623821,0.37406437617949,1.8,0.9,1.1,0.3,0,Inf,Tannin,Tannin,Other,9,-110.861530065667,0.162875954425022,0.135186837589835,90,-1108.61530065667
211.025573514,10,12,1,0,2,0,C10H12O1S2,0,S2 O1,211.025680903,-0.508889935,C10H12OS2,0.285714285714286,0.333333333333333,5,4,2,77.4,210.789940473399,0.210059526600617,-0.6,0.1,1.2,0,0,NA,Unsat Hydrocarbon,Unsat Hydrocarbon,Other,77.4,-154.33229146029,0.0895493608691158,0.0785387318601571,774,-1543.3229146029
179.071360096,10,12,3,0,0,0,C10H12O3,0,O3,179.071367793,-0.042982105,C10H12O3,0.285714285714286,0.411764705882353,5,2,2,77.4,178.871407415568,0.128592584432397,-0.6,0.3,1.2,0,0,NA,Lignin,Lignin,Other,77.4,-146.341522789246,0.0895493608691158,0.0812454135194284,774,-1463.41522789246
195.066313733,10,12,4,0,0,0,C10H12O4,0,O4,195.066282413,0.160564139,C10H12O4,0.166666666666667,0.375,5,1,1,71.7,194.848500944444,0.151499055555774,-0.4,0.4,1.2,0,0,NA,Lignin,Lignin,Other,71.7,-144.050754118201,0.0971772361292719,0.0879657503467777,717,-1440.50754118201
287.016669728,10,12,4,2,2,0,C10H12O4N2S2,0,N2 S2 O4,287.01657277,0.33781161,C10H12O4N2S2,0,0,6,2,-2,43.2,286.696184350494,0.303815649506078,0.6,0.4,1.2,0.2,0,Inf,Lignin,Lignin,Protein,43.2,-132.596910762979,0.123315729873717,0.10721476065314,432,-1325.96910762979
