sample,NMDS1,NMDS2,site_pair_id,site_display_name,year
HJA_155_2016,-1.2537471155075806,0.02073784663605039,PAIR_001,155,2016
HJA_155_2025,0.013111298149131706,0.021228922295394317,PAIR_001,155,2025
HJA_156_2016,-1.2368103715597196,-0.17041004496161025,PAIR_002,156,2016
HJA_156_2025,0.8272373140060083,-1.9315386814201652,PAIR_002,156,2025
HJA_162_2016,-1.3405933546772835,0.07014701177503117,PAIR_003,162,2016
HJA_162_2025,-0.03554839958043411,-0.6458442075055191,PAIR_003,162,2025
HJA_164_2016,-1.8897791283583047,1.9946719113249372,PAIR_004,164,2016
HJA_164_2025,1.0102285717619852,0.6132648508131378,PAIR_004,164,2025
HJA_165_2016,-1.5321245376052017,-1.261293675080423,PAIR_005,165,2016
HJA_165_2025,-0.13356364416483932,-0.5626793077486337,PAIR_005,165,2025
HJA_169_2016,-1.4812656065865688,0.577492438453399,PAIR_006,169,2016
HJA_169_2025,1.6235096522434695,4.757275073696751,PAIR_006,169,2025
HJA_170_2016,-1.9847272248924785,1.4701271898066997,PAIR_007,170,2016
HJA_170_2025,2.704633732202959,2.0704607336755894,PAIR_007,170,2025
HJA_177_2016,-1.493094914656686,0.5039976409700687,PAIR_008,177,2016
HJA_177_2025,2.1721567354838807,0.5312011429867711,PAIR_008,177,2025
HJA_178_2016,-1.7194650071102404,0.6214823963232773,PAIR_009,178,2016
HJA_178_2025,-0.2029307198531618,-0.4921877752793046,PAIR_009,178,2025
HJA_190_2016,-1.361660477344871,0.1413038219206031,PAIR_010,190,2016
HJA_190_2025,3.4594314225721816,2.635113218177574,PAIR_010,190,2025
HJA_192_2016,-1.2044575397770958,0.1324957238378719,PAIR_011,192,2016
HJA_192_2025,0.06207981827288233,-0.5302142922890906,PAIR_011,192,2025
HJA_45_2016,-1.2277235974695155,0.13580608488310414,PAIR_012,45,2016
HJA_45_2025,2.774035100553315,0.8203946452377389,PAIR_012,45,2025
HJA_47_2016,-1.168241953846646,-0.030228467445355452,PAIR_013,47,2016
HJA_47_2025,-0.0644727870619171,-0.7862269306327815,PAIR_013,47,2025
HJA_49_2016,-1.2861169587570298,0.19049252336862557,PAIR_014,49,2016
HJA_49_2025,4.736088181853048,1.2573797248135443,PAIR_014,49,2025
HJA_53_2016,-1.3983179806586192,0.39139686430530224,PAIR_015,53,2016
HJA_53_2025,3.42668476777952,0.7447423052594663,PAIR_015,53,2025
HJA_54_2016,-1.199103536999332,0.06157644309712558,PAIR_016,54,2016
HJA_54_2025,-0.2780224952993147,-3.0070826808898867,PAIR_016,54,2025
HJA_55_2016,-1.2237502043058552,-0.32877588849298456,PAIR_017,55,2016
HJA_55_2025,0.3471312273034864,-0.9053501491345981,PAIR_017,55,2025
HJA_56_2016,-1.2267804137486389,-0.3993709226324708,PAIR_018,56,2016
HJA_56_2025,-0.515921738016923,-0.4406145485989019,PAIR_018,56,2025
HJA_58_2016,-1.343702972925788,0.15660963047233925,PAIR_019,58,2016
HJA_58_2025,3.9316959129189595,1.1692748200891305,PAIR_019,58,2025
HJA_60_2016,-1.2751850310040187,0.2515408683774714,PAIR_020,60,2016
HJA_60_2025,0.6224401633289981,-0.6233543988572144,PAIR_020,60,2025
HJA_64_2016,-1.7247165341466206,0.7163448012658195,PAIR_021,64,2016
HJA_64_2025,3.3221254842806642,1.0190051097515458,PAIR_021,64,2025
HJA_65_2016,-1.237092087594036,0.4367809398331627,PAIR_022,65,2016
HJA_65_2025,-0.08699288756356714,-0.38382745132995694,PAIR_022,65,2025
HJA_71_2016,-1.1771876352986557,-0.2255081966910974,PAIR_023,71,2016
HJA_71_2025,0.2526172582348864,-0.7571138202830249,PAIR_023,71,2025
HJA_72_2016,-1.2631776496557658,0.07734212093706817,PAIR_024,72,2016
HJA_72_2025,4.974203401938428,-0.6305433164225777,PAIR_024,72,2025
HJA_73_2016,-1.525152516783755,0.375580738193397,PAIR_025,73,2016
HJA_73_2025,-0.2508991170694189,-1.0403873850730698,PAIR_025,73,2025
HJA_74_2016,-1.1541539600173314,-0.009675290646811253,PAIR_026,74,2016
HJA_74_2025,1.0045901444235432,0.3876583680888637,PAIR_026,74,2025
HJA_83_2016,-1.3443407585559093,0.2736547970793394,PAIR_027,83,2016
HJA_83_2025,-0.055087184143495685,-0.49097262433352806,PAIR_027,83,2025
HJA_84_2016,-1.431597078799311,0.36841724803052894,PAIR_028,84,2016
HJA_84_2025,-0.14728344598297474,-0.3875269903174876,PAIR_028,84,2025
HJA_CC-1-15m_2016,-1.3300313327278472,0.41011994826709314,PAIR_035,CC-1,2016
HJA_CC-1_2025,4.270222577804634,1.8967492523730478,PAIR_035,CC-1,2025
HJA_CC-2-55m_2016,-1.6689661553616968,0.732405510682156,PAIR_036,CC-2,2016
HJA_CC-2_2025,3.126078166666006,-3.526563646436801,PAIR_036,CC-2,2025
HJA_CC-3-100m_2016,-1.5859853068120933,0.7785612563102732,PAIR_037,CC-3,2016
HJA_CC-3_2025,3.937105513304087,-2.747329912168225,PAIR_037,CC-3,2025
HJA_CC-4-250m_2016,-1.23090789341867,3.095572960792973,PAIR_038,CC-4,2016
HJA_CC-4_2025,1.9776983950260296,-4.3574178602473195,PAIR_038,CC-4,2025
HJA_KC-1-275m_2016,-1.2212224555118136,0.18342344811667072,PAIR_039,KC-1,2016
HJA_KC-1_2025,0.28158493778368593,-1.3192262875457645,PAIR_039,KC-1,2025
HJA_KC-2-360m_2016,-1.317745574497902,0.1158418009263434,PAIR_040,KC-2,2016
HJA_KC-2_2025,0.7541294708925852,-1.291421218179822,PAIR_040,KC-2,2025
HJA_KC-3-400m_2016,-1.288054731018127,-0.1277024802666421,PAIR_041,KC-3,2016
HJA_KC-3_2025,2.3487230989721404,-0.8168394017841725,PAIR_041,KC-3,2025
HJA_KerryCreek2_2016,-1.160583171905839,0.09097299568808614,PAIR_042,KC-4,2016
HJA_KC-4_2025,0.46810042963020104,-0.42351339260709586,PAIR_042,KC-4,2025
HJA_WS1-2_2016,-1.2535551400812397,0.04412591737826049,PAIR_029,WS1-2,2016
HJA_WS1-2_2025,0.09578465230979497,-1.0628696994137963,PAIR_029,WS1-2,2025
HJA_WS1-3_2016,-1.249055194233511,-0.08917167098970309,PAIR_030,WS1-3,2016
HJA_WS1-3_2025,3.2524355262801494,3.1952345461008176,PAIR_030,WS1-3,2025
HJA_WS1_250m_2016,-1.277762200463278,0.11169014304118831,PAIR_043,WS1-4,2016
HJA_WS1-4_2025,-0.2481898933154781,-0.39837259103298833,PAIR_043,WS1-4,2025
HJA_WS1-5_2016,-1.3673506007542862,0.20648971371108185,PAIR_031,WS1-5,2016
HJA_WS1-5_2025,2.220743886878447,-0.46043181149962153,PAIR_031,WS1-5,2025
HJA_WS3-1_30m_2016,-1.3563598718635506,0.474613229689161,PAIR_044,WS3-1,2016
HJA_WS3-1_2025,0.516727158672798,-1.3697788785729066,PAIR_044,WS3-1,2025
HJA_WS3-2_2016,-1.2404581633041265,-0.01521298270912762,PAIR_032,WS3-2,2016
HJA_WS3-2_2025,0.5409218344150707,-0.7106033689887834,PAIR_032,WS3-2,2025
HJA_WS3-3_2016,-1.1216737804392782,1.1790969946817254,PAIR_033,WS3-3,2016
HJA_WS3-3_2025,0.5927923662711725,-2.3812893793875936,PAIR_033,WS3-3,2025
HJA_WS3-5_2016,-1.2748926556310824,-0.3159934927345331,PAIR_034,WS3-5,2016
HJA_WS3-5_2025,0.020534486504578484,-0.05543055290421742,PAIR_034,WS3-5,2025
