site_pair_id,sample,year,property,value
PAIR_014,HJA_49_2016,2016,lambdaO2,0.0521259912723242
PAIR_015,HJA_53_2016,2016,NOSC,-0.485479900923845
PAIR_015,HJA_53_2016,2016,O:C ratio,0.415865530418312
PAIR_015,HJA_53_2016,2016,H:C ratio,1.41576495488543
PAIR_015,HJA_53_2016,2016,AI_Mod,0.208136882119251
PAIR_015,HJA_53_2016,2016,DBE,7.05901189387008
PAIR_015,HJA_53_2016,2016,lambdaO2,0.0515366917098226
PAIR_016,HJA_54_2016,2016,NOSC,-0.56823582962127706
PAIR_016,HJA_54_2016,2016,O:C ratio,0.426016647950535
PAIR_016,HJA_54_2016,2016,H:C ratio,1.47320386828608
PAIR_016,HJA_54_2016,2016,AI_Mod,0.178366308288316
PAIR_016,HJA_54_2016,2016,DBE,6.19404693760733
PAIR_016,HJA_54_2016,2016,lambdaO2,0.0521390134233946
PAIR_017,HJA_55_2016,2016,NOSC,-0.749498854891141
PAIR_017,HJA_55_2016,2016,O:C ratio,0.387208848100546
PAIR_017,HJA_55_2016,2016,H:C ratio,1.53202034257668
PAIR_017,HJA_55_2016,2016,AI_Mod,0.162809478491666
PAIR_017,HJA_55_2016,2016,DBE,5.82976827094474
PAIR_017,HJA_55_2016,2016,lambdaO2,0.048437957464258
PAIR_018,HJA_56_2016,2016,NOSC,-0.772317401297653
PAIR_018,HJA_56_2016,2016,O:C ratio,0.40171264908754
PAIR_018,HJA_56_2016,2016,H:C ratio,1.56539718662536
PAIR_018,HJA_56_2016,2016,AI_Mod,0.145985893668259
PAIR_018,HJA_56_2016,2016,DBE,5.38197424892704
PAIR_018,HJA_56_2016,2016,lambdaO2,0.0492389873243607
PAIR_019,HJA_58_2016,2016,NOSC,-0.449027310603636
PAIR_019,HJA_58_2016,2016,O:C ratio,0.449049373009774
PAIR_019,HJA_58_2016,2016,H:C ratio,1.38835135489214
PAIR_019,HJA_58_2016,2016,AI_Mod,0.212567835249205
PAIR_019,HJA_58_2016,2016,DBE,7.21049974760222
PAIR_019,HJA_58_2016,2016,lambdaO2,0.0523017790077092
PAIR_020,HJA_60_2016,2016,NOSC,-0.591314732182043
PAIR_020,HJA_60_2016,2016,O:C ratio,0.402999098338561
PAIR_020,HJA_60_2016,2016,H:C ratio,1.47129603615485
PAIR_020,HJA_60_2016,2016,AI_Mod,0.181426835559788
PAIR_020,HJA_60_2016,2016,DBE,6.39770554493308
PAIR_020,HJA_60_2016,2016,lambdaO2,0.0507685491586804
PAIR_021,HJA_64_2016,2016,NOSC,-0.472048930454912
PAIR_021,HJA_64_2016,2016,O:C ratio,0.381947122160316
PAIR_021,HJA_64_2016,2016,H:C ratio,1.33101168226205
PAIR_021,HJA_64_2016,2016,AI_Mod,0.245541245459704
PAIR_021,HJA_64_2016,2016,DBE,8.85012994513428
PAIR_021,HJA_64_2016,2016,lambdaO2,0.0461094160280168
PAIR_022,HJA_65_2016,2016,NOSC,-0.481718736324516
PAIR_022,HJA_65_2016,2016,O:C ratio,0.413054287393646
PAIR_022,HJA_65_2016,2016,H:C ratio,1.36821120229626
PAIR_022,HJA_65_2016,2016,AI_Mod,0.227423549026891
PAIR_022,HJA_65_2016,2016,DBE,7.47796432318993
PAIR_022,HJA_65_2016,2016,lambdaO2,0.0496509654711387
PAIR_023,HJA_71_2016,2016,NOSC,-0.723799391393885
PAIR_023,HJA_71_2016,2016,O:C ratio,0.415993345694654
PAIR_023,HJA_71_2016,2016,H:C ratio,1.5301956074798
PAIR_023,HJA_71_2016,2016,AI_Mod,0.157019137718897
PAIR_023,HJA_71_2016,2016,DBE,5.95514147688061
PAIR_023,HJA_71_2016,2016,lambdaO2,0.0486774063953451
PAIR_024,HJA_72_2016,2016,NOSC,-0.450795551513846
PAIR_024,HJA_72_2016,2016,O:C ratio,0.434691419862122
PAIR_024,HJA_72_2016,2016,H:C ratio,1.36846110501895
PAIR_024,HJA_72_2016,2016,AI_Mod,0.225794849258293
PAIR_024,HJA_72_2016,2016,DBE,7.17853231106243
PAIR_024,HJA_72_2016,2016,lambdaO2,0.0524279270257676
PAIR_025,HJA_73_2016,2016,NOSC,-0.399881593124715
PAIR_025,HJA_73_2016,2016,O:C ratio,0.411388627733217
PAIR_025,HJA_73_2016,2016,H:C ratio,1.2931791131893
PAIR_025,HJA_73_2016,2016,AI_Mod,0.265897379629692
PAIR_025,HJA_73_2016,2016,DBE,8.71880199667221
PAIR_025,HJA_73_2016,2016,lambdaO2,0.0498282947648445
PAIR_026,HJA_74_2016,2016,NOSC,-0.593591254130698
PAIR_026,HJA_74_2016,2016,O:C ratio,0.422128248670055
PAIR_026,HJA_74_2016,2016,H:C ratio,1.50363547437906
PAIR_026,HJA_74_2016,2016,AI_Mod,0.166695207971682
PAIR_026,HJA_74_2016,2016,DBE,5.98882265275708
PAIR_026,HJA_74_2016,2016,lambdaO2,0.0525377924116657
PAIR_027,HJA_83_2016,2016,NOSC,-0.538580453962676
PAIR_027,HJA_83_2016,2016,O:C ratio,0.414257481456959
PAIR_027,HJA_83_2016,2016,H:C ratio,1.41979520820461
PAIR_027,HJA_83_2016,2016,AI_Mod,0.206787763613866
PAIR_027,HJA_83_2016,2016,DBE,7.03445065176909
PAIR_027,HJA_83_2016,2016,lambdaO2,0.0500588936328191
PAIR_028,HJA_84_2016,2016,NOSC,-0.492321599440747
PAIR_028,HJA_84_2016,2016,O:C ratio,0.392589523236411
