property,n_pairs,mean_2016,mean_2025,median_2016,median_2025,mean_change,median_change,shapiro_p_difference,selection_reason,test,statistic_name,statistic,p_value,p_adjusted_BH,effect_size_name,effect_size,calculation_source
DBE,44,7.342239514684945,8.907336329894102,7.141189232454289,8.431517094017096,1.5650968152091584,1.5499867086914847,0.6174210489468139,Paired differences did not depart from normality (Shapiro-Wilk p > 0.05),Paired t-test,t,7.467853224022142,2.7219426898511187e-9,1.6331656139106712e-8,Cohen_dz,1.1258212333421516,Corrected upstream Results molecular-property summary
lambdaO2,44,0.050321733304016535,0.04339784800512419,0.05061959951617765,0.043069958310673104,-0.006923885298892346,-0.0078841089096057,2.6896115550946417e-5,Paired differences departed from normality (Shapiro-Wilk p <= 0.05),Paired Wilcoxon signed-rank test,V,30,5.9331434411877926e-8,1.7799430323563378e-7,rank_biserial,-0.9393939393939394,Corrected upstream Results molecular-property summary
H:C ratio,44,1.3989614673332222,1.3511980637868837,1.386917847227485,1.370589823800195,-0.04776340354633863,-0.051802768588185,0.9255155842563562,Paired differences did not depart from normality (Shapiro-Wilk p > 0.05),Paired t-test,t,-3.501346410048596,0.0010924051026790092,0.0021848102053580185,Cohen_dz,-0.5278478319631389,Corrected upstream Results molecular-property summary
AI_Mod,44,0.21742043326847788,0.2420872099486125,0.21580228049490452,0.2292750826235765,0.024666776680134637,0.023842320550359994,0.29802689101242397,Paired differences did not depart from normality (Shapiro-Wilk p > 0.05),Paired t-test,t,3.24562220180039,0.0022726560128486567,0.003408984019272985,Cohen_dz,0.48929595702813866,Corrected upstream Results molecular-property summary
NOSC,44,-0.5164104370009357,-0.4559075616846992,-0.48997994097173503,-0.466500404477344,0.06050287531623655,0.0554889441983315,0.20169091728565433,Paired differences did not depart from normality (Shapiro-Wilk p > 0.05),Paired t-test,t,3.068864120333634,0.003712631957503872,0.004455158349004646,Cohen_dz,0.46264867362412493,Corrected upstream Results molecular-property summary
O:C ratio,44,0.40683406615073436,0.3845142738102168,0.41224507268787847,0.39677974976053754,-0.02231979234051759,-0.01403785206507499,0.19201778962849486,Paired differences did not depart from normality (Shapiro-Wilk p > 0.05),Paired t-test,t,-2.703084278676159,0.00979761240926239,0.00979761240926239,Cohen_dz,-0.4075052876853315,Corrected upstream Results molecular-property summary
