class,n_pairs,mean_2016,mean_2025,median_2016,median_2025,mean_change,median_change,shapiro_p_difference,selection_reason,test,statistic_name,statistic,p_value,p_adjusted_BH,effect_size_name,effect_size
CHONS,44,0.041481214679192024,0.10503645272690831,0.03523598573515585,0.08646072832455685,0.06355523804771629,0.04543503776470831,0.14817739444474168,Paired differences did not depart from normality (Shapiro-Wilk p > 0.05),Paired t-test,t,5.522374200893785,1.802174122783192e-6,7.469423492212265e-6,Cohen_dz,0.832529235286519
CHONP,44,0.027471170952521502,0.053974733959275906,0.02744524528999035,0.048833021525222974,0.0265035630067544,0.019602092313120493,1.1538659745090491e-7,Paired differences departed from normality (Shapiro-Wilk p <= 0.05),Paired Wilcoxon signed-rank test,V,904,1.8673558730530662e-6,7.469423492212265e-6,rank_biserial,0.8262626262626263
CHOP,44,0.1337219354595411,0.08436563782703356,0.13796288452892153,0.06941757881121986,-0.04935629763250755,-0.049484739740794884,0.18450251216947575,Paired differences did not depart from normality (Shapiro-Wilk p > 0.05),Paired t-test,t,-4.510351062406848,4.9411927512489825e-5,1.3176514003330618e-4,Cohen_dz,-0.6799610066720165
CHOSP,44,0.03545385949618356,0.06767834950873076,0.023161910851670565,0.05166103222898355,0.0322244900125472,0.027565826587347457,0.009309568111011324,Paired differences departed from normality (Shapiro-Wilk p <= 0.05),Paired Wilcoxon signed-rank test,V,779,9.379732096546755e-4,0.001875946419309351,rank_biserial,0.5737373737373738
CHO,44,0.4580608912960321,0.35066525432920037,0.47223688539012953,0.4150843259818375,-0.10739563696683174,-0.06787736996627824,0.025711151364748466,Paired differences departed from normality (Shapiro-Wilk p <= 0.05),Paired Wilcoxon signed-rank test,V,259,0.005989962405455838,0.009199524987352586,rank_biserial,-0.4767676767676768
CHONSP,44,0.06350631652244743,0.033095352585616425,0.04078050334501433,0.030280108192362355,-0.030410963936831004,-0.013178705915898026,0.033466242005233036,Paired differences departed from normality (Shapiro-Wilk p <= 0.05),Paired Wilcoxon signed-rank test,V,263,0.00689964374051444,0.009199524987352586,rank_biserial,-0.4686868686868687
CHOS,44,0.07839914622947984,0.1065906971648409,0.05532708748908868,0.0807297742157099,0.028191550935361055,0.0073402122324583395,2.4869726801658296e-6,Paired differences departed from normality (Shapiro-Wilk p <= 0.05),Paired Wilcoxon signed-rank test,V,623,0.13676419815407992,0.1563019407475199,rank_biserial,0.2585858585858586
CHON,44,0.16190546536460246,0.1985935218983938,0.16661896584621255,0.14448802353270768,0.03668805653379135,-0.010849729715473315,3.5981917537242853e-6,Paired differences departed from normality (Shapiro-Wilk p <= 0.05),Paired Wilcoxon signed-rank test,V,511,0.8564554999917646,0.8564554999917646,rank_biserial,0.03232323232323232
