sample_2016,site_name_2016
HJA_160_2016,160
HJA_161_2016,161
HJA_163_2016,163
HJA_260_2016,260
HJA_360_2016,360
HJA_50_2016,50
HJA_57_2016,57
HJA_66_2016,66
HJA_68_2016,68
HJA_76_2016,76
HJA_82_2016,82
HJA_WS1-6_2016,WS1-6
HJA_WS1-7_2016,WS1-7
HJA_WS1-8_2016,WS1-8
HJA_WS3-4_2016,WS3-4
HJA_WS3-6_2016,WS3-6
