Calibrated_Mass,C,H,O,N,S,P,Is_Isotopologue,Heteroatom_Class,Calculated_Mass,Error_ppm,MolForm,AI,AI_Mod,DBE_1,DBE_O,DBE_AI,GFE,kmass.CH2,kdefect.CH2,NOSC,OtoC_ratio,HtoC_ratio,NtoC_ratio,PtoC_ratio,NtoP_ratio,bs1_class,bs2_class,bs3_class,delGcox0PerCmol,delGcoxPerCmol,lamO20,lamO2,delGd0,delGd
239.067349823,10,12,5,2,0,0,0,N2 O5,239.067345041,0.020001465,C10H12O5N2,0,0.272727273,6,1,-1,48.9,238.800405084,0.199594916,0.4,0.5,1.2,0.2,0,-9999,Lignin,Lignin,Protein,48.9,-126.896910763,0.118339131,0.108182685,489,-1268.96910763
267.073610156,10,12,5,4,0,0,0,N4 O5,267.07349305,0.438479868,C10H12O5N4,0,0.142857143,7,2,-2,31.8,266.775393377,0.224606623,1,0.5,1.2,0.4,0,-9999,Lignin,Lignin,Protein,31.8,-112.033836079,0.134503539,0.125112112,318,-1120.338360788
243.033292676,10,12,5,0,1,0,0,S1 O5,243.033268207,0.100682055,C10H12O5S,0,0.230769231,5,0,-1,60.3,242.76191953,0.23808047,0,0.5,1.2,0,0,-9999,Lignin,Lignin,Other,60.3,-143.464601112,0.115696287,0.09631196,603,-1434.646011116
227.056181969,10,12,6,0,0,0,0,O6,227.056111652,0.309688629,C10H12O6,0,0.285714286,5,-1,-1,60.3,226.802649007,0.197350993,0,0.6,1.2,0,0,-9999,Lignin,Lignin,Other,60.3,-139.469216776,0.115696287,0.098021263,603,-1394.692167761
255.062353302,10,12,6,2,0,0,0,N2 O6,255.062259661,0.367131459,C10H12O6N2,0,0.2,6,0,-2,43.2,254.7775484,0.2224516,0.6,0.6,1.2,0.2,0,-9999,Lignin,Lignin,Protein,43.2,-124.606142092,0.12331573,0.111755883,432,-1246.061420919
283.068503636,10,12,6,4,0,0,0,N4 O6,283.06840767,0.339020772,C10H12O6N4,0,0,7,1,-3,26.1,282.752426816,0.247573184,1.2,0.6,1.2,0.4,0,-9999,Lignin,Lignin,Protein,26.1,-109.743067408,0.140794973,0.129741699,261,-1097.430674078
259.028433993,10,12,6,0,1,0,0,S1 O6,259.028182826,0.969651785,C10H12O6S,0,0.166666667,5,-1,-2,54.6,258.73920053,0.26079947,0.2,0.6,1.2,0,0,-9999,Lignin,Lignin,Other,54.6,-141.173832441,0.117093486,0.099110614,546,-1411.738324406
243.051100448,10,12,7,0,0,0,0,O7,243.051026271,0.305188621,C10H12O7,0,0.230769231,5,-2,-2,54.6,242.779707418,0.220292582,0.2,0.7,1.2,0,0,-9999,Tannin,Tannin,Other,54.6,-137.178448105,0.117093486,0.100964862,546,-1371.784481051
271.057311608,10,12,7,2,0,0,0,N2 O7,271.05717428,0.506635597,C10H12O7N2,0,0.111111111,6,-1,-3,37.5,270.754646592,0.245353408,0.8,0.7,1.2,0.2,0,-9999,Tannin,Tannin,Other,37.5,-122.315373421,0.128690679,0.115487116,375,-1223.153734209
259.046071927,10,12,8,0,0,0,0,O8,259.045940891,0.505841167,C10H12O8,0,0.166666667,5,-3,-3,48.9,258.756818769,0.243181231,0.4,0.8,1.2,0,0,-9999,Tannin,Tannin,Other,48.9,-134.887679434,0.118339131,0.104031913,489,-1348.87679434
