"Index","Mass","Calibrated_Mass","Calculated_Mass","Peak_Height","Peak_Area","Resolving_Power","S_N","Ion_Charge","Error_ppm","Error_Score","Isotopologue_Similarity","Confidence_Score","DBE","OtoC_ratio","HtoC_ratio","Heteroatom_Class","Ion_Type","Is_Isotopologue","Mono_Isotopic_Index","Molecular_Formula","C","H","O","N","P","S","13C","18O","33S","34S"
"1","165.019938","165.019416284","165.019332219","711438.2","-9999","1000891.8","11.3","-1","0.509422944","0.954003381","0","0.572402029","6","0.5","0.75","O4","de-protonated","0","-9999","C8 H6 O4","8","6","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"4","171.066871","171.066357346","171.066282413","765273.1","-9999","809912.5","12.3","-1","0.438036792","0.965783403","0","0.579470042","3","0.5","1.5","O4","de-protonated","0","-9999","C8 H12 O4","8","12","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"18","212.980083","212.979625227","212.979793338","1204280.8","-9999","816602.9","19.92","-1","-0.789328579","0.893106255","0","0.535863753","6","0.285714286","0.857142857","N2 S2 O2","de-protonated","0","-9999","C7 H6 O2 N2 S2","7","6","2","2","-9999","2","-9999","-9999","-9999","-9999"
"30","253.036608","253.036203632","253.036245587","551525.6","-9999","846461.9","7.62","-1","-0.165804975","0.995024162","0","0.597014497","6","0.166666667","1.166666667","S2 O2","de-protonated","0","-9999","C12 H14 O2 S2","12","14","2","-9999","-9999","2","-9999","-9999","-9999","-9999"
"32","255.052304","255.05190232","255.051895651","558654.8","-9999","802377.7","7.72","-1","0.026144866","0.999875978","0","0.599925587","5","0.166666667","1.333333333","S2 O2","de-protonated","0","-9999","C12 H16 O2 S2","12","16","2","-9999","-9999","2","-9999","-9999","-9999","-9999"
"40","262.97526","262.974868883","262.975098425","722603.8","-9999","887864.3","10.47","-1","-0.872865131","0.870885663","0","0.522531398","10","0.545454545","0.454545455","P1 O6","de-protonated","0","-9999","C11 H5 O6 P1","11","5","6","-9999","1","-9999","-9999","-9999","-9999","-9999"
"41","262.976384","262.975992884","262.975967805","1357803.9","-9999","975274.3","21.45","-1","0.095369303","0.99835103","0","0.599010618","9","0.083333333","0.75","S2 P1 O1","de-protonated","0","-9999","C12 H9 O1 P1 S2","12","9","1","-9999","1","2","-9999","-9999","-9999","-9999"
"42","262.977272","262.976880886","262.976815958","6787564","-9999","566188.8","115.29","-1","0.246895714","0.494500144","0.902398978","0.657659677","10","0.5","0.4","N2 S1 O5","de-protonated","0","-9999","C10 H4 O5 N2 S1","10","4","5","2","-9999","1","-9999","-9999","-9999","-9999"
"44","265.036756","265.036367631","265.036245587","589526.4","-9999","739369.7","8.13","-1","0.460482395","0.962255653","0","0.577353392","7","0.153846154","1.076923077","S2 O2","de-protonated","0","-9999","C13 H14 O2 S2","13","14","2","-9999","-9999","2","-9999","-9999","-9999","-9999"
"45","265.073091","265.07270268","265.072631096","527578.5","-9999","474869.5","7.07","-1","0.270052847","0.986854381","0","0.592112628","6","0.071428571","1.285714286","S2 O1","de-protonated","0","-9999","C14 H18 O1 S2","14","18","1","-9999","-9999","2","-9999","-9999","-9999","-9999"
"49","267.088817","267.088431367","267.088281161","695606.2","-9999","848974.8","9.96","-1","0.562385681","0.944227482","0","0.566536489","5","0.071428571","1.428571429","S2 O1","de-protonated","0","-9999","C14 H20 O1 S2","14","20","1","-9999","-9999","2","-9999","-9999","-9999","-9999"
"58","273.135709","273.135331429","273.135231354","648213.8","-9999","922059.4","9.05","-1","0.366394555","0.975935702","0","0.585561421","2","0.071428571","1.857142857","S2 O1","de-protonated","0","-9999","C14 H26 O1 S2","14","26","1","-9999","-9999","2","-9999","-9999","-9999","-9999"
