"Index","Mass","Calibrated_Mass","Calculated_Mass","Peak_Height","Peak_Area","Resolving_Power","S_N","Ion_Charge","Error_ppm","Error_Score","Isotopologue_Similarity","Confidence_Score","DBE","OtoC_ratio","HtoC_ratio","Heteroatom_Class","Ion_Type","Is_Isotopologue","Mono_Isotopic_Index","Molecular_Formula","C","H","O","N","P","S","13C","34S"
"3","171.066224","171.066376168","171.066282413","500407.5","-9999","1196054.6","7.36","-1","0.548064256","0.946956098","0","0.568173659","3","0.5","1.5","O4","de-protonated","0","-9999","C8 H12 O4","8","12","4","-9999","-9999","-9999","-9999","-9999"
"5","185.081846","185.081984272","185.081932477","516030.2","-9999","1418527.4","7.65","-1","0.279847577","0.985890393","0","0.591534236","3","0.444444444","1.555555556","O4","de-protonated","0","-9999","C9 H14 O4","9","14","4","-9999","-9999","-9999","-9999","-9999"
"7","187.061077","187.06121331","187.061197032","499037.7","-9999","1281078.2","7.33","-1","0.087015718","0.998627062","0","0.599176237","3","0.625","1.5","O5","de-protonated","0","-9999","C8 H12 O5","8","12","5","-9999","-9999","-9999","-9999","-9999"
"14","199.061088","199.061212412","199.061197032","725305.3","-9999","1178961.2","11.42","-1","0.077260491","0.998917486","0","0.599350492","4","0.555555556","1.333333333","O5","de-protonated","0","-9999","C9 H12 O5","9","12","5","-9999","-9999","-9999","-9999","-9999"
"15","201.04027","201.04039245","201.040461587","514666.1","-9999","835077.5","7.51","-1","-0.343900184","0.978769163","0","0.587261498","4","0.75","1.25","O6","de-protonated","0","-9999","C8 H10 O6","8","10","6","-9999","-9999","-9999","-9999","-9999"
"17","201.076706","201.076828413","201.076847097","750941.8","-9999","980362.4","11.86","-1","-0.092916352","0.998434698","0","0.599060819","3","0.555555556","1.555555556","O5","de-protonated","0","-9999","C9 H14 O5","9","14","5","-9999","-9999","-9999","-9999","-9999"
"18","203.055952","203.056072451","203.056111652","611821.8","-9999","1284549.3","9.27","-1","-0.193054066","0.993260245","0","0.595956147","3","0.75","1.5","O6","de-protonated","0","-9999","C8 H12 O6","8","12","6","-9999","-9999","-9999","-9999","-9999"
"25","213.076681","213.076791516","213.076847097","610285.8","-9999","1286848.2","9.13","-1","-0.260849504","0.987729686","0","0.592637812","4","0.5","1.4","O5","de-protonated","0","-9999","C10 H14 O5","10","14","5","-9999","-9999","-9999","-9999","-9999"
"26","215.05591","215.056018553","215.056111652","632836.1","-9999","884264","9.51","-1","-0.432903084","0.966567246","0","0.579940348","4","0.666666667","1.333333333","O6","de-protonated","0","-9999","C9 H12 O6","9","12","6","-9999","-9999","-9999","-9999","-9999"
"27","215.092304","215.092412517","215.092497161","889897.3","-9999","744943.9","14.19","-1","-0.3935232","0.972291876","0","0.583375125","3","0.5","1.6","O5","de-protonated","0","-9999","C10 H16 O5","10","16","5","-9999","-9999","-9999","-9999","-9999"
"28","217.071593","217.071699555","217.071761716","854600","-9999","1043262.1","13.5","-1","-0.286363416","0.985230634","0","0.59113838","3","0.666666667","1.555555556","O6","de-protonated","0","-9999","C9 H14 O6","9","14","6","-9999","-9999","-9999","-9999","-9999"
"29","217.107966","217.108072519","217.108147226","497229.3","-9999","1231581.7","7.02","-1","-0.344099588","0.978744799","0","0.587246879","2","0.5","1.8","O5","de-protonated","0","-9999","C10 H18 O5","10","18","5","-9999","-9999","-9999","-9999","-9999"
"32","227.092288","227.09238462","227.092497161","848272.2","-9999","1052515.9","13.25","-1","-0.49557586","0.956415374","0","0.573849224","4","0.454545455","1.454545455","O5","de-protonated","0","-9999","C11 H16 O5","11","16","5","-9999","-9999","-9999","-9999","-9999"
"33","227.128668","227.128764584","227.128882671","863126","-9999","854996.7","13.52","-1","-0.519911769","0.952136305","0","0.571281783","3","0.333333333","1.666666667","O4","de-protonated","0","-9999","C12 H20 O4","12","20","4","-9999","-9999","-9999","-9999","-9999"
"35","229.071577","229.071671657","229.071761716","726284.8","-9999","865518.6","11.02","-1","-0.393147904","0.972343963","0","0.583406378","4","0.6","1.4","O6","de-protonated","0","-9999","C10 H14 O6","10","14","6","-9999","-9999","-9999","-9999","-9999"
"36","229.107939","229.108033621","229.108147226","762386.7","-9999","770941.6","11.66","-1","-0.495855282","0.9563673","0","0.57382038","3","0.454545455","1.636363636","O5","de-protonated","0","-9999","C11 H18 O5","11","18","5","-9999","-9999","-9999","-9999","-9999"
"37","231.0508","231.050892695","231.051026271","540139.1","-9999","1046561.6","7.65","-1","-0.578125721","0.941156843","0","0.564694106","4","0.777777778","1.333333333","O7","de-protonated","0","-9999","C9 H12 O7","9","12","7","-9999","-9999","-9999","-9999","-9999"
"39","231.087188","231.087280659","231.087411781","1716560.9","-9999","881689","28.68","-1","-0.567412858","0.943254888","0","0.565952933","3","0.6","1.6","O6","de-protonated","0","-9999","C10 H16 O6","10","16","6","-9999","-9999","-9999","-9999","-9999"
"40","241.071485","241.07156776","241.071761716","539725","-9999","902728.6","7.54","-1","-0.804559929","0.889180736","0","0.533508442","5","0.545454545","1.272727273","O6","de-protonated","0","-9999","C11 H14 O6","11","14","6","-9999","-9999","-9999","-9999","-9999"
"41","241.107888","241.107970724","241.108147226","1162386.8","-9999","734535.4","18.57","-1","-0.73204545","0.907341272","0","0.544404763","4","0.416666667","1.5","O5","de-protonated","0","-9999","C12 H18 O5","12","18","5","-9999","-9999","-9999","-9999","-9999"
"42","241.14426","241.144342687","241.144532735","607704.4","-9999","1082380.9","8.75","-1","-0.788106335","0.89341875","0","0.53605125","3","0.307692308","1.692307692","O4","de-protonated","0","-9999","C13 H22 O4","13","22","4","-9999","-9999","-9999","-9999","-9999"
"43","243.050795","243.050875797","243.051026271","589280.9","-9999","662150.8","8.39","-1","-0.619105486","0.932815583","0","0.55968935","5","0.7","1.2","O7","de-protonated","0","-9999","C10 H12 O7","10","12","7","-9999","-9999","-9999","-9999","-9999"
"45","243.087167","243.087247761","243.087411781","1463494.5","-9999","799991.2","23.82","-1","-0.67473521","0.920712264","0","0.552427358","4","0.545454545","1.454545455","O6","de-protonated","0","-9999","C11 H16 O6","11","16","6","-9999","-9999","-9999","-9999","-9999"
"46","243.123497","243.123577725","243.12379729","1044492.1","-9999","631209.8","16.42","-1","-0.903099608","0.862441865","0","0.517465119","3","0.416666667","1.666666667","O5","de-protonated","0","-9999","C12 H20 O5","12","20","5","-9999","-9999","-9999","-9999","-9999"
"48","245.066393","245.066471799","245.066676336","905525.3","-9999","832895.2","13.97","-1","-0.834618153","0.881266784","0","0.52876007","4","0.7","1.4","O7","de-protonated","0","-9999","C10 H14 O7","10","14","7","-9999","-9999","-9999","-9999","-9999"
"49","245.102803","245.102881763","245.103061845","1358074.8","-9999","656720.4","21.95","-1","-0.734721733","0.906695227","0","0.544017136","3","0.545454545","1.636363636","O6","de-protonated","0","-9999","C11 H18 O6","11","18","6","-9999","-9999","-9999","-9999","-9999"
"50","245.13919","245.139268727","245.139447355","575040.3","-9999","834559.1","8.13","-1","-0.728679023","0.908151218","0","0.544890731","2","0.416666667","1.833333333","O5","de-protonated","0","-9999","C12 H22 O5","12","22","5","-9999","-9999","-9999","-9999","-9999"
"51","247.082066","247.0821428","247.0823264","911843.4","-9999","887671.1","14.02","-1","-0.743072347","0.904667258","0","0.542800355","3","0.7","1.6","O7","de-protonated","0","-9999","C10 H16 O7","10","16","7","-9999","-9999","-9999","-9999","-9999"
"52","249.149334","249.149408751","249.149618115","600657.9","-9999","987240.5","8.55","-1","-0.840317509","0.879741646","0","0.527844988","5","0.2","1.466666667","O3","de-protonated","0","-9999","C15 H22 O3","15","22","3","-9999","-9999","-9999","-9999","-9999"
"55","253.144246","253.14431679","253.144532735","893056.9","-9999","976566.3","13.63","-1","-0.853051043","0.876306382","0","0.525783829","4","0.285714286","1.571428571","O4","de-protonated","0","-9999","C14 H22 O4","14","22","4","-9999","-9999","-9999","-9999","-9999"
"56","255.087099","255.087167864","255.087411781","1047426.8","-9999","718282.3","16.28","-1","-0.956210478","0.84712627","0","0.508275762","5","0.5","1.333333333","O6","de-protonated","0","-9999","C12 H16 O6","12","16","6","-9999","-9999","-9999","-9999","-9999"
"57","255.12351","255.123578827","255.12379729","1233543.5","-9999","783137.7","19.53","-1","-0.85630078","0.875423565","0","0.525254139","4","0.384615385","1.538461538","O5","de-protonated","0","-9999","C13 H20 O5","13","20","5","-9999","-9999","-9999","-9999","-9999"
"58","257.066369","257.066435901","257.066676336","967358.8","-9999","770572.4","14.87","-1","-0.935301161","0.853227398","0","0.511936439","5","0.636363636","1.272727273","O7","de-protonated","0","-9999","C11 H14 O7","11","14","7","-9999","-9999","-9999","-9999","-9999"
"59","257.102752","257.102818865","257.103061845","1635843.4","-9999","635013","26.55","-1","-0.945069194","0.850388527","0","0.510233116","4","0.5","1.5","O6","de-protonated","0","-9999","C12 H18 O6","12","18","6","-9999","-9999","-9999","-9999","-9999"
"62","259.082005","259.082069903","259.0823264","1441011.5","-9999","739988.8","23.07","-1","-0.990023808","0.837070979","0","0.502242587","4","0.636363636","1.454545455","O7","de-protonated","0","-9999","C11 H16 O7","11","16","7","-9999","-9999","-9999","-9999","-9999"
"64","259.118421","259.118485867","259.11871191","1748215.9","-9999","758148.8","28.42","-1","-0.872353545","0.871026761","0","0.522616056","3","0.5","1.666666667","O6","de-protonated","0","-9999","C12 H20 O6","12","20","6","-9999","-9999","-9999","-9999","-9999"
"66","261.061312","261.06137494","261.061590955","535447.5","-9999","894851.6","7.27","-1","-0.827449231","0.883174146","0","0.529904488","4","0.8","1.4","O8","de-protonated","0","-9999","C10 H14 O8","10","14","8","-9999","-9999","-9999","-9999","-9999"
"72","265.147557","265.147615889","265.147523916","8922250","-9999","621031.1","152.26","-1","0.346874903","0.980003129","0.970965041","0.976387894","5","0.071428571","1.642857143","N2 P1 O1","de-protonated","0","-9999","C14 H23 O1 N2 P1","14","23","1","2","1","-9999","-9999","-9999"
"73","266.150906","266.150963894","266.150878751","1018669.6","-9999","485286.1","15.59","-1","0.319905603","0.981601964","0.970965041","0.977347194","5","0.071428571","1.642857143","13C1 N2 P1 O1","de-protonated","1","72","C13 H23 O1 N2 P1 13C1","13","23","1","2","1","-9999","1","-9999"
"73","266.150906","266.150963894","266.151015097","1018669.6","-9999","485286.1","15.59","-1","-0.192381241","0.993306984","0","0.595984191","5","0.230769231","1.615384615","N3 O3","de-protonated","0","-9999","C13 H21 O3 N3","13","21","3","3","-9999","-9999","-9999","-9999"
"89","271.154778","271.154830933","271.155097419","1076793.5","-9999","903408.4","16.53","-1","-0.982781493","0.839243884","0","0.50354633","3","0.357142857","1.714285714","O5","de-protonated","0","-9999","C14 H24 O5","14","24","5","-9999","-9999","-9999","-9999","-9999"
"98","279.163148","279.163192993","279.16317398","823723.6","-9999","779106.4","12.07","-1","0.068105215","0.999158737","0","0.599495242","5","0.066666667","1.666666667","N2 P1 O1","de-protonated","0","-9999","C15 H25 O1 N2 P1","15","25","1","2","1","-9999","-9999","-9999"
"121","293.178752","293.178783097","293.178824045","2507674.8","-9999","490394.7","40.36","-1","-0.139669359","0.996466641","0","0.597879985","5","0.0625","1.6875","N2 P1 O1","de-protonated","0","-9999","C16 H27 O1 N2 P1","16","27","1","2","1","-9999","-9999","-9999"
"128","298.15589","298.155916162","298.156100477","541426","-9999","740132.1","7.1","-1","-0.618182895","0.933008813","0","0.559805288","9","0.117647059","1.235294118","N3 O2","de-protonated","0","-9999","C17 H21 O2 N3","17","21","2","3","-9999","-9999","-9999","-9999"
"143","307.094707","307.094724299","307.09442917","692137.7","-9999","649116.2","9.54","-1","0.961039329","0.845704401","0","0.507422641","7","0.066666667","1.333333333","N2 S2 O1","de-protonated","0","-9999","C15 H20 O1 N2 S2","15","20","1","2","-9999","2","-9999","-9999"
"144","307.194322","307.194339201","307.194474109","2264495.5","-9999","567502.5","35.76","-1","-0.439163601","0.965610205","0","0.579366123","5","0.058823529","1.705882353","N2 P1 O1","de-protonated","0","-9999","C17 H29 O1 N2 P1","17","29","1","2","1","-9999","-9999","-9999"
"148","309.173565","309.173580238","309.173738664","2971428","-9999","463640.6","47.54","-1","-0.512417743","0.476736899","0.85247738","0.627033092","5","0.125","1.6875","N2 P1 O2","de-protonated","0","-9999","C16 H27 O2 N2 P1","16","27","2","2","1","-9999","-9999","-9999"
"182","321.110353","321.110356403","321.110079234","675770.4","-9999","708889.7","9.17","-1","0.863159502","0.873552268","0","0.524131361","7","0.0625","1.375","N2 S2 O1","de-protonated","0","-9999","C16 H22 O1 N2 S2","16","22","1","2","-9999","2","-9999","-9999"
"185","323.149288","323.149289382","323.148980467","648918.4","-9999","450101.6","8.66","-1","0.955949837","0.847202881","0","0.50832172900000006","2","0.454545455","2.272727273","N4 P1 O5","de-protonated","0","-9999","C11 H25 O5 N4 P1","11","25","5","4","1","-9999","-9999","-9999"
"192","326.187098","326.18709637","326.187400606","2081229.5","-9999","423952.7","32.13","-1","-0.932703513","0.853978965","0","0.512387379","9","0.105263158","1.315789474","N3 O2","de-protonated","0","-9999","C19 H25 O2 N3","19","25","2","3","-9999","-9999","-9999","-9999"
"215","333.110027","333.110018506","333.110079234","601484.1","-9999","518524.4","7.79","-1","-0.182306547","0.993987577","0","0.596392546","8","0.058823529","1.294117647","N2 S2 O1","de-protonated","0","-9999","C17 H22 O1 N2 S2","17","22","1","2","-9999","2","-9999","-9999"
"220","337.128589","337.128576522","337.128245023","726192","-9999","422748.5","9.71","-1","0.983302339","0.83908796","0","0.503452776","3","0.545454545","2.090909091","N4 P1 O6","de-protonated","0","-9999","C11 H23 O6 N4 P1","11","23","6","4","1","-9999","-9999","-9999"
"222","337.204755","337.204742446","337.20503879300003","657464.3","-9999","401765.6","8.61","-1","-0.878833916","0.869235038","0","0.521541023","5","0.111111111","1.722222222","N2 P1 O2","de-protonated","0","-9999","C18 H31 O2 N2 P1","18","31","2","2","1","-9999","-9999","-9999"
"223","339.071703","339.071688595","339.071993448","569159.6","-9999","643525.1","7.19","-1","-0.899080994","0.863575945","0","0.518145567","3","0.3","2.1","N4 S2 P1 O3","de-protonated","0","-9999","C10 H21 O3 N4 P1 S2","10","21","3","4","1","2","-9999","-9999"
"229","341.086947","341.086930597","341.086774133","661871.7","-9999","404630.5","8.67","-1","0.458722457","0.962538153","0","0.577522892","3","0.888888889","2.111111111","N4 P1 O8","de-protonated","0","-9999","C9 H19 O8 N4 P1","9","19","8","4","1","-9999","-9999","-9999"
"230","341.123487","341.123470561","341.123159642","2082484","-9999","421288.9","31.52","-1","0.911455513","0.860072402","0","0.516043441","2","0.7","2.3","N4 P1 O7","de-protonated","0","-9999","C10 H23 O7 N4 P1","10","23","7","4","1","-9999","-9999","-9999"
"235","343.084009","343.083990617","343.083663811","749406.1","-9999","468405.7","9.98","-1","0.95255485","0.848199497","0","0.508919698","16","0.157894737","0.631578947","N4 O3","de-protonated","0","-9999","C19 H12 O3 N4","19","12","3","4","-9999","-9999","-9999","-9999"
"237","343.139154","343.139135562","343.138809707","4068772.8","-9999","509310.6","62.82","-1","0.949632143","0.849055567","0","0.50943334","1","0.7","2.5","N4 P1 O7","de-protonated","0","-9999","C10 H25 O7 N4 P1","10","25","7","4","1","-9999","-9999","-9999"
"241","344.142349","344.142329568","344.142104183","576231.9","-9999","470312.5","7.22","-1","0.654917834","0.925124928","0","0.555074957","9","0.157894737","1.263157895","N1 P1 O3","de-protonated","0","-9999","C19 H24 O3 N1 P1","19","24","3","1","1","-9999","-9999","-9999"
"250","347.097486","347.097463638","347.097205875","580886.2","-9999","492459.2","7.28","-1","0.742623581","0.904776708","0","0.542866025","14","0.052631579","0.842105263","N4 S1 O1","de-protonated","0","-9999","C19 H16 O1 N4 S1","19","16","1","4","-9999","1","-9999","-9999"
"256","349.105223","349.105198647","349.104993854","3625118.5","-9999","477433.2","55.17","-1","0.586624267","0.924204318","0.920056598","0.92254523","8","0.117647059","1.294117647","N2 S2 O2","de-protonated","0","-9999","C17 H22 O2 N2 S2","17","22","2","2","-9999","2","-9999","-9999"
"258","349.164717","349.164692588","349.164630532","569382.4","-9999","597681.2","7.02","-1","0.177727435","0.994284966","0","0.59657098","3","0.384615385","2.076923077","N4 P1 O5","de-protonated","0","-9999","C13 H27 O5 N4 P1","13","27","5","4","1","-9999","-9999","-9999"
"259","350.108628","350.108602652","350.108348689","1115173.6","-9999","600171","15.62","-1","0.725385561","0.90894069","0.920056598","0.913387053","8","0.117647059","1.294117647","13C1 N2 S2 O2","de-protonated","1","256","C16 H22 O2 N2 S2 13C1","16","22","2","2","-9999","2","1","-9999"
"260","351.102217","351.102190667","351.102016473","1038509.3","-9999","426434.3","14.41","-1","0.496133987","0.956319324","0","0.573791594","8","0.3125","1.25","N2 S1 O5","de-protonated","0","-9999","C16 H20 O5 N2 S1","16","20","5","2","-9999","1","-9999","-9999"
"261","351.107827","351.107800661","351.107509578","689454.1","-9999","547811.3","8.91","-1","0.829044732","0.882750715","0","0.529650429","4","0.636363636","1.909090909","N4 P1 O7","de-protonated","0","-9999","C11 H21 O7 N4 P1","11","21","7","4","1","-9999","-9999","-9999"
"262","351.144032","351.144005626","351.143895087","870323.1","-9999","445755","11.76","-1","0.314795691","0.982179793","0","0.589307876","3","0.5","2.083333333","N4 P1 O6","de-protonated","0","-9999","C12 H25 O6 N4 P1","12","25","6","4","1","-9999","-9999","-9999"
"263","351.18053","351.180503589","351.180280596","789176.1","-9999","561166.6","10.48","-1","0.63498169","0.929451709","0","0.557671025","2","0.384615385","2.230769231","N4 P1 O5","de-protonated","0","-9999","C13 H29 O5 N4 P1","13","29","5","4","1","-9999","-9999","-9999"
"264","353.12345","353.123421663","353.123159642","1204167.4","-9999","490995.2","17.02","-1","0.742010051","0.904926259","0","0.542955755","3","0.636363636","2.090909091","N4 P1 O7","de-protonated","0","-9999","C11 H23 O7 N4 P1","11","23","7","4","1","-9999","-9999","-9999"
"265","353.159759","353.159730627","353.159545151","1810892.5","-9999","466841.6","26.58","-1","0.525189215","0.951183909","0","0.570710346","2","0.5","2.25","N4 P1 O6","de-protonated","0","-9999","C12 H27 O6 N4 P1","12","27","6","4","1","-9999","-9999","-9999"
"266","353.19616","353.196131591","353.195930661","1322705.6","-9999","437776.2","18.88","-1","0.568891445","0.942967374","0","0.565780424","1","0.384615385","2.384615385","N4 P1 O5","de-protonated","0","-9999","C13 H31 O5 N4 P1","13","31","5","4","1","-9999","-9999","-9999"
