"Index","Mass","Calibrated_Mass","Calculated_Mass","Peak_Height","Peak_Area","Resolving_Power","S_N","Ion_Charge","Error_ppm","Error_Score","Isotopologue_Similarity","Confidence_Score","DBE","OtoC_ratio","HtoC_ratio","Heteroatom_Class","Ion_Type","Is_Isotopologue","Mono_Isotopic_Index","Molecular_Formula","C","H","O","N","P","S","13C","17O","18O","33S","34S"
"22","215.034041","215.033929157","215.033950713","1138867.6","-9999","880868.7","18.68","-1","-0.100241661","0.998178394","0","0.598907036","5","0.5","1.5","N4 P1 O3","de-protonated","0","-9999","C6 H9 O3 N4 P1","6","9","3","4","1","-9999","-9999","-9999","-9999","-9999","-9999"
"25","219.052223","219.052113541","219.051895651","910855.9","-9999","931961.6","14.45","-1","0.994694969","0.835664041","0","0.501398425","2","0.222222222","1.777777778","S2 O2","de-protonated","0","-9999","C9 H16 O2 S2","9","16","2","-9999","-9999","2","-9999","-9999","-9999","-9999","-9999"
"26","219.052364","219.052254541","219.052363682","929127.9","-9999","1210026.1","14.78","-1","-0.498240448","0.95595593","0","0.573573558","8","0.333333333","0.888888889","N4 O3","de-protonated","0","-9999","C9 H8 O3 N4","9","8","3","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"28","229.073074","229.072970486","229.073099127","620573.5","-9999","873164","9.1","-1","-0.561570177","0.944384534","0","0.56663072","9","0.181818182","0.909090909","N4 O2","de-protonated","0","-9999","C11 H10 O2 N4","11","10","2","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"31","237.041991","237.041892214","237.041798998","557207.2","-9999","882922.6","7.87","-1","0.393247279","0.972330175","0","0.583398105","12","0.166666667","0.5","N4 O2","de-protonated","0","-9999","C12 H6 O2 N4","12","6","2","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"32","237.110236","237.110137254","237.110079234","740738.3","-9999","781093.2","11.12","-1","0.244698498","0.98919414","0","0.593516484","0","0.111111111","2.444444444","N2 S2 O1","de-protonated","0","-9999","C9 H22 O1 N2 S2","9","22","1","2","-9999","2","-9999","-9999","-9999","-9999","-9999"
"37","245.05055","245.050455965","245.050255682","926169.9","-9999","879987","14.28","-1","0.817316243","0.885848991","0","0.531509394","9","0.090909091","0.909090909","N4 S1 O1","de-protonated","0","-9999","C11 H10 O1 N4 S1","11","10","1","4","-9999","1","-9999","-9999","-9999","-9999","-9999"
"46","255.125345","255.125256942","255.125134701","684478.6","-9999","588084.3","9.9","-1","0.479144003","0.959198918","0","0.575519351","9","0.071428571","1.142857143","N4 O1","de-protonated","0","-9999","C14 H16 O1 N4","14","16","1","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"55","265.147738","265.147655888","265.147904038","607004.8","-9999","717971.3","8.41","-1","-0.935892733","0.853056041","0","0.511833625","0","0.333333333","2.166666667","S1 O4","de-protonated","0","-9999","C12 H26 O4 S1","12","26","4","-9999","-9999","1","-9999","-9999","-9999","-9999","-9999"
"55","265.147738","265.147655888","265.147523916","607004.8","-9999","717971.3","8.41","-1","0.497732438","0.956043697","0","0.573626218","5","0.071428571","1.642857143","N2 P1 O1","de-protonated","0","-9999","C14 H23 O1 N2 P1","14","23","1","2","1","-9999","-9999","-9999","-9999","-9999","-9999"
