"Index","Mass","Calibrated_Mass","Calculated_Mass","Peak_Height","Peak_Area","Resolving_Power","S_N","Ion_Charge","Error_ppm","Error_Score","Isotopologue_Similarity","Confidence_Score","DBE","OtoC_ratio","HtoC_ratio","Heteroatom_Class","Ion_Type","Is_Isotopologue","Mono_Isotopic_Index","Molecular_Formula","C","H","O","N","P","S","13C","15N","18O","33S","34S"
"351","367.15212","367.152118314","367.151944047","606072.9","-9999","571952.5","7.3","-1","0.47464442","0.959946151","0","0.57596769","6","0.111111111","1.555555556","N2 S2 O2","de-protonated","0","-9999","C18 H28 O2 N2 S2","18","28","2","2","-9999","2","-9999","-9999","-9999","-9999","-9999"
"352","367.175509","367.175507287","367.175195216","2078973","-9999","442107.3","29.77","-1","0.849923063","0.877153788","0","0.526292273","2","0.461538462","2.230769231","N4 P1 O6","de-protonated","0","-9999","C13 H29 O6 N4 P1","13","29","6","4","1","-9999","-9999","-9999","-9999","-9999","-9999"
"354","368.17884","368.17883713","368.178489692","662185.6","-9999","485442.4","8.15","-1","0.94366658","0.850797397","0","0.510478438","10","0.090909091","1.272727273","N1 P1 O2","de-protonated","0","-9999","C22 H28 O2 N1 P1","22","28","2","1","1","-9999","-9999","-9999","-9999","-9999","-9999"
"356","369.045501","369.045497131","369.045170301","662848.2","-9999","647823.2","8.16","-1","0.885608233","0.867351852","0","0.520411111","18","0.1","0.5","N4 S1 O2","de-protonated","0","-9999","C20 H10 O2 N4 S1","20","10","2","4","-9999","1","-9999","-9999","-9999","-9999","-9999"
"357","369.081861","369.081857089","369.081555811","698950.6","-9999","466052","8.71","-1","0.816291596","0.886118083","0","0.53167085","17","0.047619048","0.666666667","N4 S1 O1","de-protonated","0","-9999","C21 H14 O1 N4 S1","21","14","1","4","-9999","1","-9999","-9999","-9999","-9999","-9999"
"357","369.081861","369.081857089","369.081688752","698950.6","-9999","466052","8.71","-1","0.45609535","0.962957988","0","0.577774793","4","0.9","1.9","N4 P1 O9","de-protonated","0","-9999","C10 H19 O9 N4 P1","10","19","9","4","1","-9999","-9999","-9999","-9999","-9999","-9999"
"358","369.118447","369.118443047","369.118074262","1497164.9","-9999","471334.5","20.89","-1","0.999097412","0.834334159","0","0.500600495","3","0.727272727","2.090909091","N4 P1 O8","de-protonated","0","-9999","C11 H23 O8 N4 P1","11","23","8","4","1","-9999","-9999","-9999","-9999","-9999","-9999"
"359","369.126641","369.126637037","369.12631647","776142.4","-9999","575980","9.89","-1","0.868447904","0.872101974","0","0.523261185","3","0.909090909","2","N4 O10","de-protonated","0","-9999","C11 H22 O10 N4","11","22","10","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"360","369.154799","369.154795005","369.154459771","3684179.3","-9999","434806.1","54.26","-1","0.908112157","0.861022305","0","0.516613383","2","0.583333333","2.25","N4 P1 O7","de-protonated","0","-9999","C12 H27 O7 N4 P1","12","27","7","4","1","-9999","-9999","-9999","-9999","-9999","-9999"
"361","369.191189","369.191184963","369.19084528","3489625.5","-9999","432815.1","51.29","-1","0.920072514","0.8744979","0.948819501","0.90422654","1","0.461538462","2.384615385","N4 P1 O6","de-protonated","0","-9999","C13 H31 O6 N4 P1","13","31","6","4","1","-9999","-9999","-9999","-9999","-9999","-9999"
"362","369.227573","369.227568921","369.22723079","1047264","-9999","404343.9","14.03","-1","0.915780376","0.858840022","0","0.515304013","0","0.357142857","2.5","N4 P1 O5","de-protonated","0","-9999","C14 H35 O5 N4 P1","14","35","5","4","1","-9999","-9999","-9999","-9999","-9999","-9999"
"363","370.158111","370.158105848","370.157754247","749187.4","-9999","413854.5","9.48","-1","0.949867293","0.848986757","0","0.509392054","10","0.142857143","1.238095238","N1 P1 O3","de-protonated","0","-9999","C21 H26 O3 N1 P1","21","26","3","1","1","-9999","-9999","-9999","-9999","-9999","-9999"
"364","370.1945","370.194494806","370.194139757","737417.8","-9999","477702.7","9.3","-1","0.959089849","0.846279006","0","0.507767403","9","0.090909091","1.363636364","N1 P1 O2","de-protonated","0","-9999","C22 H30 O2 N1 P1","22","30","2","1","1","-9999","-9999","-9999","-9999","-9999","-9999"
"364","370.1945","370.194494806","370.194200115","737417.8","-9999","477702.7","9.3","-1","0.796043189","0.891382842","0.948819501","0.914357506","1","0.461538462","2.384615385","13C1 N4 P1 O6","de-protonated","1","361","C12 H31 O6 N4 P1 13C1","12","31","6","4","1","-9999","1","-9999","-9999","-9999","-9999"
"367","371.170398","371.170391681","371.170109835","4858039","-9999","413518.3","71.34","-1","0.75934301","0.450331716","0.885121231","0.624247522","1","0.583333333","2.416666667","N4 P1 O7","de-protonated","0","-9999","C12 H29 O7 N4 P1","12","29","7","4","1","-9999","-9999","-9999","-9999","-9999","-9999"
"372","373.055717","373.055708507","373.055474004","595849.9","-9999","548845.6","7.05","-1","0.628602256","0.930812165","0","0.558487299","8","0.666666667","1.25","N4 P1 O8","de-protonated","0","-9999","C12 H15 O8 N4 P1","12","15","8","4","1","-9999","-9999","-9999","-9999","-9999","-9999"
"373","373.113332","373.113323441","373.112988881","1258772.4","-9999","422184.2","17.05","-1","0.89667122","0.864254286","0","0.518552571","2","0.9","2.3","N4 P1 O9","de-protonated","0","-9999","C10 H23 O9 N4 P1","10","23","9","4","1","-9999","-9999","-9999","-9999","-9999","-9999"
"374","373.149671","373.149662399","373.149374391","3980827","-9999","426450.8","58.1","-1","0.77183148","0.897543845","0","0.538526307","1","0.727272727","2.454545455","N4 P1 O8","de-protonated","0","-9999","C11 H27 O8 N4 P1","11","27","8","4","1","-9999","-9999","-9999","-9999","-9999","-9999"
"379","374.153052","374.153042242","374.152668867","915666.1","-9999","477542.9","11.87","-1","0.997922712","0.834689377","0","0.500813626","9","0.2","1.3","N1 P1 O4","de-protonated","0","-9999","C20 H26 O4 N1 P1","20","26","4","1","1","-9999","-9999","-9999","-9999","-9999","-9999"
"381","374.189404","374.1893942","374.189054376","751576.8","-9999","447991.6","9.39","-1","0.908161749","0.861008233","0","0.51660494","8","0.142857143","1.428571429","N1 P1 O3","de-protonated","0","-9999","C21 H30 O3 N1 P1","21","30","3","1","1","-9999","-9999","-9999","-9999","-9999","-9999"
