"Index","Mass","Calibrated_Mass","Calculated_Mass","Peak_Height","Peak_Area","Resolving_Power","S_N","Ion_Charge","Error_ppm","Error_Score","Isotopologue_Similarity","Confidence_Score","DBE","OtoC_ratio","HtoC_ratio","Heteroatom_Class","Ion_Type","Is_Isotopologue","Mono_Isotopic_Index","Molecular_Formula","C","H","O","N","P","S","13C","18O","34S"
"14","215.034109","215.034124358","215.033950713","640162.7","-9999","1083450","9.64","-1","0.807527249","0.888409285","0","0.533045571","5","0.5","1.5","N4 P1 O3","de-protonated","0","-9999","C6 H9 O3 N4 P1","6","9","3","4","1","-9999","-9999","-9999","-9999"
"18","233.031651","233.031672984","233.031628237","1681053.8","-9999","841285.5","28","-1","0.192019509","0.993332046","0","0.595999228","9","0.444444444","0.666666667","N4 O4","de-protonated","0","-9999","C9 H6 O4 N4","9","6","4","4","-9999","-9999","-9999","-9999","-9999"
"25","249.054163","249.054190882","249.054218127","2175711.3","-9999","824330.3","36.19","-1","-0.109393492","0.997830971","0","0.598698583","2","0.1","1.9","S2 P1 O1","de-protonated","0","-9999","C10 H19 O1 P1 S2","10","19","1","-9999","1","2","-9999","-9999","-9999"
"50","269.1408","269.140835276","269.140784765","534570.2","-9999","995543.6","7.13","-1","0.187675632","0.993629368","0","0.596177621","9","0.066666667","1.2","N4 O1","de-protonated","0","-9999","C15 H18 O1 N4","15","18","1","4","-9999","-9999","-9999","-9999","-9999"
"69","285.042547","285.04258813","285.04280132","672650.9","-9999","881919.4","9.3","-1","-0.747920831","0.903481381","0","0.542088829","2","0.833333333","2.5","N4 S1 P1 O5","de-protonated","0","-9999","C6 H15 O5 N4 P1 S1","6","15","5","4","1","1","-9999","-9999","-9999"
"71","285.128471","285.128512162","285.128488747","6101651","-9999","485320","100.49","-1","0.082118457","0.991639834","0.967624331","0.982033633","13","0.047619048","0.857142857","O1","de-protonated","0","-9999","C21 H18 O1","21","18","1","-9999","-9999","-9999","-9999","-9999","-9999"
"73","286.131886","286.131927531","286.131843582","1099763.6","-9999","588236.7","16.47","-1","0.293391398","0.984502508","0.967624331","0.977751237","13","0.047619048","0.857142857","13C1 O1","de-protonated","1","71","C20 H18 O1 13C1","20","18","1","-9999","-9999","-9999","1","-9999","-9999"
"79","289.123646","289.123688632","289.123403367","1460241.5","-9999","586290.8","22.39","-1","0.9866564","0.838082583","0","0.50284955","12","0.1","0.9","O2","de-protonated","0","-9999","C20 H18 O2","20","18","2","-9999","-9999","-9999","-9999","-9999","-9999"
"84","291.120665","291.120708368","291.120643918","584719.6","-9999","671301.8","7.72","-1","0.221384384","0.991146436","0","0.594687862","2","0.166666667","2","N2 S2 O2","de-protonated","0","-9999","C12 H24 O2 N2 S2","12","24","2","2","-9999","2","-9999","-9999","-9999"
"97","295.185084","295.185128864","295.184958253","1524563.4","-9999","565559.3","23.31","-1","0.577979381","0.941185735","0","0.564711441","4","0.0625","1.75","N2 S1 O1","de-protonated","0","-9999","C16 H28 O1 N2 S1","16","28","1","2","-9999","1","-9999","-9999","-9999"
"103","297.155573","297.155618589","297.155491342","3335185","-9999","447659.8","53.03","-1","0.428216657","0.967275274","0","0.580365164","0","0.666666667","2.166666667","O8","de-protonated","0","-9999","C12 H26 O8","12","26","8","-9999","-9999","-9999","-9999","-9999","-9999"
"107","299.079892","299.079938298","299.080232201","797323.8","-9999","565129.6","11.17","-1","-0.9826901","0.839271238","0","0.503562743","6","0.416666667","1.416666667","N2 P1 O5","de-protonated","0","-9999","C12 H17 O5 N2 P1","12","17","5","2","1","-9999","-9999","-9999","-9999"
"113","301.059161","301.059208026","301.059496756","722446.2","-9999","609438.3","9.87","-1","-0.959045247","0.846292143","0","0.507775286","6","0.545454545","1.363636364","N2 P1 O6","de-protonated","0","-9999","C11 H15 O6 N2 P1","11","15","6","2","1","-9999","-9999","-9999","-9999"
"117","301.131951","301.131998053","301.132267775","1387413.4","-9999","533899.7","20.76","-1","-0.895691404","0.86452973","0","0.518717838","4","0.307692308","1.769230769","N2 P1 O4","de-protonated","0","-9999","C13 H23 O4 N2 P1","13","23","4","2","1","-9999","-9999","-9999","-9999"
"124","303.126444","303.126491787","303.126788471","735420.4","-9999","404797.3","10.08","-1","-0.978744792","0.840450516","0","0.504270309","8","0.125","1.3125","N2 P1 O2","de-protonated","0","-9999","C16 H21 O2 N2 P1","16","21","2","2","1","-9999","-9999","-9999","-9999"
"125","305.033023","305.033071489","305.033282007","960157.8","-9999","463502.5","13.76","-1","-0.690148692","0.917204377","0","0.550322626","10","0.384615385","0.846153846","N2 P1 O5","de-protonated","0","-9999","C13 H11 O5 N2 P1","13","11","5","2","1","-9999","-9999","-9999","-9999"
"126","305.069354","305.069402502","305.069667517","1133601.5","-9999","556914.6","16.6","-1","-0.868700905","0.87203243","0","0.523219458","9","0.285714286","1.071428571","N2 P1 O4","de-protonated","0","-9999","C14 H15 O4 N2 P1","14","15","4","2","1","-9999","-9999","-9999","-9999"
"127","305.105763","305.105811516","305.106053026","1087525.3","-9999","538561.3","15.84","-1","-0.791561626","0.892534359","0","0.535520616","8","0.2","1.266666667","N2 P1 O3","de-protonated","0","-9999","C15 H19 O3 N2 P1","15","19","3","2","1","-9999","-9999","-9999","-9999"
"128","305.142213","305.142261529","305.142438535","594985","-9999","766748.3","7.77","-1","-0.580077213","0.94077094000000006","0","0.56446256400000006","7","0.125","1.4375","N2 P1 O2","de-protonated","0","-9999","C16 H23 O2 N2 P1","16","23","2","2","1","-9999","-9999","-9999","-9999"
"130","307.048606","307.048655231","307.048932072","1310446.4","-9999","478009.6","19.37","-1","-0.901617852","0.862860442","0","0.517716265","9","0.384615385","1","N2 P1 O5","de-protonated","0","-9999","C13 H13 O5 N2 P1","13","13","5","2","1","-9999","-9999","-9999","-9999"
"132","307.085117","307.085166244","307.085317581","1563378.3","-9999","479418.4","23.48","-1","-0.492816489","0.956888795","0","0.574133277","8","0.285714286","1.214285714","N2 P1 O4","de-protonated","0","-9999","C14 H17 O4 N2 P1","14","17","4","2","1","-9999","-9999","-9999","-9999"
"133","307.121513","307.121562258","307.12170309","1213430","-9999","586987.9","17.79","-1","-0.458556522","0.962564737","0","0.577538842","7","0.2","1.4","N2 P1 O3","de-protonated","0","-9999","C15 H21 O3 N2 P1","15","21","3","2","1","-9999","-9999","-9999","-9999"
"135","307.197752","307.197801286","307.197845413","577886","-9999","650784.2","7.44","-1","-0.143642331","0.996263147","0","0.597757888","0","0.071428571","2.357142857","N2 S1 P1 O1","de-protonated","0","-9999","C14 H33 O1 N2 P1 S1","14","33","1","2","1","1","-9999","-9999","-9999"
"138","309.064417","309.064466973","309.064582136","1299907.6","-9999","478319.2","19.19","-1","-0.372618538","0.975121534","0","0.58507292","8","0.384615385","1.153846154","N2 P1 O5","de-protonated","0","-9999","C13 H15 O5 N2 P1","13","15","5","2","1","-9999","-9999","-9999","-9999"
"139","309.100619","309.100668986","309.100967646","1256727.6","-9999","374576.8","18.49","-1","-0.966218962","0.844173955","0","0.506504373","7","0.285714286","1.357142857","N2 P1 O4","de-protonated","0","-9999","C14 H19 O4 N2 P1","14","19","4","2","1","-9999","-9999","-9999","-9999"
"141","309.137205","309.137255","309.137353155","1112907.5","-9999","561585.7","16.15","-1","-0.317512901","0.981873647","0","0.589124188","6","0.2","1.533333333","N2 P1 O3","de-protonated","0","-9999","C15 H23 O3 N2 P1","15","23","3","2","1","-9999","-9999","-9999","-9999"
"142","309.173583","309.17363301300003","309.173738664","2815951.5","-9999","480541","43.88","-1","-0.341720668","0.986120913","0.937027469","0.966483536","5","0.125","1.6875","N2 P1 O2","de-protonated","0","-9999","C16 H27 O2 N2 P1","16","27","2","2","1","-9999","-9999","-9999","-9999"
"143","310.176983","310.177033383","310.177093499","750779.6","-9999","772918.8","10.25","-1","-0.193814287","0.993207241","0.937027469","0.970735332","5","0.125","1.6875","13C1 N2 P1 O2","de-protonated","1","142","C15 H27 O2 N2 P1 13C1","15","27","2","2","1","-9999","1","-9999","-9999"
"143","310.176983","310.177033383","310.177229845","750779.6","-9999","772918.8","10.25","-1","-0.633387474","0.929792786","0","0.557875672","5","0.266666667","1.666666667","N3 O4","de-protonated","0","-9999","C15 H25 O4 N3","15","25","4","3","-9999","-9999","-9999","-9999","-9999"
"145","311.043606","311.043656702","311.043846691","845594.3","-9999","595270.5","11.79","-1","-0.6108133","0.934543397","0","0.560726038","8","0.5","1.083333333","N2 P1 O6","de-protonated","0","-9999","C12 H13 O6 N2 P1","12","13","6","2","1","-9999","-9999","-9999","-9999"
"146","311.080047","311.080097715","311.080232201","1518238.3","-9999","544537.1","22.74","-1","-0.432318225","0.966656","0","0.5799936","7","0.384615385","1.307692308","N2 P1 O5","de-protonated","0","-9999","C13 H17 O5 N2 P1","13","17","5","2","1","-9999","-9999","-9999","-9999"
"147","311.09522","311.095270721","311.095488342","826015.9","-9999","669008.3","11.47","-1","-0.699532351","0.915036705","0","0.549022023","11","0.117647059","1","N2 P1 O2","de-protonated","0","-9999","C17 H17 O2 N2 P1","17","17","2","2","1","-9999","-9999","-9999","-9999"
"148","311.116497","311.116547728","311.11661771","1719970.3","-9999","418560.8","26.03","-1","-0.22493683","0.990861331","0","0.594516799","6","0.285714286","1.5","N2 P1 O4","de-protonated","0","-9999","C14 H21 O4 N2 P1","14","21","4","2","1","-9999","-9999","-9999","-9999"
"150","311.152895","311.152945742","311.153003219","615014.3","-9999","630577.3","8.04","-1","-0.184724351","0.993827539","0","0.596296524","5","0.2","1.666666667","N2 P1 O3","de-protonated","0","-9999","C15 H25 O3 N2 P1","15","25","3","2","1","-9999","-9999","-9999","-9999"
"152","312.174824","312.174875118","312.175121845","2862615.5","-9999","485113.1","44.33","-1","-0.790346905","0.892845611","0","0.535707367","4","0.133333333","1.8","N3 S1 O2","de-protonated","0","-9999","C15 H27 O2 N3 S1","15","27","2","3","-9999","1","-9999","-9999","-9999"
"156","313.059395","313.059446444","313.059496756","1188090.8","-9999","480064.2","17.25","-1","-0.160711051","0.9953245","0","0.5971947","7","0.5","1.25","N2 P1 O6","de-protonated","0","-9999","C12 H15 O6 N2 P1","12","15","6","2","1","-9999","-9999","-9999","-9999"
"157","313.095754","313.095805457","313.095882265","1335934.8","-9999","612727.1","19.64","-1","-0.245318098","0.989139646","0","0.593483788","6","0.384615385","1.461538462","N2 P1 O5","de-protonated","0","-9999","C13 H19 O5 N2 P1","13","19","5","2","1","-9999","-9999","-9999","-9999"
"158","313.132083","313.13213447","313.132267775","2201731","-9999","471662.5","33.64","-1","-0.425711676","0.967650778","0","0.580590467","5","0.285714286","1.642857143","N2 P1 O4","de-protonated","0","-9999","C14 H23 O4 N2 P1","14","23","4","2","1","-9999","-9999","-9999","-9999"
"161","315.053883","315.053935178","315.054017452","1067103.1","-9999","497142.1","15.29","-1","-0.261143486","0.987702184","0","0.59262131","11","0.266666667","0.866666667","N2 P1 O4","de-protonated","0","-9999","C15 H13 O4 N2 P1","15","13","4","2","1","-9999","-9999","-9999","-9999"
"162","315.075047","315.075099186","315.07514682","1592417.5","-9999","576002.3","23.78","-1","-0.151184801","0.995861244","0","0.597516746","6","0.5","1.416666667","N2 P1 O6","de-protonated","0","-9999","C12 H17 O6 N2 P1","12","17","6","2","1","-9999","-9999","-9999","-9999"
"163","315.090337","315.090389191","315.090402962","988643.3","-9999","571742.9","14.02","-1","-0.043702489","0.99965351","0","0.599792106","10","0.1875","1.0625","N2 P1 O3","de-protonated","0","-9999","C16 H17 O3 N2 P1","16","17","3","2","1","-9999","-9999","-9999","-9999"
"164","315.111391","315.111443199","315.11153233","864421.8","-9999","455802.6","12.01","-1","-0.282853959","0.985587815","0","0.591352689","5","0.384615385","1.615384615","N2 P1 O5","de-protonated","0","-9999","C13 H21 O5 N2 P1","13","21","5","2","1","-9999","-9999","-9999","-9999"
"165","315.126528","315.126580205","315.126788471","692967.6","-9999","679827.5","9.23","-1","-0.660896724","0.923805276","0","0.554283165","9","0.117647059","1.235294118","N2 P1 O2","de-protonated","0","-9999","C17 H21 O2 N2 P1","17","21","2","2","1","-9999","-9999","-9999","-9999"
"166","315.147816","315.147868213","315.147917839","745482","-9999","409372.5","10.08","-1","-0.157470453","0.995510734","0","0.59730644","4","0.285714286","1.785714286","N2 P1 O4","de-protonated","0","-9999","C14 H25 O4 N2 P1","14","25","4","2","1","-9999","-9999","-9999","-9999"
"168","317.033187","317.033239907","317.033282007","1117000.6","-9999","526494.2","16.09","-1","-0.132796113","0.996805301","0","0.598083181","11","0.357142857","0.785714286","N2 P1 O5","de-protonated","0","-9999","C14 H11 O5 N2 P1","14","11","5","2","1","-9999","-9999","-9999","-9999"
"170","317.067513","317.067565919","317.067545716","981964.7","-9999","554653.9","13.9","-1","0.063719636","0.999263555","0","0.599558133","9","0.117647059","1.058823529","S2 O2","de-protonated","0","-9999","C17 H18 O2 S2","17","18","2","-9999","-9999","2","-9999","-9999","-9999"
"172","317.069629","317.06968192","317.069667517","1095245","-9999","589223.7","15.74","-1","0.045426223","0.999625643","0","0.599775386","10","0.266666667","1","N2 P1 O4","de-protonated","0","-9999","C15 H15 O4 N2 P1","15","15","4","2","1","-9999","-9999","-9999","-9999"
"173","317.105949","317.106001933","317.106053026","1188817.3","-9999","567188.3","17.25","-1","-0.161121813","0.995300626","0","0.597180375","9","0.1875","1.1875","N2 P1 O3","de-protonated","0","-9999","C16 H19 O3 N2 P1","16","19","3","2","1","-9999","-9999","-9999","-9999"
"174","317.127049","317.127101941","317.127182394","701907.8","-9999","643382.1","9.31","-1","-0.253693153","0.988389847","0","0.593033908","4","0.384615385","1.769230769","N2 P1 O5","de-protonated","0","-9999","C13 H23 O5 N2 P1","13","23","5","2","1","-9999","-9999","-9999","-9999"
