"Index","Mass","Calibrated_Mass","Calculated_Mass","Peak_Height","Peak_Area","Resolving_Power","S_N","Ion_Charge","Error_ppm","Error_Score","Isotopologue_Similarity","Confidence_Score","DBE","OtoC_ratio","HtoC_ratio","Heteroatom_Class","Ion_Type","Is_Isotopologue","Mono_Isotopic_Index","Molecular_Formula","C","H","O","N","P","S","13C","33S","34S"
"16","236.107198","236.107371541","236.107436206","1608504.1","-9999","672458.3","26.57","-1","-0.273882504","0.986481447","0","0.591888868","1","0.375","2.375","N3 S1 O3","de-protonated","0","-9999","C8 H19 O3 N3 S1","8","19","3","3","-9999","1","-9999","-9999","-9999"
"26","257.079254","257.079419433","257.079563495","570554.3","-9999","972772.6","7.9","-1","-0.560379905","0.944613397","0","0.566768038","0","0.875","2.375","P1 O7","de-protonated","0","-9999","C8 H19 O7 P1","8","19","7","-9999","1","-9999","-9999","-9999","-9999"
"27","257.079632","257.079797433","257.079563495","519226.3","-9999","1002938.8","7.01","-1","0.909981445","0.86049151","0","0.516294906","0","0.875","2.375","P1 O7","de-protonated","0","-9999","C8 H19 O7 P1","8","19","7","-9999","1","-9999","-9999","-9999","-9999"
"33","263.082593","263.082756112","263.082601182","894274.6","-9999","632971.7","13.38","-1","0.58890245","0.93901154","0","0.563406924","12","0.125","0.75","N2 O2","de-protonated","0","-9999","C16 H12 O2 N2","16","12","2","2","-9999","-9999","-9999","-9999","-9999"
"34","265.134644","265.134806319","265.134636756","668855.5","-9999","698934.2","9.44","-1","0.639535011","0.928473513","0","0.557084108","10","0.058823529","1.058823529","N2 O1","de-protonated","0","-9999","C17 H18 O1 N2","17","18","1","2","-9999","-9999","-9999","-9999","-9999"
"38","268.039849","268.040010196","268.039750568","546818.4","-9999","562789.6","7.35","-1","0.968616928","0.843463576","0","0.506078145","7","0.4","1.1","N3 S1 O4","de-protonated","0","-9999","C10 H11 O4 N3 S1","10","11","4","3","-9999","1","-9999","-9999","-9999"
"40","269.035229","269.035389811","269.035650989","533039.9","-9999","819938.6","7.07","-1","-0.970792681","0.842818021","0","0.505690813","16","0.117647059","0.352941176","N2 O2","de-protonated","0","-9999","C17 H6 O2 N2","17","6","2","2","-9999","-9999","-9999","-9999","-9999"
"63","285.1006","285.100754601","285.100967646","572365.9","-9999","782647.2","7.57","-1","-0.747261749","0.903642945","0","0.542185767","5","0.333333333","1.583333333","N2 P1 O4","de-protonated","0","-9999","C12 H19 O4 N2 P1","12","19","4","2","1","-9999","-9999","-9999","-9999"
"66","285.136927","285.137081587","285.137353155","1165009.1","-9999","677672.9","17.48","-1","-0.952412717","0.848241169","0","0.508944702","4","0.230769231","1.769230769","N2 P1 O3","de-protonated","0","-9999","C13 H23 O3 N2 P1","13","23","3","2","1","-9999","-9999","-9999","-9999"
"69","289.038004","289.038157078","289.038367388","601130.7","-9999","746314.4","8","-1","-0.727617434","0.908406006","0","0.545043603","10","0.307692308","0.846153846","N2 P1 O4","de-protonated","0","-9999","C13 H11 O4 N2 P1","13","11","4","2","1","-9999","-9999","-9999","-9999"
