"Index","Mass","Calibrated_Mass","Calculated_Mass","Peak_Height","Peak_Area","Resolving_Power","S_N","Ion_Charge","Error_ppm","Error_Score","Isotopologue_Similarity","Confidence_Score","DBE","OtoC_ratio","HtoC_ratio","Heteroatom_Class","Ion_Type","Is_Isotopologue","Mono_Isotopic_Index","Molecular_Formula","C","H","O","N","P","S","13C","17O","18O","33S","34S"
"3","171.066247","171.066289535","171.066282413","1019542.7","-9999","938058.2","17.04","-1","0.041633144","0.999685541","0","0.599811325","3","0.5","1.5","O4","de-protonated","0","-9999","C8 H12 O4","8","12","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"8","179.035018","179.035057844","179.034982284","618937.6","-9999","1313790.4","9.56","-1","0.422039448","0.968197533","0","0.58091852","6","0.444444444","0.888888889","O4","de-protonated","0","-9999","C9 H8 O4","9","8","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"30","242.175952","242.17597052","242.176167217","577816.6","-9999","809501.7","8.2","-1","-0.812202873","0.887189311","0","0.532313587","2","0.230769231","1.923076923","N1 O3","de-protonated","0","-9999","C13 H25 O3 N1","13","25","3","1","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"31","245.048389","245.04840655","245.048538149","655345.4","-9999","1001811.5","9.53","-1","-0.537029464","0.949015718","0","0.569409431","9","0.166666667","0.916666667","N2 P1 O2","de-protonated","0","-9999","C12 H11 O2 N2 P1","12","11","2","2","1","-9999","-9999","-9999","-9999","-9999","-9999"
"32","245.048729","245.04874655","245.048918271","877873.4","-9999","949643.1","13.45","-1","-0.700761796","0.91475091100000006","0","0.548850547","4","0.5","1.4","S1 O5","de-protonated","0","-9999","C10 H14 O5 S1","10","14","5","-9999","-9999","1","-9999","-9999","-9999","-9999","-9999"
"32","245.048729","245.04874655","245.048538149","877873.4","-9999","949643.1","13.45","-1","0.850450289","0.877011118","0","0.526206671","9","0.166666667","0.916666667","N2 P1 O2","de-protonated","0","-9999","C12 H11 O2 N2 P1","12","11","2","2","1","-9999","-9999","-9999","-9999","-9999","-9999"
"34","249.040236","249.040252202","249.040461587","540609.5","-9999","928602.7","7.47","-1","-0.840767539","0.879620889","0","0.527772534","8","0.5","0.833333333","O6","de-protonated","0","-9999","C12 H10 O6","12","10","6","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"36","249.149416","249.149432165","249.149618115","792977.3","-9999","972808.7","11.9","-1","-0.746338921","0.903868972","0","0.542321383","5","0.2","1.466666667","O3","de-protonated","0","-9999","C15 H22 O3","15","22","3","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"37","251.055888","251.055903522","251.056111652","903329.4","-9999","827949.3","13.78","-1","-0.829019049","0.882757536","0","0.529654521","7","0.5","1","O6","de-protonated","0","-9999","C12 H12 O6","12","12","6","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"40","253.14433","253.144344816","253.144532735","1068226.4","-9999","948253.1","16.66","-1","-0.742337754","0.904846392","0","0.542907835","4","0.285714286","1.571428571","O4","de-protonated","0","-9999","C14 H22 O4","14","22","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"41","255.123655","255.123669148","255.12379729","839498.7","-9999","778667.8","12.61","-1","-0.502274935","0.955256016","0","0.57315361","4","0.384615385","1.538461538","O5","de-protonated","0","-9999","C13 H20 O5","13","20","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"43","257.066435","257.066448492","257.066676336","545252","-9999","673902.6","7.48","-1","-0.886323134","0.867152514","0","0.520291508","5","0.636363636","1.272727273","O7","de-protonated","0","-9999","C11 H14 O7","11","14","7","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"45","257.139228","257.139241467","257.139447355","934605.2","-9999","667563.5","14.22","-1","-0.800683937","0.890185151","0","0.534111091","3","0.384615385","1.692307692","O5","de-protonated","0","-9999","C13 H22 O5","13","22","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"55","265.035156","265.035166801","265.035376207","578064.8","-9999","892193.1","7.96","-1","-0.790107081","0.892907018","0","0.535744211","8","0.583333333","0.833333333","O7","de-protonated","0","-9999","C12 H10 O7","12","10","7","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"55","265.035156","265.035166801","265.035214016","578064.8","-9999","892193.1","7.96","-1","-0.178146129","0.994258085","0","0.596554851","3","0.142857143","2.142857143","N4 S2 P1 O1","de-protonated","0","-9999","C7 H15 O1 N4 P1 S2","7","15","1","4","1","2","-9999","-9999","-9999","-9999","-9999"
