"Index","Mass","Calibrated_Mass","Calculated_Mass","Peak_Height","Peak_Area","Resolving_Power","S_N","Ion_Charge","Error_ppm","Error_Score","Isotopologue_Similarity","Confidence_Score","DBE","OtoC_ratio","HtoC_ratio","Heteroatom_Class","Ion_Type","Is_Isotopologue","Mono_Isotopic_Index","Molecular_Formula","C","H","O","N","P","S","13C","34S"
"6","171.066164","171.066214563","171.066282413","512601.1","-9999","1662820.6","7.59","-1","-0.396627933","0.971859174","0","0.583115505","3","0.5","1.5","O4","de-protonated","0","-9999","C8 H12 O4","8","12","4","-9999","-9999","-9999","-9999","-9999"
"7","171.066337","171.066387563","171.066282413","625681.1","-9999","1356185.1","9.7","-1","0.614676417","0.933740954","0","0.560244572","3","0.5","1.5","O4","de-protonated","0","-9999","C8 H12 O4","8","12","4","-9999","-9999","-9999","-9999","-9999"
"12","189.076859","189.076917435","189.076847097","490669","-9999","1163176.1","7.16","-1","0.372010744","0.975201614","0","0.585120969","2","0.625","1.75","O5","de-protonated","0","-9999","C8 H14 O5","8","14","5","-9999","-9999","-9999","-9999","-9999"
"13","199.061163","199.061225799","199.061197032","658981.3","-9999","1175926.1","10.19","-1","0.144513996","0.996217743","0","0.597730646","4","0.555555556","1.333333333","O5","de-protonated","0","-9999","C9 H12 O5","9","12","5","-9999","-9999","-9999","-9999","-9999"
"14","201.040372","201.040435665","201.040461587","562770.2","-9999","1044891.2","8.39","-1","-0.128943628","0.996987697","0","0.598192618","4","0.75","1.25","O6","de-protonated","0","-9999","C8 H10 O6","8","10","6","-9999","-9999","-9999","-9999","-9999"
"15","201.076785","201.07684868","201.076847097","619109.8","-9999","741688.4","9.43","-1","0.007875991","0.999988745","0","0.599993247","3","0.555555556","1.555555556","O5","de-protonated","0","-9999","C9 H14 O5","9","14","5","-9999","-9999","-9999","-9999","-9999"
"16","203.056063","203.056127546","203.056111652","966289.8","-9999","1047304.2","15.79","-1","0.078272425","0.998888959","0","0.599333375","3","0.75","1.5","O6","de-protonated","0","-9999","C8 H12 O6","8","12","6","-9999","-9999","-9999","-9999","-9999"
"21","213.076773","213.076841926","213.076847097","725436.6","-9999","854800.2","11.22","-1","-0.024269331","0.999893132","0","0.599935879","4","0.5","1.4","O5","de-protonated","0","-9999","C10 H14 O5","10","14","5","-9999","-9999","-9999","-9999","-9999"
"22","213.113119","213.113187941","213.113232606","519777.5","-9999","1360572","7.48","-1","-0.209581993","0.992061614","0","0.595236968","3","0.363636364","1.636363636","O4","de-protonated","0","-9999","C11 H18 O4","11","18","4","-9999","-9999","-9999","-9999","-9999"
"24","215.056041","215.056110791","215.056111652","629070.8","-9999","875905.1","9.44","-1","-0.004004639","0.99999709","0","0.599998254","4","0.666666667","1.333333333","O6","de-protonated","0","-9999","C9 H12 O6","9","12","6","-9999","-9999","-9999","-9999","-9999"
