"Index","Mass","Calibrated_Mass","Calculated_Mass","Peak_Height","Peak_Area","Resolving_Power","S_N","Ion_Charge","Error_ppm","Error_Score","Isotopologue_Similarity","Confidence_Score","DBE","OtoC_ratio","HtoC_ratio","Heteroatom_Class","Ion_Type","Is_Isotopologue","Mono_Isotopic_Index","Molecular_Formula","C","H","O","N","P","S","13C","15N","17O","18O","33S","34S"
"5","163.016402","163.016496299","163.016569314","659486.6","-9999","1023100.4","10.31","-1","-0.447904779","0.964252588","0","0.578551553","2","0.8","1.8","P1 O4","de-protonated","0","-9999","C5 H9 O4 P1","5","9","4","-9999","1","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"7","165.019321","165.019414695","165.019332219","1288742.1","-9999","789973.7","22.06","-1","0.499791294","0.955687493","0","0.573412496","6","0.5","0.75","O4","de-protonated","0","-9999","C8 H6 O4","8","6","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"8","171.066056","171.066147871","171.066282413","996265","-9999","1473627.7","16.6","-1","-0.786487888","0.893831965","0","0.536299179","3","0.5","1.5","O4","de-protonated","0","-9999","C8 H12 O4","8","12","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"9","171.066286","171.066377871","171.066282413","1156225","-9999","1165966.9","19.59","-1","0.558019793","0.94506592","0","0.567039552","3","0.5","1.5","O4","de-protonated","0","-9999","C8 H12 O4","8","12","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"25","209.154625","209.154705385","209.154703496","801034.5","-9999","1112839.7","12.62","-1","0.009034457","0.99998519","0","0.599991114","3","0.153846154","1.692307692","O2","de-protonated","0","-9999","C13 H22 O2","13","22","2","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"39","220.01842","220.018497109","220.0186212","937491.4","-9999","769856.1","14.91","-1","-0.564000623","0.943915878","0","0.566349527","8","0.222222222","0.777777778","N3 S1 O2","de-protonated","0","-9999","C9 H7 O2 N3 S1","9","7","2","3","-9999","1","-9999","-9999","-9999","-9999","-9999","-9999"
"49","221.15463","221.154706767","221.154703496","1038526.8","-9999","954717.8","16.73","-1","0.014790436","0.999960308","0","0.599976185","4","0.142857143","1.571428571","O2","de-protonated","0","-9999","C14 H22 O2","14","22","2","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"54","239.128767","239.128838347","239.128882671","1228761.3","-9999","978145.1","19.75","-1","-0.185355449","0.993785423","0","0.596271254","4","0.307692308","1.538461538","O4","de-protonated","0","-9999","C13 H20 O4","13","20","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"55","241.144398","241.144468739","241.144532735","528438.8","-9999","775757.3","7.32","-1","-0.265384905","0.987302032","0","0.592381219","3","0.307692308","1.692307692","O4","de-protonated","0","-9999","C13 H22 O4","13","22","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"56","242.176021","242.176091428","242.176167217","3010104","-9999","791822.5","51.13","-1","-0.312948866","0.982386426","0","0.589431856","2","0.230769231","1.923076923","N1 O3","de-protonated","0","-9999","C13 H25 O3 N1","13","25","3","1","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"57","247.110509","247.11057794","247.110469701","1078057.4","-9999","763370.8","16.89","-1","0.438017049","0.965786434","0","0.579471861","2","0.363636364","1.909090909","P1 O4","de-protonated","0","-9999","C11 H21 O4 P1","11","21","4","-9999","1","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"59","250.144732","250.144800025","250.144867088","547430.1","-9999","894330.9","7.55","-1","-0.268095915","0.987042974","0","0.592225784","5","0.214285714","1.5","N1 O3","de-protonated","0","-9999","C14 H21 O3 N1","14","21","3","1","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"60","253.144382","253.14444912","253.144532735","4077964","-9999","797978.2","69.24","-1","-0.330304338","0.971414977","0.994791134","0.98076544","4","0.285714286","1.571428571","O4","de-protonated","0","-9999","C14 H22 O4","14","22","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"61","254.147704","254.147770818","254.14788757","589492.6","-9999","578973.6","8.25","-1","-0.459387493","0.962431521","0.994791134","0.975375366","4","0.285714286","1.571428571","13C1 O4","de-protonated","1","60","C13 H22 O4 13C1","13","22","4","-9999","-9999","-9999","1","-9999","-9999","-9999","-9999","-9999"
"62","255.123614","255.123680523","255.12379729","805143.1","-9999","888421.7","12","-1","-0.457686385","0.962703992","0","0.577622395","4","0.384615385","1.538461538","O5","de-protonated","0","-9999","C13 H20 O5","13","20","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"63","257.139311","257.139376916","257.139447355","565980.9","-9999","869867.4","7.8","-1","-0.273933022","0.986476493","0","0.591885896","3","0.384615385","1.692307692","O5","de-protonated","0","-9999","C13 H22 O5","13","22","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"64","258.981744","258.98180936","258.981901338","543618.3","-9999","964452.6","7.41","-1","-0.355152714","0.977373166","0","0.5864239","11","0.363636364","0.363636364","N2 S1 O4","de-protonated","0","-9999","C11 H4 O4 N2 S1","11","4","4","2","-9999","1","-9999","-9999","-9999","-9999","-9999","-9999"
"66","259.118596","259.118661319","259.11871191","546099","-9999","762095.6","7.45","-1","-0.195242376","0.993107117","0","0.59586427","3","0.5","1.666666667","O6","de-protonated","0","-9999","C12 H20 O6","12","20","6","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"70","262.975817","262.975881156","262.975967805","1789394.5","-9999","640764.2","28.9","-1","-0.32949378","0.980493576","0","0.588296145","9","0.083333333","0.75","S2 P1 O1","de-protonated","0","-9999","C12 H9 O1 P1 S2","12","9","1","-9999","1","2","-9999","-9999","-9999","-9999","-9999","-9999"
"73","265.147408","265.147471501","265.147523916","3009341","-9999","850015.7","49.77","-1","-0.19768268","0.992934348","0","0.595760609","5","0.071428571","1.642857143","N2 P1 O1","de-protonated","0","-9999","C14 H23 O1 N2 P1","14","23","1","2","1","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"74","265.147742","265.147805501","265.147904038","6602045","-9999","735102","111.58","-1","-0.371632935","0.97106367","0.993494215","0.980035888","0","0.333333333","2.166666667","S1 O4","de-protonated","0","-9999","C12 H26 O4 S1","12","26","4","-9999","-9999","1","-9999","-9999","-9999","-9999","-9999","-9999"
"76","266.151081","266.151144198","266.151258873","912101.3","-9999","630265.1","13.68","-1","-0.430865227","0.96687601","0.993494215","0.977523292","0","0.333333333","2.166666667","13C1 S1 O4","de-protonated","1","74","C11 H26 O4 S1 13C1","11","26","4","-9999","-9999","1","1","-9999","-9999","-9999","-9999","-9999"
"76","266.151081","266.151144198","266.151015097","912101.3","-9999","630265.1","13.68","-1","0.48506889","0.958205137","0","0.574923082","5","0.230769231","1.615384615","N3 O3","de-protonated","0","-9999","C13 H21 O3 N3","13","21","3","3","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"78","267.087219","267.087281916","267.087411781","628484.6","-9999","927716.7","8.8","-1","-0.486226535","0.958009661","0","0.574805796","6","0.461538462","1.230769231","O6","de-protonated","0","-9999","C13 H16 O6","13","16","6","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"82","269.131021","269.131083299","269.131205146","3531469.5","-9999","701400.8","58.5","-1","-0.452740585","0.956623806","0.982435479","0.966948475","4","0.214285714","1.642857143","P1 O3","de-protonated","0","-9999","C14 H23 O3 P1","14","23","3","-9999","1","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"83","269.139261","269.139323297","269.139447355","3510478.3","-9999","685536.6","58.14","-1","-0.460941699","0.963736602","0.970250369","0.966342109","4","0.357142857","1.571428571","O5","de-protonated","0","-9999","C14 H22 O5","14","22","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"84","270.134354","270.134415997","270.134559981","618668.8","-9999","651264.1","8.59","-1","-0.53300935","0.949756746","0.982435479","0.962828239","4","0.214285714","1.642857143","13C1 P1 O3","de-protonated","1","82","C13 H23 O3 P1 13C1","13","23","3","-9999","1","-9999","1","-9999","-9999","-9999","-9999","-9999"
"85","270.142621","270.142682994","270.14280219","674925.5","-9999","864275.9","9.55","-1","-0.441230446","0.965291441","0.970250369","0.967275012","4","0.357142857","1.571428571","13C1 O5","de-protonated","1","83","C13 H22 O5 13C1","13","22","5","-9999","-9999","-9999","1","-9999","-9999","-9999","-9999","-9999"
"95","272.027001","272.027062426","272.027074428","534266.8","-9999","470854.8","7.14","-1","-0.044119681","0.999646864","0","0.599788118","15","0.058823529","0.470588235","N1 P1 O1","de-protonated","0","-9999","C17 H8 O1 N1 P1","17","8","1","1","1","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"95","272.027001","272.027062426","272.026803102","534266.8","-9999","470854.8","7.14","-1","0.953304635","0.847979598","0","0.508787759","1","0.857142857","2.142857143","N1 S2 O6","de-protonated","0","-9999","C7 H15 O6 N1 S2","7","15","6","1","-9999","2","-9999","-9999","-9999","-9999","-9999","-9999"
"101","277.071562","277.071621905","277.071761716","530250.3","-9999","788436.3","7.03","-1","-0.504603298","0.954849752","0","0.572909851","8","0.428571429","1","O6","de-protonated","0","-9999","C14 H14 O6","14","14","6","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"102","277.144328","277.144387883","277.144532735","670672.3","-9999","700329.7","9.43","-1","-0.522658579","0.951641683","0","0.57098501","6","0.25","1.375","O4","de-protonated","0","-9999","C16 H22 O4","16","22","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"104","279.163341","279.163400274","279.163554103","720433.1","-9999","646620","10.23","-1","-0.55103391","0.946395441","0","0.567837265","0","0.307692308","2.153846154","S1 O4","de-protonated","0","-9999","C13 H28 O4 S1","13","28","4","-9999","-9999","1","-9999","-9999","-9999","-9999","-9999","-9999"
"104","279.163341","279.163400274","279.16317398","720433.1","-9999","646620","10.23","-1","0.810615283","0.88760415","0","0.53256249","5","0.066666667","1.666666667","N2 P1 O1","de-protonated","0","-9999","C15 H25 O1 N2 P1","15","25","1","2","1","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"105","283.045776","283.045834103","283.045940891","584150.9","-9999","897644.7","7.87","-1","-0.377279887","0.974503249","0","0.584701949","7","0.666666667","1","O8","de-protonated","0","-9999","C12 H12 O8","12","12","8","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"105","283.045776","283.045834103","283.0457787","584150.9","-9999","897644.7","7.87","-1","0.195741444","0.993071956","0","0.595843174","2","0.285714286","2.428571429","N4 S2 P1 O2","de-protonated","0","-9999","C7 H17 O2 N4 P1 S2","7","17","2","4","1","2","-9999","-9999","-9999","-9999","-9999","-9999"
"106","283.082075","283.082133093","283.0823264","537561.6","-9999","834243.8","7.09","-1","-0.68286791","0.918869582","0","0.551321749","6","0.538461538","1.230769231","O7","de-protonated","0","-9999","C13 H16 O7","13","16","7","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"107","283.118521","283.118579082","283.11871191","638940.3","-9999","932035.5","8.8","-1","-0.469160714","0.960848056","0","0.576508834","5","0.428571429","1.428571429","O6","de-protonated","0","-9999","C14 H20 O6","14","20","6","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"112","285.125901","285.125958476","285.126119766","14794733","-9999","595350.4","248.21","-1","-0.56567766","0.936244098","0.998939681","0.961322331","4","0.285714286","1.642857143","P1 O4","de-protonated","0","-9999","C14 H23 O4 P1","14","23","4","-9999","1","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"113","285.134101","285.134158474","285.134361974","1173869.8","-9999","709284.2","17.84","-1","-0.713700157","0.911718372","0","0.547031023","4","0.428571429","1.571428571","O6","de-protonated","0","-9999","C14 H22 O6","14","22","6","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"114","286.129235","286.129292174","286.129474601","2261044.3","-9999","568765.2","36.23","-1","-0.637568373","0.928896739","0.998939681","0.956913916","4","0.285714286","1.642857143","13C1 P1 O4","de-protonated","1","112","C13 H23 O4 P1 13C1","13","23","4","-9999","1","-9999","1","-9999","-9999","-9999","-9999","-9999"
"115","287.105271","287.105327879","287.105384321","673912.4","-9999","851429.7","9.34","-1","-0.196587986","0.993012112","0","0.595807267","4","0.384615385","1.615384615","P1 O5","de-protonated","0","-9999","C13 H21 O5 P1","13","21","5","-9999","1","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"117","289.120959","289.121015271","289.121034385","2373891","-9999","628539.9","37.96","-1","-0.066109904","0.999207289","0","0.599524374","3","0.384615385","1.769230769","P1 O5","de-protonated","0","-9999","C13 H23 O5 P1","13","23","5","-9999","1","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"118","289.129092","289.129148269","289.129276594","809667.5","-9999","576162.5","11.63","-1","-0.443831589","0.964888298","0","0.578932979","3","0.538461538","1.692307692","O7","de-protonated","0","-9999","C13 H22 O7","13","22","7","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"120","292.982362","292.982417107","292.982509737","846213.6","-9999","802271.3","12.18","-1","-0.316160536","0.982026334","0","0.5892158","5","0.5","1.375","N2 S2 P1 O4","de-protonated","0","-9999","C8 H11 O4 N2 P1 S2","8","11","4","2","1","2","-9999","-9999","-9999","-9999","-9999","-9999"
"122","293.066377","293.066432082","293.066676336","565259.2","-9999","503993","7.47","-1","-0.833442291","0.881580478","0","0.528948287","8","0.5","1","O7","de-protonated","0","-9999","C14 H14 O7","14","14","7","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"122","293.066377","293.066432082","293.066514145","565259.2","-9999","503993","7.47","-1","-0.280014359","0.98587369","0","0.591524214","3","0.111111111","2.111111111","N4 S2 P1 O1","de-protonated","0","-9999","C9 H19 O1 N4 P1 S2","9","19","1","4","1","2","-9999","-9999","-9999","-9999","-9999","-9999"
"123","293.102816","293.102871071","293.103061845","546445.6","-9999","866561.7","7.16","-1","-0.650878566","0.926010737","0","0.555606442","7","0.4","1.2","O6","de-protonated","0","-9999","C15 H18 O6","15","18","6","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"124","293.170926","293.17098105","293.170961959","998418.1","-9999","510288.8","14.73","-1","0.06512047","0.999230831","0","0.599538499","0","0.142857143","2.214285714","S1 P1 O2","de-protonated","0","-9999","C14 H31 O2 P1 S1","14","31","2","-9999","1","1","-9999","-9999","-9999","-9999","-9999","-9999"
"127","293.175586","293.175641049","293.175832864","24298002","-9999","553278.5","405.12","-1","-0.654266563","0.93016433","0.997909892","0.957262555","5","0.235294118","1.529411765","O4","de-protonated","0","-9999","C17 H26 O4","17","26","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"129","293.178589","293.178644048","293.178824045","1939986.6","-9999","695852.2","30.51","-1","-0.613949014","0.933892383","0","0.56033543","5","0.0625","1.6875","N2 P1 O1","de-protonated","0","-9999","C16 H27 O1 N2 P1","16","27","1","2","1","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"130","293.178984","293.179039048","293.179204167","3313170.5","-9999","578113.4","53.51","-1","-0.563203279","0.472034913","0.86849267","0.630618015","0","0.285714286","2.142857143","S1 O4","de-protonated","0","-9999","C14 H30 O4 S1","14","30","4","-9999","-9999","1","-9999","-9999","-9999","-9999","-9999","-9999"
"130","293.178984","293.179039048","293.178824045","3313170.5","-9999","578113.4","53.51","-1","0.733351161","0.453513158","0.85247738","0.613098847","5","0.0625","1.6875","N2 P1 O1","de-protonated","0","-9999","C16 H27 O1 N2 P1","16","27","1","2","1","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"132","294.178954","294.179008746","294.179187699","4538964.5","-9999","596695.6","74.05","-1","-0.608312177","0.935060595","0.997909892","0.960200314","5","0.235294118","1.529411765","13C1 O4","de-protonated","1","127","C16 H26 O4 13C1","16","26","4","-9999","-9999","-9999","1","-9999","-9999","-9999","-9999","-9999"
"133","294.183924","294.183978745","294.183968996","941140.8","-9999","659282.1","13.77","-1","0.033139193","0.999800752","0","0.599880451","0","0.307692308","2.307692308","N1 P1 O4","de-protonated","0","-9999","C13 H30 O4 N1 P1","13","30","4","1","1","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"134","295.082157","295.082211474","295.0823264","607375.8","-9999","784543.9","8.18","-1","-0.389472613","0.972851573","0","0.583710944","7","0.5","1.142857143","O7","de-protonated","0","-9999","C14 H16 O7","14","16","7","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"134","295.082157","295.082211474","295.082164209","607375.8","-9999","784543.9","8.18","-1","0.160175203","0.995355554","0","0.597213332","2","0.111111111","2.333333333","N4 S2 P1 O1","de-protonated","0","-9999","C9 H21 O1 N4 P1 S2","9","21","1","4","1","2","-9999","-9999","-9999","-9999","-9999","-9999"
"135","295.095176","295.09523047","295.09521356","546448.6","-9999","969806.3","7.15","-1","0.057303605","0.999404354","0","0.599642612","2","0.636363636","1.909090909","P1 O7","de-protonated","0","-9999","C11 H21 O7 P1","11","21","7","-9999","1","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
