"Index","Mass","Calibrated_Mass","Calculated_Mass","Peak_Height","Peak_Area","Resolving_Power","S_N","Ion_Charge","Error_ppm","Error_Score","Isotopologue_Similarity","Confidence_Score","DBE","OtoC_ratio","HtoC_ratio","Heteroatom_Class","Ion_Type","Is_Isotopologue","Mono_Isotopic_Index","Molecular_Formula","C","H","O","N","P","S","13C","15N","17O","18O","33S","34S"
"1","165.019212","165.019229317","165.019332219","554087.1","-9999","1382180.2","8.36","-1","-0.623579174","0.931875087","0","0.559125052","6","0.5","0.75","O4","de-protonated","0","-9999","C8 H6 O4","8","6","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"2","165.019361","165.019378317","165.019332219","898161.1","-9999","1310559.9","14.79","-1","0.279344876","0.985940682","0","0.591564409","6","0.5","0.75","O4","de-protonated","0","-9999","C8 H6 O4","8","6","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"5","171.066274","171.066288223","171.066282413","685313.4","-9999","850358.3","10.81","-1","0.033966026","0.999790686","0","0.599874412","3","0.5","1.5","O4","de-protonated","0","-9999","C8 H12 O4","8","12","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"9","179.034886","179.034896147","179.034982284","482725.2","-9999","1118567","7.03","-1","-0.481119522","0.958868807","0","0.575321284","6","0.444444444","0.888888889","O4","de-protonated","0","-9999","C9 H8 O4","9","8","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"15","199.061164","199.061163902","199.061197032","702632.8","-9999","1006520.8","11","-1","-0.166435097","0.994986365","0","0.596991819","4","0.555555556","1.333333333","O5","de-protonated","0","-9999","C9 H12 O5","9","12","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"23","242.176018","242.175995845","242.176167217","783683.9","-9999","900065.8","11.87","-1","-0.707632681","0.913146142","0","0.547887685","2","0.230769231","1.923076923","N1 O3","de-protonated","0","-9999","C13 H25 O3 N1","13","25","3","1","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"24","253.144358","253.144330234","253.144532735","872085.9","-9999","791600.4","13.28","-1","-0.799943842","0.890376514","0","0.534225909","4","0.285714286","1.571428571","O4","de-protonated","0","-9999","C14 H22 O4","14","22","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"27","257.139235","257.13920519","257.139447355","584105.8","-9999","784118.3","8.16","-1","-0.941764027","0.851351344","0","0.510810807","3","0.384615385","1.692307692","O5","de-protonated","0","-9999","C13 H22 O5","13","22","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"34","265.147416","265.147382093","265.147523916","1032790.5","-9999","713580.1","15.85","-1","-0.534882389","0.949412109","0","0.569647265","5","0.071428571","1.642857143","N2 P1 O1","de-protonated","0","-9999","C14 H23 O1 N2 P1","14","23","1","2","1","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"35","265.147715","265.147681093","265.147904038","2630934.5","-9999","727046.5","43.51","-1","-0.840834156","0.87960301","0","0.527761806","0","0.333333333","2.166666667","S1 O4","de-protonated","0","-9999","C12 H26 O4 S1","12","26","4","-9999","-9999","1","-9999","-9999","-9999","-9999","-9999","-9999"
