"Index","Mass","Calibrated_Mass","Calculated_Mass","Peak_Height","Peak_Area","Resolving_Power","S_N","Ion_Charge","Error_ppm","Error_Score","Isotopologue_Similarity","Confidence_Score","DBE","OtoC_ratio","HtoC_ratio","Heteroatom_Class","Ion_Type","Is_Isotopologue","Mono_Isotopic_Index","Molecular_Formula","C","H","O","N","P","S","13C","17O","18O","33S","34S"
"4","165.019227","165.019276603","165.019332219","488369.6","-9999","1090391","7.14","-1","-0.337030581","0.979600262","0","0.587760157","6","0.5","0.75","O4","de-protonated","0","-9999","C8 H6 O4","8","6","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"7","171.066231","171.066278243","171.066282413","1007266.8","-9999","1120870.7","16.84","-1","-0.024376928","0.999892183","0","0.59993531","3","0.5","1.5","O4","de-protonated","0","-9999","C8 H12 O4","8","12","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"8","179.034899","179.034943132","179.034982284","586905.3","-9999","1311743.5","8.98","-1","-0.218679608","0.991360521","0","0.594816312","6","0.444444444","0.888888889","O4","de-protonated","0","-9999","C9 H8 O4","9","8","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"24","253.144295","253.144310208","253.144532735","1013799.7","-9999","950413.4","15.74","-1","-0.879052022","0.869174569","0","0.521504741","4","0.285714286","1.571428571","O4","de-protonated","0","-9999","C14 H22 O4","14","22","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"29","257.139186","257.139199649","257.139447355","663013.1","-9999","701259.7","9.52","-1","-0.963313801","0.845033026","0","0.507019815","3","0.384615385","1.692307692","O5","de-protonated","0","-9999","C13 H22 O5","13","22","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"41","265.147613","265.147623523","265.147523916","6141072.5","-9999","594874.1","104.15","-1","0.37566681","0.971162801","0.994783499","0.98061108","5","0.071428571","1.642857143","N2 P1 O1","de-protonated","0","-9999","C14 H23 O1 N2 P1","14","23","1","2","1","-9999","-9999","-9999","-9999","-9999","-9999"
"44","266.150982","266.150992131","266.150878751","887665.1","-9999","908887.2","13.32","-1","0.426000631","0.967607568","0.994783499","0.97847794","5","0.071428571","1.642857143","13C1 N2 P1 O1","de-protonated","1","41","C13 H23 O1 N2 P1 13C1","13","23","1","2","1","-9999","1","-9999","-9999","-9999","-9999"
"44","266.150982","266.150992131","266.151015097","887665.1","-9999","908887.2","13.32","-1","-0.086286267","0.998649969","0","0.599189981","5","0.230769231","1.615384615","N3 O3","de-protonated","0","-9999","C13 H21 O3 N3","13","21","3","3","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"59","279.163226","279.163231053","279.16317398","1040133.2","-9999","752751.3","15.78","-1","0.204441038","0.99244482999999994","0","0.595466898","5","0.066666667","1.666666667","N2 P1 O1","de-protonated","0","-9999","C15 H25 O1 N2 P1","15","25","1","2","1","-9999","-9999","-9999","-9999","-9999","-9999"
"60","281.066374","281.06637831","281.066514145","570755.7","-9999","963600.3","7.74","-1","-0.483282986","0.958505864","0","0.575103518","2","0.125","2.375","N4 S2 P1 O1","de-protonated","0","-9999","C8 H19 O1 N4 P1 S2","8","19","1","4","1","2","-9999","-9999","-9999","-9999","-9999"
"61","283.045624","283.045627537","283.0457787","532993.9","-9999","733622.8","7.07","-1","-0.534055907","0.949564314","0","0.569738588","2","0.285714286","2.428571429","N4 S2 P1 O2","de-protonated","0","-9999","C7 H17 O2 N4 P1 S2","7","17","2","4","1","2","-9999","-9999","-9999","-9999","-9999"
"67","286.983205","286.983207001","286.983340633","592495.5","-9999","554752.2","8.05","-1","-0.4656458","0.961421082","0","0.576852649","12","0.615384615","0.307692308","O8","de-protonated","0","-9999","C13 H4 O8","13","4","8","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"67","286.983205","286.983207001","286.983178442","592495.5","-9999","554752.2","8.05","-1","0.099513648","0.998204733","0","0.59892284","7","0.25","1.125","N4 S2 P1 O2","de-protonated","0","-9999","C8 H9 O2 N4 P1 S2","8","9","2","4","1","2","-9999","-9999","-9999","-9999","-9999"
"68","293.066294","293.066293626","293.066514145","618501.2","-9999","721549.1","8.45","-1","-0.752451029","0.902367801","0","0.541420681","3","0.111111111","2.111111111","N4 S2 P1 O1","de-protonated","0","-9999","C9 H19 O1 N4 P1 S2","9","19","1","4","1","2","-9999","-9999","-9999","-9999","-9999"
"71","293.178838","293.17883758200003","293.178824045","2661451.3","-9999","618866.4","43.02","-1","0.046175553","0.999613193","0","0.599767916","5","0.0625","1.6875","N2 P1 O1","de-protonated","0","-9999","C16 H27 O1 N2 P1","16","27","1","2","1","-9999","-9999","-9999","-9999","-9999","-9999"
"74","298.155904","298.15590164","298.156100477","611287.4","-9999","469321","8.29","-1","-0.666889058","0.922472538","0","0.553483523","9","0.117647059","1.235294118","N3 O2","de-protonated","0","-9999","C17 H21 O2 N3","17","21","2","3","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"86","307.082006","307.082000156","307.082164209","571841.3","-9999","738012.1","7.56","-1","-0.534231464","0.949532001","0","0.569719201","3","0.1","2.1","N4 S2 P1 O1","de-protonated","0","-9999","C10 H21 O1 N4 P1 S2","10","21","1","4","1","2","-9999","-9999","-9999","-9999","-9999"
"87","307.194444","307.194438112","307.194474109","1495367.8","-9999","514326.6","22.99","-1","-0.117179902","0.997511606","0","0.598506963","5","0.058823529","1.705882353","N2 P1 O1","de-protonated","0","-9999","C17 H29 O1 N2 P1","17","29","1","2","1","-9999","-9999","-9999","-9999","-9999","-9999"
"88","309.061173","309.061166384","309.061428764","553524.3","-9999","692210.2","7.25","-1","-0.848959149","0.877414461","0","0.526448677","3","0.222222222","2.111111111","N4 S2 P1 O2","de-protonated","0","-9999","C9 H19 O2 N4 P1 S2","9","19","2","4","1","2","-9999","-9999","-9999","-9999","-9999"
"89","309.173657","309.17365034","309.173738664","1512634.9","-9999","574444.3","23.28","-1","-0.285679534","0.985300572","0","0.591180343","5","0.125","1.6875","N2 P1 O2","de-protonated","0","-9999","C16 H27 O2 N2 P1","16","27","2","2","1","-9999","-9999","-9999","-9999","-9999","-9999"
"91","311.040521","311.040513611","311.040693319","550186.9","-9999","726560.3","7.19","-1","-0.577764181","0.941228211","0","0.564736927","3","0.375","2.125","N4 S2 P1 O3","de-protonated","0","-9999","C8 H17 O3 N4 P1 S2","8","17","3","4","1","2","-9999","-9999","-9999","-9999","-9999"
"94","312.171553","312.17154517","312.171750541","3120752.5","-9999","509314.8","49.92","-1","-0.657880701","0.462236116","0.837042051","0.61215849","9","0.111111111","1.277777778","N3 O2","de-protonated","0","-9999","C18 H23 O2 N3","18","23","2","3","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
