"Index","Mass","Calibrated_Mass","Calculated_Mass","Peak_Height","Peak_Area","Resolving_Power","S_N","Ion_Charge","Error_ppm","Error_Score","Isotopologue_Similarity","Confidence_Score","DBE","OtoC_ratio","HtoC_ratio","Heteroatom_Class","Ion_Type","Is_Isotopologue","Mono_Isotopic_Index","Molecular_Formula","C","H","O","N","P","S","13C","15N","17O","18O","33S","34S"
"4","171.066219","171.066275193","171.066282413","526839.4","-9999","1289182.2","7.85","-1","-0.042204779","0.999676848","0","0.599806109","3","0.5","1.5","O4","de-protonated","0","-9999","C8 H12 O4","8","12","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"10","179.034888","179.034943422","179.034982284","890986.6","-9999","1207726.1","14.66","-1","-0.217065374","0.991487056","0","0.594892234","6","0.444444444","0.888888889","O4","de-protonated","0","-9999","C9 H8 O4","9","8","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"29","231.021753","231.021803389","231.021654695","517641.3","-9999","811164.3","7.24","-1","0.643636967","0.92758719","0","0.556552314","9","0.25","0.75","P1 O3","de-protonated","0","-9999","C12 H9 O3 P1","12","9","3","-9999","1","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"30","233.031648","233.031698194","233.031628237","1156108.6","-9999","872369.9","18.63","-1","0.300205304","0.98378024","0","0.590268144","9","0.444444444","0.666666667","N4 O4","de-protonated","0","-9999","C9 H6 O4 N4","9","6","4","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"31","242.175926","242.175975309","242.176167217","1020801.6","-9999","749815.1","16.04","-1","-0.792428859","0.892311919","0","0.535387151","2","0.230769231","1.923076923","N1 O3","de-protonated","0","-9999","C13 H25 O3 N1","13","25","3","1","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"32","249.149357","249.149405634","249.149618115","513865.9","-9999","788001.2","7.01","-1","-0.852826197","0.876367372","0","0.525820423","5","0.2","1.466666667","O3","de-protonated","0","-9999","C15 H22 O3","15","22","3","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"35","253.144265","253.144313247","253.144532735","1011943.3","-9999","544507.5","15.69","-1","-0.86704466","0.872487429","0","0.523492457","4","0.285714286","1.571428571","O4","de-protonated","0","-9999","C14 H22 O4","14","22","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"43","262.975671","262.975718296","262.975967805","1227333.4","-9999","619002.4","19.26","-1","-0.948789575","0.84930203","0","0.509581218","9","0.083333333","0.75","S2 P1 O1","de-protonated","0","-9999","C12 H9 O1 P1 S2","12","9","1","-9999","1","2","-9999","-9999","-9999","-9999","-9999","-9999"
"47","262.994564","262.994611294","262.994574022","621703.6","-9999","926779.9","8.76","-1","0.14171929","0.996362352","0","0.597817411","10","0.7","0.4","N2 O7","de-protonated","0","-9999","C10 H4 O7 N2","10","4","7","2","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"55","265.147569","265.147616085","265.147523916","5441718","-9999","613210.3","92.02","-1","0.347616349","0.489156442","0.86849267","0.640890933","5","0.071428571","1.642857143","N2 P1 O1","de-protonated","0","-9999","C14 H23 O1 N2 P1","14","23","1","2","1","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
