"Index","Mass","Calibrated_Mass","Calculated_Mass","Peak_Height","Peak_Area","Resolving_Power","S_N","Ion_Charge","Error_ppm","Error_Score","Isotopologue_Similarity","Confidence_Score","DBE","OtoC_ratio","HtoC_ratio","Heteroatom_Class","Ion_Type","Is_Isotopologue","Mono_Isotopic_Index","Molecular_Formula","C","H","O","N","P","S","13C","33S","34S"
"5","165.019244","165.019422107","165.019332219","501863.1","-9999","1255195.6","7.39","-1","0.544709507","0.947586211","0","0.568551727","6","0.5","0.75","O4","de-protonated","0","-9999","C8 H6 O4","8","6","4","-9999","-9999","-9999","-9999","-9999","-9999"
"8","171.06617","171.066341773","171.066282413","497941.7","-9999","1508043.7","7.32","-1","0.347000444","0.97838883","0","0.587033298","3","0.5","1.5","O4","de-protonated","0","-9999","C8 H12 O4","8","12","4","-9999","-9999","-9999","-9999","-9999","-9999"
"12","185.081824","185.081981091","185.081932477","486158.1","-9999","995054.6","7.09","-1","0.262663382","0.987559513","0","0.592535708","3","0.444444444","1.555555556","O4","de-protonated","0","-9999","C9 H14 O4","9","14","4","-9999","-9999","-9999","-9999","-9999","-9999"
"13","187.061051","187.061206018","187.061197032","846965.3","-9999","1037693.7","13.83","-1","0.04803722","0.999581381","0","0.599748829","3","0.625","1.5","O5","de-protonated","0","-9999","C8 H12 O5","8","12","5","-9999","-9999","-9999","-9999","-9999","-9999"
"14","187.097425","187.09757998","187.097582542","533782.6","-9999","1177559.7","7.98","-1","-0.013690994","0.999965989","0","0.599979594","2","0.444444444","1.777777778","O4","de-protonated","0","-9999","C9 H16 O4","9","16","4","-9999","-9999","-9999","-9999","-9999","-9999"
"15","189.076707","189.076859907","189.076847097","484441.1","-9999","1393737","7.04","-1","0.067750464","0.999167475","0","0.599500485","2","0.625","1.75","O5","de-protonated","0","-9999","C8 H14 O5","8","14","5","-9999","-9999","-9999","-9999","-9999","-9999"
"20","199.061042","199.061184448","199.061197032","716893.6","-9999","1093549.5","11.26","-1","-0.063217077","0.999275122","0","0.599565073","4","0.555555556","1.333333333","O5","de-protonated","0","-9999","C9 H12 O5","9","12","5","-9999","-9999","-9999","-9999","-9999","-9999"
"23","201.076675","201.076815337","201.076847097","780929.4","-9999","932606.4","12.42","-1","-0.157949058","0.995483466","0","0.597290079","3","0.555555556","1.555555556","O5","de-protonated","0","-9999","C9 H14 O5","9","14","5","-9999","-9999","-9999","-9999","-9999","-9999"
"24","203.055959","203.056097264","203.056111652","535184.8","-9999","1050287.5","7.86","-1","-0.070858761","0.999089368","0","0.599453621","3","0.75","1.5","O6","de-protonated","0","-9999","C8 H12 O6","8","12","6","-9999","-9999","-9999","-9999","-9999","-9999"
"30","213.07665","213.076777767","213.076847097","723310.3","-9999","1064906.3","11.19","-1","-0.325374856","0.980973577","0","0.588584146","4","0.5","1.4","O5","de-protonated","0","-9999","C10 H14 O5","10","14","5","-9999","-9999","-9999","-9999","-9999","-9999"
"35","215.055892","215.056017694","215.056111652","1022756.4","-9999","1096465.4","16.6","-1","-0.436900909","0.965957577","0","0.579574546","4","0.666666667","1.333333333","O6","de-protonated","0","-9999","C9 H12 O6","9","12","6","-9999","-9999","-9999","-9999","-9999","-9999"
"37","215.092296","215.092421656","215.092497161","983721.6","-9999","933372.5","15.89","-1","-0.35103825","0.97788859","0","0.586733154","3","0.5","1.6","O5","de-protonated","0","-9999","C10 H16 O5","10","16","5","-9999","-9999","-9999","-9999","-9999","-9999"
"38","217.071565","217.071688582","217.071761716","1218952.3","-9999","911208.8","20.1","-1","-0.336912012","0.979614466","0","0.58776868","3","0.666666667","1.555555556","O6","de-protonated","0","-9999","C9 H14 O6","9","14","6","-9999","-9999","-9999","-9999","-9999","-9999"
"39","217.107929","217.108052544","217.108147226","630157.6","-9999","1019507.9","9.43","-1","-0.43610305","0.966079668","0","0.579647801","2","0.5","1.8","O5","de-protonated","0","-9999","C10 H18 O5","10","18","5","-9999","-9999","-9999","-9999","-9999","-9999"
"40","219.087161","219.087282471","219.087411781","1399731.8","-9999","741824.9","23.31","-1","-0.590220478","0.938746783","0","0.56324807","2","0.666666667","1.777777778","O6","de-protonated","0","-9999","C9 H16 O6","9","16","6","-9999","-9999","-9999","-9999","-9999","-9999"
"42","227.092249","227.092362086","227.092497161","982994.7","-9999","870015.4","15.67","-1","-0.594804418","0.937821968","0","0.562693181","4","0.454545455","1.454545455","O5","de-protonated","0","-9999","C11 H16 O5","11","16","5","-9999","-9999","-9999","-9999","-9999","-9999"
"43","227.128612","227.128725047","227.128882671","777432.5","-9999","958502.9","11.97","-1","-0.693980699","0.916322082","0","0.549793249","3","0.333333333","1.666666667","O4","de-protonated","0","-9999","C12 H20 O4","12","20","4","-9999","-9999","-9999","-9999","-9999","-9999"
"45","229.071506","229.071617012","229.071761716","1059664.4","-9999","801864.8","16.99","-1","-0.631697235","0.930153607","0","0.558092164","4","0.6","1.4","O6","de-protonated","0","-9999","C10 H14 O6","10","14","6","-9999","-9999","-9999","-9999","-9999","-9999"
