"Index","Mass","Calibrated_Mass","Calculated_Mass","Peak_Height","Peak_Area","Resolving_Power","S_N","Ion_Charge","Error_ppm","Error_Score","Isotopologue_Similarity","Confidence_Score","DBE","OtoC_ratio","HtoC_ratio","Heteroatom_Class","Ion_Type","Is_Isotopologue","Mono_Isotopic_Index","Molecular_Formula","C","H","O","N","P","S","13C","34S"
"35","229.107849","229.108011368","229.108147226","729751.4","-9999","849890","11.06","-1","-0.592983409","0.938190106","0","0.562914064","3","0.454545455","1.636363636","O5","de-protonated","0","-9999","C11 H18 O5","11","18","5","-9999","-9999","-9999","-9999","-9999"
"36","229.108035","229.108197369","229.108147226","560231.4","-9999","1050047.6","8.03","-1","0.218861487","0.991346206","0","0.594807723","3","0.454545455","1.636363636","O5","de-protonated","0","-9999","C11 H18 O5","11","18","5","-9999","-9999","-9999","-9999","-9999"
"37","231.050827","231.050992294","231.051026271","615744.2","-9999","737488.2","8.99","-1","-0.147055537","0.9960838","0","0.59765028","4","0.777777778","1.333333333","O7","de-protonated","0","-9999","C9 H12 O7","9","12","7","-9999","-9999","-9999","-9999","-9999"
"39","231.087219","231.087384349","231.087411781","1963397.8","-9999","822078.9","33.03","-1","-0.118707822","0.997446373","0","0.598467824","3","0.6","1.6","O6","de-protonated","0","-9999","C10 H16 O6","10","16","6","-9999","-9999","-9999","-9999","-9999"
"40","233.102835","233.103003384","233.103061845","516603.3","-9999","634859.2","7.22","-1","-0.250795534","0.988652047","0","0.593191228","2","0.6","1.8","O6","de-protonated","0","-9999","C10 H18 O6","10","18","6","-9999","-9999","-9999","-9999","-9999"
"41","239.128712","239.128889458","239.128882671","519833.6","-9999","991039.2","7.21","-1","0.028383456","0.999853832","0","0.599912299","4","0.307692308","1.538461538","O4","de-protonated","0","-9999","C13 H20 O4","13","20","4","-9999","-9999","-9999","-9999","-9999"
"43","241.071553","241.071733383","241.071761716","721281.8","-9999","817450.6","10.75","-1","-0.117528924","0.997496779","0","0.598498067","5","0.545454545","1.272727273","O6","de-protonated","0","-9999","C11 H14 O6","11","14","6","-9999","-9999","-9999","-9999","-9999"
"44","241.107949","241.108129438","241.108147226","1008007.3","-9999","943074.8","15.81","-1","-0.073773738","0.999012941","0","0.599407765","4","0.416666667","1.5","O5","de-protonated","0","-9999","C12 H18 O5","12","18","5","-9999","-9999","-9999","-9999","-9999"
"45","241.144337","241.144517493","241.144532735","679948.8","-9999","984608.8","10.01","-1","-0.063206931","0.999275354","0","0.599565212","3","0.307692308","1.692307692","O4","de-protonated","0","-9999","C13 H22 O4","13","22","4","-9999","-9999","-9999","-9999","-9999"
"47","243.050769","243.050952364","243.051026271","914668.9","-9999","833049.9","14.11","-1","-0.304083019","0.983362044","0","0.590017226","5","0.7","1.2","O7","de-protonated","0","-9999","C10 H12 O7","10","12","7","-9999","-9999","-9999","-9999","-9999"
"48","243.087163","243.087346419","243.087411781","1604146.4","-9999","711597.8","26.26","-1","-0.268883678","0.986967216","0","0.59218033","4","0.545454545","1.454545455","O6","de-protonated","0","-9999","C11 H16 O6","11","16","6","-9999","-9999","-9999","-9999","-9999"
