"Index","Mass","Calibrated_Mass","Calculated_Mass","Peak_Height","Peak_Area","Resolving_Power","S_N","Ion_Charge","Error_ppm","Error_Score","Isotopologue_Similarity","Confidence_Score","DBE","OtoC_ratio","HtoC_ratio","Heteroatom_Class","Ion_Type","Is_Isotopologue","Mono_Isotopic_Index","Molecular_Formula","C","H","O","N","P","S","13C","34S"
"5","171.066415","171.066271622","171.066282413","659065.8","-9999","979130.2","10.32","-1","-0.063076547","0.99927834","0","0.599567004","3","0.5","1.5","O4","de-protonated","0","-9999","C8 H12 O4","8","12","4","-9999","-9999","-9999","-9999","-9999"
"14","185.082033","185.081906132","185.081932477","523142.5","-9999","884439.7","7.78","-1","-0.142343139","0.996330315","0","0.597798189","3","0.444444444","1.555555556","O4","de-protonated","0","-9999","C9 H14 O4","9","14","4","-9999","-9999","-9999","-9999","-9999"
"16","187.06134","187.06121546400001","187.061197032","629057.4","-9999","1209064.9","9.75","-1","0.098530621","0.998239995","0","0.598943997","3","0.625","1.5","O5","de-protonated","0","-9999","C8 H12 O5","8","12","5","-9999","-9999","-9999","-9999","-9999"
"20","199.06129","199.061179599","199.061197032","1258805.4","-9999","945642.6","21.27","-1","-0.087578582","0.998609255","0","0.599165553","4","0.555555556","1.333333333","O5","de-protonated","0","-9999","C9 H12 O5","9","12","5","-9999","-9999","-9999","-9999","-9999"
"21","201.040615","201.04050693","201.040461587","747625.2","-9999","1210742.6","11.79","-1","0.22554128","0.990812377","0","0.594487426","4","0.75","1.25","O6","de-protonated","0","-9999","C8 H10 O6","8","10","6","-9999","-9999","-9999","-9999","-9999"
"22","201.076995","201.076886973","201.076847097","852364.6","-9999","957404.4","13.72","-1","0.198314362","0.992889281","0","0.595733569","3","0.555555556","1.555555556","O5","de-protonated","0","-9999","C9 H14 O5","9","14","5","-9999","-9999","-9999","-9999","-9999"
"24","203.056234","203.056128305","203.056111652","1083566.9","-9999","663882.9","17.94","-1","0.082010561","0.998780369","0","0.599268221","3","0.75","1.5","O6","de-protonated","0","-9999","C8 H12 O6","8","12","6","-9999","-9999","-9999","-9999","-9999"
"25","203.09262","203.092514347","203.092497161","555586.5","-9999","878927.1","8.23","-1","0.084622802","0.998701486","0","0.599220892","2","0.555555556","1.777777778","O5","de-protonated","0","-9999","C9 H16 O5","9","16","5","-9999","-9999","-9999","-9999","-9999"
"31","213.076872","213.076778108","213.076847097","754976.8","-9999","574936.7","11.76","-1","-0.323772449","0.981158746","0","0.588695248","4","0.5","1.4","O5","de-protonated","0","-9999","C10 H14 O5","10","14","5","-9999","-9999","-9999","-9999","-9999"
"33","215.056257","215.05616544","215.056111652","1256262.8","-9999","945015.8","20.82","-1","0.250111834","0.988713485","0","0.593228091","4","0.666666667","1.333333333","O6","de-protonated","0","-9999","C9 H12 O6","9","12","6","-9999","-9999","-9999","-9999","-9999"
"34","215.092636","215.092544483","215.092497161","1201035.8","-9999","963639.6","19.82","-1","0.220005725","0.991255881","0","0.594753528","3","0.5","1.6","O5","de-protonated","0","-9999","C10 H16 O5","10","16","5","-9999","-9999","-9999","-9999","-9999"
