"Index","Mass","Calibrated_Mass","Calculated_Mass","Peak_Height","Peak_Area","Resolving_Power","S_N","Ion_Charge","Error_ppm","Error_Score","Isotopologue_Similarity","Confidence_Score","DBE","OtoC_ratio","HtoC_ratio","Heteroatom_Class","Ion_Type","Is_Isotopologue","Mono_Isotopic_Index","Molecular_Formula","C","H","O","N","P","S","13C","33S","34S"
"95","357.097478","357.097774084","357.097976465","928316.6","-9999","608327.2","12.49","-1","-0.56673682","0.943386124","0","0.566031674","11","0.368421053","0.947368421","O7","de-protonated","0","-9999","C19 H18 O7","19","18","7","-9999","-9999","-9999","-9999","-9999","-9999"
"95","357.097478","357.097774084","357.097814273","928316.6","-9999","608327.2","12.49","-1","-0.112544071","0.997704379","0","0.598622628","6","0.071428571","1.642857143","N4 S2 P1 O1","de-protonated","0","-9999","C14 H23 O1 N4 P1 S2","14","23","1","4","1","2","-9999","-9999","-9999"
"96","357.118544","357.118840086","357.119105833","903999.9","-9999","653855.6","12.12","-1","-0.744141898","0.904406189","0","0.542643713","6","0.5625","1.375","O9","de-protonated","0","-9999","C16 H22 O9","16","22","9","-9999","-9999","-9999","-9999","-9999","-9999"
"96","357.118544","357.118840086","357.118943642","903999.9","-9999","653855.6","12.12","-1","-0.289976102","0.984858484","0","0.59091509","1","0.272727273","2.454545455","N4 S2 P1 O3","de-protonated","0","-9999","C11 H27 O3 N4 P1 S2","11","27","3","4","1","2","-9999","-9999","-9999"
"97","359.040275","359.040571208","359.040855511","1055736","-9999","400979.9","14.47","-1","-0.791838922","0.892463255","0","0.535477953","12","0.529411765","0.705882353","O9","de-protonated","0","-9999","C17 H12 O9","17","12","9","-9999","-9999","-9999","-9999","-9999","-9999"
"97","359.040275","359.040571208","359.040693319","1055736","-9999","400979.9","14.47","-1","-0.34010405","0.979230413","0","0.587538248","7","0.25","1.416666667","N4 S2 P1 O3","de-protonated","0","-9999","C12 H17 O3 N4 P1 S2","12","17","3","4","1","2","-9999","-9999","-9999"
"98","359.076585","359.07688121","359.077078829","1463549.9","-9999","459909.8","20.81","-1","-0.550350445","0.946524715","0","0.567914829","6","0.153846154","1.615384615","N4 S2 P1 O2","de-protonated","0","-9999","C13 H21 O2 N4 P1 S2","13","21","2","4","1","2","-9999","-9999","-9999"
"99","359.113071","359.113367213","359.113626529","1352323.9","-9999","530357.4","19.08","-1","-0.722101769","0.909724963","0","0.545834978","10","0.368421053","1.052631579","O7","de-protonated","0","-9999","C19 H20 O7","19","20","7","-9999","-9999","-9999","-9999","-9999","-9999"
"99","359.113071","359.113367213","359.11346433800003","1352323.9","-9999","530357.4","19.08","-1","-0.270458405","0.986815129","0","0.592089077","5","0.071428571","1.785714286","N4 S2 P1 O1","de-protonated","0","-9999","C14 H25 O1 N4 P1 S2","14","25","1","4","1","2","-9999","-9999","-9999"
"100","361.055892","361.056188336","361.056505575","1587655.1","-9999","522218.7","22.73","-1","-0.878639578","0.869288908","0","0.521573345","11","0.529411765","0.823529412","O9","de-protonated","0","-9999","C17 H14 O9","17","14","9","-9999","-9999","-9999","-9999","-9999","-9999"
"100","361.055892","361.056188336","361.056343384","1587655.1","-9999","522218.7","22.73","-1","-0.429426621","0.967093161","0","0.580255896","6","0.25","1.583333333","N4 S2 P1 O3","de-protonated","0","-9999","C12 H19 O3 N4 P1 S2","12","19","3","4","1","2","-9999","-9999","-9999"
"101","361.092296","361.092592339","361.092891084","1694413.3","-9999","431827.7","24.39","-1","-0.827337156","0.883203867","0","0.52992232","10","0.444444444","1","O8","de-protonated","0","-9999","C18 H18 O8","18","18","8","-9999","-9999","-9999","-9999","-9999","-9999"
