"Index","Mass","Calibrated_Mass","Calculated_Mass","Peak_Height","Peak_Area","Resolving_Power","S_N","Ion_Charge","Error_ppm","Error_Score","Isotopologue_Similarity","Confidence_Score","DBE","OtoC_ratio","HtoC_ratio","Heteroatom_Class","Ion_Type","Is_Isotopologue","Mono_Isotopic_Index","Molecular_Formula","C","H","O","N","P","S","13C","15N","34S"
"3","171.066265","171.066357891","171.066282413","526324.6","-9999","1532471.9","7.84","-1","0.441222912","0.965292606","0","0.579175563","3","0.5","1.5","O4","de-protonated","0","-9999","C8 H12 O4","8","12","4","-9999","-9999","-9999","-9999","-9999","-9999"
"4","175.061139","175.061227938","175.061197032","488932","-9999","1311184.9","7.15","-1","0.176543535","0.994360638","0","0.596616383","2","0.714285714","1.714285714","O5","de-protonated","0","-9999","C7 H12 O5","7","12","5","-9999","-9999","-9999","-9999","-9999","-9999"
"7","187.061081","187.061158064","187.061197032","543483.5","-9999","808676.2","8.16","-1","-0.208316043","0.992156849","0","0.59529411","3","0.625","1.5","O5","de-protonated","0","-9999","C8 H12 O5","8","12","5","-9999","-9999","-9999","-9999","-9999","-9999"
"8","187.097479","187.097556028","187.097582542","559524.9","-9999","1414972.6","8.46","-1","-0.141707944","0.996362933","0","0.59781776","2","0.444444444","1.777777778","O4","de-protonated","0","-9999","C9 H16 O4","9","16","4","-9999","-9999","-9999","-9999","-9999","-9999"
"10","189.076784","189.07685907","189.076847097","543441.7","-9999","1049624.7","8.14","-1","0.063324424","0.999272659","0","0.599563595","2","0.625","1.75","O5","de-protonated","0","-9999","C8 H14 O5","8","14","5","-9999","-9999","-9999","-9999","-9999","-9999"
"13","199.061103","199.061168191","199.061197032","846481.5","-9999","1223670.7","13.65","-1","-0.144888602","0.996198146","0","0.597718888","4","0.555555556","1.333333333","O5","de-protonated","0","-9999","C9 H12 O5","9","12","5","-9999","-9999","-9999","-9999","-9999","-9999"
"14","199.097496","199.097561155","199.097582542","577765","-9999","983827.5","8.69","-1","-0.107419983","0.997908444","0","0.598745067","3","0.4","1.6","O4","de-protonated","0","-9999","C10 H16 O4","10","16","4","-9999","-9999","-9999","-9999","-9999","-9999"
"15","201.040315","201.040378232","201.040461587","644190.9","-9999","747334.2","9.89","-1","-0.414619076","0.969288814","0","0.581573288","4","0.75","1.25","O6","de-protonated","0","-9999","C8 H10 O6","8","10","6","-9999","-9999","-9999","-9999","-9999","-9999"
"16","201.076709","201.076772196","201.076847097","728202.6","-9999","735002.9","11.43","-1","-0.372497246","0.975137525","0","0.585082515","3","0.555555556","1.555555556","O5","de-protonated","0","-9999","C9 H14 O5","9","14","5","-9999","-9999","-9999","-9999","-9999","-9999"
"17","203.056008","203.056069238","203.056111652","886511.6","-9999","1025515","14.31","-1","-0.208879061","0.992114564","0","0.595268739","3","0.75","1.5","O6","de-protonated","0","-9999","C8 H12 O6","8","12","6","-9999","-9999","-9999","-9999","-9999","-9999"
"18","203.092389","203.092450202","203.092497161","551299.7","-9999","1105246.4","8.15","-1","-0.23122232","0.990345973","0","0.594207584","2","0.555555556","1.777777778","O5","de-protonated","0","-9999","C9 H16 O5","9","16","5","-9999","-9999","-9999","-9999","-9999","-9999"
"21","213.040361","213.040412358","213.040461587","545929.3","-9999","1069989.5","7.95","-1","-0.231078566","0.990357915","0","0.594214749","5","0.666666667","1.111111111","O6","de-protonated","0","-9999","C9 H10 O6","9","10","6","-9999","-9999","-9999","-9999","-9999","-9999"
"22","213.076739","213.076790322","213.076847097","765422.4","-9999","891501.8","11.94","-1","-0.266450488","0.987200513","0","0.592320308","4","0.5","1.4","O5","de-protonated","0","-9999","C10 H14 O5","10","14","5","-9999","-9999","-9999","-9999","-9999","-9999"
"23","215.055936","215.055985364","215.056111652","986059.9","-9999","833883.6","15.91","-1","-0.587232449","0.939346255","0","0.563607753","4","0.666666667","1.333333333","O6","de-protonated","0","-9999","C9 H12 O6","9","12","6","-9999","-9999","-9999","-9999","-9999","-9999"
"25","215.092339","215.092388328","215.092497161","1338321.3","-9999","965105.5","22.31","-1","-0.505983699","0.954608087","0","0.572764852","3","0.5","1.6","O5","de-protonated","0","-9999","C10 H16 O5","10","16","5","-9999","-9999","-9999","-9999","-9999","-9999"
"26","217.071632","217.071679369","217.071761716","1351223.4","-9999","1043819.6","22.47","-1","-0.379353301","0.974225887","0","0.584535532","3","0.666666667","1.555555556","O6","de-protonated","0","-9999","C9 H14 O6","9","14","6","-9999","-9999","-9999","-9999","-9999","-9999"
"27","217.108015","217.108062333","217.108147226","644764.9","-9999","695653.1","9.68","-1","-0.391013608","0.972639288","0","0.583583573","2","0.5","1.8","O5","de-protonated","0","-9999","C10 H18 O5","10","18","5","-9999","-9999","-9999","-9999","-9999","-9999"
"30","227.055918","227.05595549","227.056111652","647491.8","-9999","862529.5","9.62","-1","-0.687767162","0.917750673","0","0.550650404","5","0.6","1.2","O6","de-protonated","0","-9999","C10 H12 O6","10","12","6","-9999","-9999","-9999","-9999","-9999","-9999"
"31","227.09232","227.092357454","227.092497161","1025385.8","-9999","922044.5","16.41","-1","-0.615199131","0.933632041","0","0.560179224","4","0.454545455","1.454545455","O5","de-protonated","0","-9999","C11 H16 O5","11","16","5","-9999","-9999","-9999","-9999","-9999","-9999"
"32","227.128702","227.128739418","227.128882671","575535.8","-9999","909806.9","8.33","-1","-0.630709994","0.930363976","0","0.558218385","3","0.333333333","1.666666667","O4","de-protonated","0","-9999","C12 H20 O4","12","20","4","-9999","-9999","-9999","-9999","-9999","-9999"
"34","229.071619","229.071654496","229.071761716","1142639.5","-9999","870154","18.45","-1","-0.468066007","0.961026948","0","0.576616169","4","0.6","1.4","O6","de-protonated","0","-9999","C10 H14 O6","10","14","6","-9999","-9999","-9999","-9999","-9999","-9999"
"36","229.107965","229.10800046","229.108147226","892213.5","-9999","924163.8","13.97","-1","-0.640597118","0.928244483","0","0.55694669","3","0.454545455","1.636363636","O5","de-protonated","0","-9999","C11 H18 O5","11","18","5","-9999","-9999","-9999","-9999","-9999","-9999"
"37","231.050868","231.050901537","231.051026271","727479.1","-9999","893698.1","10.98","-1","-0.539855873","0.948491741","0","0.569095045","4","0.777777778","1.333333333","O7","de-protonated","0","-9999","C9 H12 O7","9","12","7","-9999","-9999","-9999","-9999","-9999","-9999"
"39","231.087215","231.087248501","231.087411781","2444221.3","-9999","795083.7","41.61","-1","-0.706570588","0.913395044","0","0.548037026","3","0.6","1.6","O6","de-protonated","0","-9999","C10 H16 O6","10","16","6","-9999","-9999","-9999","-9999","-9999","-9999"
"40","231.123575","231.123608465","231.12379729","635523.2","-9999","846781.4","9.34","-1","-0.816985954","0.885935759","0","0.531561455","2","0.454545455","1.818181818","O5","de-protonated","0","-9999","C11 H20 O5","11","20","5","-9999","-9999","-9999","-9999","-9999","-9999"
"41","233.066489","233.066520543","233.066676336","644101.6","-9999","970148.5","9.49","-1","-0.668448807","0.922123983","0","0.55327439","3","0.777777778","1.555555556","O7","de-protonated","0","-9999","C9 H14 O7","9","14","7","-9999","-9999","-9999","-9999","-9999","-9999"
"42","233.102885","233.102916507","233.103061845","653611.7","-9999","889499.6","9.66","-1","-0.62349462","0.931892916","0","0.55913575","2","0.6","1.8","O6","de-protonated","0","-9999","C10 H18 O6","10","18","6","-9999","-9999","-9999","-9999","-9999","-9999"
"43","239.092273","239.09229858","239.092497161","603753.3","-9999","1063755.3","8.69","-1","-0.830560938","0.882347761","0","0.529408656","5","0.416666667","1.333333333","O5","de-protonated","0","-9999","C12 H16 O5","12","16","5","-9999","-9999","-9999","-9999","-9999","-9999"
"47","241.071587","241.071610622","241.071761716","905835.6","-9999","825500.8","14","-1","-0.626761511","0.931202529","0","0.558721518","5","0.545454545","1.272727273","O6","de-protonated","0","-9999","C11 H14 O6","11","14","6","-9999","-9999","-9999","-9999","-9999","-9999"
"49","241.107965","241.107988586","241.108147226","1152049.5","-9999","963094.8","18.35","-1","-0.657961371","0.924454426","0","0.554672656","4","0.416666667","1.5","O5","de-protonated","0","-9999","C12 H18 O5","12","18","5","-9999","-9999","-9999","-9999","-9999","-9999"
"50","241.144329","241.14435255","241.144532735","635255.4","-9999","1008246","9.22","-1","-0.747208227","0.903656061","0","0.542193636","3","0.307692308","1.692307692","O4","de-protonated","0","-9999","C13 H22 O4","13","22","4","-9999","-9999","-9999","-9999","-9999","-9999"
"51","243.050774","243.050795663","243.051026271","1043433.9","-9999","714610.7","16.37","-1","-0.948804835","0.849297567","0","0.50957854","5","0.7","1.2","O7","de-protonated","0","-9999","C10 H12 O7","10","12","7","-9999","-9999","-9999","-9999","-9999","-9999"
"53","243.087194","243.087215627","243.087411781","1656559.8","-9999","691730.2","27.17","-1","-0.806925272","0.888565964","0","0.533139579","4","0.545454545","1.454545455","O6","de-protonated","0","-9999","C11 H16 O6","11","16","6","-9999","-9999","-9999","-9999","-9999","-9999"
"54","243.123558","243.123579591","243.12379729","1317109.6","-9999","820418.7","21.19","-1","-0.895423278","0.864605069","0","0.518763041","3","0.416666667","1.666666667","O5","de-protonated","0","-9999","C12 H20 O5","12","20","5","-9999","-9999","-9999","-9999","-9999","-9999"
"55","245.048717","245.048736687","245.048918271","972390.4","-9999","746484.1","15.11","-1","-0.74101386","0.905168872","0","0.543101323","4","0.5","1.4","S1 O5","de-protonated","0","-9999","C10 H14 O5 S1","10","14","5","-9999","-9999","1","-9999","-9999","-9999"
"55","245.048717","245.048736687","245.048538149","972390.4","-9999","746484.1","15.11","-1","0.810198162","0.887713042","0","0.532627825","9","0.166666667","0.916666667","N2 P1 O2","de-protonated","0","-9999","C12 H11 O2 N2 P1","12","11","2","2","1","-9999","-9999","-9999","-9999"
"56","245.066456","245.066475669","245.066676336","1443241.3","-9999","675535.3","23.41","-1","-0.818825882","0.885452064","0","0.531271238","4","0.7","1.4","O7","de-protonated","0","-9999","C10 H14 O7","10","14","7","-9999","-9999","-9999","-9999","-9999","-9999"
"58","245.10286","245.102879633","245.103061845","1523758.9","-9999","822310.7","24.82","-1","-0.743410985","0.904584631","0","0.542750779","3","0.545454545","1.636363636","O6","de-protonated","0","-9999","C11 H18 O6","11","18","6","-9999","-9999","-9999","-9999","-9999","-9999"
"60","247.082129","247.082146674","247.0823264","808610.4","-9999","810764.4","12.18","-1","-0.727392686","0.908459908","0","0.545075945","3","0.7","1.6","O7","de-protonated","0","-9999","C10 H16 O7","10","16","7","-9999","-9999","-9999","-9999","-9999","-9999"
"61","247.118486","247.118503638","247.11871191","702183.9","-9999","920775.5","10.31","-1","-0.842798184","0.879075409","0","0.527445246","2","0.545454545","1.818181818","O6","de-protonated","0","-9999","C11 H20 O6","11","20","6","-9999","-9999","-9999","-9999","-9999","-9999"
"62","253.107974","253.107985712","253.108147226","589852.5","-9999","967167.5","8.3","-1","-0.638121239","0.928777873","0","0.557266724","5","0.384615385","1.384615385","O5","de-protonated","0","-9999","C13 H18 O5","13","18","5","-9999","-9999","-9999","-9999","-9999","-9999"
"63","253.144275","253.144286676","253.144532735","1132385.6","-9999","870199.1","17.79","-1","-0.972009749","0.842456496","0","0.505473898","4","0.285714286","1.571428571","O4","de-protonated","0","-9999","C14 H22 O4","14","22","4","-9999","-9999","-9999","-9999","-9999","-9999"
"65","255.087157","255.087166754","255.087411781","1503470.5","-9999","760101.5","24.18","-1","-0.960561582","0.845845288","0","0.507507173","5","0.5","1.333333333","O6","de-protonated","0","-9999","C12 H16 O6","12","16","6","-9999","-9999","-9999","-9999","-9999","-9999"
"66","255.123551","255.123560718","255.12379729","1621107.5","-9999","762074.3","26.23","-1","-0.92728523","0.855542006","0","0.513325204","4","0.384615385","1.538461538","O5","de-protonated","0","-9999","C13 H20 O5","13","20","5","-9999","-9999","-9999","-9999","-9999","-9999"
"68","257.066452","257.066459795","257.066676336","1177845.9","-9999","797233.5","18.5","-1","-0.842352517","0.87919521","0","0.527517126","5","0.636363636","1.272727273","O7","de-protonated","0","-9999","C11 H14 O7","11","14","7","-9999","-9999","-9999","-9999","-9999","-9999"
"69","257.102811","257.102818759","257.103061845","2242170.5","-9999","665011.3","37.05","-1","-0.945481111","0.850268373","0","0.510161024","4","0.5","1.5","O6","de-protonated","0","-9999","C12 H18 O6","12","18","6","-9999","-9999","-9999","-9999","-9999","-9999"
"71","257.139194","257.139201723","257.139447355","1432063.4","-9999","821901.9","22.85","-1","-0.955246041","0.847409679","0","0.508445807","3","0.384615385","1.692307692","O5","de-protonated","0","-9999","C13 H22 O5","13","22","5","-9999","-9999","-9999","-9999","-9999","-9999"
"73","259.082083","259.082088801","259.0823264","2082422.1","-9999","676911.5","34.14","-1","-0.917081698","0.858468413","0","0.515081048","4","0.636363636","1.454545455","O7","de-protonated","0","-9999","C11 H16 O7","11","16","7","-9999","-9999","-9999","-9999","-9999","-9999"
"75","259.118486","259.118491765","259.11871191","1699322.6","-9999","652069.8","27.49","-1","-0.849591403","0.877243504","0","0.526346103","3","0.5","1.666666667","O6","de-protonated","0","-9999","C12 H20 O6","12","20","6","-9999","-9999","-9999","-9999","-9999","-9999"
"76","259.154868","259.154873729","259.155097419","569407.2","-9999","892520.9","7.87","-1","-0.863152536","0.873554174","0","0.524132504","2","0.384615385","1.846153846","O5","de-protonated","0","-9999","C13 H24 O5","13","24","5","-9999","-9999","-9999","-9999","-9999","-9999"
"77","261.061334","261.061337842","261.061590955","933989.6","-9999","933432.4","14.14","-1","-0.969553619","0.843185773","0","0.505911464","4","0.8","1.4","O8","de-protonated","0","-9999","C10 H14 O8","10","14","8","-9999","-9999","-9999","-9999","-9999","-9999"
"79","261.13412","261.13412377","261.134361974","659758.2","-9999","865874.4","9.4","-1","-0.912189148","0.859863637","0","0.515918182","2","0.5","1.833333333","O6","de-protonated","0","-9999","C12 H22 O6","12","22","6","-9999","-9999","-9999","-9999","-9999","-9999"
"83","265.147307","265.147306799","265.147523916","3904303.8","-9999","832559.8","65.26","-1","-0.818852007","0.927173543","0.869624423","0.904153895","5","0.071428571","1.642857143","N2 P1 O1","de-protonated","0","-9999","C14 H23 O1 N2 P1","14","23","1","2","1","-9999","-9999","-9999","-9999"
"84","265.147632","265.147631799","265.147523916","11092272","-9999","710714.1","189.12","-1","0.406879516","0.969654791","0.979511704","0.973597556","5","0.071428571","1.642857143","N2 P1 O1","de-protonated","0","-9999","C14 H23 O1 N2 P1","14","23","1","2","1","-9999","-9999","-9999","-9999"
"85","266.150991","266.150989806","266.150878751","1385241.5","-9999","727397.4","21.85","-1","0.417264137","0.968901896","0.869624423","0.929190907","5","0.071428571","1.642857143","13C1 N2 P1 O1","de-protonated","1","83","C13 H23 O1 N2 P1 13C1","13","23","1","2","1","-9999","1","-9999","-9999"
"85","266.150991","266.150989806","266.150878751","1385241.5","-9999","727397.4","21.85","-1","0.417264137","0.968901896","0.979511704","0.973145819","5","0.071428571","1.642857143","13C1 N2 P1 O1","de-protonated","1","84","C13 H23 O1 N2 P1 13C1","13","23","1","2","1","-9999","1","-9999","-9999"
"85","266.150991","266.150989806","266.151015097","1385241.5","-9999","727397.4","21.85","-1","-0.095022757","0.998362982","0","0.599017789","5","0.230769231","1.615384615","N3 O3","de-protonated","0","-9999","C13 H21 O3 N3","13","21","3","3","-9999","-9999","-9999","-9999","-9999"
"89","267.123582","267.123579844","267.12379729","527229.4","-9999","693445.4","7.06","-1","-0.814028515","0.886711505","0","0.532026903","5","0.357142857","1.428571429","O5","de-protonated","0","-9999","C14 H20 O5","14","20","5","-9999","-9999","-9999","-9999","-9999","-9999"
"93","269.066418","269.066413921","269.066676336","585982","-9999","811956.2","8.04","-1","-0.975277058","0.841484486","0","0.504890692","6","0.583333333","1.166666667","O7","de-protonated","0","-9999","C12 H14 O7","12","14","7","-9999","-9999","-9999","-9999","-9999","-9999"
"121","279.16326","279.163245931","279.16317398","1482535.5","-9999","784728.9","23.22","-1","0.257735903","0.988019113","0","0.592811468","5","0.066666667","1.666666667","N2 P1 O1","de-protonated","0","-9999","C15 H25 O1 N2 P1","15","25","1","2","1","-9999","-9999","-9999","-9999"
"151","293.178854","293.178826062","293.178824045","3790326.8","-9999","587674.2","61.65","-1","0.006882089","0.499995703","0.85247738","0.640988374","5","0.0625","1.6875","N2 P1 O1","de-protonated","0","-9999","C16 H27 O1 N2 P1","16","27","1","2","1","-9999","-9999","-9999","-9999"
"154","295.081995","295.081965179","295.082164209","562736.6","-9999","670351.3","7.45","-1","-0.674489183","0.920767721","0","0.552460633","2","0.111111111","2.333333333","N4 S2 P1 O1","de-protonated","0","-9999","C9 H21 O1 N4 P1 S2","9","21","1","4","1","2","-9999","-9999","-9999"
"155","295.117911","295.117881144","295.117680338","738162.9","-9999","724839.1","10.39","-1","0.680424343","0.919425169","0","0.551655101","2","0.555555556","2.333333333","N4 P1 O5","de-protonated","0","-9999","C9 H21 O5 N4 P1","9","21","5","4","1","-9999","-9999","-9999","-9999"
"165","298.155962","298.155929138","298.156100477","788019.7","-9999","603403.9","11.17","-1","-0.574663051","0.941838764","0","0.565103258","9","0.117647059","1.235294118","N3 O2","de-protonated","0","-9999","C17 H21 O2 N3","17","21","2","3","-9999","-9999","-9999","-9999","-9999"
"174","301.058063","301.058027266","301.057842986","2212076","-9999","669766.3","34.8","-1","0.612109974","0.934274541","0","0.560564724","11","0.384615385","0.769230769","N4 O5","de-protonated","0","-9999","C13 H10 O5 N4","13","10","5","4","-9999","-9999","-9999","-9999","-9999"
"180","301.129388","301.129352195","301.129276594","654064.6","-9999","857267","8.89","-1","0.251060787","0.988628167","0","0.5931769","4","0.5","1.571428571","O7","de-protonated","0","-9999","C14 H22 O7","14","22","7","-9999","-9999","-9999","-9999","-9999","-9999"
"195","307.194449","307.194407194","307.194474109","1691515","-9999","658009.9","26.01","-1","-0.21782621","0.991427531","0","0.594856519","5","0.058823529","1.705882353","N2 P1 O1","de-protonated","0","-9999","C17 H29 O1 N2 P1","17","29","1","2","1","-9999","-9999","-9999","-9999"
"196","309.097576","309.097532311","309.097814273","829947.6","-9999","668204.6","11.74","-1","-0.912210931","0.859857437","0","0.515914462","2","0.1","2.3","N4 S2 P1 O1","de-protonated","0","-9999","C10 H23 O1 N4 P1 S2","10","23","1","4","1","2","-9999","-9999","-9999"
"197","309.110409","309.110365298","309.110079234","567420.5","-9999","806524.3","7.4","-1","0.925445096","0.856071415","0","0.513642849","6","0.066666667","1.466666667","N2 S2 O1","de-protonated","0","-9999","C15 H22 O1 N2 S2","15","22","1","2","-9999","2","-9999","-9999","-9999"
"200","309.170882","309.170838239","309.170747484","574208.7","-9999","999083.3","7.51","-1","0.293543392","0.984486572","0","0.590691943","5","0.294117647","1.529411765","O5","de-protonated","0","-9999","C17 H26 O5","17","26","5","-9999","-9999","-9999","-9999","-9999","-9999"
"201","309.173703","309.173659236","309.173738664","4306945","-9999","581858.7","69.29","-1","-0.256905913","0.99390621","0.993384472","0.993697515","5","0.125","1.6875","N2 P1 O2","de-protonated","0","-9999","C16 H27 O2 N2 P1","16","27","2","2","1","-9999","-9999","-9999","-9999"
"202","310.177126","310.177081243","310.177093499","784838","-9999","619884.7","11","-1","-0.039514537","0.99971672600000006","0.993384472","0.997183825","5","0.125","1.6875","13C1 N2 P1 O2","de-protonated","1","201","C15 H27 O2 N2 P1 13C1","15","27","2","2","1","-9999","1","-9999","-9999"
"202","310.177126","310.177081243","310.177229845","784838","-9999","619884.7","11","-1","-0.479087792","0.959208292","0","0.575524975","5","0.266666667","1.666666667","N3 O4","de-protonated","0","-9999","C15 H25 O4 N3","15","25","4","3","-9999","-9999","-9999","-9999","-9999"
"203","311.076842","311.076796353","311.077078829","807172.8","-9999","820242.7","11.37","-1","-0.908057808","0.861037726","0","0.516622636","2","0.222222222","2.333333333","N4 S2 P1 O2","de-protonated","0","-9999","C9 H21 O2 N4 P1 S2","9","21","2","4","1","2","-9999","-9999","-9999"
"209","312.171559","312.171512269","312.171750541","2431186.5","-9999","550154.5","38.04","-1","-0.763272098","0.899686279","0","0.539811767","9","0.111111111","1.277777778","N3 O2","de-protonated","0","-9999","C18 H23 O2 N3","18","23","2","3","-9999","-9999","-9999","-9999","-9999"
"210","312.972268","312.972220477","312.972338976","640012.1","-9999","592061.1","8.55","-1","-0.378623196","0.974323718","0","0.584594231","4","0.857142857","1.571428571","N2 S2 P1 O6","de-protonated","0","-9999","C7 H11 O6 N2 P1 S2","7","11","6","2","1","2","-9999","-9999","-9999"
"211","313.056114","313.056066394","313.056343384","576658.1","-9999","740496.4","7.51","-1","-0.88479134","0.867579489","0","0.520547694","2","0.375","2.375","N4 S2 P1 O3","de-protonated","0","-9999","C8 H19 O3 N4 P1 S2","8","19","3","4","1","2","-9999","-9999","-9999"
"212","313.092068","313.092020359","313.091859513","1004948.8","-9999","611249.7","14.56","-1","0.513732304","0.953240452","0","0.571944271","2","0.875","2.375","N4 P1 O7","de-protonated","0","-9999","C8 H19 O7 N4 P1","8","19","7","4","1","-9999","-9999","-9999","-9999"
"232","318.126801","318.126748377","318.126454118","575827.4","-9999","734732.6","7.45","-1","0.924973332","0.856207025","0","0.513724215","8","0.176470588","1.294117647","N1 P1 O3","de-protonated","0","-9999","C17 H22 O3 N1 P1","17","22","3","1","1","-9999","-9999","-9999","-9999"
"244","321.11036","321.110304425","321.110079234","862856.8","-9999","550547.2","12.15","-1","0.701287944","0.914628478","0","0.548777087","7","0.0625","1.375","N2 S2 O1","de-protonated","0","-9999","C16 H22 O1 N2 S2","16","22","1","2","-9999","2","-9999","-9999","-9999"
"246","321.210096","321.210040326","321.210124174","708369.3","-9999","787264.4","9.62","-1","-0.261037072","0.987712142","0","0.592627285","5","0.055555556","1.722222222","N2 P1 O1","de-protonated","0","-9999","C18 H31 O1 N2 P1","18","31","1","2","1","-9999","-9999","-9999","-9999"
"249","323.113233","323.113175443","323.11346433800003","877238.8","-9999","624861.3","12.28","-1","-0.89409817","0.864977163","0","0.518986298","2","0.090909091","2.272727273","N4 S2 P1 O1","de-protonated","0","-9999","C11 H25 O1 N4 P1 S2","11","25","1","4","1","2","-9999","-9999","-9999"
"257","326.18717","326.187109401","326.187400606","3240785.8","-9999","545142.7","50.68","-1","-0.892752734","0.432677283","0.829532115","0.591419216","9","0.105263158","1.315789474","N3 O2","de-protonated","0","-9999","C19 H25 O2 N3","19","25","2","3","-9999","-9999","-9999","-9999","-9999"
"287","333.110419","333.110351551","333.110079234","770591.3","-9999","512153.2","10.43","-1","0.81749775","0.885801297","0","0.531480778","8","0.058823529","1.294117647","N2 S2 O1","de-protonated","0","-9999","C17 H22 O1 N2 S2","17","22","1","2","-9999","2","-9999","-9999","-9999"
"301","337.168529","337.168457535","337.168653284","683256.2","-9999","503408.5","8.93","-1","-0.580565867","0.940674131","0","0.564404479","6","0.176470588","1.588235294","N2 P1 O3","de-protonated","0","-9999","C17 H27 O3 N2 P1","17","27","3","2","1","-9999","-9999","-9999","-9999"
"302","337.204937","337.204865499","337.20503879300003","1240828.6","-9999","499070.8","17.81","-1","-0.513912803","0.95320836900000006","0","0.571925022","5","0.111111111","1.722222222","N2 P1 O2","de-protonated","0","-9999","C18 H31 O2 N2 P1","18","31","2","2","1","-9999","-9999","-9999","-9999"
"347","349.10536","349.105276724","349.104993854","3938358.5","-9999","472820.7","59.53","-1","0.810273156","0.882625433","0.849575482","0.869405453","8","0.117647059","1.294117647","N2 S2 O2","de-protonated","0","-9999","C17 H22 O2 N2 S2","17","22","2","2","-9999","2","-9999","-9999","-9999"
"350","349.165036","349.164952665","349.164630532","632895.3","-9999","678762.8","7.94","-1","0.922582038","0.856893678","0","0.514136207","3","0.384615385","2.076923077","N4 P1 O5","de-protonated","0","-9999","C13 H27 O5 N4 P1","13","27","5","4","1","-9999","-9999","-9999","-9999"
"351","350.10873","350.108645731","350.108348689","1734346.1","-9999","568656.8","25.12","-1","0.848430252","0.877557399","0.849575482","0.866364632","8","0.117647059","1.294117647","13C1 N2 S2 O2","de-protonated","1","347","C16 H22 O2 N2 S2 13C1","16","22","2","2","-9999","2","1","-9999","-9999"
"352","351.071269","351.071183779","351.071124068","743257.6","-9999","559723","9.65","-1","0.170080682","0.994764905","0","0.596858943","5","0.8","1.7","N4 P1 O8","de-protonated","0","-9999","C10 H17 O8 N4 P1","10","17","8","4","1","-9999","-9999","-9999","-9999"
"353","351.102417","351.102331748","351.102667922","1121118.3","-9999","469357.1","15.55","-1","-0.957481145","0.846752582","0","0.508051549","17","0.125","0.666666667","O3","de-protonated","0","-9999","C24 H16 O3","24","16","3","-9999","-9999","-9999","-9999","-9999","-9999"
"353","351.102417","351.102331748","351.102016473","1121118.3","-9999","469357.1","15.55","-1","0.89795695","0.863892519","0","0.518335511","8","0.3125","1.25","N2 S1 O5","de-protonated","0","-9999","C16 H20 O5 N2 S1","16","20","5","2","-9999","1","-9999","-9999","-9999"
"355","351.121038","351.120952729","351.120643918","688481","-9999","502253","8.8","-1","0.879502433","0.86904966","0","0.521429796","7","0.117647059","1.411764706","N2 S2 O2","de-protonated","0","-9999","C17 H24 O2 N2 S2","17","24","2","2","-9999","2","-9999","-9999","-9999"
"356","351.13394","351.133854717","351.133531078","1174370.9","-9999","617524.4","16.38","-1","0.921698145","0.857147174","0","0.514288304","2","0.142857143","2.071428571","N2 S2 P1 O2","de-protonated","0","-9999","C14 H29 O2 N2 P1 S2","14","29","2","2","1","2","-9999","-9999","-9999"
"359","351.220455","351.220369631","351.220688858","1120239.9","-9999","488957.9","15.54","-1","-0.908906028","0.860796974","0","0.516478185","5","0.105263158","1.736842105","N2 P1 O2","de-protonated","0","-9999","C19 H33 O2 N2 P1","19","33","2","2","1","-9999","-9999","-9999","-9999"
"360","353.087212","353.087124784","353.086774133","1263243.5","-9999","591838.1","17.76","-1","0.993102079","0.836144292","0","0.501686575","4","0.8","1.9","N4 P1 O8","de-protonated","0","-9999","C10 H19 O8 N4 P1","10","19","8","4","1","-9999","-9999","-9999","-9999"
"362","353.159947","353.159859712","353.159545151","1963414.8","-9999","411117.4","28.69","-1","0.890703773","0.865928534","0","0.519557121","2","0.5","2.25","N4 P1 O6","de-protonated","0","-9999","C12 H27 O6 N4 P1","12","27","6","4","1","-9999","-9999","-9999","-9999"
"363","353.195902","353.195814676","353.195930661","648028.3","-9999","591367.7","8.16","-1","-0.328385402","0.980623312","0","0.588373987","1","0.384615385","2.384615385","N4 P1 O5","de-protonated","0","-9999","C13 H31 O5 N4 P1","13","31","5","4","1","-9999","-9999","-9999","-9999"
"365","353.199758","353.199670673","353.199953413","2601116.8","-9999","495686.3","38.65","-1","-0.800510307","0.445115029","0.837042051","0.601885838","5","0.166666667","1.722222222","N2 P1 O3","de-protonated","0","-9999","C18 H31 O3 N2 P1","18","31","3","2","1","-9999","-9999","-9999","-9999"
"366","354.20301","354.20292168","354.20259644","574136.2","-9999","491810.5","7.01","-1","0.918230348","0.858140096","0","0.514884058","4","0.052631579","1.789473684","N1 S1 P1 O1","de-protonated","0","-9999","C19 H34 O1 N1 P1 S1","19","34","1","1","1","1","-9999","-9999","-9999"
"368","355.102848","355.10275879","355.102424197","1451717.1","-9999","478085","20.7","-1","0.942241685","0.851212341","0","0.510727404","3","0.8","2.1","N4 P1 O8","de-protonated","0","-9999","C10 H21 O8 N4 P1","10","21","8","4","1","-9999","-9999","-9999","-9999"
"369","355.139191","355.139101754","355.138809707","3598282.8","-9999","452695","54.2","-1","0.822346045","0.884524363","0","0.530714618","2","0.636363636","2.272727273","N4 P1 O7","de-protonated","0","-9999","C11 H25 O7 N4 P1","11","25","7","4","1","-9999","-9999","-9999","-9999"
"370","355.175615","355.175525718","355.175195216","3854800.5","-9999","455956.9","58.21","-1","0.930531211","0.853290027","0.962859985","0.89711801","1","0.5","2.416666667","N4 P1 O6","de-protonated","0","-9999","C12 H29 O6 N4 P1","12","29","6","4","1","-9999","-9999","-9999","-9999"
