"Index","Mass","Calibrated_Mass","Calculated_Mass","Peak_Height","Peak_Area","Resolving_Power","S_N","Ion_Charge","Error_ppm","Error_Score","Isotopologue_Similarity","Confidence_Score","DBE","OtoC_ratio","HtoC_ratio","Heteroatom_Class","Ion_Type","Is_Isotopologue","Mono_Isotopic_Index","Molecular_Formula","C","H","O","N","P","S","13C","17O","33S","34S"
"4","253.14433","253.144536308","253.144532735","815410.1","-9999","873484.8","12.28","-1","0.014115769","0.999963846","0","0.599978308","4","0.285714286","1.571428571","O4","de-protonated","0","-9999","C14 H22 O4","14","22","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"5","257.077612","257.077818382","257.077909725","833859.4","-9999","886975","12.55","-1","-0.355313103","0.977352958","0","0.586411775","5","0.6","1.4","N2 O6","de-protonated","0","-9999","C10 H14 O6 N2","10","14","6","2","-9999","-9999","-9999","-9999","-9999","-9999"
"7","262.991082","262.991288493","262.99142065","970709.4","-9999","666923.6","14.83","-1","-0.502516451","0.955213955","0","0.573128373","5","0.666666667","1.333333333","N4 S2 O4","de-protonated","0","-9999","C6 H8 O4 N4 S2","6","8","4","4","-9999","2","-9999","-9999","-9999","-9999"
"8","265.147303","265.147509533","265.147523916","1080966.9","-9999","858046.7","16.67","-1","-0.054243855","0.999466249","0","0.599679749","5","0.071428571","1.642857143","N2 P1 O1","de-protonated","0","-9999","C14 H23 O1 N2 P1","14","23","1","2","1","-9999","-9999","-9999","-9999","-9999"
"9","265.147638","265.147844533","265.147904038","2835975","-9999","721527.6","47.02","-1","-0.224422432","0.990902891","0","0.594541734","0","0.333333333","2.166666667","S1 O4","de-protonated","0","-9999","C12 H26 O4 S1","12","26","4","-9999","-9999","1","-9999","-9999","-9999","-9999"
"15","269.130949","269.131155608","269.131205146","2787241.8","-9999","693314.9","46","-1","-0.184067396","0.99387123","0","0.596322738","4","0.214285714","1.642857143","P1 O3","de-protonated","0","-9999","C14 H23 O3 P1","14","23","3","-9999","1","-9999","-9999","-9999","-9999","-9999"
"17","269.139183","269.139389608","269.139447355","2812842.5","-9999","795887.3","46.44","-1","-0.214560208","0.991681604","0","0.595008962","4","0.357142857","1.571428571","O5","de-protonated","0","-9999","C14 H22 O5","14","22","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"22","285.12582","285.126026907","285.126119766","6039330","-9999","662812.1","100.81","-1","-0.325674216","0.977785432","0.999592215","0.986508145","4","0.285714286","1.642857143","P1 O4","de-protonated","0","-9999","C14 H23 O4 P1","14","23","4","-9999","1","-9999","-9999","-9999","-9999","-9999"
"23","286.12916","286.129366926","286.129474601","917743.1","-9999","737198.4","13.61","-1","-0.376313906","0.974631976","0.999592215","0.984616072","4","0.285714286","1.642857143","13C1 P1 O4","de-protonated","1","22","C13 H23 O4 P1 13C1","13","23","4","-9999","1","-9999","1","-9999","-9999","-9999"
"23","286.12916","286.129366926","286.129610946","917743.1","-9999","737198.4","13.61","-1","-0.852830713","0.876366147","0","0.525819688","4","0.461538462","1.615384615","N1 O6","de-protonated","0","-9999","C13 H21 O6 N1","13","21","6","1","-9999","-9999","-9999","-9999","-9999","-9999"
"24","293.175506","293.175713058","293.175832864","3327860.5","-9999","576884.2","54.17","-1","-0.408647954","0.970153776","0","0.582092266","5","0.235294118","1.529411765","O4","de-protonated","0","-9999","C17 H26 O4","17","26","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"25","293.178904","293.179111058","293.179204167","1458164.8","-9999","639885.1","22.61","-1","-0.317583782","0.981865627","0","0.589119376","0","0.285714286","2.142857143","S1 O4","de-protonated","0","-9999","C14 H30 O4 S1","14","30","4","-9999","-9999","1","-9999","-9999","-9999","-9999"
"25","293.178904","293.179111058","293.178824045","1458164.8","-9999","639885.1","22.61","-1","0.978970976","0.840382991","0","0.504229795","5","0.0625","1.6875","N2 P1 O1","de-protonated","0","-9999","C16 H27 O1 N2 P1","16","27","1","2","1","-9999","-9999","-9999","-9999","-9999"
"27","297.152672","297.152879133","297.152989419","1554573.4","-9999","668503.9","24.12","-1","-0.371142259","0.975315827","0","0.585189496","4","0.1875","1.625","S1 O3","de-protonated","0","-9999","C16 H26 O3 S1","16","26","3","-9999","-9999","1","-9999","-9999","-9999","-9999"
"28","300.970231","300.970438204","300.970685205","898712.4","-9999","706220.9","13.03","-1","-0.820681852","0.884963318","0","0.530977991","8","0.625","0.75","N4 S2 O5","de-protonated","0","-9999","C8 H6 O5 N4 S2","8","6","5","4","-9999","2","-9999","-9999","-9999","-9999"
"29","311.168259","311.168466395","311.168639483","6329968.5","-9999","593458.6","103.4","-1","-0.556251249","0.949455392","0.980465963","0.961859621","4","0.176470588","1.647058824","S1 O3","de-protonated","0","-9999","C17 H28 O3 S1","17","28","3","-9999","-9999","1","-9999","-9999","-9999","-9999"
"30","312.171627","312.171834414","312.171994318","994491.4","-9999","589378","14.48","-1","-0.512231147","0.953506877","0.980465963","0.964290511","4","0.176470588","1.647058824","13C1 S1 O3","de-protonated","1","29","C16 H28 O3 S1 13C1","16","28","3","-9999","-9999","1","1","-9999","-9999","-9999"
"30","312.171627","312.171834414","312.171750541","994491.4","-9999","589378","14.48","-1","0.268674796","0.986987325","0","0.592192395","9","0.111111111","1.277777778","N3 O2","de-protonated","0","-9999","C18 H23 O2 N3","18","23","2","3","-9999","-9999","-9999","-9999","-9999","-9999"
"31","323.076836","323.077043618","323.07724102","1082666","-9999","621408.2","15.74","-1","-0.611004215","0.934503843","0","0.560702306","8","0.533333333","1.066666667","O8","de-protonated","0","-9999","C15 H16 O8","15","16","8","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"31","323.076836","323.077043618","323.077078829","1082666","-9999","621408.2","15.74","-1","-0.108983981","0.997847162","0","0.598708297","3","0.2","2.1","N4 S2 P1 O2","de-protonated","0","-9999","C10 H21 O2 N4 P1 S2","10","21","2","4","1","2","-9999","-9999","-9999","-9999"
"32","325.092383","325.092590656","325.092891084","2001117.8","-9999","498003.6","30.78","-1","-0.924130512","0.856449178","0","0.513869507","7","0.533333333","1.2","O8","de-protonated","0","-9999","C15 H18 O8","15","18","8","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"32","325.092383","325.092590656","325.092728893","2001117.8","-9999","498003.6","30.78","-1","-0.425223075","0.96772378","0","0.580634268","2","0.2","2.3","N4 S2 P1 O2","de-protonated","0","-9999","C10 H23 O2 N4 P1 S2","10","23","2","4","1","2","-9999","-9999","-9999","-9999"
"33","325.183826","325.184033658","325.184289548","7728870","-9999","503588.7","124.56","-1","-0.786907194","0.895655895","0.997966807","0.93658026","4","0.166666667","1.666666667","S1 O3","de-protonated","0","-9999","C18 H30 O3 S1","18","30","3","-9999","-9999","1","-9999","-9999","-9999","-9999"
