"Index","Mass","Calibrated_Mass","Calculated_Mass","Peak_Height","Peak_Area","Resolving_Power","S_N","Ion_Charge","Error_ppm","Error_Score","Isotopologue_Similarity","Confidence_Score","DBE","OtoC_ratio","HtoC_ratio","Heteroatom_Class","Ion_Type","Is_Isotopologue","Mono_Isotopic_Index","Molecular_Formula","C","H","O","N","P","S","13C","17O","18O","33S","34S"
"3","171.066012","171.06619924","171.066282413","500903.2","-9999","1624279.8","7.38","-1","-0.486204516","0.958013383","0","0.57480803","3","0.5","1.5","O4","de-protonated","0","-9999","C8 H12 O4","8","12","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"24","242.175943","242.176175915","242.176167217","531872.8","-9999","812644.9","7.42","-1","0.035917642","0.999765945","0","0.599859567","2","0.230769231","1.923076923","N1 O3","de-protonated","0","-9999","C13 H25 O3 N1","13","25","3","1","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"25","243.062025","243.062258484","243.062259661","635883","-9999","766976","9.24","-1","-0.00484075","0.999995748","0","0.599997449","5","0.666666667","1.333333333","N2 O6","de-protonated","0","-9999","C9 H12 O6 N2","9","12","6","2","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"26","245.048715","245.04894976","245.048918271","522780.8","-9999","973010.8","7.23","-1","0.12850112","0.997008306","0","0.598204983","4","0.5","1.4","S1 O5","de-protonated","0","-9999","C10 H14 O5 S1","10","14","5","-9999","-9999","1","-9999","-9999","-9999","-9999","-9999"
"27","249.149429","249.149666394","249.149618115","589310.4","-9999","945430.5","8.37","-1","0.193774079","0.99321005","0","0.59592603","5","0.2","1.466666667","O3","de-protonated","0","-9999","C15 H22 O3","15","22","3","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"28","251.055869","251.056107619","251.056111652","530894.1","-9999","926969.1","7.31","-1","-0.016064635","0.999953174","0","0.599971905","7","0.5","1","O6","de-protonated","0","-9999","C12 H12 O6","12","12","6","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"29","253.144309","253.14454896","253.144532735","783853.8","-9999","721890.5","11.75","-1","0.064094473","0.999254868","0","0.599552921","4","0.285714286","1.571428571","O4","de-protonated","0","-9999","C14 H22 O4","14","22","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"32","257.077688","257.077930487","257.077909725","565291.4","-9999","689239.5","7.88","-1","0.080759564","0.998817272","0","0.599290363","5","0.6","1.4","N2 O6","de-protonated","0","-9999","C10 H14 O6 N2","10","14","6","2","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"35","262.991072","262.991318285","262.99142065","823823","-9999","572639.4","12.31","-1","-0.389234544","0.972884298","0","0.583730579","5","0.666666667","1.333333333","N4 S2 O4","de-protonated","0","-9999","C6 H8 O4 N4 S2","6","8","4","4","-9999","2","-9999","-9999","-9999","-9999","-9999"
"39","265.147641","265.14788867","265.147904038","3010090.8","-9999","602762.6","50.2","-1","-0.057960688","0.99939062","0","0.599634372","0","0.333333333","2.166666667","S1 O4","de-protonated","0","-9999","C12 H26 O4 S1","12","26","4","-9999","-9999","1","-9999","-9999","-9999","-9999","-9999"
"46","269.130933","269.131183229","269.131205146","3808671.3","-9999","741854.2","63.83","-1","-0.081437455","0.994156091","0.972593309","0.985530978","4","0.214285714","1.642857143","P1 O3","de-protonated","0","-9999","C14 H23 O3 P1","14","23","3","-9999","1","-9999","-9999","-9999","-9999","-9999","-9999"
"47","269.139175","269.139425234","269.139447355","1943712.1","-9999","781172.9","31.58","-1","-0.082189945","0.998775031","0","0.599265019","4","0.357142857","1.571428571","O5","de-protonated","0","-9999","C14 H22 O5","14","22","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"48","270.134244","270.134494873","270.134559981","719606.9","-9999","780001.1","10.42","-1","-0.241020557","0.989514838","0.972593309","0.982746226","4","0.214285714","1.642857143","13C1 P1 O3","de-protonated","1","46","C13 H23 O3 P1 13C1","13","23","3","-9999","1","-9999","1","-9999","-9999","-9999","-9999"
"48","270.134244","270.134494873","270.134696327","719606.9","-9999","780001.1","10.42","-1","-0.745752414","0.904012509","0","0.542407505","4","0.384615385","1.615384615","N1 O5","de-protonated","0","-9999","C13 H21 O5 N1","13","21","5","1","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"53","279.163205","279.163461673","279.163554103","939178.4","-9999","759946.5","14.1","-1","-0.331096642","0.980305217","0","0.58818313","0","0.307692308","2.153846154","S1 O4","de-protonated","0","-9999","C13 H28 O4 S1","13","28","4","-9999","-9999","1","-9999","-9999","-9999","-9999","-9999"
"54","285.125782","285.126042503","285.126119766","6076968","-9999","650463.7","101.9","-1","-0.270978657","0.992068641","0.989124081","0.990890817","4","0.285714286","1.642857143","P1 O4","de-protonated","0","-9999","C14 H23 O4 P1","14","23","4","-9999","1","-9999","-9999","-9999","-9999","-9999","-9999"
"55","285.134028","285.134288508","285.134361974","641064.5","-9999","925369.8","8.94","-1","-0.257654974","0.988026591","0","0.592815954","4","0.428571429","1.571428571","O6","de-protonated","0","-9999","C14 H22 O6","14","22","6","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"56","286.129179","286.129440147","286.129474601","833635.9","-9999","513494.1","12.23","-1","-0.120412829","0.997372588","0.989124081","0.994073185","4","0.285714286","1.642857143","13C1 P1 O4","de-protonated","1","54","C13 H23 O4 P1 13C1","13","23","4","-9999","1","-9999","1","-9999","-9999","-9999","-9999"
"56","286.129179","286.129440147","286.129610946","833635.9","-9999","513494.1","12.23","-1","-0.596929758","0.937391062","0","0.562434637","4","0.461538462","1.615384615","N1 O6","de-protonated","0","-9999","C13 H21 O6 N1","13","21","6","1","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"57","293.175451","293.175716673","293.175832864","1026673.1","-9999","424489","15.4","-1","-0.396318092","0.9719025","0","0.5831415","5","0.235294118","1.529411765","O4","de-protonated","0","-9999","C17 H26 O4","17","26","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
