"Index","Mass","Calibrated_Mass","Calculated_Mass","Peak_Height","Peak_Area","Resolving_Power","S_N","Ion_Charge","Error_ppm","Error_Score","Isotopologue_Similarity","Confidence_Score","DBE","OtoC_ratio","HtoC_ratio","Heteroatom_Class","Ion_Type","Is_Isotopologue","Mono_Isotopic_Index","Molecular_Formula","C","H","O","N","P","S","13C","15N","18O","33S","34S"
"5","165.019596","165.019419884","165.019332219","698799.6","-9999","1129408.1","11.07","-1","0.531236329","0.95008198","0","0.570049188","6","0.5","0.75","O4","de-protonated","0","-9999","C8 H6 O4","8","6","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"7","171.06656","171.066388235","171.066282413","927554.5","-9999","950556.2","15.35","-1","0.618601727","0.932921123","0","0.559752674","3","0.5","1.5","O4","de-protonated","0","-9999","C8 H12 O4","8","12","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"25","236.105921","236.105796033","236.105718673","1507319.5","-9999","814281.9","24.81","-1","0.327647404","0.980709462","0","0.588425677","1","0.444444444","2.222222222","N1 P1 O4","de-protonated","0","-9999","C9 H20 O4 N1 P1","9","20","4","1","1","-9999","-9999","-9999","-9999","-9999","-9999"
"47","269.131443","269.131341796","269.131205146","851362.9","-9999","584283.9","12.57","-1","0.507744229","0.954299005","0","0.572579403","4","0.214285714","1.642857143","P1 O3","de-protonated","0","-9999","C14 H23 O3 P1","14","23","3","-9999","1","-9999","-9999","-9999","-9999","-9999","-9999"
"49","269.139615","269.139513802","269.139447355","795491.7","-9999","771964.7","11.62","-1","0.246887652","0.989001001","0","0.593400601","4","0.357142857","1.571428571","O5","de-protonated","0","-9999","C14 H22 O5","14","22","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"58","285.124551","285.124461304","285.124465995","717393.4","-9999","678270.6","10.11","-1","-0.01645542","0.999950868","0","0.599970521","9","0.1875","1.125","N2 O3","de-protonated","0","-9999","C16 H18 O3 N2","16","18","3","2","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"60","285.135125","285.135035311","285.135231354","690258.2","-9999","736265.5","9.65","-1","-0.687543498","0.917801898","0","0.550681139","3","0.066666667","1.733333333","S2 O1","de-protonated","0","-9999","C15 H26 O1 S2","15","26","1","-9999","-9999","2","-9999","-9999","-9999","-9999","-9999"
"67","293.031037","293.030952993","293.031160206","649122.6","-9999","730611.6","8.86","-1","-0.707139318","0.9132618","0","0.54795708","8","0.214285714","1","S2 O3","de-protonated","0","-9999","C14 H14 O3 S2","14","14","3","-9999","-9999","2","-9999","-9999","-9999","-9999","-9999"
"69","293.103761","293.103677045","293.103931225","800808","-9999","713693.6","11.4","-1","-0.867201699","0.872444314","0","0.523466589","6","0.0625","1.375","S2 O1","de-protonated","0","-9999","C16 H22 O1 S2","16","22","1","-9999","-9999","2","-9999","-9999","-9999","-9999","-9999"
"74","295.046621","295.046538443","295.046810271","698614.3","-9999","693778.7","9.69","-1","-0.92130475","0.857259944","0","0.514355966","7","0.214285714","1.142857143","S2 O3","de-protonated","0","-9999","C14 H16 O3 S2","14","16","3","-9999","-9999","2","-9999","-9999","-9999","-9999","-9999"
"75","295.083075","295.082992469","295.08319578","648056.9","-9999","640911.2","8.84","-1","-0.688996021","0.917468982","0","0.550481389","6","0.133333333","1.333333333","S2 O2","de-protonated","0","-9999","C15 H20 O2 S2","15","20","2","-9999","-9999","2","-9999","-9999","-9999","-9999","-9999"
"77","297.098676","297.098594919","297.098845845","933708.4","-9999","661436.7","13.54","-1","-0.844585269","0.878594548","0","0.527156729","5","0.133333333","1.466666667","S2 O2","de-protonated","0","-9999","C15 H22 O2 S2","15","22","2","-9999","-9999","2","-9999","-9999","-9999","-9999","-9999"
"80","299.041484","299.041404317","299.041344768","558426.8","-9999","781624.3","7.3","-1","0.199134249","0.992830576","0","0.595698346","11","0.066666667","0.866666667","N2 S1 P1 O1","de-protonated","0","-9999","C15 H13 O1 N2 P1 S1","15","13","1","2","1","1","-9999","-9999","-9999","-9999","-9999"
"81","299.07791","299.077830344","299.0781104","759901.5","-9999","710351.5","10.65","-1","-0.936398476","0.852909487","0","0.511745692","5","0.214285714","1.428571429","S2 O3","de-protonated","0","-9999","C14 H20 O3 S2","14","20","3","-9999","-9999","2","-9999","-9999","-9999","-9999","-9999"
"85","302.066794","302.066716494","302.06701068900003","1022842.5","-9999","514272.8","14.94","-1","-0.97393755","0.841883243","0","0.505129946","10","0.4","0.866666667","N1 O6","de-protonated","0","-9999","C15 H13 O6 N1","15","13","6","1","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"86","303.051725","303.051648203","303.051895651","577028.1","-9999","832173.4","7.56","-1","-0.816521836","0.88605764","0","0.531634584","9","0.125","1","S2 O2","de-protonated","0","-9999","C16 H16 O2 S2","16","16","2","-9999","-9999","2","-9999","-9999","-9999","-9999","-9999"
"87","305.031116","305.031040627","305.031160206","681241.8","-9999","720513.4","9.28","-1","-0.39202341","0.972499749","0","0.58349985","9","0.2","0.933333333","S2 O3","de-protonated","0","-9999","C15 H14 O3 S2","15","14","3","-9999","-9999","2","-9999","-9999","-9999","-9999","-9999"
"89","305.103752","305.103676679","305.103931225","743519.3","-9999","559157.7","10.31","-1","-0.834292073","0.881353808","0","0.528812285","7","0.058823529","1.294117647","S2 O1","de-protonated","0","-9999","C17 H22 O1 S2","17","22","1","-9999","-9999","2","-9999","-9999","-9999","-9999","-9999"
"90","307.083029","307.082955103","307.08319578","900151.6","-9999","622771.4","12.83","-1","-0.783750924","0.894529256","0","0.536717554","7","0.125","1.25","S2 O2","de-protonated","0","-9999","C16 H20 O2 S2","16","20","2","-9999","-9999","2","-9999","-9999","-9999","-9999","-9999"
"93","309.028569","309.028496503","309.028576749","639664.6","-9999","461325.1","8.54","-1","-0.259671974","0.987839543","0","0.592703726","4","0.9","1.4","S1 O9","de-protonated","0","-9999","C10 H14 O9 S1","10","14","9","-9999","-9999","1","-9999","-9999","-9999","-9999","-9999"
"93","309.028569","309.028496503","309.028196627","639664.6","-9999","461325.1","8.54","-1","0.970385429","0.842938927","0","0.505763356","9","0.5","0.916666667","N2 P1 O6","de-protonated","0","-9999","C12 H11 O6 N2 P1","12","11","6","2","1","-9999","-9999","-9999","-9999","-9999","-9999"
"95","309.098749","309.098676554","309.098845845","1034070.1","-9999","607585.9","15.03","-1","-0.54769151","0.947026281","0","0.568215768","6","0.125","1.375","S2 O2","de-protonated","0","-9999","C16 H22 O2 S2","16","22","2","-9999","-9999","2","-9999","-9999","-9999","-9999","-9999"
"99","311.041543","311.041471952","311.04172489","795058.6","-9999","580897.6","11.1","-1","-0.813198492","0.886928839","0","0.532157304","7","0.285714286","1.142857143","S2 O4","de-protonated","0","-9999","C14 H16 O4 S2","14","16","4","-9999","-9999","2","-9999","-9999","-9999","-9999","-9999"
"99","311.041543","311.041471952","311.041344768","795058.6","-9999","580897.6","11.1","-1","0.408896953","0.970117942","0","0.582070765","12","0.0625","0.8125","N2 S1 P1 O1","de-protonated","0","-9999","C16 H13 O1 N2 P1 S1","16","13","1","2","1","1","-9999","-9999","-9999","-9999","-9999"
"100","311.077973","311.077901978","311.0781104","834037.6","-9999","607188.8","11.74","-1","-0.66999828","0.921777049","0","0.553066229","6","0.2","1.333333333","S2 O3","de-protonated","0","-9999","C15 H20 O3 S2","15","20","3","-9999","-9999","2","-9999","-9999","-9999","-9999","-9999"
"101","311.114261","311.114190004","311.114495909","906104.6","-9999","523782","12.92","-1","-0.983255497","0.839101985","0","0.503461191","5","0.125","1.5","S2 O2","de-protonated","0","-9999","C16 H24 O2 S2","16","24","2","-9999","-9999","2","-9999","-9999","-9999","-9999","-9999"
"106","313.031318","313.031248383","313.031353455","886167.3","-9999","609575.9","12.52","-1","-0.335657991","0.979764395","0","0.587858637","8","0.818181818","0.909090909","N2 O9","de-protonated","0","-9999","C11 H10 O9 N2","11","10","9","2","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"107","313.057212","313.057142402","313.057374955","763801.5","-9999","666917.1","10.52","-1","-0.742843939","0.904722971","0","0.542833783","6","0.285714286","1.285714286","S2 O4","de-protonated","0","-9999","C14 H18 O4 S2","14","18","4","-9999","-9999","2","-9999","-9999","-9999","-9999","-9999"
"107","313.057212","313.057142402","313.056994832","763801.5","-9999","666917.1","10.52","-1","0.471383003","0.960483717","0","0.57629023","11","0.0625","0.9375","N2 S1 P1 O1","de-protonated","0","-9999","C16 H15 O1 N2 P1 S1","16","15","1","2","1","1","-9999","-9999","-9999","-9999","-9999"
"108","313.07255","313.072480413","313.072631096","600090.8","-9999","751650.8","7.84","-1","-0.481303737","0.958837961","0","0.575302777","10","0.055555556","1","S2 O1","de-protonated","0","-9999","C18 H18 O1 S2","18","18","1","-9999","-9999","2","-9999","-9999","-9999","-9999","-9999"
"110","313.130128","313.130058455","313.130145974","682015.6","-9999","595476.9","9.18","-1","-0.279497228","0.98592545","0","0.59155527","4","0.125","1.625","S2 O2","de-protonated","0","-9999","C16 H26 O2 S2","16","26","2","-9999","-9999","2","-9999","-9999","-9999","-9999","-9999"
"112","315.029279","315.029210821","315.029245455","687489.7","-9999","463585.6","9.27","-1","-0.109937694","0.99780936","0","0.598685616","7","0.636363636","1.090909091","N2 S1 O7","de-protonated","0","-9999","C11 H12 O7 N2 S1","11","12","7","2","-9999","1","-9999","-9999","-9999","-9999","-9999"
"113","315.109356","315.109287879","315.109410529","643528.6","-9999","686490.3","8.55","-1","-0.389229855","0.972884942","0","0.583730965","4","0.2","1.6","S2 O3","de-protonated","0","-9999","C15 H24 O3 S2","15","24","3","-9999","-9999","2","-9999","-9999","-9999","-9999","-9999"
"114","315.120562","315.120493887","315.120643918","949321.6","-9999","554028.9","13.55","-1","-0.476107231","0.959703936","0","0.575822361","4","0.142857143","1.714285714","N2 S2 O2","de-protonated","0","-9999","C14 H24 O2 N2 S2","14","24","2","2","-9999","2","-9999","-9999","-9999","-9999","-9999"
"116","316.15215","316.152082629","316.1522784","1008803.9","-9999","487501.7","14.52","-1","-0.619228501","0.9327898","0","0.55967388","3","0.071428571","1.928571429","N3 S2 O1","de-protonated","0","-9999","C14 H27 O1 N3 S2","14","27","1","3","-9999","2","-9999","-9999","-9999","-9999","-9999"
