"Index","Mass","Calibrated_Mass","Calculated_Mass","Peak_Height","Peak_Area","Resolving_Power","S_N","Ion_Charge","Error_ppm","Error_Score","Isotopologue_Similarity","Confidence_Score","DBE","OtoC_ratio","HtoC_ratio","Heteroatom_Class","Ion_Type","Is_Isotopologue","Mono_Isotopic_Index","Molecular_Formula","C","H","O","N","P","S","13C","15N","17O","18O","33S","34S"
"4","163.01652","163.016474249","163.016569314","1078499.1","-9999","560757","18.11","-1","-0.583166648","0.940157678","0","0.564094607","2","0.8","1.8","P1 O4","de-protonated","0","-9999","C5 H9 O4 P1","5","9","4","-9999","1","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"18","165.019436","165.019392426","165.019332219","643814.8","-9999","1127330.8","10","-1","0.364847079","0.976136105","0","0.585681663","6","0.5","0.75","O4","de-protonated","0","-9999","C8 H6 O4","8","6","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"22","171.066352","171.066315","171.066282413","1243341.5","-9999","969638.8","21.18","-1","0.19049663","0.993437046","0","0.596062227","3","0.5","1.5","O4","de-protonated","0","-9999","C8 H12 O4","8","12","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"27","195.139034","195.139023172","195.139053431","634009","-9999","906663.8","9.72","-1","-0.155067475","0.995646404","0","0.597387842","3","0.166666667","1.666666667","O2","de-protonated","0","-9999","C12 H20 O2","12","20","2","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"28","195.139188","195.139177172","195.139053431","600857","-9999","1333505.6","9.1","-1","0.634114212","0.929637394","0","0.557782436","3","0.166666667","1.666666667","O2","de-protonated","0","-9999","C12 H20 O2","12","20","2","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"29","199.061209","199.061202436","199.061197032","679890.1","-9999","1014396.8","10.53","-1","0.027145093","0.999866307","0","0.599919784","4","0.555555556","1.333333333","O5","de-protonated","0","-9999","C9 H12 O5","9","12","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"30","200.048345","200.048339509","200.048203796","548686.9","-9999","1062518","8.1","-1","0.678401607","0.919883819","0","0.551930292","4","0.375","1.5","N1 P1 O3","de-protonated","0","-9999","C8 H12 O3 N1 P1","8","12","3","1","1","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"36","209.154721","209.154725409","209.154703496","1876348.8","-9999","915252.3","32.14","-1","0.104771477","0.998010209","0","0.598806125","3","0.153846154","1.692307692","O2","de-protonated","0","-9999","C13 H22 O2","13","22","2","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"38","211.13394","211.133946561","211.133968051","635997.3","-9999","1073392.8","9.55","-1","-0.101783187","0.99812199","0","0.598873194","3","0.25","1.666666667","O3","de-protonated","0","-9999","C12 H20 O3","12","20","3","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"39","211.134139","211.134145561","211.133968051","661501.4","-9999","792914.5","10.01","-1","0.84074737","0.879626303","0","0.527775782","3","0.25","1.666666667","O3","de-protonated","0","-9999","C12 H20 O3","12","20","3","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"57","220.01858","220.01859622","220.0186212","1226479.5","-9999","680532.1","20.07","-1","-0.113534852","0.99766383","0","0.598598298","8","0.222222222","0.777777778","N3 S1 O2","de-protonated","0","-9999","C9 H7 O2 N3 S1","9","7","2","3","-9999","1","-9999","-9999","-9999","-9999","-9999","-9999"
"62","220.022142","220.022158224","220.021992503","501392","-9999","962562.1","7.03","-1","0.753200937","0.902182949","0","0.541309769","3","0.333333333","1.833333333","N3 S2 O2","de-protonated","0","-9999","C6 H11 O2 N3 S2","6","11","2","3","-9999","2","-9999","-9999","-9999","-9999","-9999","-9999"
"76","221.154686","221.154703455","221.154703496","2156124.3","-9999","750929.1","36.79","-1","-1.82613e-4","0.999999994","0","0.599999996","4","0.142857143","1.571428571","O2","de-protonated","0","-9999","C14 H22 O2","14","22","2","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
