"Index","Mass","Calibrated_Mass","Calculated_Mass","Peak_Height","Peak_Area","Resolving_Power","S_N","Ion_Charge","Error_ppm","Error_Score","Isotopologue_Similarity","Confidence_Score","DBE","OtoC_ratio","HtoC_ratio","Heteroatom_Class","Ion_Type","Is_Isotopologue","Mono_Isotopic_Index","Molecular_Formula","C","H","O","N","P","S","13C","17O","18O","33S","34S"
"2","165.019275","165.019459116","165.019332219","740997.9","-9999","1230552.6","11.87","-1","0.768982783","0.898258966","0","0.538955379","6","0.5","0.75","O4","de-protonated","0","-9999","C8 H6 O4","8","6","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"9","179.034935","179.035125272","179.034982284","536699.6","-9999","1400677","8.05","-1","0.798658152","0.890708627","0","0.534425176","6","0.444444444","0.888888889","O4","de-protonated","0","-9999","C9 H8 O4","9","8","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"13","199.061049","199.061248066","199.061197032","541509.5","-9999","1056306.8","8.03","-1","0.256373521","0.988144687","0","0.592886812","4","0.555555556","1.333333333","O5","de-protonated","0","-9999","C9 H12 O5","9","12","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"26","245.04873","245.048949262","245.048918271","539577.1","-9999","875023.7","7.52","-1","0.126469952","0.997101999","0","0.5982612","4","0.5","1.4","S1 O5","de-protonated","0","-9999","C10 H14 O5 S1","10","14","5","-9999","-9999","1","-9999","-9999","-9999","-9999","-9999"
"27","249.149349","249.149570063","249.149618115","727575.6","-9999","850134.7","10.79","-1","-0.192864546","0.993273427","0","0.595964056","5","0.2","1.466666667","O3","de-protonated","0","-9999","C15 H22 O3","15","22","3","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"29","253.144266","253.144488818","253.144532735","844871.7","-9999","694994.5","12.8","-1","-0.173486944","0.994553693","0","0.596732216","4","0.285714286","1.571428571","O4","de-protonated","0","-9999","C14 H22 O4","14","22","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"30","257.077598","257.077822545","257.077909725","601482.1","-9999","896858","8.49","-1","-0.339119184","0.979349279","0","0.587609567","5","0.6","1.4","N2 O6","de-protonated","0","-9999","C10 H14 O6 N2","10","14","6","2","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"33","262.991051","262.991278142","262.99142065","1071869","-9999","569215.9","16.61","-1","-0.541873993","0.948116105","0","0.568869663","5","0.666666667","1.333333333","N4 S2 O4","de-protonated","0","-9999","C6 H8 O4 N4 S2","6","8","4","4","-9999","2","-9999","-9999","-9999","-9999","-9999"
"36","262.994586","262.994813144","262.994574022","535037.4","-9999","977065","7.27","-1","0.909224884","0.860706432","0","0.516423859","10","0.7","0.4","N2 O7","de-protonated","0","-9999","C10 H4 O7 N2","10","4","7","2","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"38","265.1476","265.147828089","265.147904038","2271584.8","-9999","661602.8","37.33","-1","-0.2864407","0.98522272","0","0.591133632","0","0.333333333","2.166666667","S1 O4","de-protonated","0","-9999","C12 H26 O4 S1","12","26","4","-9999","-9999","1","-9999","-9999","-9999","-9999","-9999"
