"Index","Mass","Calibrated_Mass","Calculated_Mass","Peak_Height","Peak_Area","Resolving_Power","S_N","Ion_Charge","Error_ppm","Error_Score","Isotopologue_Similarity","Confidence_Score","DBE","OtoC_ratio","HtoC_ratio","Heteroatom_Class","Ion_Type","Is_Isotopologue","Mono_Isotopic_Index","Molecular_Formula","C","H","O","N","P","S","13C","17O","18O","33S","34S"
"15","227.103516","227.103671729","227.10373055","630101.1","-9999","719023.4","9.35","-1","-0.259005356","0.98790152","0","0.592740912","4","0.4","1.6","N2 O4","de-protonated","0","-9999","C10 H16 O4 N2","10","16","4","2","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"17","243.062058","243.062212027","243.062259661","690738.8","-9999","998683.9","10.21","-1","-0.195972636","0.993055638","0","0.595833383","5","0.666666667","1.333333333","N2 O6","de-protonated","0","-9999","C9 H12 O6 N2","9","12","6","2","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"18","245.048399","245.048552815","245.048538149","660251.8","-9999","743309.7","9.67","-1","0.059852066","0.999350213","0","0.599610128","9","0.166666667","0.916666667","N2 P1 O2","de-protonated","0","-9999","C12 H11 O2 N2 P1","12","11","2","2","1","-9999","-9999","-9999","-9999","-9999","-9999"
"19","245.048702","245.048855815","245.048918271","733339.9","-9999","663911.4","10.96","-1","-0.254871115","0.988282415","0","0.592969449","4","0.5","1.4","S1 O5","de-protonated","0","-9999","C10 H14 O5 S1","10","14","5","-9999","-9999","1","-9999","-9999","-9999","-9999","-9999"
"20","249.149368","249.149521378","249.149618115","577264.5","-9999","937310.5","8.16","-1","-0.388271101","0.973016541","0","0.583809925","5","0.2","1.466666667","O3","de-protonated","0","-9999","C15 H22 O3","15","22","3","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"21","253.144282","253.144434952","253.144532735","756249.9","-9999","751825.9","11.28","-1","-0.386274556","0.973289603","0","0.583973762","4","0.285714286","1.571428571","O4","de-protonated","0","-9999","C14 H22 O4","14","22","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"23","257.077665","257.077817532","257.077909725","775321.2","-9999","912558.4","11.56","-1","-0.358618965","0.976934498","0","0.586160699","5","0.6","1.4","N2 O6","de-protonated","0","-9999","C10 H14 O6 N2","10","14","6","2","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"25","262.991105","262.991256901","262.99142065","603550.4","-9999","457753.9","8.48","-1","-0.622639789","0.932073055","0","0.559243833","5","0.666666667","1.333333333","N4 S2 O4","de-protonated","0","-9999","C6 H8 O4 N4 S2","6","8","4","4","-9999","2","-9999","-9999","-9999","-9999","-9999"
"26","265.147635","265.147786671","265.147904038","3261108.8","-9999","589023.5","54.56","-1","-0.442647184","0.965072138","0","0.579043283","0","0.333333333","2.166666667","S1 O4","de-protonated","0","-9999","C12 H26 O4 S1","12","26","4","-9999","-9999","1","-9999","-9999","-9999","-9999","-9999"
"26","265.147635","265.147786671","265.147523916","3261108.8","-9999","589023.5","54.56","-1","0.990978694","0.418391858","0.86849267","0.598432183","5","0.071428571","1.642857143","N2 P1 O1","de-protonated","0","-9999","C14 H23 O1 N2 P1","14","23","1","2","1","-9999","-9999","-9999","-9999","-9999","-9999"
"31","269.130917","269.131068246","269.131205146","3712322.8","-9999","749250.2","62.16","-1","-0.508672406","0.477067831","0.86849267","0.633637766","4","0.214285714","1.642857143","P1 O3","de-protonated","0","-9999","C14 H23 O3 P1","14","23","3","-9999","1","-9999","-9999","-9999","-9999","-9999","-9999"
"32","269.139134","269.139285246","269.139447355","1468867.4","-9999","643387.2","23.37","-1","-0.602323389","0.93629152","0","0.561774912","4","0.357142857","1.571428571","O5","de-protonated","0","-9999","C14 H22 O5","14","22","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"34","279.163183","279.163333176","279.163554103","996645.3","-9999","756366.8","15.08","-1","-0.791387076","0.892579107","0","0.535547464","0","0.307692308","2.153846154","S1 O4","de-protonated","0","-9999","C13 H28 O4 S1","13","28","4","-9999","-9999","1","-9999","-9999","-9999","-9999","-9999"
"34","279.163183","279.163333176","279.16317398","996645.3","-9999","756366.8","15.08","-1","0.570261789","0.942700319","0","0.565620191","5","0.066666667","1.666666667","N2 P1 O1","de-protonated","0","-9999","C15 H25 O1 N2 P1","15","25","1","2","1","-9999","-9999","-9999","-9999","-9999","-9999"
"35","281.066255","281.066404973","281.066676336","690616","-9999","772453.3","9.82","-1","-0.965473806","0.844394464","0","0.506636679","7","0.538461538","1.076923077","O7","de-protonated","0","-9999","C13 H14 O7","13","14","7","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"35","281.066255","281.066404973","281.066514145","690616","-9999","772453.3","9.82","-1","-0.38841761","0.972996451","0","0.583797871","2","0.125","2.375","N4 S2 P1 O1","de-protonated","0","-9999","C8 H19 O1 N4 P1 S2","8","19","1","4","1","2","-9999","-9999","-9999","-9999","-9999"
"36","285.125772","285.12592154","285.126119766","5223010.5","-9999","607341.4","87.24","-1","-0.695219752","0.917142368","0.991694278","0.946963132","4","0.285714286","1.642857143","P1 O4","de-protonated","0","-9999","C14 H23 O4 P1","14","23","4","-9999","1","-9999","-9999","-9999","-9999","-9999","-9999"
"37","286.129129","286.129278433","286.129474601","848937.6","-9999","854589","12.48","-1","-0.685589646","0.918248801","0.991694278","0.947626992","4","0.285714286","1.642857143","13C1 P1 O4","de-protonated","1","36","C13 H23 O4 P1 13C1","13","23","4","-9999","1","-9999","1","-9999","-9999","-9999","-9999"
"38","293.175474","293.175622682","293.175832864","1605255.3","-9999","554809.8","25.19","-1","-0.716915222","0.91095779","0","0.546574674","5","0.235294118","1.529411765","O4","de-protonated","0","-9999","C17 H26 O4","17","26","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"39","293.178824","293.178972681","293.179204167","2133383.5","-9999","487975.6","34.14","-1","-0.789571332","0.893044146","0","0.535826487","0","0.285714286","2.142857143","S1 O4","de-protonated","0","-9999","C14 H30 O4 S1","14","30","4","-9999","-9999","1","-9999","-9999","-9999","-9999","-9999"
"39","293.178824","293.178972681","293.178824045","2133383.5","-9999","487975.6","34.14","-1","0.506982814","0.9544328","0","0.57265968","5","0.0625","1.6875","N2 P1 O1","de-protonated","0","-9999","C16 H27 O1 N2 P1","16","27","1","2","1","-9999","-9999","-9999","-9999","-9999","-9999"
"41","297.152651","297.152799257","297.152989419","1473418.3","-9999","683935.5","22.86","-1","-0.639944027","0.928385352","0","0.557031211","4","0.1875","1.625","S1 O3","de-protonated","0","-9999","C16 H26 O3 S1","16","26","3","-9999","-9999","1","-9999","-9999","-9999","-9999","-9999"
"42","300.992197","300.992344848","300.992466022","722305.9","-9999","666505.4","10.13","-1","-0.402582281","0.971020362","0","0.582612217","12","0.384615385","0.461538462","N2 S1 O5","de-protonated","0","-9999","C13 H6 O5 N2 S1","13","6","5","2","-9999","1","-9999","-9999","-9999","-9999","-9999"
"44","305.066357","305.066504413","305.066676336","552202.6","-9999","574267.9","7.27","-1","-0.563557232","0.94400151","0","0.566400906","9","0.466666667","0.933333333","O7","de-protonated","0","-9999","C15 H14 O7","15","14","7","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"44","305.066357","305.066504413","305.066514145","552202.6","-9999","574267.9","7.27","-1","-0.031898623","0.999815389","0","0.599889233","4","0.1","1.9","N4 S2 P1 O1","de-protonated","0","-9999","C10 H19 O1 N4 P1 S2","10","19","1","4","1","2","-9999","-9999","-9999","-9999","-9999"
"45","307.045523","307.045670202","307.045940891","551821.2","-9999","669865.7","7.23","-1","-0.881590398","0.868470019","0","0.521082011","9","0.571428571","0.857142857","O8","de-protonated","0","-9999","C14 H12 O8","14","12","8","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"45","307.045523","307.045670202","307.0457787","551821.2","-9999","669865.7","7.23","-1","-0.353359111","0.977598558","0","0.586559135","4","0.222222222","1.888888889","N4 S2 P1 O2","de-protonated","0","-9999","C9 H17 O2 N4 P1 S2","9","17","2","4","1","2","-9999","-9999","-9999","-9999","-9999"
"46","307.081843","307.081990198","307.082164209","553487.6","-9999","770408.6","7.25","-1","-0.566658269","0.943401364","0","0.566040818","3","0.1","2.1","N4 S2 P1 O1","de-protonated","0","-9999","C10 H21 O1 N4 P1 S2","10","21","1","4","1","2","-9999","-9999","-9999","-9999","-9999"
"47","307.194388","307.194535186","307.194474109","619223.1","-9999","646728.1","8.35","-1","0.198822482","0.992852927","0","0.595711756","5","0.058823529","1.705882353","N2 P1 O1","de-protonated","0","-9999","C17 H29 O1 N2 P1","17","29","1","2","1","-9999","-9999","-9999","-9999","-9999","-9999"
"48","309.097468","309.097614983","309.097814273","568726.8","-9999","706709.9","7.51","-1","-0.64474771","0.92734636","0","0.556407816","2","0.1","2.3","N4 S2 P1 O1","de-protonated","0","-9999","C10 H23 O1 N4 P1 S2","10","23","1","4","1","2","-9999","-9999","-9999","-9999","-9999"
"50","311.168231","311.168377762","311.168639483","5810468.5","-9999","556673.1","95.17","-1","-0.841089708","0.882050766","0.991879914","0.925982425","4","0.176470588","1.647058824","S1 O3","de-protonated","0","-9999","C17 H28 O3 S1","17","28","3","-9999","-9999","1","-9999","-9999","-9999","-9999","-9999"
"51","312.171591","312.171737655","312.171994318","1002858.4","-9999","465810","14.69","-1","-0.822184053","0.88456712","0.991879914","0.927492238","4","0.176470588","1.647058824","13C1 S1 O3","de-protonated","1","50","C16 H28 O3 S1 13C1","16","28","3","-9999","-9999","1","1","-9999","-9999","-9999","-9999"
"51","312.171591","312.171737655","312.171750541","1002858.4","-9999","465810","14.69","-1","-0.041278352","0.999690877","0","0.599814526","9","0.111111111","1.277777778","N3 O2","de-protonated","0","-9999","C18 H23 O2 N3","18","23","2","3","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"57","321.061017","321.061162707","321.061428764","755267.8","-9999","473361.5","10.51","-1","-0.82867903","0.882847823","0","0.529708694","4","0.2","1.9","N4 S2 P1 O2","de-protonated","0","-9999","C10 H19 O2 N4 P1 S2","10","19","2","4","1","2","-9999","-9999","-9999","-9999","-9999"
"58","323.076843","323.076988492","323.07724102","890153.2","-9999","601736.9","12.64","-1","-0.781632543","0.895067655","0","0.537040593","8","0.533333333","1.066666667","O8","de-protonated","0","-9999","C15 H16 O8","15","16","8","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"58","323.076843","323.076988492","323.077078829","890153.2","-9999","601736.9","12.64","-1","-0.279612394","0.985913931","0","0.591548359","3","0.2","2.1","N4 S2 P1 O2","de-protonated","0","-9999","C10 H21 O2 N4 P1 S2","10","21","2","4","1","2","-9999","-9999","-9999","-9999","-9999"
"59","323.113136","323.113281488","323.11346433800003","718636.2","-9999","706913.7","9.82","-1","-0.56589897","0.943548581","0","0.566129148","2","0.090909091","2.272727273","N4 S2 P1 O1","de-protonated","0","-9999","C11 H25 O1 N4 P1 S2","11","25","1","4","1","2","-9999","-9999","-9999","-9999","-9999"
"60","325.092402","325.092547277","325.092728893","1318485.1","-9999","493824.6","19.68","-1","-0.558658478","0.944943627","0","0.566966176","2","0.2","2.3","N4 S2 P1 O2","de-protonated","0","-9999","C10 H23 O2 N4 P1 S2","10","23","2","4","1","2","-9999","-9999","-9999","-9999","-9999"
"63","326.187159","326.18730416","326.187400606","1211829.5","-9999","449670","17.92","-1","-0.295674797","0.984262258","0","0.590557355","9","0.105263158","1.315789474","N3 O2","de-protonated","0","-9999","C19 H25 O2 N3","19","25","2","3","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"65","328.15094","328.151084951","328.15140902","581863.9","-9999","542308.5","7.57","-1","-0.987558411","0.837811827","0","0.50268709600000006","5","0.428571429","1.642857143","N3 O6","de-protonated","0","-9999","C14 H23 O6 N3","14","23","6","3","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
