"Index","Mass","Calibrated_Mass","Calculated_Mass","Peak_Height","Peak_Area","Resolving_Power","S_N","Ion_Charge","Error_ppm","Error_Score","Isotopologue_Similarity","Confidence_Score","DBE","OtoC_ratio","HtoC_ratio","Heteroatom_Class","Ion_Type","Is_Isotopologue","Mono_Isotopic_Index","Molecular_Formula","C","H","O","N","P","S","13C","17O","18O","33S","34S"
"3","161.082112","161.082065462","161.081932477","781476.7","-9999","1315646","12.6","-1","0.82557474","0.883670836","0","0.530202501","1","0.571428571","2","O4","de-protonated","0","-9999","C7 H14 O4","7","14","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"8","171.066464","171.066412113","171.066282413","1665309.8","-9999","793961.3","29.11","-1","0.758188426","0.900949816","0","0.54056989","3","0.5","1.5","O4","de-protonated","0","-9999","C8 H12 O4","8","12","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"9","173.082093","173.082040033","173.081932477","1567240","-9999","884585.2","27.28","-1","0.621417452","0.932330269","0","0.559398161","2","0.5","1.75","O4","de-protonated","0","-9999","C8 H14 O4","8","14","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"20","187.097795","187.097734524","187.097582542","939785.2","-9999","1012385.1","15.55","-1","0.812317826","0.887159249","0","0.53229555","2","0.444444444","1.777777778","O4","de-protonated","0","-9999","C9 H16 O4","9","16","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"21","189.077034","189.076972464","189.076847097","1631325.4","-9999","706646.1","28.39","-1","0.663048955","0.923327767","0","0.55399666","2","0.625","1.75","O5","de-protonated","0","-9999","C8 H14 O5","8","14","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"24","195.139267","195.139202216","195.139053431","1559164.9","-9999","773454.3","26.84","-1","0.762454599","0.899889917","0","0.53993395","3","0.166666667","1.666666667","O2","de-protonated","0","-9999","C12 H20 O2","12","20","2","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"28","199.061069","199.061002115","199.061197032","545265.3","-9999","1075068.1","8.07","-1","-0.979182916","0.84031971","0","0.504191826","4","0.555555556","1.333333333","O5","de-protonated","0","-9999","C9 H12 O5","9","12","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"29","199.061445","199.061378115","199.061197032","3085169.3","-9999","895220.8","54.92","-1","0.909682438","0.860576466","0","0.51634588","4","0.555555556","1.333333333","O5","de-protonated","0","-9999","C9 H12 O5","9","12","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"31","205.108278","205.108207875","205.108147226","868729.8","-9999","1131876.1","13.92","-1","0.295695122","0.984260112","0","0.590556067","1","0.555555556","2","O5","de-protonated","0","-9999","C9 H18 O5","9","18","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"34","209.154835","209.154762707","209.154703496","3713332.3","-9999","859544.8","65.6","-1","0.283098144","0.49278155","0.876728111","0.646360175","3","0.153846154","1.692307692","O2","de-protonated","0","-9999","C13 H22 O2","13","22","2","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"36","211.09773","211.097656666","211.097582542","1401721.3","-9999","1021214.8","23.46","-1","0.35113919","0.977876013","0","0.586725608","4","0.363636364","1.454545455","O4","de-protonated","0","-9999","C11 H16 O4","11","16","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"37","211.134104","211.134030647","211.133968051","832446.3","-9999","1037817.6","13.13","-1","0.296474306","0.984177711","0","0.590506627","3","0.25","1.666666667","O3","de-protonated","0","-9999","C12 H20 O3","12","20","3","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"40","215.129022","215.128946506","215.128882671","500439.3","-9999","1109014.4","7.07","-1","0.296733435","0.984150261","0","0.590490156","2","0.363636364","1.818181818","O4","de-protonated","0","-9999","C11 H20 O4","11","20","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"41","217.071907","217.071830466","217.071761716","2463897.8","-9999","877712","42.47","-1","0.31671214600000003","0.981964131","0","0.589178479","3","0.666666667","1.555555556","O6","de-protonated","0","-9999","C9 H14 O6","9","14","6","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
