"Index","Mass","Calibrated_Mass","Calculated_Mass","Peak_Height","Peak_Area","Resolving_Power","S_N","Ion_Charge","Error_ppm","Error_Score","Isotopologue_Similarity","Confidence_Score","DBE","OtoC_ratio","HtoC_ratio","Heteroatom_Class","Ion_Type","Is_Isotopologue","Mono_Isotopic_Index","Molecular_Formula","C","H","O","N","P","S","13C","15N","17O","18O","33S","34S","36S"
"12","163.014951","163.01485733","163.014915544","692297.8","-9999","633377.3","10.9","-1","-0.357107237","0.977126313","0","0.586275788","7","0.428571429","0.571428571","N2 O3","de-protonated","0","-9999","C7 H4 O3 N2","7","4","3","2","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"13","163.015073","163.01497933","163.014915544","1090941.3","-9999","808170.1","18.33","-1","0.391290389","0.972601075","0","0.583560645","7","0.428571429","0.571428571","N2 O3","de-protonated","0","-9999","C7 H4 O3 N2","7","4","3","2","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"17","163.016698","163.01660433","163.016569314","1732165.1","-9999","464890","30.28","-1","0.214797596","0.991663264","0","0.594997958","2","0.8","1.8","P1 O4","de-protonated","0","-9999","C5 H9 O4 P1","5","9","4","-9999","1","-9999","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"23","163.018242","163.01814833","163.018286847","1605494.1","-9999","880689","27.92","-1","-0.849706997","0.877212238","0","0.526327343","2","0.75","2","N2 S1 O3","de-protonated","0","-9999","C4 H8 O3 N2 S1","4","8","3","2","-9999","1","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"26","163.018921","163.01882733","163.018938296","905173.2","-9999","880685.4","14.87","-1","-0.680697561","0.91936313","0","0.551617878","11","0.083333333","0.333333333","O1","de-protonated","0","-9999","C12 H4 O1","12","4","1","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"27","163.019054","163.01896033","163.018938296","758390.2","-9999","1159697.6","12.14","-1","0.135158406","0.99669082","0","0.598014492","11","0.083333333","0.333333333","O1","de-protonated","0","-9999","C12 H4 O1","12","4","1","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"80","186.113769","186.113670747","186.113566959","527601.4","-9999","1352450","7.84","-1","0.557663469","0.945134094","0","0.567080457","2","0.333333333","1.888888889","N1 O3","de-protonated","0","-9999","C9 H17 O3 N1","9","17","3","1","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"82","187.014847","187.014748569","187.014915544","775649.9","-9999","770603.4","12.45","-1","-0.89284579","0.865328476","0","0.519197085","9","0.333333333","0.444444444","N2 O3","de-protonated","0","-9999","C9 H4 O3 N2","9","4","3","2","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"115","199.061424","199.061323179","199.061197032","633303.8","-9999","1350610.4","9.64","-1","0.633706184","0.929724658","0","0.557834795","4","0.555555556","1.333333333","O5","de-protonated","0","-9999","C9 H12 O5","9","12","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"142","212.979839","212.979735417","212.979793338","1297544.4","-9999","863881.6","21.38","-1","-0.271954094","0.986669875","0","0.592001925","6","0.285714286","0.857142857","N2 S2 O2","de-protonated","0","-9999","C7 H6 O2 N2 S2","7","6","2","2","-9999","2","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"146","213.963856","213.963752222","213.963808921","583275.6","-9999","920219.5","8.49","-1","-0.264992804","0.987339288","0","0.592403573","6","0.428571429","0.714285714","N1 S2 O3","de-protonated","0","-9999","C7 H5 O3 N1 S2","7","5","3","1","-9999","2","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"157","215.128919","215.128814991","215.128882671","805325.4","-9999","1076653.6","12.47","-1","-0.314601238","0.982201605","0","0.589320963","2","0.363636364","1.818181818","O4","de-protonated","0","-9999","C11 H20 O4","11","20","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"158","215.129195","215.129090991","215.128882671","837645.4","-9999","1270179.4","13.05","-1","0.968350367","0.8435426","0","0.50612556","2","0.363636364","1.818181818","O4","de-protonated","0","-9999","C11 H20 O4","11","20","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"173","219.041205","219.041100215","219.041130293","567226.3","-9999","960546.5","8.13","-1","-0.137317251","0.996584445","0","0.597950667","8","0.4","0.8","N2 O4","de-protonated","0","-9999","C10 H8 O4 N2","10","8","4","2","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"187","220.020401","220.02029602","220.02027497","680666.9","-9999","687012.6","10.15","-1","0.095672355","0.998340542","0","0.599004325","3","0.428571429","1.714285714","N1 S1 P1 O3","de-protonated","0","-9999","C7 H12 O3 N1 P1 S1","7","12","3","1","1","1","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"190","220.147495","220.147389995","220.147189563","627983.9","-9999","753805.4","9.21","-1","0.910444745","0.860359835","0","0.516215901","0","0.2","2.4","N1 P1 O2","de-protonated","0","-9999","C10 H24 O2 N1 P1","10","24","2","1","1","-9999","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"206","221.082192","221.08208681","221.081932477","634955.2","-9999","1393288.7","9.33","-1","0.698077915","0.915374267","0","0.54922456","6","0.333333333","1.166666667","O4","de-protonated","0","-9999","C12 H14 O4","12","14","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"222","227.128958","227.12885161","227.128882671","553370.9","-9999","1082337.3","7.8","-1","-0.136753492","0.996612385","0","0.597967431","3","0.333333333","1.666666667","O4","de-protonated","0","-9999","C12 H20 O4","12","20","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"240","231.087476","231.087368825","231.087411781","552603.9","-9999","1048222.5","7.72","-1","-0.185887553","0.993749803","0","0.596249882","3","0.6","1.6","O6","de-protonated","0","-9999","C10 H16 O6","10","16","6","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"241","231.088162","231.088054824","231.088281161","1417308","-9999","823866","22.89","-1","-0.979436423","0.840244006","0","0.504146404","2","0.090909091","1.818181818","S2 O1","de-protonated","0","-9999","C11 H20 O1 S2","11","20","1","-9999","-9999","2","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"249","234.065184","234.065076234","234.064916489","866485.8","-9999","914697.2","13.16","-1","0.682480869","0.918957693","0","0.551374616","3","0.571428571","2","N3 P1 O4","de-protonated","0","-9999","C7 H14 O4 N3 P1","7","14","4","3","1","-9999","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"250","235.061321","235.061213036","235.061197032","531946.5","-9999","1112030.5","7.31","-1","0.068083505","0.999159273","0","0.599495564","7","0.416666667","1","O5","de-protonated","0","-9999","C12 H12 O5","12","12","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"255","236.105707","236.105598829","236.105718673","647912.3","-9999","1890517.1","9.34","-1","-0.507588469","0.95432639","0","0.572595834","1","0.444444444","2.222222222","N1 P1 O4","de-protonated","0","-9999","C9 H20 O4 N1 P1","9","20","4","1","1","-9999","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"258","237.041252","237.041143643","237.041330967","687954.4","-9999","570560.6","9.99","-1","-0.790258877","0.892868153","0","0.535720892","6","0.083333333","1.166666667","S2 O1","de-protonated","0","-9999","C12 H14 O1 S2","12","14","1","-9999","-9999","2","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"264","239.056858","239.056749243","239.056981032","700864.9","-9999","988587.9","10.21","-1","-0.969594693","0.843173587","0","0.505904152","5","0.083333333","1.333333333","S2 O1","de-protonated","0","-9999","C12 H16 O1 S2","12","16","1","-9999","-9999","2","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"268","239.128934","239.128825229","239.128882671","1826190","-9999","1092895.6","29.79","-1","-0.240211512","0.989584744","0","0.593750847","4","0.307692308","1.538461538","O4","de-protonated","0","-9999","C13 H20 O4","13","20","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"275","241.046699","241.046589849","241.046609596","3130345.8","-9999","597711.7","52.26","-1","-0.08192483","0.998782916","0","0.59926975","6","0.666666667","1.111111111","N2 O6","de-protonated","0","-9999","C9 H10 O6 N2","9","10","6","2","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"276","241.047378","241.047268848","241.047478976","15850218","-9999","721960","272.65","-1","-0.871727463","0.58299383","0.916445362","0.716374443","5","0.1","1.4","N2 S2 O1","de-protonated","0","-9999","C10 H14 O1 N2 S2","10","14","1","2","-9999","2","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"278","241.072516","241.072406843","241.072631096","1235694.5","-9999","1281494.8","19.43","-1","-0.930229009","0.854693574","0","0.512816144","4","0.083333333","1.5","S2 O1","de-protonated","0","-9999","C12 H18 O1 S2","12","18","1","-9999","-9999","2","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"279","241.073043","241.072933843","241.073099127","3776238.5","-9999","702063.8","63.45","-1","-0.685615732","0.459121421","0.885121231","0.629521345","10","0.166666667","0.833333333","N4 O2","de-protonated","0","-9999","C12 H10 O2 N4","12","10","2","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"280","241.10821","241.108100836","241.108147226","558389","-9999","1344652.2","7.69","-1","-0.192400452","0.993305652","0","0.595983391","4","0.416666667","1.5","O5","de-protonated","0","-9999","C12 H18 O5","12","18","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"281","241.10849","241.108380836","241.108147226","664181","-9999","1216254.1","9.53","-1","0.968903915","0.84337848","0","0.506027088","4","0.416666667","1.5","O5","de-protonated","0","-9999","C12 H18 O5","12","18","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"284","241.144556","241.144446829","241.144532735","798971.6","-9999","961453.9","11.86","-1","-0.356242278","0.977235715","0","0.586341429","3","0.307692308","1.692307692","O4","de-protonated","0","-9999","C13 H22 O4","13","22","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"285","241.144826","241.144716829","241.144532735","993403.6","-9999","1135397.5","15.23","-1","0.763417966","0.899649926","0","0.539789955","3","0.307692308","1.692307692","O4","de-protonated","0","-9999","C13 H22 O4","13","22","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"291","242.050738","242.050628649","242.050833811","1405855.4","-9999","744063.5","22.37","-1","-0.847598187","0.585188091","0.916445362","0.717690999","5","0.1","1.4","13C1 N2 S2 O1","de-protonated","1","276","C9 H14 O1 N2 S2 13C1","9","14","1","2","-9999","2","1","-9999","-9999","-9999","-9999","-9999","N/A"
"293","242.139878","242.139768632","242.139781707","622255.4","-9999","1070607.9","8.8","-1","-0.054000022","0.999471035","0","0.599682621","3","0.333333333","1.75","N1 O4","de-protonated","0","-9999","C12 H21 O4 N1","12","21","4","1","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"296","242.176242","242.176132624","242.176167217","3204790","-9999","743062.3","53.54","-1","-0.142838656","0.996304768","0","0.597782861","2","0.230769231","1.923076923","N1 O3","de-protonated","0","-9999","C13 H25 O3 N1","13","25","3","1","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"299","243.088195","243.088085444","243.088281161","1672922.3","-9999","781024.3","26.88","-1","-0.805127801","0.889033268","0","0.533419961","3","0.083333333","1.666666667","S2 O1","de-protonated","0","-9999","C12 H20 O1 S2","12","20","1","-9999","-9999","2","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"300","243.123896","243.123786436","243.12379729","963552.7","-9999","938888","14.64","-1","-0.044642675","0.999638444","0","0.599783066","3","0.416666667","1.666666667","O5","de-protonated","0","-9999","C12 H20 O5","12","20","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"303","243.160286","243.160176429","243.160182799","1868135.3","-9999","1051569.6","30.25","-1","-0.026197819","0.999875475","0","0.599925285","2","0.307692308","1.846153846","O4","de-protonated","0","-9999","C13 H24 O4","13","24","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"305","243.171532","243.171422427","243.171416189","534697.3","-9999","892022.9","7.24","-1","0.025653559","0.999880595","0","0.599928357","2","0.25","2","N2 O3","de-protonated","0","-9999","C12 H24 O3 N2","12","24","3","2","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"314","245.067511","245.067401051","245.067545716","557116.8","-9999","840635.8","7.63","-1","-0.590306428","0.9387295","0","0.5632377","3","0.181818182","1.636363636","S2 O2","de-protonated","0","-9999","C11 H18 O2 S2","11","18","2","-9999","-9999","2","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"315","245.103404","245.103294044","245.103061845","609859.2","-9999","1386139.2","8.54","-1","0.947350268","0.849722706","0","0.509833623","3","0.545454545","1.636363636","O6","de-protonated","0","-9999","C11 H18 O6","11","18","6","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"316","245.10389","245.103780044","245.103931225","1921731.3","-9999","738852.3","31.17","-1","-0.616805754","0.933296784","0","0.55997807","2","0.083333333","1.833333333","S2 O1","de-protonated","0","-9999","C12 H22 O1 S2","12","22","1","-9999","-9999","2","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"317","245.104312","245.104202044","245.104399256","576323.4","-9999","869350.1","7.96","-1","-0.804605097","0.88916901","0","0.533501406","8","0.166666667","1.166666667","N4 O2","de-protonated","0","-9999","C12 H14 O2 N4","12","14","2","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"318","245.13955","245.13944003700001","245.139447355","543017.6","-9999","748672.2","7.38","-1","-0.029852683","0.999838309","0","0.599902985","2","0.416666667","1.833333333","O5","de-protonated","0","-9999","C12 H22 O5","12","22","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"321","246.970806","246.970695673","246.970667949","602958.4","-9999","787891.4","8.37","-1","0.112257628","0.997716037","0","0.598629622","10","0.454545455","0.363636364","S1 O5","de-protonated","0","-9999","C11 H4 O5 S1","11","4","5","-9999","-9999","1","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"324","247.119552","247.119441644","247.11958129","928808.6","-9999","799925.3","13.97","-1","-0.565094396","0.943704385","0","0.566222631","1","0.083333333","2","S2 O1","de-protonated","0","-9999","C12 H24 O1 S2","12","24","1","-9999","-9999","2","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"327","248.080853","248.080742453","248.080566553","49128400","-9999","692238.1","841.87","-1","0.709042252","0.304271779","0.911173587","0.547032502","3","0.5","2","N3 P1 O4","de-protonated","0","-9999","C8 H16 O4 N3 P1","8","16","4","3","1","-9999","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"331","249.041315","249.041204262","249.041330967","538136.9","-9999","825895.3","7.25","-1","-0.508770473","0.954118387","0","0.572471032","7","0.076923077","1.076923077","S2 O1","de-protonated","0","-9999","C13 H14 O1 S2","13","14","1","-9999","-9999","2","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"332","249.078075","249.077964255","249.078184507","1169279.3","-9999","704066","18.09","-1","-0.884269209","0.867724908","0","0.520634945","12","0.071428571","0.714285714","N4 O1","de-protonated","0","-9999","C14 H10 O1 N4","14","10","1","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"334","249.08415","249.084039254","249.084057734","1213376.4","-9999","641828.5","18.85","-1","-0.074192402","0.999001712","0","0.599401027","3","0.857142857","2","N4 O6","de-protonated","0","-9999","C7 H14 O6 N4","7","14","6","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"335","249.149724","249.149613241","249.149618115","791179.8","-9999","1039538.3","11.6","-1","-0.019564809","0.999930547","0","0.599958328","5","0.2","1.466666667","O3","de-protonated","0","-9999","C15 H22 O3","15","22","3","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"339","250.144952","250.144841043","250.144867088","566647.8","-9999","960284.2","7.71","-1","-0.104116555","0.998034983","0","0.59882099","5","0.214285714","1.5","N1 O3","de-protonated","0","-9999","C14 H21 O3 N1","14","21","3","1","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"341","251.057015","251.056903862","251.056981032","584468.3","-9999","524774.7","8.01","-1","-0.307377466","0.983002676","0","0.589801606","6","0.076923077","1.230769231","S2 O1","de-protonated","0","-9999","C13 H16 O1 S2","13","16","1","-9999","-9999","2","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"347","251.128944","251.128832848","251.128882671","559584.6","-9999","975152","7.58","-1","-0.198393586","0.992883619","0","0.595730172","5","0.285714286","1.428571429","O4","de-protonated","0","-9999","C14 H20 O4","14","20","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"353","253.144617","253.144505448","253.144532735","6702901","-9999","821424.5","112.62","-1","-0.107791137","0.998767007","0.966922086","0.986029038","4","0.285714286","1.571428571","O4","de-protonated","0","-9999","C14 H22 O4","14","22","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"356","254.147988","254.147876249","254.14788757","1320540","-9999","952668.1","20.48","-1","-0.044544458","0.999640033","0.966922086","0.986552854","4","0.285714286","1.571428571","13C1 O4","de-protonated","1","353","C13 H22 O4 13C1","13","22","4","-9999","-9999","-9999","1","-9999","-9999","-9999","-9999","-9999","N/A"
"361","255.051894","255.05178207","255.051895651","1185648.6","-9999","712681.8","18.19","-1","-0.445326737","0.964655574","0","0.578793344","5","0.166666667","1.333333333","S2 O2","de-protonated","0","-9999","C12 H16 O2 S2","12","16","2","-9999","-9999","2","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"365","255.08876","255.088648063","255.088749191","3899510.5","-9999","655374","64.36","-1","-0.396445328","0.485942356","0.876728111","0.642256658","10","0.153846154","0.923076923","N4 O2","de-protonated","0","-9999","C13 H12 O2 N4","13","12","2","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"367","255.123901","255.123789056","255.12379729","952828.4","-9999","1043079.3","14.22","-1","-0.032276663","0.999810988","0","0.599886593","4","0.384615385","1.538461538","O5","de-protonated","0","-9999","C13 H20 O5","13","20","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"369","255.160436","255.160324048","255.160182799","869890.3","-9999","887396.5","12.81","-1","0.55356935","0.945914629","0","0.567548777","3","0.285714286","1.714285714","O4","de-protonated","0","-9999","C14 H24 O4","14","24","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"372","255.23323","255.233118034","255.232953818","823822.2","-9999","963608.4","12.03","-1","0.643395421","0.927639515","0","0.556583709","1","0.125","2","O2","de-protonated","0","-9999","C16 H32 O2","16","32","2","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"376","256.060162","256.06004987","256.060031783","1666580.4","-9999","822039.7","26.37","-1","0.070634832","0.999095111","0","0.599457067","0","0.25","2.5","N1 S2 P1 O2","de-protonated","0","-9999","C8 H20 O2 N1 P1 S2","8","20","2","1","1","2","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"377","256.064665","256.064552869","256.064522566","2159893","-9999","720853","34.76","-1","0.118342102","0.997462064","0","0.598477238","10","0.076923077","0.923076923","N3 P1 O1","de-protonated","0","-9999","C13 H12 O1 N3 P1","13","12","1","3","1","-9999","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"385","257.048981","257.048868674","257.048918271","987314.9","-9999","930690","14.81","-1","-0.192949687","0.993267507","0","0.595960504","5","0.454545455","1.272727273","S1 O5","de-protonated","0","-9999","C11 H14 O5 S1","11","14","5","-9999","-9999","1","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"388","257.066615","257.06650267","257.066676336","630965.7","-9999","786148.6","8.74","-1","-0.675566937","0.920524659","0","0.552314795","5","0.636363636","1.272727273","O7","de-protonated","0","-9999","C11 H14 O7","11","14","7","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"390","257.069798","257.06968567","257.069667517","1033014.2","-9999","627940","15.58","-1","0.070614404","0.999095635","0","0.599457381","5","0.4","1.5","N2 P1 O4","de-protonated","0","-9999","C10 H15 O4 N2 P1","10","15","4","2","1","-9999","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"391","257.1031","257.102987663","257.103061845","585659.5","-9999","1081377.7","7.97","-1","-0.288531515","0.985007836","0","0.591004702","4","0.5","1.5","O6","de-protonated","0","-9999","C12 H18 O6","12","18","6","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"393","257.103992","257.103879663","257.103931225","2387899.5","-9999","678527.8","38.64","-1","-0.200550736","0.992728591","0","0.595637155","3","0.076923077","1.692307692","S2 O1","de-protonated","0","-9999","C13 H22 O1 S2","13","22","1","-9999","-9999","2","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"395","257.139539","257.139426656","257.139447355","804161.3","-9999","891320.8","11.6","-1","-0.08049685","0.99882495","0","0.59929497","3","0.384615385","1.692307692","O5","de-protonated","0","-9999","C13 H22 O5","13","22","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"397","257.175895","257.175782648","257.175832864","952775.1","-9999","1036573.1","14.11","-1","-0.195257377","0.993106061","0","0.595863637","2","0.285714286","1.857142857","O4","de-protonated","0","-9999","C14 H26 O4","14","26","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"408","259.083245","259.08313227","259.08319578","974961.8","-9999","510461.2","14.48","-1","-0.245134325","0.989155823","0","0.593493494","3","0.166666667","1.666666667","S2 O2","de-protonated","0","-9999","C12 H20 O2 S2","12","20","2","-9999","-9999","2","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"410","259.118807","259.118694263","259.11871191","964343.3","-9999","1023055.4","14.3","-1","-0.068102839","0.999158796","0","0.599495277","3","0.5","1.666666667","O6","de-protonated","0","-9999","C12 H20 O6","12","20","6","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"411","259.119594","259.119481263","259.11958129","3347447.5","-9999","633086","54.54","-1","-0.386025424","0.973323583","0","0.58399415","2","0.076923077","1.846153846","S2 O1","de-protonated","0","-9999","C13 H24 O1 S2","13","24","1","-9999","-9999","2","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"412","259.130024","259.129911261","259.129945299","728313","-9999","728352.1","10.31","-1","-0.131355855","0.996874115","0","0.598124469","3","0.454545455","1.818181818","N2 O5","de-protonated","0","-9999","C11 H20 O5 N2","11","20","5","2","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"416","260.150468","260.150355058","260.150346391","697621.1","-9999","962223.9","9.79","-1","0.033315521","0.999798626","0","0.599879176","2","0.416666667","1.916666667","N1 O5","de-protonated","0","-9999","C12 H23 O5 N1","12","23","5","1","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"423","261.134469","261.134355863","261.134361974","655465.3","-9999","816813.3","9.01","-1","-0.023402111","0.999900633","0","0.59994038","2","0.5","1.833333333","O6","de-protonated","0","-9999","C12 H22 O6","12","22","6","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"424","261.135238","261.135124863","261.135231354","1954985.4","-9999","582541.3","30.79","-1","-0.407800653","0.97027556","0","0.582165336","1","0.076923077","2","S2 O1","de-protonated","0","-9999","C13 H26 O1 S2","13","26","1","-9999","-9999","2","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"426","262.096588","262.096474672","262.096216618","974456.1","-9999","504980.1","14.35","-1","0.984578754","0.838705617","0","0.50322337","3","0.444444444","2","N3 P1 O4","de-protonated","0","-9999","C9 H18 O4 N3 P1","9","18","4","3","1","-9999","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"427","262.130533","262.130419665","262.130480326","860413.1","-9999","578244.5","12.44","-1","-0.231414478","0.990329998","0","0.594197999","1","0.083333333","2.083333333","N1 S2 O1","de-protonated","0","-9999","C12 H25 O1 N1 S2","12","25","1","1","-9999","2","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"435","262.976125","262.976011498","262.975967805","2887224.8","-9999","752788.8","46.4","-1","0.166148767","0.995003558","0","0.597002135","9","0.083333333","0.75","S2 P1 O1","de-protonated","0","-9999","C12 H9 O1 P1 S2","12","9","1","-9999","1","2","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"436","262.976894","262.976780498","262.976815958","11516217","-9999","586330.3","191","-1","-0.134841505","0.332235431","0.867378793","0.546292776","10","0.5","0.4","N2 S1 O5","de-protonated","0","-9999","C10 H4 O5 N2 S1","10","4","5","2","-9999","1","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"437","263.044911","263.044797484","263.044716071","613826.8","-9999","756724.5","8.31","-1","0.309501695","0.982768976","0","0.589661386","3","0.111111111","1.888888889","N2 S2 P1 O1","de-protonated","0","-9999","C9 H17 O1 N2 P1 S2","9","17","1","2","1","2","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"438","263.056897","263.056783482","263.056981032","656964.5","-9999","532003.8","9.03","-1","-0.750978293","0.902730405","0","0.541638243","7","0.071428571","1.142857143","S2 O1","de-protonated","0","-9999","C14 H16 O1 S2","14","16","1","-9999","-9999","2","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"450","265.036394","265.036280089","265.036245587","666911.9","-9999","632711.1","9.12","-1","0.130178675","0.996929805","0","0.598157883","7","0.153846154","1.076923077","S2 O2","de-protonated","0","-9999","C13 H14 O2 S2","13","14","2","-9999","-9999","2","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"452","265.057943","265.057829085","265.057842986","1786466.9","-9999","877657.4","27.73","-1","-0.052444847","0.999501057","0","0.599700634","8","0.5","1","N4 O5","de-protonated","0","-9999","C10 H10 O5 N4","10","10","5","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"454","265.072637","265.072523082","265.072631096","989413","-9999","783470","14.48","-1","-0.407490102","0.970320136","0","0.582192082","6","0.071428571","1.285714286","S2 O1","de-protonated","0","-9999","C14 H18 O1 S2","14","18","1","-9999","-9999","2","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"458","265.148011","265.147897067","265.147904038","3166831.8","-9999","865288.7","50.68","-1","-0.026293166","0.999874567","0","0.59992474","0","0.333333333","2.166666667","S1 O4","de-protonated","0","-9999","C12 H26 O4 S1","12","26","4","-9999","-9999","1","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"462","266.062196","266.062081885","266.062139783","692143.6","-9999","619891.3","9.54","-1","-0.21761069","0.991444413","0","0.594866648","2","0.444444444","2","N1 S1 P1 O4","de-protonated","0","-9999","C9 H18 O4 N1 P1 S1","9","18","4","1","1","1","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"475","267.051967","267.051852689","267.051895651","897848.4","-9999","605282.1","12.95","-1","-0.160876185","0.995314909","0","0.597188946","6","0.153846154","1.230769231","S2 O2","de-protonated","0","-9999","C13 H16 O2 S2","13","16","2","-9999","-9999","2","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
"477","267.088357","267.088242682","267.088281161","1436285.4","-9999","569265.7","21.91","-1","-0.144067946","0.996241011","0","0.597744607","5","0.071428571","1.428571429","S2 O1","de-protonated","0","-9999","C14 H20 O1 S2","14","20","1","-9999","-9999","2","-9999","-9999","-9999","-9999","-9999","-9999","N/A"
