"Index","Mass","Calibrated_Mass","Calculated_Mass","Peak_Height","Peak_Area","Resolving_Power","S_N","Ion_Charge","Error_ppm","Error_Score","Isotopologue_Similarity","Confidence_Score","DBE","OtoC_ratio","HtoC_ratio","Heteroatom_Class","Ion_Type","Is_Isotopologue","Mono_Isotopic_Index","Molecular_Formula","C","H","O","N","P","S","13C","18O","33S","34S"
"4","171.066196","171.066352945","171.066282413","530042.1","-9999","1664990.1","7.91","-1","0.412307442","0.969625068","0","0.581775041","3","0.5","1.5","O4","de-protonated","0","-9999","C8 H12 O4","8","12","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"20","189.076885","189.077025669","189.076847097","609865.4","-9999","2229537.2","9.37","-1","0.94444533","0.850570438","0","0.510342263","2","0.625","1.75","O5","de-protonated","0","-9999","C8 H14 O5","8","14","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"27","195.138911","195.139046192","195.139053431","587070.3","-9999","947208","8.86","-1","-0.037100704","0.999750274","0","0.599850164","3","0.166666667","1.666666667","O2","de-protonated","0","-9999","C12 H20 O2","12","20","2","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"35","199.061091","199.061222647","199.061197032","512469.8","-9999","1127923.5","7.46","-1","0.128679557","0.997000004","0","0.598200002","4","0.555555556","1.333333333","O5","de-protonated","0","-9999","C9 H12 O5","9","12","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"45","205.107965","205.108091183","205.108147226","676210.4","-9999","1114312.1","10.37","-1","-0.273233675","0.986544989","0","0.591926994","1","0.555555556","2","O5","de-protonated","0","-9999","C9 H18 O5","9","18","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"51","209.15458","209.154702527","209.154703496","716904.9","-9999","941251.1","11.04","-1","-0.004634532","0.999996103","0","0.599997662","3","0.153846154","1.692307692","O2","de-protonated","0","-9999","C13 H22 O2","13","22","2","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"59","212.979476","212.97959507","212.979793338","567825.8","-9999","1133390.9","8.3","-1","-0.930922267","0.8544935","0","0.5126961","6","0.285714286","0.857142857","N2 S2 O2","de-protonated","0","-9999","C7 H6 O2 N2 S2","7","6","2","2","-9999","2","-9999","-9999","-9999","-9999"
"69","217.071605","217.071720372","217.071761716","516748.6","-9999","1424094.4","7.31","-1","-0.19046186","0.993439433","0","0.59606366","3","0.666666667","1.555555556","O6","de-protonated","0","-9999","C9 H14 O6","9","14","6","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"73","219.040873","219.040986593","219.041130293","1518923.6","-9999","741030.5","25.25","-1","-0.656039963","0.924878024","0","0.554926815","8","0.4","0.8","N2 O4","de-protonated","0","-9999","C10 H8 O4 N2","10","8","4","2","-9999","-9999","-9999","-9999","-9999","-9999"
"84","227.128867","227.128973284","227.128882671","721006.1","-9999","983502.8","10.85","-1","0.398953021","0.971533031","0","0.582919819","3","0.333333333","1.666666667","O4","de-protonated","0","-9999","C12 H20 O4","12","20","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
