"Index","Mass","Calibrated_Mass","Calculated_Mass","Peak_Height","Peak_Area","Resolving_Power","S_N","Ion_Charge","Error_ppm","Error_Score","Isotopologue_Similarity","Confidence_Score","DBE","OtoC_ratio","HtoC_ratio","Heteroatom_Class","Ion_Type","Is_Isotopologue","Mono_Isotopic_Index","Molecular_Formula","C","H","O","N","P","S","13C","17O","18O","33S","34S"
"13","187.014625","187.014750015","187.014915544","1708020.4","-9999","937431.3","29.91","-1","-0.885112111","0.867490121","0","0.520494072","9","0.333333333","0.444444444","N2 O3","de-protonated","0","-9999","C9 H4 O3 N2","9","4","3","2","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"40","212.979602","212.979703187","212.979793338","923227","-9999","1016200.6","14.77","-1","-0.42328166","0.968013077","0","0.580807846","6","0.285714286","0.857142857","N2 S2 O2","de-protonated","0","-9999","C7 H6 O2 N2 S2","7","6","2","2","-9999","2","-9999","-9999","-9999","-9999","-9999"
"52","219.040974","219.041069625","219.041130293","1793244.3","-9999","822464","30.27","-1","-0.276969218","0.986177143","0","0.591706286","8","0.4","0.8","N2 O4","de-protonated","0","-9999","C10 H8 O4 N2","10","8","4","2","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"63","229.025338","229.025424463","229.025480228","860520.6","-9999","962654.4","13.34","-1","-0.243491068","0.989299946","0","0.593579967","10","0.363636364","0.545454545","N2 O4","de-protonated","0","-9999","C11 H6 O4 N2","11","6","4","2","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"73","236.105852","236.105931965","236.105718673","2286287.5","-9999","791834.4","38.45","-1","0.90337275399999994","0.862364652","0","0.517418791","1","0.444444444","2.222222222","N1 P1 O4","de-protonated","0","-9999","C9 H20 O4 N1 P1","9","20","4","1","1","-9999","-9999","-9999","-9999","-9999","-9999"
"80","241.045591","241.045666432","241.045761443","632588.3","-9999","898197","9.11","-1","-0.394162976","0.972202974","0","0.583321784","5","0.181818182","1.363636364","S1 P1 O2","de-protonated","0","-9999","C11 H15 O2 P1 S1","11","15","2","-9999","1","1","-9999","-9999","-9999","-9999","-9999"
"96","244.973378","244.973449827","244.973645329","1304147.4","-9999","660589.2","20.82","-1","-0.798051899","0.890865088","0","0.534519053","10","0.166666667","0.5","S2 O2","de-protonated","0","-9999","C12 H6 O2 S2","12","6","2","-9999","-9999","2","-9999","-9999","-9999","-9999","-9999"
"100","246.970456","246.970525995","246.970667949","833557.9","-9999","784529.9","12.53","-1","-0.574781678","0.941815462","0","0.565089277","10","0.454545455","0.363636364","S1 O5","de-protonated","0","-9999","C11 H4 O5 S1","11","4","5","-9999","-9999","1","-9999","-9999","-9999","-9999","-9999"
"125","256.059723","256.059784654","256.060031783","619261.1","-9999","575693.6","8.7","-1","-0.965123245","0.844498165","0","0.506698899","0","0.25","2.5","N1 S2 P1 O2","de-protonated","0","-9999","C8 H20 O2 N1 P1 S2","8","20","2","1","1","2","-9999","-9999","-9999","-9999","-9999"
"128","257.020338","257.020398772","257.020394848","1166404.9","-9999","773958.1","18.17","-1","0.015268331","0.999957701","0","0.599974621","11","0.416666667","0.5","N2 O5","de-protonated","0","-9999","C12 H6 O5 N2","12","6","5","2","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"131","257.066805","257.06686572900003","257.066676336","657227.4","-9999","1017155.9","9.36","-1","0.736748587","0.90620469","0","0.543722814","5","0.636363636","1.272727273","O7","de-protonated","0","-9999","C11 H14 O7","11","14","7","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"147","261.134974","261.135030996","261.135231354","532014.9","-9999","777970.2","7.11","-1","-0.767257304","0.89869111","0","0.539214666","1","0.076923077","2","S2 O1","de-protonated","0","-9999","C13 H26 O1 S2","13","26","1","-9999","-9999","2","-9999","-9999","-9999","-9999","-9999"
"153","262.976528","262.976583306","262.976815958","7387608.5","-9999","669304.6","124.6","-1","-0.884684656","0.433804603","0.902398978","0.621242353","10","0.5","0.4","N2 S1 O5","de-protonated","0","-9999","C10 H4 O5 N2 S1","10","4","5","2","-9999","1","-9999","-9999","-9999","-9999","-9999"
"154","262.990504","262.990559293","262.990354566","884442.3","-9999","788587.7","13.15","-1","0.778459616","0.895871949","0","0.537523169","14","0.2","0.333333333","P1 O3","de-protonated","0","-9999","C15 H5 O3 P1","15","5","3","-9999","1","-9999","-9999","-9999","-9999","-9999","-9999"
"155","263.044535","263.044590244","263.044716071","2337761","-9999","693625.2","38.06","-1","-0.478350201","0.959331212","0","0.575598727","3","0.111111111","1.888888889","N2 S2 P1 O1","de-protonated","0","-9999","C9 H17 O1 N2 P1 S2","9","17","1","2","1","2","-9999","-9999","-9999","-9999","-9999"
"159","265.0416","265.041653411","265.041738691","834388.5","-9999","867000.9","12.23","-1","-0.32176069","0.981389973","0","0.588833984","3","0.5","1.875","N2 S1 P1 O4","de-protonated","0","-9999","C8 H15 O4 N2 P1 S1","8","15","4","2","1","1","-9999","-9999","-9999","-9999","-9999"
"192","274.093776","274.09382110400003","274.094094817","560376.8","-9999","812281.7","7.46","-1","-0.99860896","0.834481894","0","0.500689137","3","0.166666667","1.75","N1 S2 O2","de-protonated","0","-9999","C12 H21 O2 N1 S2","12","21","2","1","-9999","2","-9999","-9999","-9999","-9999","-9999"
"193","275.114244","275.114288168","275.114495909","793503.4","-9999","677386.5","11.39","-1","-0.755109406","0.901711851","0","0.541027111","2","0.153846154","1.846153846","S2 O2","de-protonated","0","-9999","C13 H24 O2 S2","13","24","2","-9999","-9999","2","-9999","-9999","-9999","-9999","-9999"
"195","276.145856","276.145899221","276.146130391","544709.6","-9999","760561.7","7.19","-1","-0.837128461","0.880595983","0","0.52835759","1","0.076923077","2.076923077","N1 S2 O1","de-protonated","0","-9999","C13 H27 O1 N1 S2","13","27","1","1","-9999","2","-9999","-9999","-9999","-9999","-9999"
"196","276.999908","276.999950437","276.999860077","594520.8","-9999","693210","8.03","-1","0.326208349","0.980876914","0","0.588526148","9","0.230769231","0.769230769","S2 O3","de-protonated","0","-9999","C13 H10 O3 S2","13","10","3","-9999","-9999","2","-9999","-9999","-9999","-9999","-9999"
"197","277.023851","277.023893415","277.023980626","1349595.1","-9999","732037.5","20.78","-1","-0.314814497","0.982177683","0","0.58930661","4","0.222222222","1.666666667","N2 S2 P1 O2","de-protonated","0","-9999","C9 H15 O2 N2 P1 S2","9","15","2","2","1","2","-9999","-9999","-9999","-9999","-9999"
"199","277.060224","277.060266382","277.060366136","37081056","-9999","592481.6","623.94","-1","-0.360043897","0.490688313","0.913242538","0.659710003","3","0.1","1.9","N2 S2 P1 O1","de-protonated","0","-9999","C10 H19 O1 N2 P1 S2","10","19","1","2","1","2","-9999","-9999","-9999","-9999","-9999"
"204","278.063602","278.063643461","278.063720971","4131903","-9999","625063.8","67.38","-1","-0.278748142","0.493000131","0.913242538","0.661097094","3","0.1","1.9","13C1 N2 S2 P1 O1","de-protonated","1","199","C9 H19 O1 N2 P1 S2 13C1","9","19","1","2","1","2","1","-9999","-9999","-9999","-9999"
"204","278.063602","278.063643461","278.063857316","4131903","-9999","625063.8","67.38","-1","-0.769087243","0.898232779","0","0.538939667","3","0.333333333","1.888888889","N3 S2 O3","de-protonated","0","-9999","C9 H17 O3 N3 S2","9","17","3","3","-9999","2","-9999","-9999","-9999","-9999","-9999"
"205","278.064046","278.064087461","278.063857316","641535.1","-9999","606958.5","8.78","-1","0.827666815","0.883116438","0","0.529869863","3","0.333333333","1.888888889","N3 S2 O3","de-protonated","0","-9999","C9 H17 O3 N3 S2","9","17","3","3","-9999","2","-9999","-9999","-9999","-9999","-9999"
"206","278.996837","278.996877605","278.996882697","659735.3","-9999","843000","9.08","-1","-0.01825371","0.999939544","0","0.599963726","9","0.5","0.666666667","S1 O6","de-protonated","0","-9999","C12 H8 O6 S1","12","8","6","-9999","-9999","1","-9999","-9999","-9999","-9999","-9999"
"208","279.05167","279.051710554","279.051895651","632732.5","-9999","593191.2","8.63","-1","-0.663306755","0.923270482","0","0.553962289","7","0.142857143","1.142857143","S2 O2","de-protonated","0","-9999","C14 H16 O2 S2","14","16","2","-9999","-9999","2","-9999","-9999","-9999","-9999","-9999"
"210","279.05728","279.057320549","279.057388756","12797085","-9999","612514.1","212.88","-1","-0.244417129","0.983639155","0.997461249","0.989167993","3","0.444444444","1.888888889","N2 S1 P1 O4","de-protonated","0","-9999","C9 H17 O4 N2 P1 S1","9","17","4","2","1","1","-9999","-9999","-9999","-9999","-9999"
"218","280.06061","280.060649628","280.060743591","1285242.6","-9999","638643.5","19.58","-1","-0.335506547","0.980493696","0.997461249","0.987280717","3","0.444444444","1.888888889","13C1 N2 S1 P1 O4","de-protonated","1","210","C8 H17 O4 N2 P1 S1 13C1","8","17","4","2","1","1","1","-9999","-9999","-9999","-9999"
"218","280.06061","280.060649628","280.060879936","1285242.6","-9999","638643.5","19.58","-1","-0.822349174","0.884523537","0","0.530714122","3","0.75","1.875","N3 S1 O6","de-protonated","0","-9999","C8 H15 O6 N3 S1","8","15","6","3","-9999","1","-9999","-9999","-9999","-9999","-9999"
"220","281.030865","281.030903738","281.031160206","563603.9","-9999","591329.8","7.46","-1","-0.912597693","0.85974733","0","0.515848398","7","0.230769231","1.076923077","S2 O3","de-protonated","0","-9999","C13 H14 O3 S2","13","14","3","-9999","-9999","2","-9999","-9999","-9999","-9999","-9999"
"221","281.053235","281.053273717","281.053184585","560917.9","-9999","745580.5","7.42","-1","0.317136926","0.981204928","0.997461249","0.987707456","3","0.444444444","1.888888889","N2 34S1 P1 O4","de-protonated","1","210","C9 H17 O4 N2 P1 34S1","9","17","4","2","1","-9999","-9999","-9999","-9999","-9999","1"
