"Index","Mass","Calibrated_Mass","Calculated_Mass","Peak_Height","Peak_Area","Resolving_Power","S_N","Ion_Charge","Error_ppm","Error_Score","Isotopologue_Similarity","Confidence_Score","DBE","OtoC_ratio","HtoC_ratio","Heteroatom_Class","Ion_Type","Is_Isotopologue","Mono_Isotopic_Index","Molecular_Formula","C","H","O","N","P","S","13C","15N","33S","34S"
"196","347.20072","347.200683356","347.201002241","1683295.1","-9999","547787.6","23.7","-1","-0.918444688","0.8580788","0","0.51484728","2","0.25","2","N2 S1 O4","de-protonated","0","-9999","C16 H32 O4 N2 S1","16","32","4","2","-9999","1","-9999","-9999","-9999","-9999"
"196","347.20072","347.200683356","347.200622118","1683295.1","-9999","547787.6","23.7","-1","0.176375271","0.994371352","0","0.596622811","7","0.055555556","1.611111111","N4 P1 O1","de-protonated","0","-9999","C18 H29 O1 N4 P1","18","29","1","4","1","-9999","-9999","-9999","-9999","-9999"
"198","348.23306","348.233022849","348.233288171","2047479.5","-9999","513496.6","29.24","-1","-0.761907765","0.900026036","0","0.540015622","10","0.041666667","1.291666667","N1 O1","de-protonated","0","-9999","C24 H31 O1 N1","24","31","1","1","-9999","-9999","-9999","-9999","-9999","-9999"
"200","349.103831","349.103793422","349.104124474","2777721.8","-9999","554238.8","39.77","-1","-0.948289385","0.849448272","0","0.509668963","9","0.4375","1.125","N2 O7","de-protonated","0","-9999","C16 H18 O7 N2","16","18","7","2","-9999","-9999","-9999","-9999","-9999","-9999"
"201","349.107166","349.10712842","349.107115654","27585658","-9999","509548.3","411.85","-1","0.036567081","0.998484082","0.994601407","0.996931012","9","0.266666667","1.266666667","N4 P1 O4","de-protonated","0","-9999","C15 H19 O4 N4 P1","15","19","4","4","1","-9999","-9999","-9999","-9999","-9999"
"202","349.143535","349.143497402","349.143501164","1244543.6","-9999","461477.5","16.78","-1","-0.010773122","0.999978941","0","0.599987365","8","0.1875","1.4375","N4 P1 O3","de-protonated","0","-9999","C16 H23 O3 N4 P1","16","23","3","4","1","-9999","-9999","-9999","-9999","-9999"
"203","349.203328","349.203290373","349.203385023","4970632.5","-9999","525735.9","72.66","-1","-0.271045001","0.493379127","0.81490939","0.621991233","11","0.047619048","1.238095238","N4 O1","de-protonated","0","-9999","C21 H26 O1 N4","21","26","1","4","-9999","-9999","-9999","-9999","-9999","-9999"
"204","349.216363","349.216325367","349.216652305","4181642.8","-9999","493517.3","60.83","-1","-0.936204832","0.852965608","0","0.511779365","1","0.25","2.125","N2 S1 O4","de-protonated","0","-9999","C16 H34 O4 N2 S1","16","34","4","2","-9999","1","-9999","-9999","-9999","-9999"
"204","349.216363","349.216325367","349.216272183","4181642.8","-9999","493517.3","60.83","-1","0.152295889","0.497900158","0.837042051","0.633556915","6","0.055555556","1.722222222","N4 P1 O1","de-protonated","0","-9999","C18 H31 O1 N4 P1","18","31","1","4","1","-9999","-9999","-9999","-9999","-9999"
"205","350.110552","350.110513928","350.11047049","4275474","-9999","481717.4","62.23","-1","0.124070736","0.997210758","0.994601407","0.996167018","9","0.266666667","1.266666667","13C1 N4 P1 O4","de-protonated","1","201","C14 H19 O4 N4 P1 13C1","14","19","4","4","1","-9999","1","-9999","-9999","-9999"
"206","351.020988","351.020949481","351.021003246","2851742","-9999","499662.4","40.88","-1","-0.153167149","0.995752229","0","0.597451338","10","0.357142857","0.928571429","N2 S1 P1 O5","de-protonated","0","-9999","C14 H13 O5 N2 P1 S1","14","13","5","2","1","1","-9999","-9999","-9999","-9999"
"207","351.046059","351.046020469","351.046155366","1631905.8","-9999","557852.2","22.58","-1","-0.38427211","0.973562135","0","0.584137281","9","0.3125","1.0625","S1 P1 O5","de-protonated","0","-9999","C16 H17 O5 P1 S1","16","17","5","-9999","1","1","-9999","-9999","-9999","-9999"
"208","351.100948","351.100909442","351.10116832","1002154.3","-9999","620923.3","13.14","-1","-0.73733203","0.906063285","0","0.543637971","7","0.055555556","1.388888889","S2 P1 O1","de-protonated","0","-9999","C18 H25 O1 P1 S2","18","25","1","-9999","1","2","-9999","-9999","-9999","-9999"
"209","351.104263","351.10422444","351.104518397","9201067","-9999","495276.9","136.11","-1","-0.837233269","0.878083234","0.981257348","0.919352879","4","0.833333333","1.666666667","N2 O10","de-protonated","0","-9999","C12 H20 O10 N2","12","20","10","2","-9999","-9999","-9999","-9999","-9999","-9999"
"211","351.159164","351.159125414","351.159151228","1568691.3","-9999","464098.4","21.63","-1","-0.073512992","0.999019903","0","0.599411942","7","0.1875","1.5625","N4 P1 O3","de-protonated","0","-9999","C16 H25 O3 N4 P1","16","25","3","4","1","-9999","-9999","-9999","-9999","-9999"
"212","351.213412","351.213373387","351.213674925","1453499.6","-9999","429307.6","19.9","-1","-0.858559923","0.874808399","0","0.52488504","1","0.466666667","2.133333333","N2 O7","de-protonated","0","-9999","C15 H32 O7 N2","15","32","7","2","-9999","-9999","-9999","-9999","-9999","-9999"
"214","351.218941","351.218902384","351.219035087","10464701","-9999","510239.2","155.06","-1","-0.377836066","0.972878928","0.99413286","0.981380501","10","0.047619048","1.333333333","N4 O1","de-protonated","0","-9999","C21 H28 O1 N4","21","28","1","4","-9999","-9999","-9999","-9999","-9999","-9999"
"215","351.222221","351.222182383","351.222406391","1119677","-9999","500676.6","14.9","-1","-0.637795721","0.92884787","0","0.557308722","5","0.055555556","1.777777778","N4 S1 O1","de-protonated","0","-9999","C18 H32 O1 N4 S1","18","32","1","4","-9999","1","-9999","-9999","-9999","-9999"
"216","352.107611","352.107571948","352.107873232","1419079","-9999","507567.3","19.39","-1","-0.855657463","0.875598523","0.981257348","0.917862053","4","0.833333333","1.666666667","13C1 N2 O10","de-protonated","1","209","C11 H20 O10 N2 13C1","11","20","10","2","-9999","-9999","1","-9999","-9999","-9999"
"217","352.222288","352.222248892","352.222389922","2469977","-9999","576370.3","35.15","-1","-0.400402041","0.971328867","0.99413286","0.980450464","10","0.047619048","1.333333333","13C1 N4 O1","de-protonated","1","214","C20 H28 O1 N4 13C1","20","28","1","4","-9999","-9999","1","-9999","-9999","-9999"
"218","353.018957","353.018917501","353.018895246","3010262.8","-9999","479780.5","43.25","-1","0.063042303","0.999279123","0","0.599567474","9","0.214285714","1.071428571","N2 S2 P1 O3","de-protonated","0","-9999","C14 H15 O3 N2 P1 S2","14","15","3","2","1","2","-9999","-9999","-9999","-9999"
"219","353.132694","353.132654445","353.132922679","1962472.8","-9999","471889.5","27.53","-1","-0.75958338","0.900603767","0","0.54036226","11","0.1","1.1","N2 S1 O2","de-protonated","0","-9999","C20 H22 O2 N2 S1","20","22","2","2","-9999","1","-9999","-9999","-9999","-9999"
"220","353.198267","353.198227413","353.198299643","1118067.1","-9999","449977.1","14.87","-1","-0.20450113","0.992440405","0","0.595464243","10","0.1","1.3","N4 O2","de-protonated","0","-9999","C20 H26 O2 N4","20","26","2","4","-9999","-9999","-9999","-9999","-9999","-9999"
"221","353.234654","353.234614395","353.234685152","3037433","-9999","519861.3","43.66","-1","-0.200310607","0.99274593","0","0.595647558","9","0.047619048","1.428571429","N4 O1","de-protonated","0","-9999","C21 H30 O1 N4","21","30","1","4","-9999","-9999","-9999","-9999","-9999","-9999"
"222","355.159708","355.159667451","355.159806133","1304623.4","-9999","511768.4","17.66","-1","-0.390478221","0.972713131","0","0.583627879","10","0.052631579","1.263157895","N4 S1 O1","de-protonated","0","-9999","C19 H24 O1 N4 S1","19","24","1","4","-9999","1","-9999","-9999","-9999","-9999"
"223","355.17755","355.177509442","355.177564198","1281586.3","-9999","553278.2","17.32","-1","-0.154164195","0.995696867","0","0.59741812","10","0.157894737","1.263157895","N4 O3","de-protonated","0","-9999","C19 H24 O3 N4","19","24","3","4","-9999","-9999","-9999","-9999","-9999","-9999"
"224","355.250242","355.250201406","355.250335216","1812798.1","-9999","538875.8","25.28","-1","-0.376664045","0.974585352","0","0.584751211","8","0.047619048","1.523809524","N4 O1","de-protonated","0","-9999","C21 H32 O1 N4","21","32","1","4","-9999","-9999","-9999","-9999","-9999","-9999"
"227","356.980386","356.980344557","356.980577728","3087708.5","-9999","520638.5","43.75","-1","-0.653175127","0.925507671","0","0.555304603","14","0.5","0.4375","P1 O8","de-protonated","0","-9999","C16 H7 O8 P1","16","7","8","-9999","1","-9999","-9999","-9999","-9999","-9999"
"228","357.084016","357.083974507","357.084057734","1244525.9","-9999","494040.7","16.51","-1","-0.233075229","0.990191392","0","0.594114835","12","0.375","0.875","N4 O6","de-protonated","0","-9999","C16 H14 O6 N4","16","14","6","4","-9999","-9999","-9999","-9999","-9999","-9999"
