"Index","Mass","Calibrated_Mass","Calculated_Mass","Peak_Height","Peak_Area","Resolving_Power","S_N","Ion_Charge","Error_ppm","Error_Score","Isotopologue_Similarity","Confidence_Score","DBE","OtoC_ratio","HtoC_ratio","Heteroatom_Class","Ion_Type","Is_Isotopologue","Mono_Isotopic_Index","Molecular_Formula","C","H","O","N","P","S","13C","15N","18O","33S","34S"
"14","185.075209","185.075400598","185.075407802","556674.1","-9999","698578","8.41","-1","-0.038921247","0.999725168","0","0.599835101","3","0.125","1.75","N2 S1 O1","de-protonated","0","-9999","C8 H14 O1 N2 S1","8","14","1","2","-9999","1","-9999","-9999","-9999","-9999","-9999"
"15","187.014638","187.014829675","187.014915544","3143902.3","-9999","823157.8","56.71","-1","-0.459156663","0.962468548","0","0.577481129","9","0.333333333","0.444444444","N2 O3","de-protonated","0","-9999","C9 H4 O3 N2","9","4","3","2","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"30","219.040936","219.041128941","219.041130293","2005577.4","-9999","928245.3","34.13","-1","-0.006171024","0.99999309","0","0.599995854","8","0.4","0.8","N2 O4","de-protonated","0","-9999","C10 H8 O4 N2","10","8","4","2","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"46","241.045337","241.045530811","241.045761443","617305.7","-9999","831332","8.87","-1","-0.956799045","0.846953221","0","0.508171933","5","0.181818182","1.363636364","S1 P1 O2","de-protonated","0","-9999","C11 H15 O2 P1 S1","11","15","2","-9999","1","1","-9999","-9999","-9999","-9999","-9999"
"51","243.087845","243.088038891","243.088281161","529454.4","-9999","963823","7.29","-1","-0.996630432","0.835079842","0","0.501047905","3","0.083333333","1.666666667","S2 O1","de-protonated","0","-9999","C12 H20 O1 S2","12","20","1","-9999","-9999","2","-9999","-9999","-9999","-9999","-9999"
"54","244.973388","244.973581966","244.973645329","1582950.6","-9999","742030.2","25.76","-1","-0.258652302","0.987934281","0","0.592760568","10","0.166666667","0.5","S2 O2","de-protonated","0","-9999","C12 H6 O2 S2","12","6","2","-9999","-9999","2","-9999","-9999","-9999","-9999","-9999"
"56","246.970431","246.970625045","246.970667949","1239149.9","-9999","652826.4","19.65","-1","-0.173720666","0.994539049","0","0.59672343","10","0.454545455","0.363636364","S1 O5","de-protonated","0","-9999","C11 H4 O5 S1","11","4","5","-9999","-9999","1","-9999","-9999","-9999","-9999","-9999"
"57","248.080372","248.080566089","248.080566553","1062658","-9999","523543.3","16.56","-1","-0.001872518","0.999999364","0","0.599999618","3","0.5","2","N3 P1 O4","de-protonated","0","-9999","C8 H16 O4 N3 P1","8","16","4","3","1","-9999","-9999","-9999","-9999","-9999","-9999"
"58","251.056576","251.056770206","251.056981032","870269.1","-9999","775001.6","13.15","-1","-0.839750689","0.879893672","0","0.527936203","6","0.076923077","1.230769231","S2 O1","de-protonated","0","-9999","C13 H16 O1 S2","13","16","1","-9999","-9999","2","-9999","-9999","-9999","-9999","-9999"
"61","255.051477","255.051671364","255.051895651","1973285.3","-9999","852680.9","32.21","-1","-0.879377638","0.869084273","0","0.521450564","5","0.166666667","1.333333333","S2 O2","de-protonated","0","-9999","C12 H16 O2 S2","12","16","2","-9999","-9999","2","-9999","-9999","-9999","-9999","-9999"
