"Index","Mass","Calibrated_Mass","Calculated_Mass","Peak_Height","Peak_Area","Resolving_Power","S_N","Ion_Charge","Error_ppm","Error_Score","Isotopologue_Similarity","Confidence_Score","DBE","OtoC_ratio","HtoC_ratio","Heteroatom_Class","Ion_Type","Is_Isotopologue","Mono_Isotopic_Index","Molecular_Formula","C","H","O","N","P","S","13C","15N","17O","18O","33S","34S"
"21","209.009105","209.009145907","209.009161458","539851.9","-9999","861910.4","7.85","-1","-0.074403842","0.998996017","0","0.59939761","7","0.666666667","0.666666667","O6","de-protonated","0","-9999","C9 H6 O6","9","6","6","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"28","212.979615","212.979656663","212.979793338","1307479.9","-9999","872245.4","21.75","-1","-0.641726166","0.928000663","0","0.556800398","6","0.285714286","0.857142857","N2 S2 O2","de-protonated","0","-9999","C7 H6 O2 N2 S2","7","6","2","2","-9999","2","-9999","-9999","-9999","-9999","-9999","-9999"
"34","219.040985","219.041027817","219.041130293","763642.4","-9999","877397.6","11.76","-1","-0.467838015","0.961064158","0","0.576638495","8","0.4","0.8","N2 O4","de-protonated","0","-9999","C10 H8 O4 N2","10","8","4","2","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"48","236.105889","236.105935065","236.105718673","3876749","-9999","716227.5","66.67","-1","0.91650328","0.858633633","0","0.51518018","1","0.444444444","2.222222222","N1 P1 O4","de-protonated","0","-9999","C9 H20 O4 N1 P1","9","20","4","1","1","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"72","255.062172","255.062221673","255.062259661","3061085.5","-9999","798795.8","51.03","-1","-0.148934033","0.995983312","0","0.597589987","6","0.6","1.2","N2 O6","de-protonated","0","-9999","C10 H12 O6 N2","10","12","6","2","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"75","255.087978","255.088027678","255.088281161","896865.3","-9999","850779.2","13.53","-1","-0.993704877","0.835962609","0","0.501577565","4","0.076923077","1.538461538","S2 O1","de-protonated","0","-9999","C13 H20 O1 S2","13","20","1","-9999","-9999","2","-9999","-9999","-9999","-9999","-9999","-9999"
"84","259.119308","259.119358446","259.11958129","871759.7","-9999","715606.1","13.02","-1","-0.860004685","0.874414368","0","0.524648621","2","0.076923077","1.846153846","S2 O1","de-protonated","0","-9999","C13 H24 O1 S2","13","24","1","-9999","-9999","2","-9999","-9999","-9999","-9999","-9999","-9999"
"91","262.976594","262.97664518","262.976815958","11740541","-9999","693579.1","199.41","-1","-0.649403205","0.617557484","0.936440075","0.74511052","10","0.5","0.4","N2 S1 O5","de-protonated","0","-9999","C10 H4 O5 N2 S1","10","4","5","2","-9999","1","-9999","-9999","-9999","-9999","-9999","-9999"
"92","263.056721","263.056772195","263.056981032","792326.8","-9999","848076.7","11.58","-1","-0.793884103","0.891938235","0","0.535162941","7","0.071428571","1.142857143","S2 O1","de-protonated","0","-9999","C14 H16 O1 S2","14","16","1","-9999","-9999","2","-9999","-9999","-9999","-9999","-9999","-9999"
"93","263.979948","263.979999371","263.980170793","870966.9","-9999","792550","12.93","-1","-0.64937482","0.617559549","0.936440075","0.745111759","10","0.5","0.4","13C1 N2 S1 O5","de-protonated","1","91","C9 H4 O5 N2 S1 13C1","9","4","5","2","-9999","1","1","-9999","-9999","-9999","-9999","-9999"
"95","265.035948","265.035999572","265.036245587","642292.8","-9999","800315.8","8.96","-1","-0.928232035","0.855269327","0","0.513161596","7","0.153846154","1.076923077","S2 O2","de-protonated","0","-9999","C13 H14 O2 S2","13","14","2","-9999","-9999","2","-9999","-9999","-9999","-9999","-9999","-9999"
"104","267.051595","267.051646955","267.051895651","603101.9","-9999","613020.4","8.29","-1","-0.931264423","0.854394716","0","0.51263683","6","0.153846154","1.230769231","S2 O2","de-protonated","0","-9999","C13 H16 O2 S2","13","16","2","-9999","-9999","2","-9999","-9999","-9999","-9999","-9999","-9999"
"106","267.088001","267.088052962","267.088281161","979042.1","-9999","806373.6","14.7","-1","-0.854392971","0.875942136","0","0.525565281","5","0.071428571","1.428571429","S2 O1","de-protonated","0","-9999","C14 H20 O1 S2","14","20","1","-9999","-9999","2","-9999","-9999","-9999","-9999","-9999","-9999"
"111","269.067283","269.067335339","269.067545716","906494.3","-9999","584010.4","13.39","-1","-0.781873255","0.895006533","0","0.53700392","5","0.153846154","1.384615385","S2 O2","de-protonated","0","-9999","C13 H18 O2 S2","13","18","2","-9999","-9999","2","-9999","-9999","-9999","-9999","-9999","-9999"
"112","269.103675","269.103727346","269.103931225","871746.3","-9999","771411.1","12.8","-1","-0.757622305","0.901090111","0","0.540654067","4","0.071428571","1.571428571","S2 O1","de-protonated","0","-9999","C14 H22 O1 S2","14","22","1","-9999","-9999","2","-9999","-9999","-9999","-9999","-9999","-9999"
"121","271.119312","271.11936473","271.11958129","914842.4","-9999","746321.5","13.53","-1","-0.798761704","0.890681893","0","0.534409136","3","0.071428571","1.714285714","S2 O1","de-protonated","0","-9999","C14 H24 O1 S2","14","24","1","-9999","-9999","2","-9999","-9999","-9999","-9999","-9999","-9999"
"133","273.098576","273.098629106","273.098845845","782503.3","-9999","744559","11.21","-1","-0.793625872","0.892004583","0","0.53520275","3","0.153846154","1.692307692","S2 O2","de-protonated","0","-9999","C13 H22 O2 S2","13","22","2","-9999","-9999","2","-9999","-9999","-9999","-9999","-9999","-9999"
"134","273.134975","273.135028113","273.135231354","1095531","-9999","710655","16.5","-1","-0.74410295","0.904415701","0","0.542649421","2","0.071428571","1.857142857","S2 O1","de-protonated","0","-9999","C14 H26 O1 S2","14","26","1","-9999","-9999","2","-9999","-9999","-9999","-9999","-9999","-9999"
"136","275.020333","275.020386472","275.020595522","681831.9","-9999","813821.4","9.51","-1","-0.76012568","0.900469102","0","0.540281461","9","0.142857143","0.857142857","S2 O2","de-protonated","0","-9999","C14 H12 O2 S2","14","12","2","-9999","-9999","2","-9999","-9999","-9999","-9999","-9999","-9999"
"137","275.056746","275.056799479","275.056981032","538283.4","-9999","585207","7.09","-1","-0.660054638","0.923991751","0","0.554395051","8","0.066666667","1.066666667","S2 O1","de-protonated","0","-9999","C15 H16 O1 S2","15","16","1","-9999","-9999","2","-9999","-9999","-9999","-9999","-9999","-9999"
"138","277.023919","277.023972854","277.023980626","986090.6","-9999","728251.4","14.65","-1","-0.028058288","0.999857162","0","0.599914297","4","0.222222222","1.666666667","N2 S2 P1 O2","de-protonated","0","-9999","C9 H15 O2 N2 P1 S2","9","15","2","2","1","2","-9999","-9999","-9999","-9999","-9999","-9999"
"139","277.036018","277.036071856","277.036245587","534763.8","-9999","704071","7.03","-1","-0.627105689","0.931129614","0","0.558677769","8","0.142857143","1","S2 O2","de-protonated","0","-9999","C14 H14 O2 S2","14","14","2","-9999","-9999","2","-9999","-9999","-9999","-9999","-9999","-9999"
"141","277.060293","277.06034686","277.060366136","12048238","-9999","651758","201.41","-1","-0.069570561","0.665421577","0.925283829","0.769366478","3","0.1","1.9","N2 S2 P1 O1","de-protonated","0","-9999","C10 H19 O1 N2 P1 S2","10","19","1","2","1","2","-9999","-9999","-9999","-9999","-9999","-9999"
