"Index","Mass","Calibrated_Mass","Calculated_Mass","Peak_Height","Peak_Area","Resolving_Power","S_N","Ion_Charge","Error_ppm","Error_Score","Isotopologue_Similarity","Confidence_Score","DBE","OtoC_ratio","HtoC_ratio","Heteroatom_Class","Ion_Type","Is_Isotopologue","Mono_Isotopic_Index","Molecular_Formula","C","H","O","N","P","S","13C","15N","17O","18O","33S","34S"
"4","161.082267","161.08195709","161.081932477","1216786.8","-9999","1143740.8","20.74","-1","0.152794283","0.995772842","0","0.597463705","1","0.571428571","2","O4","de-protonated","0","-9999","C7 H14 O4","7","14","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"13","171.066625","171.066321232","171.066282413","810579.4","-9999","1042675.6","13.15","-1","0.226924289","0.990699883","0","0.59441993","3","0.5","1.5","O4","de-protonated","0","-9999","C8 H12 O4","8","12","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"16","179.035375","179.035076134","179.034982284","636006.8","-9999","1040767.5","9.89","-1","0.524200778","0.951362947","0","0.570817768","6","0.444444444","0.888888889","O4","de-protonated","0","-9999","C9 H8 O4","9","8","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"26","199.061672","199.061385454","199.061197032","1393740","-9999","919715.8","23.73","-1","0.946551539","0.849955969","0","0.509973582","4","0.555555556","1.333333333","O5","de-protonated","0","-9999","C9 H12 O5","9","12","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"27","202.072532","202.072247306","202.072096069","568338.5","-9999","873427.6","8.45","-1","0.748432188","0.903355951","0","0.542013571","3","0.625","1.625","N1 O5","de-protonated","0","-9999","C8 H13 O5 N1","8","13","5","1","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"38","215.056578","215.056301294","215.056111652","515879","-9999","844983.6","7.35","-1","0.881825453","0.86840470299999994","0","0.521042822","4","0.666666667","1.333333333","O6","de-protonated","0","-9999","C9 H12 O6","9","12","6","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"39","215.092986","215.092709316","215.092497161","646188.2","-9999","1095792.6","9.71","-1","0.986343101","0.838176588","0","0.502905953","3","0.5","1.6","O5","de-protonated","0","-9999","C10 H16 O5","10","16","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"57","236.106007","236.105743243","236.105718673","1250851.8","-9999","574521.3","20.15","-1","0.104062345","0.998037026","0","0.598822216","1","0.444444444","2.222222222","N1 P1 O4","de-protonated","0","-9999","C9 H20 O4 N1 P1","9","20","4","1","1","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"73","245.04893","245.048671745","245.048538149","575927","-9999","1151611.6","8.08","-1","0.545182011","0.947497671","0","0.568498603","9","0.166666667","0.916666667","N2 P1 O2","de-protonated","0","-9999","C12 H11 O2 N2 P1","12","11","2","2","1","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"78","246.97068","246.970422927","246.970667949","730928.5","-9999","732126.3","10.75","-1","-0.992109443","0.836443319","0","0.501865991","10","0.454545455","0.363636364","S1 O5","de-protonated","0","-9999","C11 H4 O5 S1","11","4","5","-9999","-9999","1","-9999","-9999","-9999","-9999","-9999","-9999"
"79","248.080625","248.08036861","248.080566553","1289827.8","-9999","727992.2","20.5","-1","-0.797900504","0.890904146","0","0.534542487","3","0.5","2","N3 P1 O4","de-protonated","0","-9999","C8 H16 O4 N3 P1","8","16","4","3","1","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"89","255.058336","255.058083902","255.058040204","541825.1","-9999","723979.7","7.37","-1","0.171326103","0.994688161","0","0.596812897","10","0.133333333","0.866666667","P1 O2","de-protonated","0","-9999","C15 H13 O2 P1","15","13","2","-9999","1","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"115","262.990651","262.990403782","262.990354566","1079484.9","-9999","646246","16.48","-1","0.187140774","0.993665512","0","0.596199307","14","0.2","0.333333333","P1 O3","de-protonated","0","-9999","C15 H5 O3 P1","15","5","3","-9999","1","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"116","263.044727","263.044479815","263.044716071","2697604","-9999","635667.6","44.18","-1","-0.898158299","0.863835832","0","0.518301499","3","0.111111111","1.888888889","N2 S2 P1 O1","de-protonated","0","-9999","C9 H17 O1 N2 P1 S2","9","17","1","2","1","2","-9999","-9999","-9999","-9999","-9999","-9999"
"118","264.988701","264.988455011","264.988246566","992767.9","-9999","759893.8","14.9","-1","0.786622325","0.893797667","0","0.5362786","13","0.066666667","0.466666667","S1 P1 O1","de-protonated","0","-9999","C15 H7 O1 P1 S1","15","7","1","-9999","1","1","-9999","-9999","-9999","-9999","-9999","-9999"
"119","265.041792","265.041546044","265.041738691","907462.6","-9999","695304.5","13.45","-1","-0.726855625","0.90858866","0","0.545153196","3","0.5","1.875","N2 S1 P1 O4","de-protonated","0","-9999","C8 H15 O4 N2 P1 S1","8","15","4","2","1","1","-9999","-9999","-9999","-9999","-9999","-9999"
