"Index","Mass","Calibrated_Mass","Calculated_Mass","Peak_Height","Peak_Area","Resolving_Power","S_N","Ion_Charge","Error_ppm","Error_Score","Isotopologue_Similarity","Confidence_Score","DBE","OtoC_ratio","HtoC_ratio","Heteroatom_Class","Ion_Type","Is_Isotopologue","Mono_Isotopic_Index","Molecular_Formula","C","H","O","N","P","S","13C","15N","18O","33S","34S"
"13","187.014587","187.01473706","187.014915544","2382680","-9999","951556.4","42.5","-1","-0.954386485","0.847662106","0","0.508597264","9","0.333333333","0.444444444","N2 O3","de-protonated","0","-9999","C9 H4 O3 N2","9","4","3","2","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"33","212.020685","212.020831569","212.020929875","541264.7","-9999","976681.5","7.86","-1","-0.463662349","0.961742686","0","0.577045612","5","0.111111111","1.222222222","N1 S2 O1","de-protonated","0","-9999","C9 H11 O1 N1 S2","9","11","1","1","-9999","2","-9999","-9999","-9999","-9999","-9999"
"37","212.979483","212.979629435","212.979793338","874851.7","-9999","680367.1","13.92","-1","-0.769569803","0.898111773","0","0.538867064","6","0.285714286","0.857142857","N2 S2 O2","de-protonated","0","-9999","C7 H6 O2 N2 S2","7","6","2","2","-9999","2","-9999","-9999","-9999","-9999","-9999"
"43","219.040907","219.041052589","219.041130293","1404529.1","-9999","891270.3","23.33","-1","-0.354745128","0.977424481","0","0.586454688","8","0.4","0.8","N2 O4","de-protonated","0","-9999","C10 H8 O4 N2","10","8","4","2","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"49","229.025255","229.025399195","229.025480228","955292.3","-9999","928594","15.07","-1","-0.353816955","0.977541127","0","0.586524676","10","0.363636364","0.545454545","N2 O4","de-protonated","0","-9999","C11 H6 O4 N2","11","6","4","2","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"56","236.105728","236.105871207","236.105718673","2335725.3","-9999","703187.2","39.45","-1","0.646038057","0.927066145","0","0.556239687","1","0.444444444","2.222222222","N1 P1 O4","de-protonated","0","-9999","C9 H20 O4 N1 P1","9","20","4","1","1","-9999","-9999","-9999","-9999","-9999","-9999"
"57","237.109126","237.109269067","237.109209854","548179.4","-9999","1056727.1","7.7","-1","0.249726775","0.988748014","0","0.593248809","1","0.75","2.25","N2 O6","de-protonated","0","-9999","C8 H18 O6 N2","8","18","6","2","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"62","241.046462","241.046604517","241.046609596","1409052.6","-9999","940866","22.83","-1","-0.021071782","0.999919436","0","0.599951662","6","0.666666667","1.111111111","N2 O6","de-protonated","0","-9999","C9 H10 O6 N2","9","10","6","2","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"69","244.973326","244.973467969","244.973645329","748170.1","-9999","602093.5","11.14","-1","-0.723997063","0.909272659","0","0.545563595","10","0.166666667","0.5","S2 O2","de-protonated","0","-9999","C12 H6 O2 S2","12","6","2","-9999","-9999","2","-9999","-9999","-9999","-9999","-9999"
"91","257.020187","257.020327287","257.020394848","729464.5","-9999","872488.5","10.66","-1","-0.262861142","0.987540891","0","0.592524534","11","0.416666667","0.5","N2 O5","de-protonated","0","-9999","C12 H6 O5 N2","12","6","5","2","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"105","263.044387","263.044526446","263.044716071","802322.3","-9999","799116.9","11.81","-1","-0.720885435","0.91001473","0","0.546008838","3","0.111111111","1.888888889","N2 S2 P1 O1","de-protonated","0","-9999","C9 H17 O1 N2 P1 S2","9","17","1","2","1","2","-9999","-9999","-9999","-9999","-9999"
"110","265.147829","265.147968153","265.147904038","2201426.8","-9999","728525.4","35.74","-1","0.241805274","0.989446813","0","0.593668088","0","0.333333333","2.166666667","S1 O4","de-protonated","0","-9999","C12 H26 O4 S1","12","26","4","-9999","-9999","1","-9999","-9999","-9999","-9999","-9999"
"122","269.129676","269.129814597","269.129551376","710302.3","-9999","986094","10.12","-1","0.978045059","0.840659347","0","0.504395608","9","0.125","1.125","N2 O2","de-protonated","0","-9999","C16 H18 O2 N2","16","18","2","2","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"123","269.131057","269.131195596","269.131205146","1848862.5","-9999","780812.6","29.55","-1","-0.035483232","0.999771571","0","0.599862943","4","0.214285714","1.642857143","P1 O3","de-protonated","0","-9999","C14 H23 O3 P1","14","23","3","-9999","1","-9999","-9999","-9999","-9999","-9999","-9999"
"126","269.139314","269.139452595","269.139447355","1802015.4","-9999","778585","28.75","-1","0.019472108","0.999931204","0","0.599958722","4","0.357142857","1.571428571","O5","de-protonated","0","-9999","C14 H22 O5","14","22","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"142","277.023597","277.023734495","277.023980626","1920085.4","-9999","572889.3","30.61","-1","-0.888485064","0.866548994","0","0.519929396","4","0.222222222","1.666666667","N2 S2 P1 O2","de-protonated","0","-9999","C9 H15 O2 N2 P1 S2","9","15","2","2","1","2","-9999","-9999","-9999","-9999","-9999"
"144","277.060028","277.06016549","277.060366136","9750105","-9999","620670.7","163.62","-1","-0.724196347","0.583057687","0.925283829","0.719948144","3","0.1","1.9","N2 S2 P1 O1","de-protonated","0","-9999","C10 H19 O1 N2 P1 S2","10","19","1","2","1","2","-9999","-9999","-9999","-9999","-9999"
"146","278.063311","278.06344835","278.063720971","1104314.4","-9999","691688","16.67","-1","-0.980427181","0.559965344","0.925283829","0.706092738","3","0.1","1.9","13C1 N2 S2 P1 O1","de-protonated","1","144","C9 H19 O1 N2 P1 S2 13C1","9","19","1","2","1","2","1","-9999","-9999","-9999","-9999"
"147","279.020671","279.020808216","279.021003246","845206.1","-9999","744159.6","12.28","-1","-0.69898073","0.915164799","0","0.549098879","4","0.625","1.625","N2 S1 P1 O5","de-protonated","0","-9999","C8 H13 O5 N2 P1 S1","8","13","5","2","1","1","-9999","-9999","-9999","-9999","-9999"
"149","279.05709","279.057227211","279.057388756","3235609.5","-9999","640346.4","52.7","-1","-0.578894325","0.94100499","0","0.564602994","3","0.444444444","1.888888889","N2 S1 P1 O4","de-protonated","0","-9999","C9 H17 O4 N2 P1 S1","9","17","4","2","1","1","-9999","-9999","-9999","-9999","-9999"
"159","285.125944","285.126080364","285.126119766","1462084","-9999","755245.9","22.59","-1","-0.138191661","0.996540883","0","0.59792453","4","0.285714286","1.642857143","P1 O4","de-protonated","0","-9999","C14 H23 O4 P1","14","23","4","-9999","1","-9999","-9999","-9999","-9999","-9999","-9999"
"166","287.032742","287.032878097","287.032613302","637930.4","-9999","742845.6","8.68","-1","0.922527067","0.856909448","0","0.514145669","6","0.636363636","1.181818182","P1 O7","de-protonated","0","-9999","C11 H13 O7 P1","11","13","7","-9999","1","-9999","-9999","-9999","-9999","-9999","-9999"
"171","289.04635","289.046485816","289.046609596","625110.8","-9999","671645.6","8.46","-1","-0.428235151","0.967272494","0","0.580363496","10","0.461538462","0.769230769","N2 O6","de-protonated","0","-9999","C13 H10 O6 N2","13","10","6","2","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"172","289.121074","289.121209806","289.121034385","736029.1","-9999","781540.4","10.32","-1","0.606737834","0.935385206","0","0.561231123","3","0.384615385","1.769230769","P1 O5","de-protonated","0","-9999","C13 H23 O5 P1","13","23","5","-9999","1","-9999","-9999","-9999","-9999","-9999","-9999"
"175","291.038785","291.038920538","291.038761311","4160318.5","-9999","778908","67.27","-1","0.547099853","0.947137593","0","0.568282556","5","0.777777778","1.444444444","N2 P1 O7","de-protonated","0","-9999","C9 H13 O7 N2 P1","9","13","7","2","1","-9999","-9999","-9999","-9999","-9999","-9999"
"176","291.039314","291.039449538","291.039630691","8656703","-9999","546998.7","142.13","-1","-0.622433034","0.618610885","0.925283829","0.741280063","4","0.2","1.7","N2 S2 P1 O2","de-protonated","0","-9999","C10 H17 O2 N2 P1 S2","10","17","2","2","1","2","-9999","-9999","-9999","-9999","-9999"
"177","291.040238","291.040373538","291.040478844","919742.6","-9999","367535.9","13.32","-1","-0.361825887","0.976525033","0","0.58591502","5","0.75","1.5","N4 S1 O6","de-protonated","0","-9999","C8 H12 O6 N4 S1","8","12","6","4","-9999","1","-9999","-9999","-9999","-9999","-9999"
"180","291.118674","291.118809527","291.118926385","797829.2","-9999","620022.6","11.29","-1","-0.401409521","0.971186504","0","0.582711902","2","0.230769231","1.923076923","S1 P1 O3","de-protonated","0","-9999","C13 H25 O3 P1 S1","13","25","3","-9999","1","1","-9999","-9999","-9999","-9999","-9999"
"181","292.042657","292.042792398","292.042985526","1153554.1","-9999","711054.9","17.21","-1","-0.661299273","0.615810709","0.925283829","0.739599957","4","0.2","1.7","13C1 N2 S2 P1 O2","de-protonated","1","176","C9 H17 O2 N2 P1 S2 13C1","9","17","2","2","1","2","1","-9999","-9999","-9999","-9999"
"183","292.982869","292.983004267","292.983161185","732895.9","-9999","1009632","10.21","-1","-0.535588578","0.94928189","0","0.569569134","14","0.125","0.4375","S1 P1 O2","de-protonated","0","-9999","C16 H7 O2 P1 S1","16","7","2","-9999","1","1","-9999","-9999","-9999","-9999","-9999"
"186","293.036367","293.036502259","293.036653311","3532772.3","-9999","669867.9","56.82","-1","-0.515469007","0.952931342","0","0.571758805","4","0.555555556","1.666666667","N2 S1 P1 O5","de-protonated","0","-9999","C9 H15 O5 N2 P1 S1","9","15","5","2","1","1","-9999","-9999","-9999","-9999","-9999"
"189","293.175679","293.17581424","293.175832864","9094128","-9999","771581.7","149.41","-1","-0.063525155","0.499634021","0.844689208","0.637656096","5","0.235294118","1.529411765","O4","de-protonated","0","-9999","C17 H26 O4","17","26","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"195","295.182936","295.18307096","295.18324072","555924.6","-9999","766997.6","7.26","-1","-0.575101136","0.941752689","0","0.565051613","4","0.117647059","1.705882353","P1 O2","de-protonated","0","-9999","C17 H29 O2 P1","17","29","2","-9999","1","-9999","-9999","-9999","-9999","-9999","-9999"
"200","299.005565","299.005699426","299.005807412","734027.1","-9999","701413.3","10.16","-1","-0.361149087","0.976611737","0","0.585967042","13","0.5","0.333333333","N4 O6","de-protonated","0","-9999","C12 H4 O6 N4","12","4","6","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"217","305.116543","305.116676573","305.116818385","567098.6","-9999","740958","7.35","-1","-0.46477834","0.961561891","0","0.576937135","2","0.071428571","1.928571429","S2 P1 O1","de-protonated","0","-9999","C14 H27 O1 P1 S2","14","27","1","-9999","1","2","-9999","-9999","-9999","-9999","-9999"
"222","307.070579","307.0707123","307.07093082","3376218.5","-9999","619124.9","53.3","-1","-0.711625536","0.912207682","0","0.547324609","3","0.181818182","1.909090909","N2 S2 P1 O2","de-protonated","0","-9999","C11 H21 O2 N2 P1 S2","11","21","2","2","1","2","-9999","-9999","-9999","-9999","-9999"
"223","308.99178","308.991913032","308.991811118","746745.6","-9999","771301.3","10.24","-1","0.329829002","0.980454255","0","0.588272553","10","0.636363636","0.636363636","N2 P1 O7","de-protonated","0","-9999","C11 H7 O7 N2 P1","11","7","7","2","1","-9999","-9999","-9999","-9999","-9999","-9999"
"224","309.067659","309.067792021","309.06795344","999551.9","-9999","538380","14.38","-1","-0.522273986","0.951711078","0","0.571026647","3","0.5","1.9","N2 S1 P1 O5","de-protonated","0","-9999","C10 H19 O5 N2 P1 S1","10","19","5","2","1","1","-9999","-9999","-9999","-9999","-9999"
"229","311.103044","311.103176737","311.103079102","569002.6","-9999","699277.9","7.33","-1","0.313836414","0.982287269","0","0.589372361","2","0.666666667","2.222222222","N4 S1 O6","de-protonated","0","-9999","C9 H20 O6 N4 S1","9","20","6","4","-9999","1","-9999","-9999","-9999","-9999","-9999"
"230","311.103564","311.103696737","311.10373055","1664170.6","-9999","609540.2","25.26","-1","-0.108688115","0.997858823","0","0.598715294","11","0.235294118","0.941176471","N2 O4","de-protonated","0","-9999","C17 H16 O4 N2","17","16","4","2","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"231","311.150446","311.150578731","311.150881418","553774.6","-9999","713470.5","7.08","-1","-0.972800756","0.842221372","0","0.505332823","4","0.058823529","1.647058824","S2 O1","de-protonated","0","-9999","C17 H28 O1 S2","17","28","1","-9999","-9999","2","-9999","-9999","-9999","-9999","-9999"
"233","311.168483","311.168615728","311.168639483","3292592.3","-9999","750987.2","51.93","-1","-0.076341467","0.499471536","0.844689208","0.637558605","4","0.176470588","1.647058824","S1 O3","de-protonated","0","-9999","C17 H28 O3 S1","17","28","3","-9999","-9999","1","-9999","-9999","-9999","-9999","-9999"
"236","311.222593","311.222725721","311.222783057","1026484.8","-9999","730713.8","14.82","-1","-0.184230452","0.9938604","0","0.59631624","3","0.222222222","1.777777778","O4","de-protonated","0","-9999","C18 H32 O4","18","32","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"243","313.021284","313.02141647","313.021457476","4602446","-9999","605369.9","72.94","-1","-0.131002795","0.498445435","0.876728111","0.649758505","13","0.461538462","0.461538462","N4 O6","de-protonated","0","-9999","C13 H6 O6 N4","13","6","6","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"244","313.100695","313.100827458","313.100971102","671188.9","-9999","511859.9","8.95","-1","-0.458775681","0.962529624","0","0.577517774","1","0.444444444","2.444444444","N4 S2 O4","de-protonated","0","-9999","C9 H22 O4 N4 S2","9","22","4","4","-9999","2","-9999","-9999","-9999","-9999","-9999"
"248","313.238307","313.238439439","313.238433122","2198880.8","-9999","687318.1","33.81","-1","0.020168146","0.999926198","0","0.599955719","2","0.222222222","1.888888889","O4","de-protonated","0","-9999","C18 H34 O4","18","34","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"250","314.124958","314.125090315","314.125394946","557613.4","-9999","805073.2","7.1","-1","-0.969773091","0.843120656","0","0.505872394","4","0.133333333","1.666666667","N1 S2 O2","de-protonated","0","-9999","C15 H25 O2 N1 S2","15","25","2","1","-9999","2","-9999","-9999","-9999","-9999","-9999"
"255","315.017737","315.017869191","315.018012065","721915.3","-9999","832070.5","9.77","-1","-0.453544175","0.963363555","0","0.578018133","7","0.666666667","1","S1 O8","de-protonated","0","-9999","C12 H12 O8 S1","12","12","8","-9999","-9999","1","-9999","-9999","-9999","-9999","-9999"
"255","315.017737","315.017869191","315.017631943","721915.3","-9999","832070.5","9.77","-1","0.753125893","0.902201454","0","0.541320872","12","0.357142857","0.642857143","N2 P1 O5","de-protonated","0","-9999","C14 H9 O5 N2 P1","14","9","5","2","1","-9999","-9999","-9999","-9999","-9999","-9999"
"264","319.132202","319.132333616","319.132468449","648556.4","-9999","806015.9","8.52","-1","-0.422497566","0.968129566","0","0.58087774","2","0.066666667","1.933333333","S2 P1 O1","de-protonated","0","-9999","C15 H29 O1 P1 S2","15","29","1","-9999","1","2","-9999","-9999","-9999","-9999","-9999"
"268","321.006224","321.006355355","321.00641581","571290.8","-9999","668236.7","7.27","-1","-0.188330594","0.993584968","0","0.596150981","6","0.75","1.375","N4 S1 P1 O6","de-protonated","0","-9999","C8 H11 O6 N4 P1 S1","8","11","6","4","1","1","-9999","-9999","-9999","-9999","-9999"
"269","321.006858","321.006989355","321.007067259","756122.9","-9999","760330.5","10.26","-1","-0.242686549","0.98937016","0","0.593622096","15","0.25","0.4375","N2 P1 O4","de-protonated","0","-9999","C16 H7 O4 N2 P1","16","7","4","2","1","-9999","-9999","-9999","-9999","-9999","-9999"
"271","321.11144","321.11157134","321.111733004","578980.8","-9999","564265.6","7.39","-1","-0.503451229","0.955050984","0","0.57303059","2","0.142857143","1.928571429","S2 P1 O2","de-protonated","0","-9999","C14 H27 O2 P1 S2","14","27","2","-9999","1","2","-9999","-9999","-9999","-9999","-9999"
"273","322.012885","322.013016214","322.01308159","918650.4","-9999","689012.3","12.88","-1","-0.203020869","0.992549041","0","0.595529424","9","0.142857143","1","N1 S2 P1 O2","de-protonated","0","-9999","C14 H14 O2 N1 P1 S2","14","14","2","1","1","2","-9999","-9999","-9999","-9999","-9999"
"277","322.971118","322.971249081","322.971075673","1256150.6","-9999","655150.6","18.18","-1","0.536914575","0.949036964","0","0.569422179","11","0.727272727","0.454545455","N2 P1 O8","de-protonated","0","-9999","C11 H5 O8 N2 P1","11","5","8","2","1","-9999","-9999","-9999","-9999","-9999","-9999"
"278","323.004843","323.004974076","323.004959259","693209.9","-9999","884355.7","9.16","-1","0.045873197","0.999618241","0","0.59977094500000006","14","0.125","0.5625","N2 S1 P1 O2","de-protonated","0","-9999","C16 H9 O2 N2 P1 S1","16","9","2","2","1","1","-9999","-9999","-9999","-9999","-9999"
"279","323.007507","323.007638075","323.007461182","8168922","-9999","630761","129.04","-1","0.547645084","0.958031738","0.976256885","0.965321797","10","0.583333333","0.75","N2 P1 O7","de-protonated","0","-9999","C12 H9 O7 N2 P1","12","9","7","2","1","-9999","-9999","-9999","-9999","-9999","-9999"
"280","323.008797","323.00892807499997","323.009178715","790106.3","-9999","696448.3","10.71","-1","-0.775952476","0.89650567","0","0.537903402","10","0.545454545","0.727272727","N4 S1 O6","de-protonated","0","-9999","C11 H8 O6 N4 S1","11","8","6","4","-9999","1","-9999","-9999","-9999","-9999","-9999"
"281","323.106911","323.107042062","323.107101854","699619.8","-9999","807046.9","9.26","-1","-0.185053897","0.993805565","0","0.596283339","7","0.266666667","1.333333333","N2 S1 O4","de-protonated","0","-9999","C15 H20 O4 N2 S1","15","20","4","2","-9999","1","-9999","-9999","-9999","-9999","-9999"
