"Index","Mass","Calibrated_Mass","Calculated_Mass","Peak_Height","Peak_Area","Resolving_Power","S_N","Ion_Charge","Error_ppm","Error_Score","Isotopologue_Similarity","Confidence_Score","DBE","OtoC_ratio","HtoC_ratio","Heteroatom_Class","Ion_Type","Is_Isotopologue","Mono_Isotopic_Index","Molecular_Formula","C","H","O","N","P","S","13C","15N","17O","18O","33S","34S"
"1","161.08211","161.081915987","161.081932477","1103836.3","-9999","1082814.1","18.63","-1","-0.102369505","0.998100312","0","0.598860187","1","0.571428571","2","O4","de-protonated","0","-9999","C7 H14 O4","7","14","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"7","171.066456","171.066264693","171.066282413","607247.6","-9999","1054515.2","9.35","-1","-0.10358175","0.998055098","0","0.598833059","3","0.5","1.5","O4","de-protonated","0","-9999","C8 H12 O4","8","12","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"8","179.035132","179.034942853","179.034982284","607523.4","-9999","1325694.2","9.36","-1","-0.220239987","0.991237331","0","0.594742399","6","0.444444444","0.888888889","O4","de-protonated","0","-9999","C9 H8 O4","9","8","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"21","199.061348","199.061164281","199.061197032","1359932.4","-9999","878583.4","23.12","-1","-0.164529382","0.995100242","0","0.597060145","4","0.555555556","1.333333333","O5","de-protonated","0","-9999","C9 H12 O5","9","12","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"28","215.092656","215.092476626","215.092497161","612311","-9999","1143172.4","9.12","-1","-0.09547216","0.998347474","0","0.599008485","3","0.5","1.6","O5","de-protonated","0","-9999","C10 H16 O5","10","16","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"29","217.071928","217.071749162","217.071761716","552047.4","-9999","956251.1","8","-1","-0.057833456","0.999393291","0","0.599635975","3","0.666666667","1.555555556","O6","de-protonated","0","-9999","C9 H14 O6","9","14","6","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"33","219.062384","219.062205702","219.062259661","557265","-9999","1134732.7","8.06","-1","-0.246317799","0.989051439","0","0.593430863","3","0.857142857","1.714285714","N2 O6","de-protonated","0","-9999","C7 H12 O6 N2","7","12","6","2","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"39","231.087586","231.087410961","231.087411781","1188856","-9999","973835.5","19.18","-1","-0.003547508","0.999997717","0","0.59999863","3","0.6","1.6","O6","de-protonated","0","-9999","C10 H16 O6","10","16","6","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"44","239.129051","239.12887814","239.128882671","557951.9","-9999","1058804.5","7.87","-1","-0.018944067","0.999934884","0","0.599960931","4","0.307692308","1.538461538","O4","de-protonated","0","-9999","C13 H20 O4","13","20","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"45","241.046768","241.04659566","241.046609596","606256.1","-9999","1129448.3","8.69","-1","-0.057814594","0.999393687","0","0.599636212","6","0.666666667","1.111111111","N2 O6","de-protonated","0","-9999","C9 H10 O6 N2","9","10","6","2","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
