"Index","Mass","Calibrated_Mass","Calculated_Mass","Peak_Height","Peak_Area","Resolving_Power","S_N","Ion_Charge","Error_ppm","Error_Score","Isotopologue_Similarity","Confidence_Score","DBE","OtoC_ratio","HtoC_ratio","Heteroatom_Class","Ion_Type","Is_Isotopologue","Mono_Isotopic_Index","Molecular_Formula","C","H","O","N","P","S","13C","15N","17O","18O","33S","34S"
"14","171.066412","171.066227134","171.066282413","1986294.6","-9999","1108966.4","35.13","-1","-0.323144125","0.981231114","0","0.588738668","3","0.5","1.5","O4","de-protonated","0","-9999","C8 H12 O4","8","12","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"15","173.082087","173.081904449","173.081932477","545374.7","-9999","1158230","8.2","-1","-0.161934764","0.995253197","0","0.597151918","2","0.5","1.75","O4","de-protonated","0","-9999","C8 H14 O4","8","14","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"17","179.035134","179.034958288","179.034982284","940019.7","-9999","1156078.7","15.57","-1","-0.134029307","0.996745789","0","0.598047473","6","0.444444444","0.888888889","O4","de-protonated","0","-9999","C9 H8 O4","9","8","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"23","190.957639","190.957476984","190.95734036","2142647","-9999","929344.9","37.86","-1","0.715469342","0.911300184","0","0.54678011","4","0.8","1","S1 P1 O4","de-protonated","0","-9999","C5 H5 O4 P1 S1","5","5","4","-9999","1","1","-9999","-9999","-9999","-9999","-9999","-9999"
"27","195.139168","195.139010788","195.139053431","617738.9","-9999","1093052","9.45","-1","-0.218530128","0.991372277","0","0.594823366","3","0.166666667","1.666666667","O2","de-protonated","0","-9999","C12 H20 O2","12","20","2","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"31","199.061319","199.061166293","199.061197032","807842.4","-9999","966745.7","12.93","-1","-0.154419811","0.995682616","0","0.59740957","4","0.555555556","1.333333333","O5","de-protonated","0","-9999","C9 H12 O5","9","12","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"36","209.154784","209.154642888","209.154703496","946356.1","-9999","796788.3","15.28","-1","-0.289773723","0.984879451","0","0.59092767","3","0.153846154","1.692307692","O2","de-protonated","0","-9999","C13 H22 O2","13","22","2","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"41","213.076961","213.076824394","213.076847097","560993.4","-9999","793918.9","8.22","-1","-0.10654718","0.99794226","0","0.598765356","4","0.5","1.4","O5","de-protonated","0","-9999","C10 H14 O5","10","14","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"44","215.092617","215.09248271","215.092497161","561549.4","-9999","1057711.9","8.2","-1","-0.067188197","0.99918123","0","0.599508738","3","0.5","1.6","O5","de-protonated","0","-9999","C10 H16 O5","10","16","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"48","221.154784","221.154656674","221.154703496","829636.8","-9999","760807.6","12.98","-1","-0.211717523","0.991899674","0","0.595139804","4","0.142857143","1.571428571","O2","de-protonated","0","-9999","C14 H22 O2","14","22","2","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"52","233.1218","233.121686421","233.12168929","1062186.5","-9999","885007.9","16.94","-1","-0.012306774","0.999972519","0","0.599983511","1","0.272727273","2","S1 O3","de-protonated","0","-9999","C11 H22 O3 S1","11","22","3","-9999","-9999","1","-9999","-9999","-9999","-9999","-9999","-9999"
"56","239.129","239.128893322","239.128882671","1096346","-9999","881113.5","17.43","-1","0.044541631","0.999640078","0","0.599784047","4","0.307692308","1.538461538","O4","de-protonated","0","-9999","C13 H20 O4","13","20","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"57","241.144573","241.144468637","241.144532735","1171796.8","-9999","832495.6","18.7","-1","-0.26580675","0.98726189","0","0.592357134","3","0.307692308","1.692307692","O4","de-protonated","0","-9999","C13 H22 O4","13","22","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"58","242.176271","242.176167822","242.176167217","1932917","-9999","816152.5","32.14","-1","0.00250143","0.999998865","0","0.599999319","2","0.230769231","1.923076923","N1 O3","de-protonated","0","-9999","C13 H25 O3 N1","13","25","3","1","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"59","243.123912","243.123809911","243.12379729","667655.4","-9999","1010006.2","9.75","-1","0.051911191","0.999511157","0","0.599706694","3","0.416666667","1.666666667","O5","de-protonated","0","-9999","C12 H20 O5","12","20","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"60","245.048595","245.048495122","245.048538149","616814.7","-9999","1002775","8.85","-1","-0.175584155","0.994421592","0","0.596652955","9","0.166666667","0.916666667","N2 P1 O2","de-protonated","0","-9999","C12 H11 O2 N2 P1","12","11","2","2","1","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"61","245.04898","245.048880122","245.048918271","1225006.8","-9999","839291.3","19.56","-1","-0.155677971","0.995612132","0","0.597367279","4","0.5","1.4","S1 O5","de-protonated","0","-9999","C10 H14 O5 S1","10","14","5","-9999","-9999","1","-9999","-9999","-9999","-9999","-9999","-9999"
"62","245.139491","245.139391226","245.139447355","602556.6","-9999","682169.5","8.6","-1","-0.228964301","0.990532716","0","0.594319629","2","0.416666667","1.833333333","O5","de-protonated","0","-9999","C12 H22 O5","12","22","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"63","249.149711","249.149615833","249.149618115","1875862.6","-9999","815403.9","30.9","-1","-0.009160084","0.999984775","0","0.599990865","5","0.2","1.466666667","O3","de-protonated","0","-9999","C15 H22 O3","15","22","3","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"64","251.095575","251.095482069","251.095488342","1170994.9","-9999","1067255.8","18.46","-1","-0.024984304","0.999886743","0","0.599932046","6","0.166666667","1.416666667","N2 P1 O2","de-protonated","0","-9999","C12 H17 O2 N2 P1","12","17","2","2","1","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"65","251.095939","251.095846069","251.095868465","3384371","-9999","852487","57.16","-1","-0.089191224","0.998557603","0","0.599134562","1","0.5","2","S1 O5","de-protonated","0","-9999","C10 H20 O5 S1","10","20","5","-9999","-9999","1","-9999","-9999","-9999","-9999","-9999","-9999"
"66","251.12896","251.128867107","251.128882671","848567.7","-9999","953914.4","12.83","-1","-0.061974729","0.999303323","0","0.599581994","5","0.285714286","1.428571429","O4","de-protonated","0","-9999","C14 H20 O4","14","20","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"69","253.144597","253.144506422","253.144532735","5651031.5","-9999","760478.6","96.79","-1","-0.103943015","0.99901517","0.996359006","0.997952705","4","0.285714286","1.571428571","O4","de-protonated","0","-9999","C14 H22 O4","14","22","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"70","254.147975","254.147885575","254.14788757","828516","-9999","835075.3","12.42","-1","-0.00784987","0.999988819","0.996359006","0.998536894","4","0.285714286","1.571428571","13C1 O4","de-protonated","1","69","C13 H22 O4 13C1","13","22","4","-9999","-9999","-9999","1","-9999","-9999","-9999","-9999","-9999"
"75","255.062337","255.062248625","255.062259661","3340898.3","-9999","791329","56.18","-1","-0.043264999","0.999660411","0","0.599796247","6","0.6","1.2","N2 O6","de-protonated","0","-9999","C10 H12 O6 N2","10","12","6","2","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"77","255.12388","255.123791696","255.12379729","1481834.8","-9999","785572.9","23.8","-1","-0.021926531","0.999912768","0","0.599947661","4","0.384615385","1.538461538","O5","de-protonated","0","-9999","C13 H20 O5","13","20","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"79","257.048558","257.048471907","257.048538149","518062.8","-9999","1048568.3","7.01","-1","-0.257700248","0.988022408","0","0.592813445","10","0.153846154","0.846153846","N2 P1 O2","de-protonated","0","-9999","C13 H11 O2 N2 P1","13","11","2","2","1","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"80","257.048958","257.048871908","257.048918271","673134.8","-9999","933627.5","9.71","-1","-0.180368519","0.994114354","0","0.596468613","5","0.454545455","1.272727273","S1 O5","de-protonated","0","-9999","C11 H14 O5 S1","11","14","5","-9999","-9999","1","-9999","-9999","-9999","-9999","-9999","-9999"
"82","257.13951","257.139424012","257.139447355","2247802.8","-9999","863388.4","36.99","-1","-0.090779341","0.998505819","0","0.599103491","3","0.384615385","1.692307692","O5","de-protonated","0","-9999","C13 H22 O5","13","22","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"84","259.118776","259.118692285","259.11871191","885885.1","-9999","932422.7","13.36","-1","-0.07573495","0.998959791","0","0.599375875","3","0.5","1.666666667","O6","de-protonated","0","-9999","C12 H20 O6","12","20","6","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
