"Index","Mass","Calibrated_Mass","Calculated_Mass","Peak_Height","Peak_Area","Resolving_Power","S_N","Ion_Charge","Error_ppm","Error_Score","Isotopologue_Similarity","Confidence_Score","DBE","OtoC_ratio","HtoC_ratio","Heteroatom_Class","Ion_Type","Is_Isotopologue","Mono_Isotopic_Index","Molecular_Formula","C","H","O","N","P","S","13C","33S","34S"
"24","209.010182","209.009248647","209.009161458","824813.6","-9999","883153","13.06","-1","0.417151241","0.968918458","0","0.581351075","7","0.666666667","0.666666667","O6","de-protonated","0","-9999","C9 H6 O6","9","6","6","-9999","-9999","-9999","-9999","-9999","-9999"
"25","209.155496","209.154563103","209.154703496","524160.9","-9999","1159829.4","7.58","-1","-0.671239929","0.921498553","0","0.552899132","3","0.153846154","1.692307692","O2","de-protonated","0","-9999","C13 H22 O2","13","22","2","-9999","-9999","-9999","-9999","-9999","-9999"
"32","221.009884","221.008988301","221.009161458","603169.3","-9999","946256","8.88","-1","-0.783486617","0.894596493","0","0.536757896","8","0.6","0.6","O6","de-protonated","0","-9999","C10 H6 O6","10","6","6","-9999","-9999","-9999","-9999","-9999","-9999"
"33","223.025571","223.024681626","223.024811523","827688.5","-9999","904927.1","12.88","-1","-0.582433667","0.940303435","0","0.564182061","7","0.6","0.8","O6","de-protonated","0","-9999","C10 H8 O6","10","8","6","-9999","-9999","-9999","-9999","-9999","-9999"
"34","225.00484","225.003956837","225.004076078","1041263.1","-9999","860931.1","16.66","-1","-0.529952725","0.950316831","0","0.570190099","7","0.777777778","0.666666667","O7","de-protonated","0","-9999","C9 H6 O7","9","6","7","-9999","-9999","-9999","-9999","-9999","-9999"
"36","227.056897","227.056020276","227.056111652","503654.4","-9999","984955","7.03","-1","-0.402438788","0.971040715","0","0.582624429","5","0.6","1.2","O6","de-protonated","0","-9999","C10 H12 O6","10","12","6","-9999","-9999","-9999","-9999","-9999","-9999"
"37","227.129735","227.128858504","227.128882671","507922.7","-9999","1120634.6","7.1","-1","-0.106399186","0.997947966","0","0.59876878","3","0.333333333","1.666666667","O4","de-protonated","0","-9999","C12 H20 O4","12","20","4","-9999","-9999","-9999","-9999","-9999","-9999"
"39","229.072408","229.0715376","229.071761716","556475.2","-9999","980638.5","7.94","-1","-0.978366672","0.840563376","0","0.504338025","4","0.6","1.4","O6","de-protonated","0","-9999","C10 H14 O6","10","14","6","-9999","-9999","-9999","-9999","-9999","-9999"
"41","231.088187","231.087322925","231.087411781","762162.5","-9999","704679","11.57","-1","-0.384509595","0.973529883","0","0.58411793","3","0.6","1.6","O6","de-protonated","0","-9999","C10 H16 O6","10","16","6","-9999","-9999","-9999","-9999","-9999","-9999"
"42","232.025992","232.025130868","232.025145876","684178.9","-9999","950474.5","10.18","-1","-0.064679972","0.999241198","0","0.599544719","9","0.454545455","0.636363636","N1 O5","de-protonated","0","-9999","C11 H7 O5 N1","11","7","5","1","-9999","-9999","-9999","-9999","-9999"
"44","233.01","233.009141956","233.009161458","594235.4","-9999","542798.6","8.57","-1","-0.083698738","0.998729673","0","0.599237804","9","0.545454545","0.545454545","O6","de-protonated","0","-9999","C11 H6 O6","11","6","6","-9999","-9999","-9999","-9999","-9999","-9999"
"48","235.025617","235.024765281","235.024811523","815316.9","-9999","843980.8","12.46","-1","-0.196754677","0.993000298","0","0.595800179","8","0.545454545","0.727272727","O6","de-protonated","0","-9999","C11 H8 O6","11","8","6","-9999","-9999","-9999","-9999","-9999","-9999"
"49","235.048008","235.047156351","235.047278302","639992.7","-9999","689948","9.35","-1","-0.51883413","0.952329716","0","0.571397829","8","0.444444444","0.888888889","N4 O4","de-protonated","0","-9999","C9 H8 O4 N4","9","8","4","4","-9999","-9999","-9999","-9999","-9999"
"50","235.04827","235.047418352","235.047278302","600120.8","-9999","831755.5","8.64","-1","0.595838731","0.937612432","0","0.562567459","8","0.444444444","0.888888889","N4 O4","de-protonated","0","-9999","C9 H8 O4 N4","9","8","4","4","-9999","-9999","-9999","-9999","-9999"
"52","237.041305","237.040459606","237.040461587","610798","-9999","1015637.1","8.79","-1","-0.008360034","0.999987319","0","0.599992391","7","0.545454545","0.909090909","O6","de-protonated","0","-9999","C11 H10 O6","11","10","6","-9999","-9999","-9999","-9999","-9999","-9999"
"53","239.020517","239.019677816","239.019726143","684159.7","-9999","793446.4","10.09","-1","-0.202185026","0.992610039","0","0.595566024","7","0.7","0.8","O7","de-protonated","0","-9999","C10 H8 O7","10","8","7","-9999","-9999","-9999","-9999","-9999","-9999"
"54","239.129715","239.128876159","239.128882671","813330.3","-9999","670998.5","12.37","-1","-0.027230534","0.999865464","0","0.599919279","4","0.307692308","1.538461538","O4","de-protonated","0","-9999","C13 H20 O4","13","20","4","-9999","-9999","-9999","-9999","-9999","-9999"
"55","241.047487","241.046654177","241.046609596","1029527.2","-9999","897903.3","16.13","-1","0.184945422","0.993812802","0","0.596287681","6","0.666666667","1.111111111","N2 O6","de-protonated","0","-9999","C9 H10 O6 N2","9","10","6","2","-9999","-9999","-9999","-9999","-9999"
"56","241.109046","241.10821337","241.108147226","520481.6","-9999","1071256.7","7.16","-1","0.27433425","0.986437118","0","0.591862271","4","0.416666667","1.5","O5","de-protonated","0","-9999","C12 H18 O5","12","18","5","-9999","-9999","-9999","-9999","-9999","-9999"
"57","241.145369","241.144536484","241.144532735","1165607.6","-9999","808158.8","18.52","-1","0.015546074","0.999956148","0","0.599973689","3","0.307692308","1.692307692","O4","de-protonated","0","-9999","C13 H22 O4","13","22","4","-9999","-9999","-9999","-9999","-9999","-9999"
"59","243.034081","243.03325441","243.033268207","958452.6","-9999","533122.2","14.81","-1","-0.056766848","0.999415457","0","0.599649274","5","0.5","1.2","S1 O5","de-protonated","0","-9999","C10 H12 O5 S1","10","12","5","-9999","-9999","1","-9999","-9999","-9999"
"60","243.124726","243.123899695","243.12379729","560691.8","-9999","971929.3","7.83","-1","0.421204191","0.968321276","0","0.580992765","3","0.416666667","1.666666667","O5","de-protonated","0","-9999","C12 H20 O5","12","20","5","-9999","-9999","-9999","-9999","-9999","-9999"
