"Index","Mass","Calibrated_Mass","Calculated_Mass","Peak_Height","Peak_Area","Resolving_Power","S_N","Ion_Charge","Error_ppm","Error_Score","Isotopologue_Similarity","Confidence_Score","DBE","OtoC_ratio","HtoC_ratio","Heteroatom_Class","Ion_Type","Is_Isotopologue","Mono_Isotopic_Index","Molecular_Formula","C","H","O","N","P","S","13C","15N","17O","18O","33S","34S"
"4","171.066307","171.06637459","171.066282413","598572.2","-9999","1387742.9","9.2","-1","0.538838826","0.948680571","0","0.569208342","3","0.5","1.5","O4","de-protonated","0","-9999","C8 H12 O4","8","12","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"15","194.082259","194.082323944","194.08226683","585618.4","-9999","1192770.8","8.88","-1","0.294276202","0.984409627","0","0.590645776","5","0.3","1.3","N1 O3","de-protonated","0","-9999","C10 H13 O3 N1","10","13","3","1","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"21","199.06094","199.061004371","199.061197032","673407","-9999","1364695.8","10.46","-1","-0.967848667","0.843691294","0","0.506214776","4","0.555555556","1.333333333","O5","de-protonated","0","-9999","C9 H12 O5","9","12","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"22","199.061182","199.061246371","199.061197032","976415","-9999","1162067.9","16.06","-1","0.247857737","0.988914878","0","0.593348927","4","0.555555556","1.333333333","O5","de-protonated","0","-9999","C9 H12 O5","9","12","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"26","209.154657","209.154720211","209.154703496","657527.3","-9999","1183714.3","10.03","-1","0.079915797","0.998841843","0","0.599305106","3","0.153846154","1.692307692","O2","de-protonated","0","-9999","C13 H22 O2","13","22","2","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"35","221.154647","221.154708831","221.154703496","772701.9","-9999","945496.1","11.97","-1","0.024123652","0.999894411","0","0.599936647","4","0.142857143","1.571428571","O2","de-protonated","0","-9999","C14 H22 O2","14","22","2","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"37","227.128747","227.128808144","227.128882671","531964.3","-9999","797322.8","7.56","-1","-0.32812426","0.980653818","0","0.588392291","3","0.333333333","1.666666667","O4","de-protonated","0","-9999","C12 H20 O4","12","20","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"39","231.087304","231.087364689","231.087411781","509088.8","-9999","1051239.5","7.1","-1","-0.203783727","0.992493152","0","0.595495891","3","0.6","1.6","O6","de-protonated","0","-9999","C10 H16 O6","10","16","6","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"43","239.12883","239.128889764","239.128882671","1151536.5","-9999","751623.2","18.44","-1","0.02966512","0.999840334","0","0.599904201","4","0.307692308","1.538461538","O4","de-protonated","0","-9999","C13 H20 O4","13","20","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"45","241.144423","241.144482533","241.144532735","1129836.5","-9999","885996.7","17.99","-1","-0.208183932","0.992166755","0","0.595300053","3","0.307692308","1.692307692","O4","de-protonated","0","-9999","C13 H22 O4","13","22","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"47","242.176076","242.176135414","242.176167217","1112205.5","-9999","701580.7","17.68","-1","-0.131320032","0.996875817","0","0.59812549","2","0.230769231","1.923076923","N1 O3","de-protonated","0","-9999","C13 H25 O3 N1","13","25","3","1","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"48","245.048584","245.048643084","245.048538149","516042.1","-9999","1125145.9","7.09","-1","0.428221652","0.967274523","0","0.580364714","9","0.166666667","0.916666667","N2 P1 O2","de-protonated","0","-9999","C12 H11 O2 N2 P1","12","11","2","2","1","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"49","245.048874","245.048933084","245.048918271","679114.2","-9999","964715","9.97","-1","0.060447263","0.99933723","0","0.599602338","4","0.5","1.4","S1 O5","de-protonated","0","-9999","C10 H14 O5 S1","10","14","5","-9999","-9999","1","-9999","-9999","-9999","-9999","-9999","-9999"
"50","249.14953","249.149588612","249.149618115","706295.6","-9999","697004.9","10.4","-1","-0.11841575","0.997458908","0","0.598475345","5","0.2","1.466666667","O3","de-protonated","0","-9999","C15 H22 O3","15","22","3","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"51","251.095506","251.095564388","251.095488342","561559.3","-9999","885466","7.83","-1","0.302858733","0.983494638","0","0.590096783","6","0.166666667","1.416666667","N2 P1 O2","de-protonated","0","-9999","C12 H17 O2 N2 P1","12","17","2","2","1","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"52","251.095801","251.095859388","251.095868465","668567.3","-9999","649493.2","9.7","-1","-0.036145925","0.99976296","0","0.599857776","1","0.5","2","S1 O5","de-protonated","0","-9999","C10 H20 O5 S1","10","20","5","-9999","-9999","1","-9999","-9999","-9999","-9999","-9999","-9999"
"55","253.144435","253.144493153","253.144532735","5343744","-9999","634120.6","91.62","-1","-0.156361763","0.996563245","0.985733276","0.992231258","4","0.285714286","1.571428571","O4","de-protonated","0","-9999","C14 H22 O4","14","22","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"57","254.1478","254.147858038","254.14788757","709710.7","-9999","820367.1","10.38","-1","-0.116202256","0.997552904","0.985733276","0.992825053","4","0.285714286","1.571428571","13C1 O4","de-protonated","1","55","C13 H22 O4 13C1","13","22","4","-9999","-9999","-9999","1","-9999","-9999","-9999","-9999","-9999"
"60","255.062143","255.062200932","255.062259661","3422991.3","-9999","660050.2","57.75","-1","-0.2302509","0.990426532","0","0.594255919","6","0.6","1.2","N2 O6","de-protonated","0","-9999","C10 H12 O6 N2","10","12","6","2","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"62","255.123672","255.123729925","255.12379729","751959.8","-9999","527173.1","11.11","-1","-0.264047494","0.987428887","0","0.592457332","4","0.384615385","1.538461538","O5","de-protonated","0","-9999","C13 H20 O5","13","20","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"65","257.048778","257.048835704","257.048918271","906912.7","-9999","715996.4","13.81","-1","-0.321211853","0.981452815","0","0.588871689","5","0.454545455","1.272727273","S1 O5","de-protonated","0","-9999","C11 H14 O5 S1","11","14","5","-9999","-9999","1","-9999","-9999","-9999","-9999","-9999","-9999"
"67","257.13935","257.139407694","257.139447355","1061293","-9999","629336","16.44","-1","-0.154239318","0.995692681","0","0.597415609","3","0.384615385","1.692307692","O5","de-protonated","0","-9999","C13 H22 O5","13","22","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"74","262.975867","262.975924023","262.975967805","15610654","-9999","593531.4","268.23","-1","-0.166486772","0.331661086","0.820161645","0.52706131","9","0.083333333","0.75","S2 P1 O1","de-protonated","0","-9999","C12 H9 O1 P1 S2","12","9","1","-9999","1","2","-9999","-9999","-9999","-9999","-9999","-9999"
"76","263.979188","263.979244907","263.979458985","909144.3","-9999","611245.5","13.72","-1","-0.810964869","0.887512856","0","0.532507714","9","0.272727273","0.636363636","N1 S2 O3","de-protonated","0","-9999","C11 H7 O3 N1 S2","11","7","3","1","-9999","2","-9999","-9999","-9999","-9999","-9999","-9999"
"80","265.147774","265.147830773","265.147904038","14066724","-9999","562545.6","240.43","-1","-0.276319499","0.659099887","0.961906856","0.780222674","0","0.333333333","2.166666667","S1 O4","de-protonated","0","-9999","C12 H26 O4 S1","12","26","4","-9999","-9999","1","-9999","-9999","-9999","-9999","-9999","-9999"
"82","266.150805","266.150861657","266.151015097","1094553.9","-9999","704429.1","16.85","-1","-0.576511159","0.941475255","0","0.564885153","5","0.230769231","1.615384615","N3 O3","de-protonated","0","-9999","C13 H21 O3 N3","13","21","3","3","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"83","266.151143","266.151199657","266.151258873","1908634","-9999","791237.7","30.88","-1","-0.222489908","0.660705459","0.961906856","0.781186018","0","0.333333333","2.166666667","13C1 S1 O4","de-protonated","1","80","C11 H26 O4 S1 13C1","11","26","4","-9999","-9999","1","1","-9999","-9999","-9999","-9999","-9999"
"83","266.151143","266.151199657","266.151015097","1908634","-9999","791237.7","30.88","-1","0.6934444","0.916445804","0","0.549867482","5","0.230769231","1.615384615","N3 O3","de-protonated","0","-9999","C13 H21 O3 N3","13","21","3","3","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
