"Index","Mass","Calibrated_Mass","Calculated_Mass","Peak_Height","Peak_Area","Resolving_Power","S_N","Ion_Charge","Error_ppm","Error_Score","Isotopologue_Similarity","Confidence_Score","DBE","OtoC_ratio","HtoC_ratio","Heteroatom_Class","Ion_Type","Is_Isotopologue","Mono_Isotopic_Index","Molecular_Formula","C","H","O","N","P","S","13C","15N","18O","33S","34S"
"12","187.01479","187.01473801","187.014915544","881293.1","-9999","902222.6","14.46","-1","-0.94930442","0.849151448","0","0.509490869","9","0.333333333","0.444444444","N2 O3","de-protonated","0","-9999","C9 H4 O3 N2","9","4","3","2","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"27","212.979781","212.979725991","212.979793338","780542.9","-9999","1051912.1","12.19","-1","-0.316212102","0.982020524","0","0.589212314","6","0.285714286","0.857142857","N2 S2 O2","de-protonated","0","-9999","C7 H6 O2 N2 S2","7","6","2","2","-9999","2","-9999","-9999","-9999","-9999","-9999"
"34","219.041119","219.041063286","219.041130293","1353937.1","-9999","873818","22.38","-1","-0.305907637","0.983163471","0","0.589898083","8","0.4","0.8","N2 O4","de-protonated","0","-9999","C10 H8 O4 N2","10","8","4","2","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"39","229.025547","229.025490125","229.025480228","1118276.4","-9999","793014.1","17.94","-1","0.04321437","0.999661205","0","0.599796723","10","0.363636364","0.545454545","N2 O4","de-protonated","0","-9999","C11 H6 O4 N2","11","6","4","2","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"58","244.973648","244.973589271","244.973645329","1152716.9","-9999","702625.7","18.19","-1","-0.228832503","0.99054356","0","0.594326136","10","0.166666667","0.5","S2 O2","de-protonated","0","-9999","C12 H6 O2 S2","12","6","2","-9999","-9999","2","-9999","-9999","-9999","-9999","-9999"
"60","245.103757","245.103698256","245.103931225","793953.9","-9999","766773.8","11.91","-1","-0.950491367","0.848804082","0","0.509282449","2","0.083333333","1.833333333","S2 O1","de-protonated","0","-9999","C12 H22 O1 S2","12","22","1","-9999","-9999","2","-9999","-9999","-9999","-9999","-9999"
"62","246.970701","246.970642039","246.970667949","773388.2","-9999","902600.3","11.5","-1","-0.104911182","0.998004904","0","0.598802942","10","0.454545455","0.363636364","S1 O5","de-protonated","0","-9999","C11 H4 O5 S1","11","4","5","-9999","-9999","1","-9999","-9999","-9999","-9999","-9999"
"71","255.061243","255.061183098","255.061411508","823129.8","-9999","846610.8","12.25","-1","-0.895507439","0.864581423","0","0.518748854","5","0.166666667","1.416666667","S1 P1 O2","de-protonated","0","-9999","C12 H17 O2 P1 S1","12","17","2","-9999","1","1","-9999","-9999","-9999","-9999","-9999"
"72","255.062994","255.062934098","255.063129041","9596122","-9999","707534.6","164.24","-1","-0.76429171","0.609823601","0.925952542","0.736275178","5","0.090909091","1.454545455","N2 S2 O1","de-protonated","0","-9999","C11 H16 O1 N2 S2","11","16","1","2","-9999","2","-9999","-9999","-9999","-9999","-9999"
"74","255.088154","255.088094095","255.088281161","630621.8","-9999","957143.3","8.92","-1","-0.733336787","0.907029785","0","0.544217871","4","0.076923077","1.538461538","S2 O1","de-protonated","0","-9999","C13 H20 O1 S2","13","20","1","-9999","-9999","2","-9999","-9999","-9999","-9999","-9999"
