"Index","Mass","Calibrated_Mass","Calculated_Mass","Peak_Height","Peak_Area","Resolving_Power","S_N","Ion_Charge","Error_ppm","Error_Score","Isotopologue_Similarity","Confidence_Score","DBE","OtoC_ratio","HtoC_ratio","Heteroatom_Class","Ion_Type","Is_Isotopologue","Mono_Isotopic_Index","Molecular_Formula","C","H","O","N","P","S","13C","15N","18O","33S","34S"
"423","339.122498","339.122379501","339.122297688","894125.8","-9999","599850.4","11.97","-1","0.241248701","0.989495083","0","0.59369705","1","0.214285714","2.071428571","S2 P1 O3","de-protonated","0","-9999","C14 H29 O3 P1 S2","14","29","3","-9999","1","2","-9999","-9999","-9999","-9999","-9999"
"424","339.145711","339.145592522","339.145796038","910384.9","-9999","606331.4","12.22","-1","-0.600085656","0.936748747","0","0.562049248","5","0.111111111","1.555555556","S2 O2","de-protonated","0","-9999","C18 H28 O2 S2","18","28","2","-9999","-9999","2","-9999","-9999","-9999","-9999","-9999"
"425","339.182088","339.181969554","339.182181547","967221.8","-9999","611908.1","13.11","-1","-0.625014694","0.931572066","0","0.55894324","4","0.052631579","1.684210526","S2 O1","de-protonated","0","-9999","C19 H32 O1 S2","19","32","1","-9999","-9999","2","-9999","-9999","-9999","-9999","-9999"
"430","341.088579","341.088462232","341.088675084","896056","-9999","550848.8","12","-1","-0.624035962","0.931778729","0","0.559067238","6","0.25","1.375","S2 O4","de-protonated","0","-9999","C16 H22 O4 S2","16","22","4","-9999","-9999","2","-9999","-9999","-9999","-9999","-9999"
"430","341.088579","341.088462232","341.088294961","896056","-9999","550848.8","12","-1","0.490403579","0.957300798","0","0.574380479","11","0.055555556","1.055555556","N2 S1 P1 O1","de-protonated","0","-9999","C18 H19 O1 N2 P1 S1","18","19","1","2","1","1","-9999","-9999","-9999","-9999","-9999"
"431","341.138064","341.137947276","341.137947753","910910.8","-9999","611457.7","12.23","-1","-0.001398109","0.999999645","0","0.599999787","0","0.214285714","2.214285714","S2 P1 O3","de-protonated","0","-9999","C14 H31 O3 P1 S2","14","31","3","-9999","1","2","-9999","-9999","-9999","-9999","-9999"
"434","341.197752","341.197635328","341.197831612","1977159","-9999","612170.5","28.81","-1","-0.575277756","0.94171797","0","0.565030782","3","0.052631579","1.789473684","S2 O1","de-protonated","0","-9999","C19 H34 O1 S2","19","34","1","-9999","-9999","2","-9999","-9999","-9999","-9999","-9999"
"435","342.167851","342.167735183","342.167928464","1781709.1","-9999","582147.7","25.45","-1","-0.564873205","0.943747184","0","0.56624831","4","0.0625","1.8125","N3 S2 O1","de-protonated","0","-9999","C16 H29 O1 N3 S2","16","29","1","3","-9999","2","-9999","-9999","-9999","-9999","-9999"
"439","343.08545","343.08533499","343.085317581","840013.6","-9999","589485.8","10.98","-1","0.050743378","0.999532899","0","0.599719739","11","0.235294118","1","N2 P1 O4","de-protonated","0","-9999","C17 H17 O4 N2 P1","17","17","4","2","1","-9999","-9999","-9999","-9999","-9999","-9999"
"440","343.104229","343.104114007","343.104325148","1866576.1","-9999","521804.9","26.75","-1","-0.615385093","0.933593274","0","0.560155965","5","0.25","1.5","S2 O4","de-protonated","0","-9999","C16 H24 O4 S2","16","24","4","-9999","-9999","2","-9999","-9999","-9999","-9999","-9999"
"440","343.104229","343.104114007","343.103945026","1866576.1","-9999","521804.9","26.75","-1","0.492507403","0.956941674","0","0.574165004","10","0.055555556","1.166666667","N2 S1 P1 O1","de-protonated","0","-9999","C18 H21 O1 N2 P1 S1","18","21","1","2","1","1","-9999","-9999","-9999","-9999","-9999"
"441","343.140666","343.140551039","343.140710658","927573.3","-9999","705922.6","12.33","-1","-0.465169388","0.961498445","0","0.576899067","4","0.176470588","1.647058824","S2 O3","de-protonated","0","-9999","C17 H28 O3 S2","17","28","3","-9999","-9999","2","-9999","-9999","-9999","-9999","-9999"
"442","343.177015","343.176900071","343.177096167","908506.4","-9999","596354.4","12.03","-1","-0.571413132","0.942475505","0","0.565485303","3","0.111111111","1.777777778","S2 O2","de-protonated","0","-9999","C18 H32 O2 S2","18","32","2","-9999","-9999","2","-9999","-9999","-9999","-9999","-9999"
"443","343.213422","343.213307103","343.213481676","3319903.5","-9999","505523.7","49.07","-1","-0.50864317","0.926625863","0.98911096","0.951619902","2","0.052631579","1.894736842","S2 O1","de-protonated","0","-9999","C19 H36 O1 S2","19","36","1","-9999","-9999","2","-9999","-9999","-9999","-9999","-9999"
"445","344.183478","344.183363957","344.183578528","1232489.3","-9999","516241.1","17.01","-1","-0.623420802","0.93190848","0","0.559145088","3","0.0625","1.9375","N3 S2 O1","de-protonated","0","-9999","C16 H31 O1 N3 S2","16","31","1","3","-9999","2","-9999","-9999","-9999","-9999","-9999"
"446","344.216687","344.216572987","344.216836511","630382","-9999","471392.9","7.76","-1","-0.765578159","0.899110916","0.98911096","0.935110934","2","0.052631579","1.894736842","13C1 S2 O1","de-protonated","1","443","C18 H36 O1 S2 13C1","18","36","1","-9999","-9999","2","1","-9999","-9999","-9999","-9999"
"449","345.062357","345.062243731","345.062460335","582439.4","-9999","484322.4","7.02","-1","-0.627724652","0.9309984","0","0.55859904","10","0.166666667","1","S2 O3","de-protonated","0","-9999","C18 H18 O3 S2","18","18","3","-9999","-9999","2","-9999","-9999","-9999","-9999","-9999"
"450","345.156312","345.156198814","345.156360722","802677","-9999","553944.3","10.4","-1","-0.469086664","0.960860169","0","0.576516102","3","0.176470588","1.764705882","S2 O3","de-protonated","0","-9999","C17 H30 O3 S2","17","30","3","-9999","-9999","2","-9999","-9999","-9999","-9999","-9999"
"452","345.192705","345.192591846","345.192746231","630522.3","-9999","535869.8","7.76","-1","-0.447244485","0.964356007","0","0.578613604","2","0.111111111","1.888888889","S2 O2","de-protonated","0","-9999","C18 H34 O2 S2","18","34","2","-9999","-9999","2","-9999","-9999","-9999","-9999","-9999"
