"Index","Mass","Calibrated_Mass","Calculated_Mass","Peak_Height","Peak_Area","Resolving_Power","S_N","Ion_Charge","Error_ppm","Error_Score","Isotopologue_Similarity","Confidence_Score","DBE","OtoC_ratio","HtoC_ratio","Heteroatom_Class","Ion_Type","Is_Isotopologue","Mono_Isotopic_Index","Molecular_Formula","C","H","O","N","P","S","13C","15N","18O","33S","34S"
"2","161.082014","161.082047714","161.081932477","495442.8","-9999","1379815.6","7.28","-1","0.715393252","0.911318187","0","0.546790912","1","0.571428571","2","O4","de-protonated","0","-9999","C7 H14 O4","7","14","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"7","171.066334","171.066374296","171.066282413","1589616.6","-9999","810740.3","27.78","-1","0.537119084","0.948999141","0","0.569399485","3","0.5","1.5","O4","de-protonated","0","-9999","C8 H12 O4","8","12","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"8","173.081986","173.082027624","173.081932477","586375","-9999","1271630","8.99","-1","0.549723497","0.946643174","0","0.567985904","2","0.5","1.75","O4","de-protonated","0","-9999","C8 H14 O4","8","14","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"11","179.035005","179.035050549","179.034982284","773354.7","-9999","817744.9","12.49","-1","0.381292879","0.973965124","0","0.584379074","6","0.444444444","0.888888889","O4","de-protonated","0","-9999","C9 H8 O4","9","8","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"19","187.097569","187.097619863","187.097582542","522299.4","-9999","1426791.6","7.78","-1","0.19947717","0.992805952","0","0.595683571","2","0.444444444","1.777777778","O4","de-protonated","0","-9999","C9 H16 O4","9","16","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"20","189.076819","189.076871168","189.076847097","912527.1","-9999","934345.3","15.05","-1","0.127309563","0.99706345","0","0.59823807","2","0.625","1.75","O5","de-protonated","0","-9999","C8 H14 O5","8","14","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"24","199.061219","199.06127775","199.061197032","1268942.8","-9999","1043552.1","21.49","-1","0.405490282","0.970606425","0","0.582363855","4","0.555555556","1.333333333","O5","de-protonated","0","-9999","C9 H12 O5","9","12","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"27","209.009128","209.009193307","209.009161458","603478.8","-9999","1030301.9","9.04","-1","0.152379763","0.995795698","0","0.597477419","7","0.666666667","0.666666667","O6","de-protonated","0","-9999","C9 H6 O6","9","6","6","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"34","217.071716","217.071786622","217.071761716","1184550.5","-9999","1018149.2","19.46","-1","0.114734937","0.997614241","0","0.598568544","3","0.666666667","1.555555556","O6","de-protonated","0","-9999","C9 H14 O6","9","14","6","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"38","227.092424","227.092501228","227.092497161","638426.9","-9999","935292.7","9.46","-1","0.017906311","0.999941823","0","0.599965094","4","0.454545455","1.454545455","O5","de-protonated","0","-9999","C11 H16 O5","11","16","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
