"Index","Mass","Calibrated_Mass","Calculated_Mass","Peak_Height","Peak_Area","Resolving_Power","S_N","Ion_Charge","Error_ppm","Error_Score","Isotopologue_Similarity","Confidence_Score","DBE","OtoC_ratio","HtoC_ratio","Heteroatom_Class","Ion_Type","Is_Isotopologue","Mono_Isotopic_Index","Molecular_Formula","C","H","O","N","P","S","13C","18O","33S","34S"
"55","219.040952","219.040960841","219.041130293","713245.6","-9999","1040170.3","10.85","-1","-0.773605681","0.897097413","0","0.538258448","8","0.4","0.8","N2 O4","de-protonated","0","-9999","C10 H8 O4 N2","10","8","4","2","-9999","-9999","-9999","-9999","-9999","-9999"
"72","236.105508","236.105526899","236.105718673","868620.4","-9999","1089498.4","13.38","-1","-0.812237696","0.887180205","0","0.532308123","1","0.444444444","2.222222222","N1 P1 O4","de-protonated","0","-9999","C9 H20 O4 N1 P1","9","20","4","1","1","-9999","-9999","-9999","-9999","-9999"
"73","236.105832","236.1058509","236.105718673","2407628.5","-9999","836868.5","40.63","-1","0.560029748","0.944680642","0","0.566808385","1","0.444444444","2.222222222","N1 P1 O4","de-protonated","0","-9999","C9 H20 O4 N1 P1","9","20","4","1","1","-9999","-9999","-9999","-9999","-9999"
"75","237.109147","237.109166491","237.109209854","525046.7","-9999","1067802","7.27","-1","-0.182882338","0.993949654","0","0.596369792","1","0.75","2.25","N2 O6","de-protonated","0","-9999","C8 H18 O6 N2","8","18","6","2","-9999","-9999","-9999","-9999","-9999","-9999"
"115","255.151718","255.151748126","255.151940591","707386.6","-9999","795653.4","10.24","-1","-0.754316285","0.901907745","0","0.541144647","3","0.142857143","1.785714286","P1 O2","de-protonated","0","-9999","C14 H25 O2 P1","14","25","2","-9999","1","-9999","-9999","-9999","-9999","-9999"
"134","262.975891","262.975925737","262.975967805","710347.8","-9999","796265.3","10.18","-1","-0.15996543","0.995367683","0","0.59722061","9","0.083333333","0.75","S2 P1 O1","de-protonated","0","-9999","C12 H9 O1 P1 S2","12","9","1","-9999","1","2","-9999","-9999","-9999","-9999"
"144","265.14783","265.147866018","265.147904038","896335.6","-9999","936365.3","13.3","-1","-0.143394202","0.996276022","0","0.597765613","0","0.333333333","2.166666667","S1 O4","de-protonated","0","-9999","C12 H26 O4 S1","12","26","4","-9999","-9999","1","-9999","-9999","-9999","-9999"
"153","268.037902","268.037939721","268.038033035","548503.8","-9999","760850.7","7.35","-1","-0.348137147","0.978248565","0","0.586949139","7","0.454545455","1.090909091","N1 P1 O5","de-protonated","0","-9999","C11 H12 O5 N1 P1","11","12","5","1","1","-9999","-9999","-9999","-9999","-9999"
"154","268.038219","268.038256721","268.038033035","554839.9","-9999","696311.3","7.46","-1","0.834531533","0.881289903","0","0.528773942","7","0.454545455","1.090909091","N1 P1 O5","de-protonated","0","-9999","C11 H12 O5 N1 P1","11","12","5","1","1","-9999","-9999","-9999","-9999","-9999"
"159","269.129578","269.129616365","269.129551376","704143","-9999","968364.7","9.96","-1","0.241477693","0.989475236","0","0.593685142","9","0.125","1.125","N2 O2","de-protonated","0","-9999","C16 H18 O2 N2","16","18","2","2","-9999","-9999","-9999","-9999","-9999","-9999"
"162","269.139376","269.13941437","269.139447355","2309264","-9999","688055.9","37.23","-1","-0.122554356","0.997278429","0","0.598367057","4","0.357142857","1.571428571","O5","de-protonated","0","-9999","C14 H22 O5","14","22","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"184","277.023753","277.023796018","277.023980626","794921.2","-9999","646558.8","11.43","-1","-0.666399838","0.922581722","0","0.553549033","4","0.222222222","1.666666667","N2 S2 P1 O2","de-protonated","0","-9999","C9 H15 O2 N2 P1 S2","9","15","2","2","1","2","-9999","-9999","-9999","-9999"
"185","277.060169","277.060212039","277.060366136","3381676.5","-9999","598100","55.15","-1","-0.556184284","0.945416687","0","0.567250012","3","0.1","1.9","N2 S2 P1 O1","de-protonated","0","-9999","C10 H19 O1 N2 P1 S2","10","19","1","2","1","2","-9999","-9999","-9999","-9999"
"191","279.057239","279.057283216","279.057388756","1117285.4","-9999","649670.2","16.79","-1","-0.378199452","0.974380416","0","0.584628249","3","0.444444444","1.888888889","N2 S1 P1 O4","de-protonated","0","-9999","C9 H17 O4 N2 P1 S1","9","17","4","2","1","1","-9999","-9999","-9999","-9999"
"192","279.087999","279.088043234","279.088281161","688936.3","-9999","778527","9.58","-1","-0.85251276","0.876452372","0","0.525871423","6","0.066666667","1.333333333","S2 O1","de-protonated","0","-9999","C15 H20 O1 S2","15","20","1","-9999","-9999","2","-9999","-9999","-9999","-9999"
"193","279.100931","279.100975242","279.10116832","751657.4","-9999","686101.7","10.64","-1","-0.691785956","0.916827901","0","0.550096741","1","0.083333333","2.083333333","S2 P1 O1","de-protonated","0","-9999","C12 H25 O1 P1 S2","12","25","1","-9999","1","2","-9999","-9999","-9999","-9999"
"198","280.118979","280.119023842","280.119046262","1445957.5","-9999","540593.4","22.31","-1","-0.080038532","0.998838285","0","0.599302971","6","0.357142857","1.357142857","N1 O5","de-protonated","0","-9999","C14 H19 O5 N1","14","19","5","1","-9999","-9999","-9999","-9999","-9999","-9999"
"202","281.067223","281.067268401","281.067545716","752026.3","-9999","866223","10.64","-1","-0.986648349","0.838084998","0","0.502850999","6","0.142857143","1.285714286","S2 O2","de-protonated","0","-9999","C14 H18 O2 S2","14","18","2","-9999","-9999","2","-9999","-9999","-9999","-9999"
"203","281.103624","281.103669422","281.103931225","727197.5","-9999","598572.3","10.22","-1","-0.931337827","0.854373521","0","0.512624112","5","0.066666667","1.466666667","S2 O1","de-protonated","0","-9999","C15 H22 O1 S2","15","22","1","-9999","-9999","2","-9999","-9999","-9999","-9999"
"210","283.118809","283.11885561","283.11871191","563918.1","-9999","779480","7.44","-1","0.507562646","0.954330929","0","0.572598558","5","0.428571429","1.428571429","O6","de-protonated","0","-9999","C14 H20 O6","14","20","6","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"211","283.119262","283.11930861","283.11958129","1038158.1","-9999","684071.9","15.37","-1","-0.963123494","0.845089241","0","0.507053544","4","0.066666667","1.6","S2 O1","de-protonated","0","-9999","C15 H24 O1 S2","15","24","1","-9999","-9999","2","-9999","-9999","-9999","-9999"
"219","285.124238","285.124285792","285.124465995","1047161.9","-9999","732759.2","15.52","-1","-0.632015776","0.93008567","0","0.558051402","9","0.1875","1.125","N2 O3","de-protonated","0","-9999","C16 H18 O3 N2","16","18","3","2","-9999","-9999","-9999","-9999","-9999","-9999"
"220","285.126062","285.126109793","285.126119766","2740090","-9999","607609.8","43.83","-1","-0.034975279","0.999778064","0","0.599866838","4","0.285714286","1.642857143","P1 O4","de-protonated","0","-9999","C14 H23 O4 P1","14","23","4","-9999","1","-9999","-9999","-9999","-9999","-9999"
"224","285.207065","285.207112841","285.207132993","1552256.9","-9999","752835.1","23.96","-1","-0.070656755","0.99909455","0","0.59945673","2","0.25","1.875","O4","de-protonated","0","-9999","C16 H30 O4","16","30","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"226","286.129417","286.129465385","286.129610946","624206.7","-9999","780281.2","8.44","-1","-0.508726288","0.954126171","0","0.572475702","4","0.461538462","1.615384615","N1 O6","de-protonated","0","-9999","C13 H21 O6 N1","13","21","6","1","-9999","-9999","-9999","-9999","-9999","-9999"
"230","287.114179","287.114227965","287.114495909","1043233.1","-9999","688237.7","15.36","-1","-0.93323046","0.853826622","0","0.512295973","3","0.142857143","1.714285714","S2 O2","de-protonated","0","-9999","C14 H24 O2 S2","14","24","2","-9999","-9999","2","-9999","-9999","-9999","-9999"
"231","287.149973","287.150021986","287.150012039","628388.1","-9999","706488.9","8.46","-1","0.034642606","0.999782265","0","0.599869359","3","0.428571429","1.714285714","O6","de-protonated","0","-9999","C14 H24 O6","14","24","6","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"233","287.186334","287.186383008","287.186397548","612167.1","-9999","574382.1","8.19","-1","-0.05063016","0.99953498","0","0.599720988","2","0.333333333","1.866666667","O5","de-protonated","0","-9999","C15 H28 O5","15","28","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"236","289.121096","289.121146148","289.121034385","936647.1","-9999","808353.1","13.59","-1","0.386560705","0.973250549","0","0.58395033","3","0.384615385","1.769230769","P1 O5","de-protonated","0","-9999","C13 H23 O5 P1","13","23","5","-9999","1","-9999","-9999","-9999","-9999","-9999"
"239","289.16625","289.166300175","289.16653148300003","972234.8","-9999","654210.8","14.18","-1","-0.79991368","0.89038431","0","0.534230586","1","0.066666667","2","S2 O1","de-protonated","0","-9999","C15 H30 O1 S2","15","30","1","-9999","-9999","2","-9999","-9999","-9999","-9999"
"240","291.039488","291.039539279","291.039630691","10287204","-9999","611602","168.14","-1","-0.314087789","0.649219236","0.890551179","0.745752013","4","0.2","1.7","N2 S2 P1 O2","de-protonated","0","-9999","C10 H17 O2 N2 P1 S2","10","17","2","2","1","2","-9999","-9999","-9999","-9999"
"241","291.100912","291.100963315","291.10116832","732904.9","-9999","681533.3","10.14","-1","-0.704240387","0.913940054","0","0.548364032","2","0.076923077","1.923076923","S2 P1 O1","de-protonated","0","-9999","C13 H25 O1 P1 S2","13","25","1","-9999","1","2","-9999","-9999","-9999","-9999"
"242","291.118858","291.118909326","291.118926385","1391722.4","-9999","486213.2","21.03","-1","-0.058599288","0.999377122","0","0.599626273","2","0.230769231","1.923076923","S1 P1 O3","de-protonated","0","-9999","C13 H25 O3 P1 S1","13","25","3","-9999","1","1","-9999","-9999","-9999","-9999"
"246","292.042805","292.04285687","292.042985526","605365.4","-9999","630760.3","8.03","-1","-0.440536812","0.643599049","0.890551179","0.742379901","4","0.2","1.7","13C1 N2 S2 P1 O2","de-protonated","1","240","C9 H17 O2 N2 P1 S2 13C1","9","17","2","2","1","2","1","-9999","-9999","-9999"
"246","292.042805","292.04285687","292.043121871","605365.4","-9999","630760.3","8.03","-1","-0.907404715","0.861222988","0","0.516733793","4","0.444444444","1.666666667","N3 S2 O4","de-protonated","0","-9999","C9 H15 O4 N3 S2","9","15","4","3","-9999","2","-9999","-9999","-9999","-9999"
"249","292.987096","292.987148427","292.987380642","1270785.8","-9999","554780.8","19.03","-1","-0.792576656","0.892273991","0","0.535364395","10","0.545454545","0.545454545","N2 S1 O6","de-protonated","0","-9999","C11 H6 O6 N2 S1","11","6","6","2","-9999","1","-9999","-9999","-9999","-9999"
"250","293.036543","293.036595456","293.036653311","2485765.8","-9999","539160.9","39.12","-1","-0.19743173","0.992952212","0","0.595771327","4","0.555555556","1.666666667","N2 S1 P1 O5","de-protonated","0","-9999","C9 H15 O5 N2 P1 S1","9","15","5","2","1","1","-9999","-9999","-9999","-9999"
"254","293.175728","293.175780538","293.175832864","15328529","-9999","758000","251.51","-1","-0.178479836","0.497118308","0.844689208","0.636146668","5","0.235294118","1.529411765","O4","de-protonated","0","-9999","C17 H26 O4","17","26","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"266","295.095964","295.09601767","295.09608294","660139.9","-9999","563790","8.93","-1","-0.221182172","0.991162531","0","0.594697518","1","0.166666667","2.083333333","S2 P1 O2","de-protonated","0","-9999","C12 H25 O2 P1 S2","12","25","2","-9999","1","2","-9999","-9999","-9999","-9999"
