"Index","Mass","Calibrated_Mass","Calculated_Mass","Peak_Height","Peak_Area","Resolving_Power","S_N","Ion_Charge","Error_ppm","Error_Score","Isotopologue_Similarity","Confidence_Score","DBE","OtoC_ratio","HtoC_ratio","Heteroatom_Class","Ion_Type","Is_Isotopologue","Mono_Isotopic_Index","Molecular_Formula","C","H","O","N","P","S","13C","15N","18O","33S","34S"
"0","171.066443","171.06622745","171.066282413","2219005.8","-9999","1044745.3","39.48","-1","-0.321293419","0.981443482","0","0.588866089","3","0.5","1.5","O4","de-protonated","0","-9999","C8 H12 O4","8","12","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"1","173.082101","173.081886604","173.081932477","1778777.5","-9999","1083505.1","31.25","-1","-0.265038469","0.987334952","0","0.592400971","2","0.5","1.75","O4","de-protonated","0","-9999","C8 H14 O4","8","14","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"4","189.07704","189.076834758","189.076847097","2072544","-9999","1003835.1","36.63","-1","-0.065259408","0.999227547","0","0.599536528","2","0.625","1.75","O5","de-protonated","0","-9999","C8 H14 O5","8","14","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"6","199.061372","199.061172472","199.061197032","2602180.8","-9999","793126.4","46.05","-1","-0.123381925","0.9972416","0","0.59834496","4","0.555555556","1.333333333","O5","de-protonated","0","-9999","C9 H12 O5","9","12","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"7","205.108335","205.108138932","205.108147226","1472803.6","-9999","821955.4","25","-1","-0.040433592","0.999703398","0","0.599822039","1","0.555555556","2","O5","de-protonated","0","-9999","C9 H18 O5","9","18","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"13","217.071971","217.071781779","217.071761716","3207453.5","-9999","781755.3","55.96","-1","0.09242508","0.998451194","0","0.599070717","3","0.666666667","1.555555556","O6","de-protonated","0","-9999","C9 H14 O6","9","14","6","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"14","230.10355","230.103368237","230.103396198","789083.5","-9999","982999.3","12.09","-1","-0.121513667","0.997324392","0","0.598394635","3","0.5","1.7","N1 O5","de-protonated","0","-9999","C10 H17 O5 N1","10","17","5","1","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"15","231.087642","231.0874608","231.087411781","2808952","-9999","773762.8","47.97","-1","0.212125695","0.991868538","0","0.595121123","3","0.6","1.6","O6","de-protonated","0","-9999","C10 H16 O6","10","16","6","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"18","239.12907","239.128893402","239.128882671","1041215.4","-9999","572922.9","16.39","-1","0.044879163","0.999634604","0","0.599780762","4","0.307692308","1.538461538","O4","de-protonated","0","-9999","C13 H20 O4","13","20","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"20","241.046776","241.0466005","241.046609596","1030768.8","-9999","702636","16.15","-1","-0.037736658","0.99974164","0","0.599844984","6","0.666666667","1.111111111","N2 O6","de-protonated","0","-9999","C9 H10 O6 N2","9","10","6","2","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"21","241.144723","241.144547556","241.144532735","1193280.3","-9999","780311.5","19.01","-1","0.061461072","0.999314819","0","0.599588891","3","0.307692308","1.692307692","O4","de-protonated","0","-9999","C13 H22 O4","13","22","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"22","243.033488","243.033313637","243.033268207","913898.6","-9999","1010557.8","14.03","-1","0.186930256","0.993679711","0","0.596207826","5","0.5","1.2","S1 O5","de-protonated","0","-9999","C10 H12 O5 S1","10","12","5","-9999","-9999","1","-9999","-9999","-9999","-9999","-9999"
"24","249.149838","249.149667137","249.149618115","1381784.9","-9999","693149.1","22.14","-1","0.196756856","0.993000144","0","0.595800086","5","0.2","1.466666667","O3","de-protonated","0","-9999","C15 H22 O3","15","22","3","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"25","251.096013","251.095843251","251.095868465","2959802.3","-9999","697308.5","49.53","-1","-0.100413397","0.998172153","0","0.598903292","1","0.5","2","S1 O5","de-protonated","0","-9999","C10 H20 O5 S1","10","20","5","-9999","-9999","1","-9999","-9999","-9999","-9999","-9999"
"27","253.144758","253.144589424","253.144532735","4116195.8","-9999","558873","69.67","-1","0.223937749","0.990941964","0","0.594565178","4","0.285714286","1.571428571","O4","de-protonated","0","-9999","C14 H22 O4","14","22","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"31","255.062446","255.062278521","255.062259661","11253235","-9999","531745","193.18","-1","0.073944334","0.996508606","0.995628618","0.996156611","6","0.6","1.2","N2 O6","de-protonated","0","-9999","C10 H12 O6 N2","10","12","6","2","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"33","255.12401500000001","255.123847556","255.12379729","1307451.8","-9999","554914.4","20.67","-1","0.197026837","0.992980988","0","0.595788593","4","0.384615385","1.538461538","O5","de-protonated","0","-9999","C13 H20 O5","13","20","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"34","256.065828","256.065661095","256.065614496","1277822","-9999","645290.2","20.16","-1","0.181982943","0.994008839","0.995628618","0.994656751","6","0.6","1.2","13C1 N2 O6","de-protonated","1","31","C9 H12 O6 N2 13C1","9","12","6","2","-9999","-9999","1","-9999","-9999","-9999","-9999"
"35","257.049109","257.048942658","257.048918271","1122052","-9999","748522.5","17.45","-1","0.09487278","0.998368142","0","0.599020885","5","0.454545455","1.272727273","S1 O5","de-protonated","0","-9999","C11 H14 O5 S1","11","14","5","-9999","-9999","1","-9999","-9999","-9999","-9999","-9999"
"37","257.139612","257.13944571","257.139447355","1885712.3","-9999","766789","30.56","-1","-0.00639614","0.999992577","0","0.599995546","3","0.384615385","1.692307692","O5","de-protonated","0","-9999","C13 H22 O5","13","22","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"41","259.118935","259.118769843","259.11871191","877910.4","-9999","816740.5","13.15","-1","0.223576891","0.990971001","0","0.5945826","3","0.5","1.666666667","O6","de-protonated","0","-9999","C12 H20 O6","12","20","6","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"44","262.976124","262.97596105","262.975967805","2089210.3","-9999","703970.9","33.91","-1","-0.025684538","0.999880306","0","0.599928184","9","0.083333333","0.75","S2 P1 O1","de-protonated","0","-9999","C12 H9 O1 P1 S2","12","9","1","-9999","1","2","-9999","-9999","-9999","-9999","-9999"
"45","263.044198","263.044035089","263.043846691","903682.6","-9999","658064.3","13.53","-1","0.716221705","0.91112209","0","0.546673254","4","0.75","1.625","N2 P1 O6","de-protonated","0","-9999","C8 H13 O6 N2 P1","8","13","6","2","1","-9999","-9999","-9999","-9999","-9999","-9999"
