"Index","Mass","Calibrated_Mass","Calculated_Mass","Peak_Height","Peak_Area","Resolving_Power","S_N","Ion_Charge","Error_ppm","Error_Score","Isotopologue_Similarity","Confidence_Score","DBE","OtoC_ratio","HtoC_ratio","Heteroatom_Class","Ion_Type","Is_Isotopologue","Mono_Isotopic_Index","Molecular_Formula","C","H","O","N","P","S","13C","18O","33S","34S"
"8","171.066391","171.066303464","171.066282413","2148176.8","-9999","938818.2","38.26","-1","0.123058877","0.997256006","0","0.598353603","3","0.5","1.5","O4","de-protonated","0","-9999","C8 H12 O4","8","12","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"9","173.082045","173.081960543","173.081932477","673114.6","-9999","1381838.4","10.62","-1","0.162151301","0.995240524","0","0.597144314","2","0.5","1.75","O4","de-protonated","0","-9999","C8 H14 O4","8","14","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"11","179.035093","179.035017635","179.034982284","1121417.9","-9999","956342.6","19.02","-1","0.197455739","0.992950504","0","0.595770303","6","0.444444444","0.888888889","O4","de-protonated","0","-9999","C9 H8 O4","9","8","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"15","187.061206","187.061142894","187.061197032","532964.5","-9999","1029629.7","7.98","-1","-0.289413181","0.984916769","0","0.590950061","3","0.625","1.5","O5","de-protonated","0","-9999","C8 H12 O5","8","12","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"16","189.076842","189.076781973","189.076847097","903395.3","-9999","1033395.3","14.88","-1","-0.344430154","0.978704379","0","0.587222627","2","0.625","1.75","O5","de-protonated","0","-9999","C8 H14 O5","8","14","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"17","189.077024","189.076963973","189.076847097","486251.3","-9999","1661348.6","7.09","-1","0.618142899","0.933017185","0","0.559810311","2","0.625","1.75","O5","de-protonated","0","-9999","C8 H14 O5","8","14","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"20","199.061246","199.061201223","199.061197032","1602833.4","-9999","793597.7","27.67","-1","0.02105283","0.999919581","0","0.599951749","4","0.555555556","1.333333333","O5","de-protonated","0","-9999","C9 H12 O5","9","12","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"25","209.009195","209.009165418","209.009161458","1071662.8","-9999","690162.7","17.58","-1","0.018941944","0.999934899","0","0.599960939","7","0.666666667","0.666666667","O6","de-protonated","0","-9999","C9 H6 O6","9","6","6","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"26","209.154707","209.15467764","209.154703496","599202.1","-9999","1182297.8","8.96","-1","-0.123621921","0.997230873","0","0.598338524","3","0.153846154","1.692307692","O2","de-protonated","0","-9999","C13 H22 O2","13","22","2","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"31","215.092536","215.092515709","215.092497161","640359.9","-9999","1133383.6","9.64","-1","0.086232494","0.99865165","0","0.59919099","3","0.5","1.6","O5","de-protonated","0","-9999","C10 H16 O5","10","16","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"32","217.071758","217.071740732","217.071761716","902866.3","-9999","726047.3","14.36","-1","-0.096668942","0.99830582","0","0.598983492","3","0.666666667","1.555555556","O6","de-protonated","0","-9999","C9 H14 O6","9","14","6","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"36","221.154636","221.154624968","221.154703496","658257.8","-9999","1016015.9","9.89","-1","-0.355079484","0.97738239","0","0.586429434","4","0.142857143","1.571428571","O2","de-protonated","0","-9999","C14 H22 O2","14","22","2","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"37","227.128881","227.128879093","227.128882671","599749.4","-9999","883721.2","8.76","-1","-0.015749462","0.999954993","0","0.599972996","3","0.333333333","1.666666667","O4","de-protonated","0","-9999","C12 H20 O4","12","20","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"39","229.071757","229.071758061","229.071761716","557099.4","-9999","887740.6","7.96","-1","-0.015957368","0.999953797","0","0.599972278","4","0.6","1.4","O6","de-protonated","0","-9999","C10 H14 O6","10","14","6","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"40","230.103466","230.103468637","230.103396198","534889.5","-9999","671862.4","7.56","-1","0.314810185","0.982178167","0","0.5893069","3","0.5","1.7","N1 O5","de-protonated","0","-9999","C10 H17 O5 N1","10","17","5","1","-9999","-9999","-9999","-9999","-9999","-9999"
"41","231.087332","231.08733614","231.087411781","1364064","-9999","748281.8","22.31","-1","-0.327327511","0.980746747","0","0.588448048","3","0.6","1.6","O6","de-protonated","0","-9999","C10 H16 O6","10","16","6","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"47","239.128852","239.128868422","239.128882671","1112754.3","-9999","839971.9","17.68","-1","-0.059584962","0.999355998","0","0.599613599","4","0.307692308","1.538461538","O4","de-protonated","0","-9999","C13 H20 O4","13","20","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"48","241.046556","241.046575351","241.046609596","1344243.4","-9999","778227.2","21.7","-1","-0.142068365","0.996344443","0","0.597806666","6","0.666666667","1.111111111","N2 O6","de-protonated","0","-9999","C9 H10 O6 N2","9","10","6","2","-9999","-9999","-9999","-9999","-9999","-9999"
"49","241.144531","241.144550501","241.144532735","1111107.8","-9999","663735.2","17.59","-1","0.073672782","0.99901564","0","0.599409384","3","0.307692308","1.692307692","O4","de-protonated","0","-9999","C13 H22 O4","13","22","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"50","242.17612","242.176141076","242.176167217","1356335.1","-9999","679888.6","21.91","-1","-0.107938448","0.997888227","0","0.598732936","2","0.230769231","1.923076923","N1 O3","de-protonated","0","-9999","C13 H25 O3 N1","13","25","3","1","-9999","-9999","-9999","-9999","-9999","-9999"
"51","243.033262","243.033284386","243.033268207","1484796.6","-9999","615585.3","24.08","-1","0.06657094","0.999196199","0","0.599517719","5","0.5","1.2","S1 O5","de-protonated","0","-9999","C10 H12 O5 S1","10","12","5","-9999","-9999","1","-9999","-9999","-9999","-9999"
"53","243.123793","243.123815524","243.12379729","711339.6","-9999","555474.1","10.49","-1","0.074997963","0.998979927","0","0.599387956","3","0.416666667","1.666666667","O5","de-protonated","0","-9999","C12 H20 O5","12","20","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"54","245.048921","245.048946464","245.048918271","885126.2","-9999","978920.8","13.54","-1","0.1150513","0.997601082","0","0.598560649","4","0.5","1.4","S1 O5","de-protonated","0","-9999","C10 H14 O5 S1","10","14","5","-9999","-9999","1","-9999","-9999","-9999","-9999"
"55","245.103076","245.103101547","245.103061845","643215","-9999","1009115.3","9.29","-1","0.161980117","0.995250544","0","0.597150326","3","0.545454545","1.636363636","O6","de-protonated","0","-9999","C11 H18 O6","11","18","6","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"57","249.149563","249.149594728","249.149618115","1747986.5","-9999","690099.7","28.58","-1","-0.093870548","0.99840241","0","0.599041446","5","0.2","1.466666667","O3","de-protonated","0","-9999","C15 H22 O3","15","22","3","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"58","251.056155","251.05618964","251.056111652","775991.7","-9999","607278.8","11.52","-1","0.310639298","0.982643183","0","0.58958591","7","0.5","1","O6","de-protonated","0","-9999","C12 H12 O6","12","12","6","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"59","251.095484","251.0955187","251.095488342","1358653.6","-9999","860497.2","21.68","-1","0.120901476","0.997351248","0","0.598410749","6","0.166666667","1.416666667","N2 P1 O2","de-protonated","0","-9999","C12 H17 O2 N2 P1","12","17","2","2","1","-9999","-9999","-9999","-9999","-9999"
"60","251.09585","251.0958847","251.095868465","4442813.5","-9999","765261.2","75.45","-1","0.064659981","0.999241666","0","0.599545","1","0.5","2","S1 O5","de-protonated","0","-9999","C10 H20 O5 S1","10","20","5","-9999","-9999","1","-9999","-9999","-9999","-9999"
"61","251.128842","251.128876751","251.128882671","1300546.8","-9999","767207.4","20.66","-1","-0.023572693","0.999899179","0","0.599939507","5","0.285714286","1.428571429","O4","de-protonated","0","-9999","C14 H20 O4","14","20","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"62","252.099188","252.099224233","252.098979523","639188.9","-9999","811478.3","9.13","-1","0.970690861","0.842848253","0","0.505708952","6","0.363636364","1.363636364","N3 O4","de-protonated","0","-9999","C11 H15 O4 N3","11","15","4","3","-9999","-9999","-9999","-9999","-9999","-9999"
"65","253.144485","253.144522829","253.144532735","5128176","-9999","715684.8","87.4","-1","-0.039130077","0.999577639","0.98352422","0.993156272","4","0.285714286","1.571428571","O4","de-protonated","0","-9999","C14 H22 O4","14","22","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"67","254.147834","254.147873362","254.14788757","890690.6","-9999","691828","13.46","-1","-0.055904957","0.999433068","0.98352422","0.993069529","4","0.285714286","1.571428571","13C1 O4","de-protonated","1","65","C13 H22 O4 13C1","13","22","4","-9999","-9999","-9999","1","-9999","-9999","-9999"
"69","255.062215","255.062255759","255.062259661","8920838","-9999","670468.3","152.92","-1","-0.015298765","0.995218487","0.999699413","0.997010857","6","0.6","1.2","N2 O6","de-protonated","0","-9999","C10 H12 O6 N2","10","12","6","2","-9999","-9999","-9999","-9999","-9999","-9999"
"71","255.123738","255.123778853","255.12379729","1806862.8","-9999","693844.9","29.37","-1","-0.072269141","0.999052773","0","0.599431664","4","0.384615385","1.538461538","O5","de-protonated","0","-9999","C13 H20 O5","13","20","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"73","256.065631","256.065673291","256.065614496","968147.6","-9999","674331.6","14.8","-1","0.229610692","0.990479441","0.999699413","0.99416743","6","0.6","1.2","13C1 N2 O6","de-protonated","1","69","C9 H12 O6 N2 13C1","9","12","6","2","-9999","-9999","1","-9999","-9999","-9999"
"74","257.048478","257.048521792","257.048538149","957979.8","-9999","811798.2","14.62","-1","-0.063630953","0.999265603","0","0.599559362","10","0.153846154","0.846153846","N2 P1 O2","de-protonated","0","-9999","C13 H11 O2 N2 P1","13","11","2","2","1","-9999","-9999","-9999","-9999","-9999"
"75","257.048891","257.048934793","257.048918271","2901019.8","-9999","722339.1","48.37","-1","0.064275188","0.999250662","0","0.599550397","5","0.454545455","1.272727273","S1 O5","de-protonated","0","-9999","C11 H14 O5 S1","11","14","5","-9999","-9999","1","-9999","-9999","-9999","-9999"
"76","257.103098","257.103141876","257.103061845","604323.3","-9999","951852.5","8.48","-1","0.311278179","0.982572341","0","0.589543405","4","0.5","1.5","O6","de-protonated","0","-9999","C12 H18 O6","12","18","6","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"77","257.139423","257.139466931","257.139447355","2282536.3","-9999","658546.1","37.47","-1","0.076132642","0.998948844","0","0.599369306","3","0.384615385","1.692307692","O5","de-protonated","0","-9999","C13 H22 O5","13","22","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"78","259.100928","259.100974927","259.100953845","2898991.3","-9999","744328.9","48.12","-1","0.081367221","0.998799418","0","0.599279651","3","0.333333333","1.666666667","S1 O4","de-protonated","0","-9999","C12 H20 O4 S1","12","20","4","-9999","-9999","1","-9999","-9999","-9999","-9999"
"80","259.118637","259.118683954","259.11871191","1051313.5","-9999","770397","16.17","-1","-0.10788633","0.997890264","0","0.598734158","3","0.5","1.666666667","O6","de-protonated","0","-9999","C12 H20 O6","12","20","6","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"82","261.137454","261.137504038","261.137353155","609460.2","-9999","607980.3","8.48","-1","0.577791336","0.941222852","0","0.564733711","2","0.272727273","2.090909091","N2 P1 O3","de-protonated","0","-9999","C11 H23 O3 N2 P1","11","23","3","2","1","-9999","-9999","-9999","-9999","-9999"
"84","262.97593","262.975982846","262.975967805","5722901.5","-9999","620663.6","96.53","-1","0.057196845","0.665752771","0.911626484","0.764102256","9","0.083333333","0.75","S2 P1 O1","de-protonated","0","-9999","C12 H9 O1 P1 S2","12","9","1","-9999","1","2","-9999","-9999","-9999","-9999"
