"Index","Mass","Calibrated_Mass","Calculated_Mass","Peak_Height","Peak_Area","Resolving_Power","S_N","Ion_Charge","Error_ppm","Error_Score","Isotopologue_Similarity","Confidence_Score","DBE","OtoC_ratio","HtoC_ratio","Heteroatom_Class","Ion_Type","Is_Isotopologue","Mono_Isotopic_Index","Molecular_Formula","C","H","O","N","P","S","13C","15N","18O","33S","34S"
"44","229.02533","229.025326283","229.025480228","614625.9","-9999","734273","8.99","-1","-0.672173063","0.921288972","0","0.552773383","10","0.363636364","0.545454545","N2 O4","de-protonated","0","-9999","C11 H6 O4 N2","11","6","4","2","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"46","236.105787","236.105787728","236.105718673","2322628.5","-9999","663118.5","39.26","-1","0.292472699","0.984598661","0","0.590759197","1","0.444444444","2.222222222","N1 P1 O4","de-protonated","0","-9999","C9 H20 O4 N1 P1","9","20","4","1","1","-9999","-9999","-9999","-9999","-9999","-9999"
"66","255.123811","255.123823666","255.12379729","532763.3","-9999","918193.3","7.26","-1","0.103383082","0.998062545","0","0.598837527","4","0.384615385","1.538461538","O5","de-protonated","0","-9999","C13 H20 O5","13","20","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"81","262.97602","262.976037594","262.975967805","4246558","-9999","677066.7","71.28","-1","0.265385288","0.493650998","0.885121231","0.650239091","9","0.083333333","0.75","S2 P1 O1","de-protonated","0","-9999","C12 H9 O1 P1 S2","12","9","1","-9999","1","2","-9999","-9999","-9999","-9999","-9999"
"87","265.147901","265.147919958","265.147904038","1873697.8","-9999","790586.9","30.19","-1","0.060039907000000003","0.999346129","0","0.599607678","0","0.333333333","2.166666667","S1 O4","de-protonated","0","-9999","C12 H26 O4 S1","12","26","4","-9999","-9999","1","-9999","-9999","-9999","-9999","-9999"
"99","268.982964","268.982985365","268.983161185","645781.3","-9999","770596.5","9.04","-1","-0.653647469","0.925404018","0","0.555242411","12","0.142857143","0.5","S1 P1 O2","de-protonated","0","-9999","C14 H7 O2 P1 S1","14","7","2","-9999","1","1","-9999","-9999","-9999","-9999","-9999"
"101","269.131208","269.131229458","269.131205146","606437.6","-9999","981127.7","8.36","-1","0.090335274","0.998520391","0","0.599112234","4","0.214285714","1.642857143","P1 O3","de-protonated","0","-9999","C14 H23 O3 P1","14","23","3","-9999","1","-9999","-9999","-9999","-9999","-9999","-9999"
"103","269.139444","269.139465463","269.139447355","1091174.5","-9999","723252.1","16.66","-1","0.067283786","0.9991789","0","0.59950734","4","0.357142857","1.571428571","O5","de-protonated","0","-9999","C14 H22 O5","14","22","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"115","277.058014","277.058040434","277.057842986","1246232.5","-9999","816364.7","19.21","-1","0.712660911","0.911963629","0","0.547178177","9","0.454545455","0.909090909","N4 O5","de-protonated","0","-9999","C11 H10 O5 N4","11","10","5","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"116","277.059615","277.059641435","277.059496756","2087960.8","-9999","916680.8","33.54","-1","0.522194768","0.951725367","0","0.57103522","4","0.666666667","1.666666667","N2 P1 O6","de-protonated","0","-9999","C9 H15 O6 N2 P1","9","15","6","2","1","-9999","-9999","-9999","-9999","-9999","-9999"
"117","277.060083","277.060109435","277.060366136","9474073","-9999","487060.9","159.3","-1","-0.926514897","0.580650954","0.923907362","0.717953517","3","0.1","1.9","N2 S2 P1 O1","de-protonated","0","-9999","C10 H19 O1 N2 P1 S2","10","19","1","2","1","2","-9999","-9999","-9999","-9999","-9999"
"119","278.063467","278.063494065","278.063720971","924793.9","-9999","612274.4","13.67","-1","-0.816020859","0.590792761","0.923907362","0.724038601","3","0.1","1.9","13C1 N2 S2 P1 O1","de-protonated","1","117","C9 H19 O1 N2 P1 S2 13C1","9","19","1","2","1","2","1","-9999","-9999","-9999","-9999"
"120","279.057257","279.057284689","279.057388756","3018713","-9999","519180.7","49.15","-1","-0.372922462","0.975081443","0","0.585048866","3","0.444444444","1.888888889","N2 S1 P1 O4","de-protonated","0","-9999","C9 H17 O4 N2 P1 S1","9","17","4","2","1","1","-9999","-9999","-9999","-9999","-9999"
