"Index","Mass","Calibrated_Mass","Calculated_Mass","Peak_Height","Peak_Area","Resolving_Power","S_N","Ion_Charge","Error_ppm","Error_Score","Isotopologue_Similarity","Confidence_Score","DBE","OtoC_ratio","HtoC_ratio","Heteroatom_Class","Ion_Type","Is_Isotopologue","Mono_Isotopic_Index","Molecular_Formula","C","H","O","N","P","S","13C","17O","18O","33S","34S"
"5","171.0664","171.06640313","171.066282413","1693257.3","-9999","1024972","29.64","-1","0.705675064","0.913604672","0","0.548162803","3","0.5","1.5","O4","de-protonated","0","-9999","C8 H12 O4","8","12","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"8","179.035104","179.035111635","179.034982284","554069.8","-9999","1312234.9","8.36","-1","0.722493535","0.909631549","0","0.545778929","6","0.444444444","0.888888889","O4","de-protonated","0","-9999","C9 H8 O4","9","8","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"21","199.061243","199.061261958","199.061197032","678316.6","-9999","1010964.5","10.54","-1","0.326160307","0.980882492","0","0.588529495","4","0.555555556","1.333333333","O5","de-protonated","0","-9999","C9 H12 O5","9","12","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"25","209.154731","209.154755665","209.154703496","662430.6","-9999","963355.5","10.1","-1","0.249428321","0.988774742","0","0.593264845","3","0.153846154","1.692307692","O2","de-protonated","0","-9999","C13 H22 O2","13","22","2","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"34","217.071764","217.071793141","217.071761716","654836.3","-9999","1071189.3","9.86","-1","0.144767514","0.996204486","0","0.59772269200000006","3","0.666666667","1.555555556","O6","de-protonated","0","-9999","C9 H14 O6","9","14","6","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"37","221.045583","221.045614388","221.045546968","536113.6","-9999","1116964.5","7.68","-1","0.305005998","0.98326174","0","0.589957044","7","0.454545455","0.909090909","O5","de-protonated","0","-9999","C11 H10 O5","11","10","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"41","231.087408","231.087445066","231.087411781","602129.3","-9999","1080684.1","8.74","-1","0.144035941","0.996242678","0","0.597745607","3","0.6","1.6","O6","de-protonated","0","-9999","C10 H16 O6","10","16","6","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"46","239.128892","239.128933612","239.128882671","891582.7","-9999","982542.2","13.79","-1","0.213030518","0.991799306","0","0.595079584","4","0.307692308","1.538461538","O4","de-protonated","0","-9999","C13 H20 O4","13","20","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"47","241.144517","241.144559752","241.144532735","841399.8","-9999","814105.1","12.85","-1","0.112036211","0.997725027","0","0.598635016","3","0.307692308","1.692307692","O4","de-protonated","0","-9999","C13 H22 O4","13","22","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"48","242.176153","242.176196335","242.176167217","1588758.9","-9999","795000","26.04","-1","0.120237489","0.997380224","0","0.598428135","2","0.230769231","1.923076923","N1 O3","de-protonated","0","-9999","C13 H25 O3 N1","13","25","3","1","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
