"Index","Mass","Calibrated_Mass","Calculated_Mass","Peak_Height","Peak_Area","Resolving_Power","S_N","Ion_Charge","Error_ppm","Error_Score","Isotopologue_Similarity","Confidence_Score","DBE","OtoC_ratio","HtoC_ratio","Heteroatom_Class","Ion_Type","Is_Isotopologue","Mono_Isotopic_Index","Molecular_Formula","C","H","O","N","P","S","13C","17O","18O","33S","34S"
"3","171.066454","171.066252131","171.066282413","1057681.8","-9999","1055196.9","17.74","-1","-0.177017254","0.994330419","0","0.596598251","3","0.5","1.5","O4","de-protonated","0","-9999","C8 H12 O4","8","12","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"6","179.035173","179.03497161","179.034982284","946235.8","-9999","951869.7","15.66","-1","-0.059618775","0.999355267","0","0.59961316","6","0.444444444","0.888888889","O4","de-protonated","0","-9999","C9 H8 O4","9","8","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"13","190.957728","190.957527326","190.95734036","2410331.8","-9999","915064.1","42.75","-1","0.979101222","0.840344104","0","0.504206462","4","0.8","1","S1 P1 O4","de-protonated","0","-9999","C5 H5 O4 P1 S1","5","5","4","-9999","1","1","-9999","-9999","-9999","-9999","-9999"
"15","194.082464","194.082263514","194.08226683","868663.5","-9999","801719.6","14.1","-1","-0.017083061","0.999947049","0","0.599968229","5","0.3","1.3","N1 O3","de-protonated","0","-9999","C10 H13 O3 N1","10","13","3","1","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"19","199.06139","199.061189814","199.061197032","1112010.1","-9999","868134.3","18.51","-1","-0.036264061","0.999761409","0","0.599856845","4","0.555555556","1.333333333","O5","de-protonated","0","-9999","C9 H12 O5","9","12","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"24","209.154863","209.15466342","209.154703496","579173.6","-9999","798605.7","8.55","-1","-0.191608137","0.993360491","0","0.596016295","3","0.153846154","1.692307692","O2","de-protonated","0","-9999","C13 H22 O2","13","22","2","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"31","213.077128","213.076928656","213.076847097","506810.5","-9999","859828.4","7.21","-1","0.38276854","0.973765888","0","0.584259533","4","0.5","1.4","O5","de-protonated","0","-9999","C10 H14 O5","10","14","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"34","215.056337","215.056137775","215.056111652","583766.2","-9999","1037189.6","8.58","-1","0.121470408","0.997326294","0","0.598395777","4","0.666666667","1.333333333","O6","de-protonated","0","-9999","C9 H12 O6","9","12","6","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"39","221.154944","221.154745141","221.154703496","2349458.8","-9999","893636.9","40.27","-1","0.188309166","0.993586423","0","0.596151854","4","0.142857143","1.571428571","O2","de-protonated","0","-9999","C14 H22 O2","14","22","2","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"42","225.149862","225.149663381","225.149618115","700111.9","-9999","731370.6","10.53","-1","0.201048447","0.992692587","0","0.595615552","3","0.230769231","1.692307692","O3","de-protonated","0","-9999","C13 H22 O3","13","22","3","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
