"Index","Mass","Calibrated_Mass","Calculated_Mass","Peak_Height","Peak_Area","Resolving_Power","S_N","Ion_Charge","Error_ppm","Error_Score","Isotopologue_Similarity","Confidence_Score","DBE","OtoC_ratio","HtoC_ratio","Heteroatom_Class","Ion_Type","Is_Isotopologue","Mono_Isotopic_Index","Molecular_Formula","C","H","O","N","P","S","13C","15N","17O","18O","33S","34S"
"1","161.08214","161.082014133","161.081932477","504992.4","-9999","1500315.1","7.45","-1","0.506920902","0.954443671","0","0.572666203","1","0.571428571","2","O4","de-protonated","0","-9999","C7 H14 O4","7","14","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"6","163.040237","163.040110706","163.040067664","576038.6","-9999","1089073.8","8.78","-1","0.263994695","0.987433882","0","0.592460329","6","0.333333333","0.888888889","O3","de-protonated","0","-9999","C9 H8 O3","9","8","3","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"10","171.066487","171.066358956","171.066282413","949580.9","-9999","1044395.2","15.77","-1","0.447445287","0.964324571","0","0.578594743","3","0.5","1.5","O4","de-protonated","0","-9999","C8 H12 O4","8","12","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"14","179.035183","179.035053218","179.034982284","1630443.1","-9999","1086380.3","28.51","-1","0.396201075","0.971918855","0","0.583151313","6","0.444444444","0.888888889","O4","de-protonated","0","-9999","C9 H8 O4","9","8","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"17","183.012451","183.01232035","183.012138839","529385.7","-9999","922103","7.91","-1","0.991801053","0.83653618","0","0.501921708","5","0.375","1","S1 O3","de-protonated","0","-9999","C8 H8 O3 S1","8","8","3","-9999","-9999","1","-9999","-9999","-9999","-9999","-9999","-9999"
"21","187.061379","187.061247467","187.061197032","542833.8","-9999","1137610.7","8.15","-1","0.269617398","0.986896461","0","0.592137877","3","0.625","1.5","O5","de-protonated","0","-9999","C8 H12 O5","8","12","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"24","194.082521","194.082387936","194.08226683","492835.2","-9999","1066029.6","7.16","-1","0.623994223","0.931787536","0","0.559072522","5","0.3","1.3","N1 O3","de-protonated","0","-9999","C10 H13 O3 N1","10","13","3","1","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"25","199.007242","199.007107862","199.007053458","541126.3","-9999","1016427.9","8.01","-1","0.273376267","0.986531037","0","0.591918622","5","0.5","1","S1 O4","de-protonated","0","-9999","C8 H8 O4 S1","8","8","4","-9999","-9999","1","-9999","-9999","-9999","-9999","-9999","-9999"
"26","199.061383","199.06124885","199.061197032","698371.4","-9999","667381.1","10.92","-1","0.260311446","0.987779944","0","0.592667966","4","0.555555556","1.333333333","O5","de-protonated","0","-9999","C9 H12 O5","9","12","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"27","201.077087","201.076952411","201.076847097","496993.8","-9999","1006324.4","7.17","-1","0.523749256","0.951444631","0","0.570866779","3","0.555555556","1.555555556","O5","de-protonated","0","-9999","C9 H14 O5","9","14","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"29","207.012376","207.012240116","207.012138839","1159378.6","-9999","1011765.1","19.22","-1","0.489234883","0.957499689","0","0.574499813","7","0.3","0.8","S1 O3","de-protonated","0","-9999","C10 H8 O3 S1","10","8","3","-9999","-9999","1","-9999","-9999","-9999","-9999","-9999","-9999"
"33","211.134185","211.134048217","211.133968051","755081.9","-9999","1012460.3","11.75","-1","0.379693931","0.974180183","0","0.58450811","3","0.25","1.666666667","O3","de-protonated","0","-9999","C12 H20 O3","12","20","3","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"36","213.077112","213.076974794","213.076847097","635702.8","-9999","910246.5","9.58","-1","0.599299271","0.936909074","0","0.562145445","4","0.5","1.4","O5","de-protonated","0","-9999","C10 H14 O5","10","14","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"37","213.113487","213.113349786","213.113232606","497227.8","-9999","872076.3","7.06","-1","0.549846271","0.946619986","0","0.567971991","3","0.363636364","1.636363636","O4","de-protonated","0","-9999","C11 H18 O4","11","18","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"40","215.031811","215.031673367","215.031828912","1361998.8","-9999","1039329","22.72","-1","-0.72335531","0.90942591800000006","0","0.545655551","4","0.125","1.5","N2 S2 O1","de-protonated","0","-9999","C8 H12 O1 N2 S2","8","12","1","2","-9999","2","-9999","-9999","-9999","-9999","-9999","-9999"
"42","215.05636","215.056222362","215.056111652","661426.4","-9999","993227.6","10.01","-1","0.514796069","0.953051228","0","0.571830737","4","0.666666667","1.333333333","O6","de-protonated","0","-9999","C9 H12 O6","9","12","6","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"43","215.067576","215.067438359","215.067345041","833044","-9999","957874.4","13.12","-1","0.433902714","0.966415292","0","0.579849175","4","0.625","1.5","N2 O5","de-protonated","0","-9999","C8 H12 O5 N2","8","12","5","2","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"44","215.092717","215.092579354","215.092497161","894647.6","-9999","802797.5","14.24","-1","0.38212751700000003","0.973852525","0","0.584311515","3","0.5","1.6","O5","de-protonated","0","-9999","C10 H16 O5","10","16","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"46","217.028823","217.028684932","217.028851532","523445.9","-9999","1173533.9","7.48","-1","-0.767638895","0.898595606","0","0.539157364","4","0.571428571","1.428571429","N2 S1 O4","de-protonated","0","-9999","C7 H10 O4 N2 S1","7","10","4","2","-9999","1","-9999","-9999","-9999","-9999","-9999","-9999"
"46","217.028823","217.028684932","217.028471409","523445.9","-9999","1173533.9","7.48","-1","0.983846639","0.838924957","0","0.503354974","9","0.111111111","0.777777778","N4 P1 O1","de-protonated","0","-9999","C9 H7 O1 N4 P1","9","7","1","4","1","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"48","217.108361","217.108222914","217.108147226","625377.8","-9999","1014678.9","9.32","-1","0.348622182","0.978188579","0","0.586913148","2","0.5","1.8","O5","de-protonated","0","-9999","C10 H18 O5","10","18","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"53","221.045778","221.045639056","221.045546968","604671.2","-9999","968506.6","8.91","-1","0.416601274","0.968999076","0","0.581399445","7","0.454545455","0.909090909","O5","de-protonated","0","-9999","C11 H10 O5","11","10","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"54","221.082171","221.082032048","221.081932477","515364.9","-9999","1033889.3","7.3","-1","0.450378593","0.963863868","0","0.578318321","6","0.333333333","1.166666667","O4","de-protonated","0","-9999","C12 H14 O4","12","14","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"55","221.154752","221.154613032","221.154703496","670480.3","-9999","1593865.6","10.1","-1","-0.409052839","0.970095498","0","0.582057299","4","0.142857143","1.571428571","O2","de-protonated","0","-9999","C14 H22 O2","14","22","2","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"56","221.154985","221.154846032","221.154703496","985712.4","-9999","741976.9","15.79","-1","0.644508064","0.927398349","0","0.55643901","4","0.142857143","1.571428571","O2","de-protonated","0","-9999","C14 H22 O2","14","22","2","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"57","227.092733","227.092592737","227.092497161","871214.1","-9999","802372.7","13.62","-1","0.420866894","0.968371181","0","0.581022709","4","0.454545455","1.454545455","O5","de-protonated","0","-9999","C11 H16 O5","11","16","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"58","227.140357","227.140216727","227.14011606","968950","-9999","857111.9","15.37","-1","0.443192024","0.964987626","0","0.578992576","3","0.272727273","1.818181818","N2 O3","de-protonated","0","-9999","C11 H20 O3 N2","11","20","3","2","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"59","229.017862","229.017721317","229.017618142","548812.5","-9999","681256","7.81","-1","0.450510529","0.96384308","0","0.578305848","5","0.555555556","1.111111111","S1 O5","de-protonated","0","-9999","C9 H10 O5 S1","9","10","5","-9999","-9999","1","-9999","-9999","-9999","-9999","-9999","-9999"
"60","229.072001","229.071860305","229.071761716","602005.4","-9999","910995.6","8.76","-1","0.430384568","0.966948639","0","0.580169183","4","0.6","1.4","O6","de-protonated","0","-9999","C10 H14 O6","10","14","6","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"61","229.156008","229.155867287","229.155766124","860419.4","-9999","868106.4","13.38","-1","0.441457975","0.965256265","0","0.579153759","2","0.272727273","2","N2 O3","de-protonated","0","-9999","C11 H22 O3 N2","11","22","3","2","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"62","230.103636","230.10349508","230.103396198","603489.1","-9999","1080990.9","8.78","-1","0.429730359","0.967047369","0","0.580228422","3","0.5","1.7","N1 O5","de-protonated","0","-9999","C10 H17 O5 N1","10","17","5","1","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"63","231.087697","231.087555866","231.087411781","753477.4","-9999","952682.2","11.42","-1","0.623508191","0.931890055","0","0.559134033","3","0.6","1.6","O6","de-protonated","0","-9999","C10 H16 O6","10","16","6","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"66","235.072648","235.072505997","235.072430422","520369.5","-9999","751232.1","7.24","-1","0.321496774","0.981420205","0","0.588852123","7","0.363636364","1.090909091","N2 O4","de-protonated","0","-9999","C11 H12 O4 N2","11","12","4","2","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"67","236.105634","236.105491771","236.105718673","2222159","-9999","772634.6","37.45","-1","-0.961019005","0.845710395","0","0.507426237","1","0.444444444","2.222222222","N1 P1 O4","de-protonated","0","-9999","C9 H20 O4 N1 P1","9","20","4","1","1","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"68","237.040655","237.040512567","237.040461587","555819.7","-9999","1003622","7.83","-1","0.215068815","0.991642286","0","0.594985372","7","0.545454545","0.909090909","O6","de-protonated","0","-9999","C11 H10 O6","11","10","6","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"69","239.056405","239.056262128","239.056111652","595708.6","-9999","986854.2","8.53","-1","0.62945867","0.930630212","0","0.558378127","6","0.545454545","1.090909091","O6","de-protonated","0","-9999","C11 H12 O6","11","12","6","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"70","239.129103","239.128960112","239.128882671","956040.8","-9999","692932.1","14.91","-1","0.323847905","0.981150047","0","0.588690028","4","0.307692308","1.538461538","O4","de-protonated","0","-9999","C13 H20 O4","13","20","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"71","240.990803","240.990659706","240.990748489","567038.1","-9999","1030904.3","7.99","-1","-0.368409142","0.975673598","0","0.585404159","7","0.666666667","0.777777778","P1 O6","de-protonated","0","-9999","C9 H7 O6 P1","9","7","6","-9999","1","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"72","241.046885","241.046741694","241.046609596","2283783.3","-9999","809959.7","38.27","-1","0.548016189","0.946965151","0","0.568179091","6","0.666666667","1.111111111","N2 O6","de-protonated","0","-9999","C9 H10 O6 N2","9","10","6","2","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"74","241.071957","241.071813688","241.071761716","657611.5","-9999","849631.7","9.59","-1","0.215586911","0.99160214","0","0.594961284","5","0.545454545","1.272727273","O6","de-protonated","0","-9999","C11 H14 O6","11","14","6","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"75","241.108438","241.10829468","241.108147226","856401.6","-9999","819630.4","13.1","-1","0.611570418","0.934386474","0","0.560631884","4","0.416666667","1.5","O5","de-protonated","0","-9999","C12 H18 O5","12","18","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"76","241.119669","241.119525678","241.119380615","555923.4","-9999","884658.6","7.8","-1","0.60162261","0.936434867","0","0.56186092","4","0.363636364","1.636363636","N2 O4","de-protonated","0","-9999","C11 H18 O4 N2","11","18","4","2","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"77","241.14469","241.144546672","241.144532735","680247.6","-9999","628987.8","9.99","-1","0.057796684","0.999394062","0","0.599636437","3","0.307692308","1.692307692","O4","de-protonated","0","-9999","C13 H22 O4","13","22","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"78","242.176448","242.176304447","242.176167217","1346817.8","-9999","716953.8","21.74","-1","0.56665688","0.943401633","0","0.56604098","2","0.230769231","1.923076923","N1 O3","de-protonated","0","-9999","C13 H25 O3 N1","13","25","3","1","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"79","243.033011","243.032867261","243.032888084","1194190.4","-9999","1118724.1","18.98","-1","-0.085682289","0.99866879","0","0.599201274","10","0.166666667","0.75","N2 P1 O2","de-protonated","0","-9999","C12 H9 O2 N2 P1","12","9","2","2","1","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"80","243.033531","243.03338726","243.033268207","3962062.5","-9999","794938.8","67.62","-1","0.489866073","0.957392326","0","0.574435395","5","0.5","1.2","S1 O5","de-protonated","0","-9999","C10 H12 O5 S1","10","12","5","-9999","-9999","1","-9999","-9999","-9999","-9999","-9999","-9999"
"82","243.062482","243.062338254","243.062259661","822099.3","-9999","733706.4","12.44","-1","0.32334682","0.981207783","0","0.58872467","5","0.666666667","1.333333333","N2 O6","de-protonated","0","-9999","C9 H12 O6 N2","9","12","6","2","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"83","243.087633","243.087489249","243.087411781","735831.3","-9999","934736.3","10.92","-1","0.318683156","0.981741014","0","0.589044608","4","0.545454545","1.454545455","O6","de-protonated","0","-9999","C11 H16 O6","11","16","6","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"84","243.124049","243.123905241","243.12379729","759581.3","-9999","742880.1","11.34","-1","0.444014831","0.964859815","0","0.578915889","3","0.416666667","1.666666667","O5","de-protonated","0","-9999","C12 H20 O5","12","20","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"85","243.17173","243.17158623","243.171416189","586917.1","-9999","921706.8","8.31","-1","0.699266122","0.915098537","0","0.549059122","2","0.25","2","N2 O3","de-protonated","0","-9999","C12 H24 O3 N2","12","24","3","2","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"87","245.048709","245.048564821","245.048538149","689046.4","-9999","1168028.9","10.1","-1","0.108845083","0.997852641","0","0.598711584","9","0.166666667","0.916666667","N2 P1 O2","de-protonated","0","-9999","C12 H11 O2 N2 P1","12","11","2","2","1","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"88","245.049164","245.049019821","245.048918271","1467990.4","-9999","692719.3","23.79","-1","0.414405866","0.969319901","0","0.581591941","4","0.5","1.4","S1 O5","de-protonated","0","-9999","C10 H14 O5 S1","10","14","5","-9999","-9999","1","-9999","-9999","-9999","-9999","-9999","-9999"
"89","245.066913","245.066768817","245.066676336","667673.3","-9999","597650.1","9.72","-1","0.37737117","0.974491068","0","0.584694641","4","0.7","1.4","O7","de-protonated","0","-9999","C10 H14 O7","10","14","7","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"90","245.10328","245.103135809","245.103061845","801695.2","-9999","805644.9","12.08","-1","0.30176619","0.983612528","0","0.590167517","3","0.545454545","1.636363636","O6","de-protonated","0","-9999","C11 H18 O6","11","18","6","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"91","245.114473","245.114328807","245.114295235","857249","-9999","657628","13.05","-1","0.136965027","0.996601915","0","0.597961149","3","0.5","1.8","N2 O5","de-protonated","0","-9999","C10 H18 O5 N2","10","18","5","2","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"92","247.118963","247.118818369","247.11871191","549090.1","-9999","975574.3","7.6","-1","0.430804135","0.966885245","0","0.580131147","2","0.545454545","1.818181818","O6","de-protonated","0","-9999","C11 H20 O6","11","20","6","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"95","249.149835","249.149689927","249.149618115","530081.4","-9999","1054885","7.27","-1","0.288224829","0.985039451","0","0.591023671","5","0.2","1.466666667","O3","de-protonated","0","-9999","C15 H22 O3","15","22","3","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"96","251.056282","251.056136511","251.056111652","532998.9","-9999","891780.8","7.28","-1","0.099017405","0.998222578","0","0.598933547","7","0.5","1","O6","de-protonated","0","-9999","C12 H12 O6","12","12","6","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"97","251.095623","251.095477502","251.095488342","762316.9","-9999","1045450.1","11.28","-1","-0.043170052","0.9996619","0","0.59979714","6","0.166666667","1.416666667","N2 P1 O2","de-protonated","0","-9999","C12 H17 O2 N2 P1","12","17","2","2","1","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"98","251.096078","251.095932502","251.095868465","1795276.9","-9999","632025.5","29.3","-1","0.255032375","0.98826767","0","0.592960602","1","0.5","2","S1 O5","de-protonated","0","-9999","C10 H20 O5 S1","10","20","5","-9999","-9999","1","-9999","-9999","-9999","-9999","-9999","-9999"
"99","253.144806","253.144660055","253.144532735","3632128.3","-9999","673279.3","61.34","-1","0.502954906","0.965241832","0.98249833","0.972144431","4","0.285714286","1.571428571","O4","de-protonated","0","-9999","C14 H22 O4","14","22","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"100","254.148128","254.147981836","254.14788757","635987.7","-9999","813536.5","9.04","-1","0.370911614","0.975346116","0.98249833","0.978207001","4","0.285714286","1.571428571","13C1 O4","de-protonated","1","99","C13 H22 O4 13C1","13","22","4","-9999","-9999","-9999","1","-9999","-9999","-9999","-9999","-9999"
"101","255.033491","255.033344643","255.033268207","744211.8","-9999","853323","10.92","-1","0.299712729","0.98383299","0","0.590299794","6","0.454545455","1.090909091","S1 O5","de-protonated","0","-9999","C11 H12 O5 S1","11","12","5","-9999","-9999","1","-9999","-9999","-9999","-9999","-9999","-9999"
"102","255.051344","255.05119764","255.051026271","587446.4","-9999","708256.1","8.19","-1","0.671897251","0.921350944","0","0.552810567","6","0.636363636","1.090909091","O7","de-protonated","0","-9999","C11 H12 O7","11","12","7","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"107","255.062537","255.062390637","255.062259661","31698200","-9999","681561.3","548.82","-1","0.513507378","0.952781644","0.996755963","0.970371371","6","0.6","1.2","N2 O6","de-protonated","0","-9999","C10 H12 O6 N2","10","12","6","2","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"108","255.087684","255.087537632","255.087411781","777947.6","-9999","821579.5","11.5","-1","0.49336346","0.956795143","0","0.574077086","5","0.5","1.333333333","O6","de-protonated","0","-9999","C12 H16 O6","12","16","6","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"109","255.124035","255.123888624","255.12379729","1081184.8","-9999","694929.3","16.77","-1","0.357996907","0.977013521","0","0.586208113","4","0.384615385","1.538461538","O5","de-protonated","0","-9999","C13 H20 O5","13","20","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"111","255.233211","255.2330646","255.232953818","7758640.5","-9999","681460.5","132.81","-1","0.434041407","0.959087037","0.999892959","0.975409405","1","0.125","2","O2","de-protonated","0","-9999","C16 H32 O2","16","32","2","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"112","256.065894","256.065747418","256.065614496","3302566.8","-9999","651372.9","55.37","-1","0.519095324","0.952282871","0.996755963","0.970072108","6","0.6","1.2","13C1 N2 O6","de-protonated","1","107","C9 H12 O6 N2 13C1","9","12","6","2","-9999","-9999","1","-9999","-9999","-9999","-9999","-9999"
"113","256.236589","256.236442381","256.236308653","1341502.9","-9999","754391.5","21.29","-1","0.521892379","0.95177989","0.999892959","0.971025117","1","0.125","2","13C1 O2","de-protonated","1","111","C15 H32 O2 13C1","15","32","2","-9999","-9999","-9999","1","-9999","-9999","-9999","-9999","-9999"
"115","257.049159","257.049012204","257.048918271","7376944.5","-9999","680911.6","126.17","-1","0.365427197","0.979835271","0.971238766","0.976396669","5","0.454545455","1.272727273","S1 O5","de-protonated","0","-9999","C11 H14 O5 S1","11","14","5","-9999","-9999","1","-9999","-9999","-9999","-9999","-9999","-9999"
"116","257.066693","257.0665462","257.066676336","555890.8","-9999","514062.2","7.64","-1","-0.506234025","0.954564199","0","0.572738519","5","0.636363636","1.272727273","O7","de-protonated","0","-9999","C11 H14 O7","11","14","7","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"117","257.078156","257.078009197","257.077909725","659572.4","-9999","827110","9.44","-1","0.386934498","0.973199492","0","0.583919695","5","0.6","1.4","N2 O6","de-protonated","0","-9999","C10 H14 O6 N2","10","14","6","2","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"118","257.103303","257.103156192","257.103061845","988855.9","-9999","784478.4","15.16","-1","0.366960887","0.975862159","0","0.585517295","4","0.5","1.5","O6","de-protonated","0","-9999","C12 H18 O6","12","18","6","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"119","257.139659","257.139512184","257.139447355","1007932.9","-9999","719309","15.43","-1","0.252118022","0.988532743","0","0.593119646","3","0.384615385","1.692307692","O5","de-protonated","0","-9999","C13 H22 O5","13","22","5","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"120","257.176105","257.175958176","257.175832864","533186","-9999","783970.9","7.21","-1","0.487262699","0.957834336","0","0.574700601","2","0.285714286","1.857142857","O4","de-protonated","0","-9999","C14 H26 O4","14","26","4","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"121","258.052498","258.052350985","258.052273106","620282.2","-9999","677787.8","8.72","-1","0.301794592","0.983609469","0.971238766","0.978661188","5","0.454545455","1.272727273","13C1 S1 O5","de-protonated","1","115","C10 H14 O5 S1 13C1","10","14","5","-9999","-9999","1","1","-9999","-9999","-9999","-9999","-9999"
"122","258.244009","258.243861943","258.243852855","1245396.1","-9999","830749.4","19.53","-1","0.035193072","0.999775292","0","0.599865175","0","0.133333333","2.2","N1 O2","de-protonated","0","-9999","C15 H33 O2 N1","15","33","2","1","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"126","259.082657","259.08250976","259.0823264","556964.8","-9999","577538.6","7.62","-1","0.707728654","0.913123636","0","0.547874181","4","0.636363636","1.454545455","O7","de-protonated","0","-9999","C11 H16 O7","11","16","7","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"127","259.118951","259.118803752","259.11871191","1223753.6","-9999","620643.1","19.16","-1","0.354442642","0.977462527","0","0.586477516","3","0.5","1.666666667","O6","de-protonated","0","-9999","C12 H20 O6","12","20","6","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"128","259.130195","259.13004775","259.129945299","2118347","-9999","630292.8","34.63","-1","0.395365262","0.972035538","0","0.583221323","3","0.454545455","1.818181818","N2 O5","de-protonated","0","-9999","C11 H20 O5 N2","11","20","5","2","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999"
"134","260.981689","260.981541346","260.981447108","526524.7","-9999","1183374.4","7.06","-1","0.361090963","0.976619176","0","0.585971505","5","0.333333333","1.222222222","S2 P1 O3","de-protonated","0","-9999","C9 H11 O3 P1 S2","9","11","3","-9999","1","2","-9999","-9999","-9999","-9999","-9999","-9999"
