Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,OtoC_ratio,HtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,15N,18O,34S
106,129.055824,129.055742155,129.055717729,37263824,-9999,695505.7,340.07,-1,0.189272658,0.990884505,0.996610512,0.993174908,2,0.5,1.666666667,O3,de-protonated,0,-9999,C6 H10 O3,6,10,3,-9999,-9999,-9999,-9999,N/A,-9999,-9999
110,130.059188,130.059105761,130.059072564,2275497.3,-9999,675357.4,18.36,-1,0.255245456,0.988248173,0.996610512,0.991593108,2,0.5,1.666666667,13C1 O3,de-protonated,1,106,C5 H10 O3 13C1,5,10,3,-9999,-9999,-9999,1,N/A,-9999,-9999
159,145.050758,145.050669864,145.050632348,1393430.6,-9999,640254.6,9.99,-1,0.258638858,0.987935527,0,0.592761316,2,0.666666667,1.666666667,O4,de-protonated,0,-9999,C6 H10 O4,6,10,4,-9999,-9999,-9999,-9999,N/A,-9999,-9999
161,147.012266,147.012177092,147.012138839,1117671.1,-9999,750351,7.49,-1,0.260208607,0.987789538,0,0.592673723,2,0.6,1.6,S1 O3,de-protonated,0,-9999,C5 H8 O3 S1,5,8,3,-9999,-9999,1,-9999,N/A,-9999,-9999
166,149.024559,149.024469301,149.0244176,1813489.3,-9999,728160,13.67,-1,0.346930878,0.9783974,0,0.58703844,6,0.375,0.75,O3,de-protonated,0,-9999,C8 H6 O3,8,6,3,-9999,-9999,-9999,-9999,N/A,-9999,-9999
170,151.040195,151.040104508,151.040067664,1168438,-9999,537075.3,7.88,-1,0.243934514,0.989261147,0,0.593556688,5,0.375,1,O3,de-protonated,0,-9999,C8 H8 O3,8,8,3,-9999,-9999,-9999,-9999,N/A,-9999,-9999
174,155.035138,155.035045937,155.034982284,1080186.3,-9999,823373.6,7.03,-1,0.410571541,0.969876416,0,0.58192585,4,0.571428571,1.142857143,O4,de-protonated,0,-9999,C7 H8 O4,7,8,4,-9999,-9999,-9999,-9999,N/A,-9999,-9999
175,157.050777,157.050684144,157.050632348,1299777.3,-9999,771329.5,8.94,-1,0.329802326,0.980457385,0,0.588274431,3,0.571428571,1.428571429,O4,de-protonated,0,-9999,C7 H10 O4,7,10,4,-9999,-9999,-9999,-9999,N/A,-9999,-9999
179,159.066446,159.066352351,159.066282413,3704646.5,-9999,780095.6,30.14,-1,0.439680635,0.965530595,0,0.579318357,2,0.571428571,1.714285714,O4,de-protonated,0,-9999,C7 H12 O4,7,12,4,-9999,-9999,-9999,-9999,N/A,-9999,-9999
180,159.102806,159.102712337,159.102667922,1188571.4,-9999,618873.6,7.95,-1,0.279157559,0.985959397,0,0.591575638,1,0.375,2,O3,de-protonated,0,-9999,C8 H16 O3,8,16,3,-9999,-9999,-9999,-9999,N/A,-9999,-9999
188,161.082094,161.081999558,161.081932477,1442499.4,-9999,628606.8,10.14,-1,0.4164407,0.969022595,0,0.581413557,1,0.571428571,2,O4,de-protonated,0,-9999,C7 H14 O4,7,14,4,-9999,-9999,-9999,-9999,N/A,-9999,-9999
195,163.040226,163.040130788,163.040067664,2190609,-9999,801176.3,16.66,-1,0.387167495,0.973167643,0,0.583900586,6,0.333333333,0.888888889,O3,de-protonated,0,-9999,C9 H8 O3,9,8,3,-9999,-9999,-9999,-9999,N/A,-9999,-9999
197,164.071848,164.071752382,164.071702146,1768909.8,-9999,729789.3,12.91,-1,0.306186183,0.983133056,0,0.589879834,5,0.222222222,1.222222222,N1 O2,de-protonated,0,-9999,C9 H11 O2 N1,9,11,2,1,-9999,-9999,-9999,N/A,-9999,-9999
