Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,OtoC_ratio,HtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,34S
227,197.045779,197.045533154,197.045546968,2158121.5,-9999,580997.1,15.81,-1,-0.070106759,0.999108585,0,0.599465151,5,0.555555556,1.111111111,O5,de-protonated,0,-9999,C9 H10 O5,9,10,5,-9999,-9999,-9999,-9999,-9999
228,197.082174,197.081928218,197.081932477,1367596,-9999,593772.7,9.08,-1,-0.021613607,0.99991524,0,0.599949144,4,0.4,1.4,O4,de-protonated,0,-9999,C10 H14 O4,10,14,4,-9999,-9999,-9999,-9999,-9999
231,199.007294,199.007051599,199.007053458,4607903,-9999,537172.5,36.67,-1,-0.009343558,0.999984159,0,0.599990496,5,0.5,1,S1 O4,de-protonated,0,-9999,C8 H8 O4 S1,8,8,4,-9999,-9999,1,-9999,-9999
232,199.06145,199.061207694,199.061197032,2580898,-9999,505242.9,19.41,-1,0.05355938,0.99947963,0,0.599687778,4,0.555555556,1.333333333,O5,de-protonated,0,-9999,C9 H12 O5,9,12,5,-9999,-9999,-9999,-9999,-9999
233,199.097816,199.097573758,199.097582542,5110692,-9999,539465.8,40.95,-1,-0.044118483,0.999646883,0,0.59978813,3,0.4,1.6,O4,de-protonated,0,-9999,C10 H16 O4,10,16,4,-9999,-9999,-9999,-9999,-9999
236,201.040675,201.04043617,201.040461587,1129719.4,-9999,610418.5,7.04,-1,-0.126428527,0.997103895,0,0.598262337,4,0.75,1.25,O6,de-protonated,0,-9999,C8 H10 O6,8,10,6,-9999,-9999,-9999,-9999,-9999
237,201.0771,201.076861234,201.076847097,3407352.8,-9999,585564.4,26.39,-1,0.070308326,0.999103454,0,0.599462072,3,0.555555556,1.555555556,O5,de-protonated,0,-9999,C9 H14 O5,9,14,5,-9999,-9999,-9999,-9999,-9999
238,201.113484,201.113245298,201.113232606,8103418,-9999,552181.9,66.28,-1,0.063108382,0.999277611,0,0.599566567,2,0.4,1.8,O4,de-protonated,0,-9999,C10 H18 O4,10,18,4,-9999,-9999,-9999,-9999,-9999
239,201.12471,201.124471318,201.124465995,3852282.3,-9999,558386.9,30.17,-1,0.026463005,0.999872941,0,0.599923765,2,0.333333333,2,N2 O3,de-protonated,0,-9999,C9 H18 O3 N2,9,18,3,2,-9999,-9999,-9999,-9999
242,203.056409,203.056173711,203.056111652,1431474,-9999,593133.7,9.6,-1,0.305623307,0.98319449,0,0.589916694,3,0.75,1.5,O6,de-protonated,0,-9999,C8 H12 O6,8,12,6,-9999,-9999,-9999,-9999,-9999
243,203.092724,203.092488774,203.092497161,2947890.8,-9999,535933.6,22.48,-1,-0.041295897,0.999690614,0,0.599814368,2,0.555555556,1.777777778,O5,de-protonated,0,-9999,C9 H16 O5,9,16,5,-9999,-9999,-9999,-9999,-9999
247,205.014497,205.01426515,205.014246839,2633300.3,-9999,510820.9,19.76,-1,0.089314632,0.998553612,0,0.599132167,8,0.5,0.6,O5,de-protonated,0,-9999,C10 H6 O5,10,6,5,-9999,-9999,-9999,-9999,-9999
248,205.050898,205.050666214,205.050632348,1302356.8,-9999,543607.1,8.48,-1,0.165156067,0.995062938,0,0.597037763,7,0.363636364,0.909090909,O4,de-protonated,0,-9999,C11 H10 O4,11,10,4,-9999,-9999,-9999,-9999,-9999
253,207.012386,207.012157659,207.012138839,11237989,-9999,495136.6,92.7,-1,0.090913023,0.499250709,0.902398978,0.660510017,7,0.3,0.8,S1 O3,de-protonated,0,-9999,C10 H8 O3 S1,10,8,3,-9999,-9999,1,-9999,-9999
254,207.030148,207.02991969,207.029896903,2740325.5,-9999,485978.8,20.67,-1,0.110064084,0.997804326,0,0.598682596,7,0.5,0.8,O5,de-protonated,0,-9999,C10 H8 O5,10,8,5,-9999,-9999,-9999,-9999,-9999
255,207.066398,207.066169754,207.066282413,1201573.6,-9999,355799.4,7.63,-1,-0.544072767,0.947705419,0,0.568623251,6,0.363636364,1.090909091,O4,de-protonated,0,-9999,C11 H12 O4,11,12,4,-9999,-9999,-9999,-9999,-9999
262,209.009385,209.009160166,209.009161458,8064617,-9999,454211.5,65.64,-1,-0.006182823,0.999993064,0,0.599995838,7,0.666666667,0.666666667,O6,de-protonated,0,-9999,C9 H6 O6,9,6,6,-9999,-9999,-9999,-9999,-9999
263,209.045785,209.04556023,209.045546968,2449001,-9999,566794.1,18.16,-1,0.063442229,0.999269951,0,0.59956197,6,0.5,1,O5,de-protonated,0,-9999,C10 H10 O5,10,10,5,-9999,-9999,-9999,-9999,-9999
264,209.082185,209.081960294,209.081932477,1733609,-9999,378771.7,12.11,-1,0.133043048,0.996793428,0,0.598076057,5,0.363636364,1.272727273,O4,de-protonated,0,-9999,C11 H14 O4,11,14,4,-9999,-9999,-9999,-9999,-9999
267,211.025055,211.024833706,211.024811523,3992676.5,-9999,490655.3,31.21,-1,0.10512295,0.99799685,0,0.59879811,6,0.666666667,0.888888889,O6,de-protonated,0,-9999,C9 H8 O6,9,8,6,-9999,-9999,-9999,-9999,-9999
268,211.061485,211.06126377,211.061197032,3084132.3,-9999,412484.5,23.53,-1,0.316203009,0.982021548,0,0.589212929,5,0.5,1.2,O5,de-protonated,0,-9999,C10 H12 O5,10,12,5,-9999,-9999,-9999,-9999,-9999
269,211.097838,211.097616834,211.097582542,1304420.1,-9999,496313.6,8.48,-1,0.162449445,0.995223048,0,0.597133829,4,0.363636364,1.454545455,O4,de-protonated,0,-9999,C11 H16 O4,11,16,4,-9999,-9999,-9999,-9999,-9999
270,211.134211,211.133989898,211.133968051,1427044,-9999,603063.3,9.49,-1,0.103475628,0.998059078,0,0.598835447,3,0.25,1.666666667,O3,de-protonated,0,-9999,C12 H20 O3,12,20,3,-9999,-9999,-9999,-9999,-9999
273,213.015496,213.015278202,213.015309467,1666140.6,-9999,436615.7,11.51,-1,-0.146772941,0.996098808,0,0.597659285,6,0.857142857,0.857142857,N2 O6,de-protonated,0,-9999,C7 H6 O6 N2,7,6,6,2,-9999,-9999,-9999,-9999
274,213.040669,213.040451247,213.040461587,1697884.5,-9999,552302.7,11.78,-1,-0.048538809,0.999572595,0,0.599743557,5,0.666666667,1.111111111,O6,de-protonated,0,-9999,C9 H10 O6,9,10,6,-9999,-9999,-9999,-9999,-9999
