Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,OtoC_ratio,HtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,18O,33S,34S
252,189.077049,189.076936077,189.076847097,1424831.4,-9999,690990.6,9.63,-1,0.470605024,0.960611445,0,0.576366867,2,0.625,1.75,O5,de-protonated,0,-9999,C8 H14 O5,8,14,5,-9999,-9999,-9999,-9999,-9999,-9999,-9999
253,189.113441,189.113328065,189.113232606,1223239.4,-9999,663763.6,7.9,-1,0.50476956,0.954820676,0,0.572892406,1,0.444444444,2,O4,de-protonated,0,-9999,C9 H18 O4,9,18,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999
255,191.035161,191.035047401,191.034982284,1851355.9,-9999,638596.9,13.25,-1,0.34086748100000003,0.979138046,0,0.587482828,7,0.4,0.8,O4,de-protonated,0,-9999,C10 H8 O4,10,8,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999
257,193.05083,193.050715706,193.050632348,1519447.3,-9999,618175.9,10.39,-1,0.431790537,0.966735981,0,0.580041589,6,0.4,1,O4,de-protonated,0,-9999,C10 H10 O4,10,10,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999
258,193.087197,193.087082693,193.087017858,2189917.8,-9999,570774,16.1,-1,0.335784014,0.979749352,0,0.587849611,5,0.272727273,1.272727273,O3,de-protonated,0,-9999,C11 H14 O3,11,14,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999
261,195.030063,195.029948023,195.029896903,3045282.5,-9999,518961,23.4,-1,0.262109482,0.987611601,0,0.59256696,6,0.555555556,0.888888889,O5,de-protonated,0,-9999,C9 H8 O5,9,8,5,-9999,-9999,-9999,-9999,-9999,-9999,-9999
262,195.066433,195.06631801,195.066282413,1300776.1,-9999,550490.4,8.52,-1,0.182488134,0.99397563,0,0.596385378,5,0.4,1.2,O4,de-protonated,0,-9999,C10 H12 O4,10,12,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999
263,195.13925,195.139134985,195.139053431,1609651.6,-9999,596873.6,11.15,-1,0.417924795,0.968804896,0,0.581282937,3,0.166666667,1.666666667,O2,de-protonated,0,-9999,C12 H20 O2,12,20,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999
268,197.045743,197.045627327,197.045546968,1785037.6,-9999,543483.8,12.62,-1,0.407819439,0.970272862,0,0.582163717,5,0.555555556,1.111111111,O5,de-protonated,0,-9999,C9 H10 O5,9,10,5,-9999,-9999,-9999,-9999,-9999,-9999,-9999
269,197.082103,197.081987314,197.081932477,1343442.6,-9999,749745.9,8.86,-1,0.278245214,0.986050381,0,0.591630228,4,0.4,1.4,O4,de-protonated,0,-9999,C10 H14 O4,10,14,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999
275,199.007224,199.00710765,199.007053458,5683151.5,-9999,543089.6,45.78,-1,0.27231005,0.986635191,0,0.591981115,5,0.5,1,S1 O4,de-protonated,0,-9999,C8 H8 O4 S1,8,8,4,-9999,-9999,1,-9999,-9999,-9999,-9999
276,199.061389,199.061272631,199.061197032,2555094,-9999,631650.2,19.17,-1,0.379776855,0.97416905,0,0.58450143,4,0.555555556,1.333333333,O5,de-protonated,0,-9999,C9 H12 O5,9,12,5,-9999,-9999,-9999,-9999,-9999,-9999,-9999
277,199.097765,199.097648619,199.097582542,6844378.5,-9999,537722.6,55.66,-1,0.331882131,0.980212591,0,0.588127554,3,0.4,1.6,O4,de-protonated,0,-9999,C10 H16 O4,10,16,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999
278,199.134117,199.134000606,199.133968051,1199967,-9999,671688.2,7.64,-1,0.163483072,0.995162213,0,0.597097328,2,0.272727273,1.818181818,O3,de-protonated,0,-9999,C11 H20 O3,11,20,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999
282,201.077028,201.076910935,201.076847097,3709631.8,-9999,542299.7,28.92,-1,0.317483935,0.981876924,0,0.589126154,3,0.555555556,1.555555556,O5,de-protonated,0,-9999,C9 H14 O5,9,14,5,-9999,-9999,-9999,-9999,-9999,-9999,-9999
283,201.11341,201.113292923,201.113232606,7497923.5,-9999,532029.6,61.08,-1,0.299914433,0.983811399,0,0.59028684,2,0.4,1.8,O4,de-protonated,0,-9999,C10 H18 O4,10,18,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999
284,201.124653,201.124535919,201.124465995,3846853,-9999,547269.7,30.09,-1,0.347663276,0.978307092,0,0.586984255,2,0.333333333,2,N2 O3,de-protonated,0,-9999,C9 H18 O3 N2,9,18,3,2,-9999,-9999,-9999,-9999,-9999,-9999
