Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,OtoC_ratio,HtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,18O,34S
97,129.055797,129.055708697,129.055717729,6612680,-9999,659559.9,58.34,-1,-0.069982302,0.999111746,0,0.599467047,2,0.5,1.666666667,O3,de-protonated,0,-9999,C6 H10 O3,6,10,3,-9999,-9999,-9999,-9999,-9999,-9999
129,145.050678,145.050588946,145.050632348,1824558.8,-9999,554847,13.89,-1,-0.299219218,0.983885757,0,0.590331454,2,0.666666667,1.666666667,O4,de-protonated,0,-9999,C6 H10 O4,6,10,4,-9999,-9999,-9999,-9999,-9999,-9999
155,159.066395,159.066305288,159.066282413,1405899.4,-9999,964267.7,9.89,-1,0.14381268,0.996254295,0,0.597752577,2,0.571428571,1.714285714,O4,de-protonated,0,-9999,C7 H12 O4,7,12,4,-9999,-9999,-9999,-9999,-9999,-9999
183,165.019456,165.019366009,165.019332219,1773654.6,-9999,627840.1,12.99,-1,0.20476213,0.99242117,0,0.595452702,6,0.5,0.75,O4,de-protonated,0,-9999,C8 H6 O4,8,6,4,-9999,-9999,-9999,-9999,-9999,-9999
195,171.012258,171.012167728,171.012138839,2157837.5,-9999,740366.9,16.22,-1,0.168930325,0.994835299,0,0.59690118,4,0.428571429,1.142857143,S1 O3,de-protonated,0,-9999,C7 H8 O3 S1,7,8,3,-9999,-9999,1,-9999,-9999,-9999
196,171.066364,171.066273725,171.066282413,2936873.3,-9999,637377.9,23,-1,-0.05078437,0.999532144,0,0.599719286,3,0.5,1.5,O4,de-protonated,0,-9999,C8 H12 O4,8,12,4,-9999,-9999,-9999,-9999,-9999,-9999
201,172.097971,172.097880677,172.097916894,1120692.1,-9999,763118.9,7.16,-1,-0.210446846,0.991996225,0,0.595197735,2,0.375,1.875,N1 O3,de-protonated,0,-9999,C8 H15 O3 N1,8,15,3,1,-9999,-9999,-9999,-9999,-9999
204,173.082042,173.081951631,173.081932477,3345946.8,-9999,660085,26.46,-1,0.1106611,0.997780468,0,0.598668281,2,0.5,1.75,O4,de-protonated,0,-9999,C8 H14 O4,8,14,4,-9999,-9999,-9999,-9999,-9999,-9999
205,173.118474,173.118383629,173.118317987,1251116.5,-9999,696137.5,8.29,-1,0.379176379,0.97424961,0,0.584549766,1,0.333333333,2,O3,de-protonated,0,-9999,C9 H18 O3,9,18,3,-9999,-9999,-9999,-9999,-9999,-9999
209,183.004855,183.004764165,183.004744783,2769676.3,-9999,682267,21.27,-1,0.105907421,0.997966872,0,0.598780123,6,0.833333333,0.666666667,N2 O5,de-protonated,0,-9999,C6 H4 O5 N2,6,4,5,2,-9999,-9999,-9999,-9999,-9999
212,185.082049,185.081958067,185.081932477,2390680.8,-9999,590205.8,17.96,-1,0.138264136,0.99653726,0,0.597922356,3,0.444444444,1.555555556,O4,de-protonated,0,-9999,C9 H14 O4,9,14,4,-9999,-9999,-9999,-9999,-9999,-9999
213,185.118423,185.118332066,185.118317987,1324579.6,-9999,614177.6,8.8,-1,0.076054797,0.998950991,0,0.599370595,2,0.3,1.8,O3,de-protonated,0,-9999,C10 H18 O3,10,18,3,-9999,-9999,-9999,-9999,-9999,-9999
214,186.113672,186.113581019,186.113566959,3857605,-9999,654198.5,30.56,-1,0.075546466,0.99896496,0,0.599378976,2,0.333333333,1.888888889,N1 O3,de-protonated,0,-9999,C9 H17 O3 N1,9,17,3,1,-9999,-9999,-9999,-9999,-9999
218,187.061294,187.061202974,187.061197032,3285963.3,-9999,607670.2,25.59,-1,0.031765988,0.999816921,0,0.599890153,3,0.625,1.5,O5,de-protonated,0,-9999,C8 H12 O5,8,12,5,-9999,-9999,-9999,-9999,-9999,-9999
220,187.097686,187.097594973,187.097582542,15368149,-9999,600087.6,129.18,-1,0.066441936,0.999314397,0.996169647,0.998056497,2,0.444444444,1.777777778,O4,de-protonated,0,-9999,C9 H16 O4,9,16,4,-9999,-9999,-9999,-9999,-9999,-9999
221,187.134097,187.134005971,187.133968051,1434079,-9999,705496.5,9.71,-1,0.202635935,0.992577163,0,0.595546298,1,0.3,2,O3,de-protonated,0,-9999,C10 H20 O3,10,20,3,-9999,-9999,-9999,-9999,-9999,-9999
