Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,OtoC_ratio,HtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,15N,18O,34S
106,129.055815,129.055732501,129.055717729,21848360,-9999,678241.5,198.74,-1,0.114463526,0.995305009,0.995853106,0.995524248,2,0.5,1.666666667,O3,de-protonated,0,-9999,C6 H10 O3,6,10,3,-9999,-9999,-9999,-9999,N/A,-9999,-9999
109,130.059181,130.059098182,130.059072564,1521034.9,-9999,766045.5,11.47,-1,0.196977121,0.992984518,0.995853106,0.994131953,2,0.5,1.666666667,13C1 O3,de-protonated,1,106,C5 H10 O3 13C1,5,10,3,-9999,-9999,-9999,1,N/A,-9999,-9999
164,145.050746,145.050658425,145.050632348,1670612.5,-9999,760789.8,12.51,-1,0.179773438,0.994153013,0,0.596491808,2,0.666666667,1.666666667,O4,de-protonated,0,-9999,C6 H10 O4,6,10,4,-9999,-9999,-9999,-9999,N/A,-9999,-9999
193,159.066448,159.066355976,159.066282413,2962847.8,-9999,783562.7,23.66,-1,0.46247131,0.961935197,0,0.577161118,2,0.571428571,1.714285714,O4,de-protonated,0,-9999,C7 H12 O4,7,12,4,-9999,-9999,-9999,-9999,N/A,-9999,-9999
209,163.007289,163.007195726,163.007053458,1218731.3,-9999,432596.1,8.16,-1,0.872768352,0.87091236,0,0.522547416,2,0.8,1.6,S1 O4,de-protonated,0,-9999,C5 H8 O4 S1,5,8,4,-9999,-9999,1,-9999,N/A,-9999,-9999
210,163.040215,163.040121715,163.040067664,2099262.3,-9999,671480.2,15.9,-1,0.33151923,0.980255411,0,0.588153247,6,0.333333333,0.888888889,O3,de-protonated,0,-9999,C9 H8 O3,9,8,3,-9999,-9999,-9999,-9999,N/A,-9999,-9999
217,165.019456,165.019362087,165.019332219,5282092.5,-9999,645944.1,43.72,-1,0.18099486,0.994073528,0,0.596444117,6,0.5,0.75,O4,de-protonated,0,-9999,C8 H6 O4,8,6,4,-9999,-9999,-9999,-9999,N/A,-9999,-9999
222,167.035112,167.035017447,167.034982284,1217427.4,-9999,820808.8,8.08,-1,0.210515645,0.991991012,0,0.595194607,5,0.5,1,O4,de-protonated,0,-9999,C8 H8 O4,8,8,4,-9999,-9999,-9999,-9999,N/A,-9999,-9999
226,169.087159,169.087063796,169.087017858,1681898,-9999,645594.3,12.08,-1,0.271684984,0.986696067,0,0.59201764,3,0.333333333,1.555555556,O3,de-protonated,0,-9999,C9 H14 O3,9,14,3,-9999,-9999,-9999,-9999,N/A,-9999,-9999
231,171.012284,171.012188185,171.012138839,2838484,-9999,627593.4,22.13,-1,0.288554966,0.985005418,0,0.591003251,4,0.428571429,1.142857143,S1 O3,de-protonated,0,-9999,C7 H8 O3 S1,7,8,3,-9999,-9999,1,-9999,N/A,-9999,-9999
232,171.066435,171.066339168,171.066282413,3569903.8,-9999,641957.1,28.49,-1,0.33177272,0.980225505,0,0.588135303,3,0.5,1.5,O4,de-protonated,0,-9999,C8 H12 O4,8,12,4,-9999,-9999,-9999,-9999,N/A,-9999,-9999
233,171.102807,171.102711156,171.102667922,1466242.1,-9999,635693.4,10.19,-1,0.25268006,0.988481855,0,0.593089113,2,0.333333333,1.777777778,O3,de-protonated,0,-9999,C9 H16 O3,9,16,3,-9999,-9999,-9999,-9999,N/A,-9999,-9999
234,172.09807,172.09797384,172.097916894,1884149.9,-9999,765714,13.78,-1,0.330893972,0.980329082,0,0.588197449,2,0.375,1.875,N1 O3,de-protonated,0,-9999,C8 H15 O3 N1,8,15,3,1,-9999,-9999,-9999,N/A,-9999,-9999
239,173.045677,173.04558054,173.045546968,1627205.8,-9999,677125.3,11.54,-1,0.19400591,0.993193849,0,0.595916309,3,0.714285714,1.428571429,O5,de-protonated,0,-9999,C7 H10 O5,7,10,5,-9999,-9999,-9999,-9999,N/A,-9999,-9999
241,173.082079,173.081982528,173.081932477,8269271.5,-9999,650260.7,69.12,-1,0.289174931,0.984941404,0,0.590964843,2,0.5,1.75,O4,de-protonated,0,-9999,C8 H14 O4,8,14,4,-9999,-9999,-9999,-9999,N/A,-9999,-9999
242,173.118442,173.118345517,173.118317987,1476712.9,-9999,681012.8,10.24,-1,0.159024565,0.99542189,0,0.597253134,1,0.333333333,2,O3,de-protonated,0,-9999,C9 H18 O3,9,18,3,-9999,-9999,-9999,-9999,N/A,-9999,-9999
246,175.097687,175.097589888,175.097582542,1500934.9,-9999,656634.2,10.4,-1,0.041958302,0.999680611,0,0.599808366,1,0.5,2,O4,de-protonated,0,-9999,C8 H16 O4,8,16,4,-9999,-9999,-9999,-9999,N/A,-9999,-9999
248,179.035118,179.035019639,179.034982284,4167166,-9999,639923.5,33.34,-1,0.208646402,0.992132052,0,0.595279231,6,0.444444444,0.888888889,O4,de-protonated,0,-9999,C9 H8 O4,9,8,4,-9999,-9999,-9999,-9999,N/A,-9999,-9999
250,179.071473,179.071374627,179.071367793,1720972.1,-9999,629584.7,12.26,-1,0.038164207,0.999735754,0,0.599841452,5,0.3,1.2,O3,de-protonated,0,-9999,C10 H12 O3,10,12,3,-9999,-9999,-9999,-9999,N/A,-9999,-9999
251,179.10787,179.107771616,179.107753302,1501466.1,-9999,622662,10.37,-1,0.102246916,0.998104855,0,0.598862913,4,0.181818182,1.454545455,O2,de-protonated,0,-9999,C11 H16 O2,11,16,2,-9999,-9999,-9999,-9999,N/A,-9999,-9999
254,181.014394,181.014295011,181.014246839,4780759,-9999,608257,38.53,-1,0.266121191,0.987231928,0,0.592339157,6,0.625,0.75,O5,de-protonated,0,-9999,C8 H6 O5,8,6,5,-9999,-9999,-9999,-9999,N/A,-9999,-9999
