Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,OtoC_ratio,HtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,18O,34S
110,129.055797,129.055714616,129.055717729,5150621,-9999,745929.1,44.89,-1,-0.024118409,0.999894457,0,0.599936674,2,0.5,1.666666667,O3,de-protonated,0,-9999,C6 H10 O3,6,10,3,-9999,-9999,-9999,-9999,-9999,-9999
155,159.066396,159.066311435,159.066282413,2270123.8,-9999,699309.4,17.53,-1,0.182454671,0.993977833,0,0.5963867,2,0.571428571,1.714285714,O4,de-protonated,0,-9999,C7 H12 O4,7,12,4,-9999,-9999,-9999,-9999,-9999,-9999
184,165.019425,165.019340002,165.019332219,2162650.8,-9999,648809.6,16.39,-1,0.047165024,0.999596442,0,0.599757865,6,0.5,0.75,O4,de-protonated,0,-9999,C8 H6 O4,8,6,4,-9999,-9999,-9999,-9999,-9999,-9999
193,169.087145,169.087059707,169.087017858,1510284.6,-9999,649544,10.59,-1,0.2475013,0.98894656,0,0.593367936,3,0.333333333,1.555555556,O3,de-protonated,0,-9999,C9 H14 O3,9,14,3,-9999,-9999,-9999,-9999,-9999,-9999
197,171.012232,171.012146567,171.012138839,2716089.5,-9999,755186.1,21.07,-1,0.045191731,0.999629497,0,0.599777698,4,0.428571429,1.142857143,S1 O3,de-protonated,0,-9999,C7 H8 O3 S1,7,8,3,-9999,-9999,1,-9999,-9999,-9999
198,171.06637,171.066284563,171.066282413,2046675.4,-9999,723845.1,15.25,-1,0.012570041,0.99997133,0,0.599982798,3,0.5,1.5,O4,de-protonated,0,-9999,C8 H12 O4,8,12,4,-9999,-9999,-9999,-9999,-9999,-9999
199,171.102757,171.10267156,171.102667922,1221476.8,-9999,815210.2,8.07,-1,0.021263934,0.99991796,0,0.599950776,2,0.333333333,1.777777778,O3,de-protonated,0,-9999,C9 H16 O3,9,16,3,-9999,-9999,-9999,-9999,-9999,-9999
201,173.082032,173.081946417,173.081932477,3501951.3,-9999,627032.2,27.79,-1,0.080536226,0.998823801,0,0.599294281,2,0.5,1.75,O4,de-protonated,0,-9999,C8 H14 O4,8,14,4,-9999,-9999,-9999,-9999,-9999,-9999
202,173.118448,173.118362414,173.118317987,1237903.6,-9999,679210.2,8.17,-1,0.256630088,0.988121089,0,0.592872653,1,0.333333333,2,O3,de-protonated,0,-9999,C9 H18 O3,9,18,3,-9999,-9999,-9999,-9999,-9999,-9999
204,175.097695,175.09760927,175.097582542,1317111.4,-9999,608592.6,8.82,-1,0.152648715,0.995780875,0,0.597468525,1,0.5,2,O4,de-protonated,0,-9999,C8 H16 O4,8,16,4,-9999,-9999,-9999,-9999,-9999,-9999
208,179.107838,179.107751979,179.107753302,1372844.3,-9999,729924.1,9.27,-1,-0.007391465,0.999990087,0,0.599994052,4,0.181818182,1.454545455,O2,de-protonated,0,-9999,C11 H16 O2,11,16,2,-9999,-9999,-9999,-9999,-9999,-9999
216,185.082033,185.081946544,185.081932477,2571409.8,-9999,587543.6,19.51,-1,0.076005731000000007,0.998952343,0,0.599371406,3,0.444444444,1.555555556,O4,de-protonated,0,-9999,C9 H14 O4,9,14,4,-9999,-9999,-9999,-9999,-9999,-9999
218,186.113679,186.113592469,186.113566959,5085860,-9999,584170.9,41.01,-1,0.137070956,0.996596665,0,0.597957999,2,0.333333333,1.888888889,N1 O3,de-protonated,0,-9999,C9 H17 O3 N1,9,17,3,1,-9999,-9999,-9999,-9999,-9999
222,187.06129,187.061203401,187.061197032,1829267.4,-9999,720463.9,13.11,-1,0.034044146,0.999789722,0,0.599873833,3,0.625,1.5,O5,de-protonated,0,-9999,C8 H12 O5,8,12,5,-9999,-9999,-9999,-9999,-9999,-9999
224,187.097687,187.097600398,187.097582542,18555292,-9999,599383.4,156.42,-1,0.095438666,0.998675694,0.988192529,0.994482428,2,0.444444444,1.777777778,O4,de-protonated,0,-9999,C9 H16 O4,9,16,4,-9999,-9999,-9999,-9999,-9999,-9999
225,187.108927,187.108840397,187.108815931,1269151,-9999,712746.3,8.31,-1,0.130759402,0.996902394,0,0.598141436,2,0.375,2,N2 O3,de-protonated,0,-9999,C8 H16 O3 N2,8,16,3,2,-9999,-9999,-9999,-9999,-9999
226,187.134066,187.133979395,187.133968051,1519141.3,-9999,573922.9,10.45,-1,0.060621543,0.999333404,0,0.59960004200000006,1,0.3,2,O3,de-protonated,0,-9999,C10 H20 O3,10,20,3,-9999,-9999,-9999,-9999,-9999,-9999
227,188.101038,188.100951325,188.100937377,2073484.5,-9999,613762.5,15.2,-1,0.074153575,0.999002756,0.988192529,0.994678665,2,0.444444444,1.777777778,13C1 O4,de-protonated,1,224,C8 H16 O4 13C1,8,16,4,-9999,-9999,-9999,1,-9999,-9999
