original_column,merged_column,Site_ID,final_column,rename_type
HJW_03_SIR-1_p15,HJW_03,164,HJA_164_2025,HJW replicate group mapped to HJA 2025 sample
HJW_03_SIR-2_p06,HJW_03,164,HJA_164_2025,HJW replicate group mapped to HJA 2025 sample
HJW_03_SIR-3_p08,HJW_03,164,HJA_164_2025,HJW replicate group mapped to HJA 2025 sample
HJW_04_SIR-1_p16,HJW_04,54,HJA_54_2025,HJW replicate group mapped to HJA 2025 sample
HJW_04_SIR-2_p08,HJW_04,54,HJA_54_2025,HJW replicate group mapped to HJA 2025 sample
HJW_04_SIR-3_p06,HJW_04,54,HJA_54_2025,HJW replicate group mapped to HJA 2025 sample
HJW_05_SIR-1_p1,HJW_05,47,HJA_47_2025,HJW replicate group mapped to HJA 2025 sample
HJW_05_SIR-2_p1,HJW_05,47,HJA_47_2025,HJW replicate group mapped to HJA 2025 sample
HJW_05_SIR-3_p15,HJW_05,47,HJA_47_2025,HJW replicate group mapped to HJA 2025 sample
HJW_06_SIR-1_p35,HJW_06,64,HJA_64_2025,HJW replicate group mapped to HJA 2025 sample
HJW_06_SIR-2_p12,HJW_06,64,HJA_64_2025,HJW replicate group mapped to HJA 2025 sample
HJW_06_SIR-3_p12,HJW_06,64,HJA_64_2025,HJW replicate group mapped to HJA 2025 sample
HJW_07_SIR-1_p13,HJW_07,84,HJA_84_2025,HJW replicate group mapped to HJA 2025 sample
HJW_07_SIR-2_p1,HJW_07,84,HJA_84_2025,HJW replicate group mapped to HJA 2025 sample
HJW_07_SIR-3_p1,HJW_07,84,HJA_84_2025,HJW replicate group mapped to HJA 2025 sample
HJW_08_SIR-1_p06,HJW_08,WS1-2,HJA_WS1-2_2025,HJW replicate group mapped to HJA 2025 sample
HJW_08_SIR-2_p14,HJW_08,WS1-2,HJA_WS1-2_2025,HJW replicate group mapped to HJA 2025 sample
HJW_08_SIR-3_p2,HJW_08,WS1-2,HJA_WS1-2_2025,HJW replicate group mapped to HJA 2025 sample
HJW_09_SIR-1_p1,HJW_09,WS3-1,HJA_WS3-1_2025,HJW replicate group mapped to HJA 2025 sample
HJW_09_SIR-2_p12,HJW_09,WS3-1,HJA_WS3-1_2025,HJW replicate group mapped to HJA 2025 sample
HJW_09_SIR-3_p1,HJW_09,WS3-1,HJA_WS3-1_2025,HJW replicate group mapped to HJA 2025 sample
HJW_10_SIR-1_p1,HJW_10,CC-1,HJA_CC-1_2025,HJW replicate group mapped to HJA 2025 sample
HJW_10_SIR-2_p15,HJW_10,CC-1,HJA_CC-1_2025,HJW replicate group mapped to HJA 2025 sample
HJW_10_SIR-3_p12,HJW_10,CC-1,HJA_CC-1_2025,HJW replicate group mapped to HJA 2025 sample
HJW_11_SIR-1_p18,HJW_11,CC-4,HJA_CC-4_2025,HJW replicate group mapped to HJA 2025 sample
HJW_11_SIR-2_p08,HJW_11,CC-4,HJA_CC-4_2025,HJW replicate group mapped to HJA 2025 sample
HJW_11_SIR-3_p2,HJW_11,CC-4,HJA_CC-4_2025,HJW replicate group mapped to HJA 2025 sample
HJW_12_SIR-1_p1,HJW_12,CC-2,HJA_CC-2_2025,HJW replicate group mapped to HJA 2025 sample
HJW_12_SIR-2_p18,HJW_12,CC-2,HJA_CC-2_2025,HJW replicate group mapped to HJA 2025 sample
HJW_12_SIR-3_p18,HJW_12,CC-2,HJA_CC-2_2025,HJW replicate group mapped to HJA 2025 sample
HJW_13_SIR-1_p2,HJW_13,410,HJA_410_2025,HJW replicate group mapped to HJA 2025 sample
HJW_13_SIR-2_p18,HJW_13,410,HJA_410_2025,HJW replicate group mapped to HJA 2025 sample
HJW_13_SIR-3_p12,HJW_13,410,HJA_410_2025,HJW replicate group mapped to HJA 2025 sample
HJW_14_SIR-1_p08,HJW_14,156,HJA_156_2025,HJW replicate group mapped to HJA 2025 sample
HJW_14_SIR-2_p12,HJW_14,156,HJA_156_2025,HJW replicate group mapped to HJA 2025 sample
HJW_14_SIR-3_p15,HJW_14,156,HJA_156_2025,HJW replicate group mapped to HJA 2025 sample
HJW_15_SIR-1_p2,HJW_15,49,HJA_49_2025,HJW replicate group mapped to HJA 2025 sample
HJW_15_SIR-2_p16,HJW_15,49,HJA_49_2025,HJW replicate group mapped to HJA 2025 sample
HJW_15_SIR-3_p2,HJW_15,49,HJA_49_2025,HJW replicate group mapped to HJA 2025 sample
HJW_16_SIR-1_p1,HJW_16,KC-4,HJA_KC-4_2025,HJW replicate group mapped to HJA 2025 sample
HJW_16_SIR-2_p1,HJW_16,KC-4,HJA_KC-4_2025,HJW replicate group mapped to HJA 2025 sample
HJW_16_SIR-3_p13,HJW_16,KC-4,HJA_KC-4_2025,HJW replicate group mapped to HJA 2025 sample
HJW_17_SIR-1_p12,HJW_17,45,HJA_45_2025,HJW replicate group mapped to HJA 2025 sample
HJW_17_SIR-2_p2,HJW_17,45,HJA_45_2025,HJW replicate group mapped to HJA 2025 sample
HJW_17_SIR-3_p12,HJW_17,45,HJA_45_2025,HJW replicate group mapped to HJA 2025 sample
HJW_18_SIR-1_p3,HJW_18,CC-3,HJA_CC-3_2025,HJW replicate group mapped to HJA 2025 sample
HJW_18_SIR-2_p08,HJW_18,CC-3,HJA_CC-3_2025,HJW replicate group mapped to HJA 2025 sample
HJW_18_SIR-3_p14,HJW_18,CC-3,HJA_CC-3_2025,HJW replicate group mapped to HJA 2025 sample
HJW_19_SIR-1_p12,HJW_19,WS3-2,HJA_WS3-2_2025,HJW replicate group mapped to HJA 2025 sample
HJW_19_SIR-2_p14,HJW_19,WS3-2,HJA_WS3-2_2025,HJW replicate group mapped to HJA 2025 sample
HJW_19_SIR-3_p1,HJW_19,WS3-2,HJA_WS3-2_2025,HJW replicate group mapped to HJA 2025 sample
HJW_20_SIR-1_p1,HJW_20,83,HJA_83_2025,HJW replicate group mapped to HJA 2025 sample
HJW_20_SIR-2_p12,HJW_20,83,HJA_83_2025,HJW replicate group mapped to HJA 2025 sample
HJW_20_SIR-3_p08,HJW_20,83,HJA_83_2025,HJW replicate group mapped to HJA 2025 sample
HJW_21_SIR-1_p12,HJW_21,177,HJA_177_2025,HJW replicate group mapped to HJA 2025 sample
HJW_21_SIR-2_p2,HJW_21,177,HJA_177_2025,HJW replicate group mapped to HJA 2025 sample
HJW_21_SIR-3_p12,HJW_21,177,HJA_177_2025,HJW replicate group mapped to HJA 2025 sample
HJW_22_SIR-1_p08,HJW_22,178,HJA_178_2025,HJW replicate group mapped to HJA 2025 sample
HJW_22_SIR-2_p12,HJW_22,178,HJA_178_2025,HJW replicate group mapped to HJA 2025 sample
HJW_22_SIR-3_p1,HJW_22,178,HJA_178_2025,HJW replicate group mapped to HJA 2025 sample
HJW_23_SIR-1_p1,HJW_23,WS1-5,HJA_WS1-5_2025,HJW replicate group mapped to HJA 2025 sample
HJW_23_SIR-2_p1,HJW_23,WS1-5,HJA_WS1-5_2025,HJW replicate group mapped to HJA 2025 sample
HJW_23_SIR-3_p2,HJW_23,WS1-5,HJA_WS1-5_2025,HJW replicate group mapped to HJA 2025 sample
HJW_24_SIR-1_p06,HJW_24,53,HJA_53_2025,HJW replicate group mapped to HJA 2025 sample
HJW_24_SIR-2_p12,HJW_24,53,HJA_53_2025,HJW replicate group mapped to HJA 2025 sample
HJW_24_SIR-3_p18,HJW_24,53,HJA_53_2025,HJW replicate group mapped to HJA 2025 sample
HJW_25_SIR-1_p12,HJW_25,WS1-3,HJA_WS1-3_2025,HJW replicate group mapped to HJA 2025 sample
HJW_25_SIR-2_p12,HJW_25,WS1-3,HJA_WS1-3_2025,HJW replicate group mapped to HJA 2025 sample
HJW_25_SIR-3_p16,HJW_25,WS1-3,HJA_WS1-3_2025,HJW replicate group mapped to HJA 2025 sample
HJW_26_SIR-1_p06,HJW_26,WS3-3,HJA_WS3-3_2025,HJW replicate group mapped to HJA 2025 sample
HJW_26_SIR-2_p1,HJW_26,WS3-3,HJA_WS3-3_2025,HJW replicate group mapped to HJA 2025 sample
HJW_26_SIR-3_p2,HJW_26,WS3-3,HJA_WS3-3_2025,HJW replicate group mapped to HJA 2025 sample
HJW_28_SIR-1_p12,HJW_28,WS3-5,HJA_WS3-5_2025,HJW replicate group mapped to HJA 2025 sample
HJW_28_SIR-2_p12,HJW_28,WS3-5,HJA_WS3-5_2025,HJW replicate group mapped to HJA 2025 sample
HJW_28_SIR-3_p06,HJW_28,WS3-5,HJA_WS3-5_2025,HJW replicate group mapped to HJA 2025 sample
