Calibrated m/z,HJA_155_2016,HJA_156_2016,HJA_160_2016,HJA_161_2016,HJA_162_2016,HJA_163_2016,HJA_164_2016,HJA_165_2016,HJA_169_2016,HJA_170_2016,HJA_177_2016,HJA_178_2016,HJA_190_2016,HJA_192_2016,HJA_260_2016,HJA_360_2016,HJA_45_2016,HJA_47_2016,HJA_49_2016,HJA_50_2016,HJA_53_2016,HJA_54_2016,HJA_55_2016,HJA_56_2016,HJA_57_2016,HJA_58_2016,HJA_60_2016,HJA_64_2016,HJA_65_2016,HJA_66_2016,HJA_68_2016,HJA_71_2016,HJA_72_2016,HJA_73_2016,HJA_74_2016,HJA_76_2016,HJA_82_2016,HJA_83_2016,HJA_84_2016,HJA_CC-1-15m_2016,HJA_CC-2-55m_2016,HJA_CC-3-100m_2016,HJA_CC-4-250m_2016,HJA_KC-1-275m_2016,HJA_KC-2-360m_2016,HJA_KC-3-400m_2016,HJA_KerryCreek2_2016,HJA_WS1-2_2016,HJA_WS1-3_2016,HJA_WS1-5_2016,HJA_WS1-6_2016,HJA_WS1-7_2016,HJA_WS1-8_2016,HJA_WS1_250m_2016,HJA_WS3-1_30m_2016,HJA_WS3-2_2016,HJA_WS3-3_2016,HJA_WS3-4_2016,HJA_WS3-5_2016,HJA_WS3-6_2016,HJA_71_2025,HJA_56_2025,HJA_164_2025,HJA_54_2025,HJA_47_2025,HJA_64_2025,HJA_84_2025,HJA_WS1-2_2025,HJA_WS3-1_2025,HJA_CC-1_2025,HJA_CC-4_2025,HJA_CC-2_2025,HJA_410_2025,HJA_156_2025,HJA_49_2025,HJA_KC-4_2025,HJA_45_2025,HJA_CC-3_2025,HJA_WS3-2_2025,HJA_83_2025,HJA_177_2025,HJA_178_2025,HJA_WS1-5_2025,HJA_53_2025,HJA_WS1-3_2025,HJA_WS3-3_2025,HJA_WS3-5_2025,HJA_65_2025,HJA_43_2025,HJA_170_2025,HJA_165_2025,HJA_KC-1_2025,HJA_KC-2_2025,HJA_KC-3_2025,HJA_72_2025,HJA_73_2025,HJA_55_2025,HJA_162_2025,HJA_192_2025,HJA_WS1-4_2025,HJA_60_2025,HJA_169_2025,HJA_58_2025,HJA_155_2025,HJA_74_2025,HJA_190_2025,HJA_67_2025
320.065508644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247.074274039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1197394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1664484.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1644998.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263.069152687,0,1308345.6,0,0,0,0,0,0,0,0,0,0,0,1670816.5,0,3787906,0,0,0,0,0,1557788.6,0,0,0,0,1347746.9,2611537.3,1528149.5,1227319.9,0,1712548.8,1309379.9,0,0,0,0,1236186,0,0,0,0,0,0,0,1866881.1,1350804.5,0,0,0,0,0,0,0,1398358.5,1491545.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
307.070292577,35548896,13753674,0,9624383,19845954,8793770,0,2200789.8,0,0,0,0,32364684,21382520,26474308,0,43940684,15073673,54120644,29183026,0,45658424,14273382,7293397,14791476,43678036,0,0,0,27642514,0,20668852,29562612,0,64761728,0,11389466,0,0,0,0,0,0,80901736,34568480,35255648,48232068,25134848,0,20997314,0,15763155,11756970,16188310,0,22073988,0,0,18373324,0,2023994.8,2081502.05,1731210.03333333,2130721.7,2148386.1,0,2998581.4,2769301.25,1770932.26666667,0,0,0,4877652.25,1325253.6,0,1916595.05,0,0,3118588.05,2520742.46666667,2208400.6,2290060.7,0,0,0,3428547,2160282.65,966740.6,0,0,1425349.1,1945579.85,0,0,0,1391314.1,0,1749763.96666667,1829811.65,0,1314175.05,0,0,2333767.15,2653519.45,0,1454757.45
279.064152221,1411748.4,0,1275804.8,0,1328359.5,0,0,0,1846868.8,0,2645277.8,0,1312991.9,4422831.5,1611072.8,0,0,0,2709266.5,2018333.8,0,0,0,1921957.9,2061861.4,1715688.4,1806335.8,2985286.8,0,0,0,6349352,1440614.6,1559020,0,0,0,2098939,0,1859117.3,3603237.5,2948298.5,0,0,0,4476047.5,3259908.3,1259076.6,1246447.1,1544308.6,1533231.3,1340840.3,1367773.4,0,0,1454614.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
295.059110065,0,0,0,0,0,0,0,0,0,0,0,1637796.4,0,1951738.3,0,0,0,0,0,0,1520033.6,0,0,0,0,0,0,0,0,0,0,2273520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1325577.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
339.060106107,0,0,0,0,0,0,0,0,0,0,4995090,20016264,0,0,0,0,0,0,0,0,6748960,0,0,0,0,7206680.5,0,0,0,0,0,0,0,0,4631322.5,0,0,2639753.5,0,0,0,0,0,0,0,0,0,0,0,0,12116367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002784.85,0
367.066195152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311.054040761,0,0,0,0,0,0,0,0,0,0,0,1828709.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
297.039064906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
309.067776492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8123601,0,0,0,0,0,0,5773993.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1426450.4,0,1854843.75,0,0,0,0,0,0,0,891097.5,0,0,0,1279408.43333333,0,0,0,0,0,0,0,0,0,0,0,0,1922783.5,0,0,0,1128256.1,0
249.089965016,0,0,1853903.8,0,1941883.4,1527524,0,0,0,0,0,0,0,2161460,1491041.8,4211855,1819480.1,1476495.1,0,1453412.5,0,1575150.9,0,0,1216605.8,0,2377374.5,2559716.3,0,1169605.5,0,0,1451672.5,0,1382051.1,0,0,0,0,0,0,0,0,0,1252120.8,2052322.5,0,1378958.6,1913268,0,0,1785373.4,1286448.8,0,2330928.3,3015808.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265.084892567,0,0,1405863.1,0,2225418.8,0,0,0,0,0,0,0,0,3416579.3,1961425,0,1881804.3,1443821.9,0,1579609.1,0,1343551.3,1311757.4,1871348.8,2077465.3,0,2001225,0,0,1214532.4,0,4936967.5,1480489.9,0,0,0,0,1729418.4,1233332.9,0,0,0,0,0,1316646.5,4978204,0,1446747.8,0,0,0,0,0,0,0,2566286,0,0,1325026.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
341.058063646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
281.079737743,1285858.9,1214409.9,1256694.5,0,1667684.1,0,0,0,0,0,0,0,1497446.5,4516614,1506957.4,0,0,1850055.6,1843610.3,1354535.6,0,1525365.8,1265279.8,1470313.5,2232365.3,0,0,0,0,0,0,5900448,0,1836231.5,0,0,0,0,0,0,0,0,0,0,0,4352815,2350733,0,1587537.8,0,0,1306727.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325.080759233,0,0,0,0,0,0,0,0,0,0,0,1406387.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
297.074615663,0,0,0,0,0,0,0,0,0,0,5481604,10855750,1570425.4,1971703.8,0,3778635,0,0,1329675.3,0,2505152,0,0,0,0,3759134.8,0,0,3197864.3,0,0,2066728.1,0,1666570.6,2263590,0,2034851.3,5088075,1456133.3,0,0,0,0,0,0,1356418.4,0,0,1363193.1,0,3581622.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
329.046700282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
369.081828342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
313.069592967,0,0,0,0,0,0,0,0,0,0,0,4453890,0,0,0,0,0,0,0,0,0,0,0,0,0,1588109.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1613546.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280.095782152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2055089.6,0,0,0,0,0,0,0,0,0,0,0,0,0,2646590,0,1983323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1257308.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
344.039941062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263.116855352,0,0,0,0,0,0,0,0,0,0,0,0,1371134.1,0,0,0,2105627.5,0,0,0,0,0,0,0,0,0,1268146.8,0,0,0,0,0,1214802.3,1437641.1,1347417.1,0,0,0,0,0,0,0,0,2220915,1589638.4,0,1925026.5,0,0,0,0,0,0,0,0,1336166.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
