Molecular Formula,HJA_155_p1.corems,HJA_156_p1.corems,HJA_160_p1.corems,HJA_161_p1.corems,HJA_162_p1.corems,HJA_163_p1.corems,HJA_164_p1.corems,HJA_165_p1.corems,HJA_169_p1.corems,HJA_170_p1.corems,HJA_177_p1.corems,HJA_178_p1.corems,HJA_190_p1.corems,HJA_192_p1.corems,HJA_260_p1.corems,HJA_360_p1.corems,HJA_45_p1.corems,HJA_47_p1.corems,HJA_49_p1.corems,HJA_50_p1.corems,HJA_53_p1.corems,HJA_54_p1.corems,HJA_55_p1.corems,HJA_56_p1.corems,HJA_57_p1.corems,HJA_58_p1.corems,HJA_60_p1.corems,HJA_64_p1.corems,HJA_65_p1.corems,HJA_66_p1.corems,HJA_68_p1.corems,HJA_71_p1.corems,HJA_72_p1.corems,HJA_73_p1.corems,HJA_74_p1.corems,HJA_76_p1.corems,HJA_82_p1.corems,HJA_83_p1.corems,HJA_84_p1.corems,HJA_CC-1-15m_p1.corems,HJA_CC-2-55m_p1.corems,HJA_CC-3-100m_p1.corems,HJA_CC-4-250m_p1.corems,HJA_KC-1-275m_p1.corems,HJA_KC-2-360m_p1.corems,HJA_KC-3-400m_p1.corems,HJA_KerryCreek2_p1.corems,HJA_WS1-2_p1.corems,HJA_WS1-3_p1.corems,HJA_WS1-5_p1.corems,HJA_WS1-6_p1.corems,HJA_WS1-7_p1.corems,HJA_WS1-8_p1.corems,HJA_WS1_250m_p1.corems,HJA_WS3-1_30m_p1.corems,HJA_WS3-2_p1.corems,HJA_WS3-3_p1.corems,HJA_WS3-4_p1.corems,HJA_WS3-5_p1.corems,HJA_WS3-6_p1.corems,HJW_01_SIR-1_p08.corems,HJW_01_SIR-2_p14.corems,HJW_01_SIR-3_p06.corems,HJW_02_SIR-1_p12.corems,HJW_02_SIR-2_p08.corems,HJW_02_SIR-3_p05.corems,HJW_03_SIR-1_p15.corems,HJW_03_SIR-2_p06.corems,HJW_03_SIR-3_p08.corems,HJW_04_SIR-1_p16.corems,HJW_04_SIR-2_p08.corems,HJW_04_SIR-3_p06.corems,HJW_05_SIR-1_p1.corems,HJW_05_SIR-2_p1.corems,HJW_05_SIR-3_p15.corems,HJW_06_SIR-1_p35.corems,HJW_06_SIR-2_p12.corems,HJW_06_SIR-3_p12.corems,HJW_07_SIR-1_p13.corems,HJW_07_SIR-2_p1.corems,HJW_07_SIR-3_p1.corems,HJW_08_SIR-1_p06.corems,HJW_08_SIR-2_p14.corems,HJW_08_SIR-3_p2.corems,HJW_09_SIR-1_p1.corems,HJW_09_SIR-2_p12.corems,HJW_09_SIR-3_p1.corems,HJW_10_SIR-1_p1.corems,HJW_10_SIR-2_p15.corems,HJW_10_SIR-3_p12.corems,HJW_11_SIR-1_p18.corems,HJW_11_SIR-2_p08.corems,HJW_11_SIR-3_p2.corems,HJW_12_SIR-1_p1.corems,HJW_12_SIR-2_p18.corems,HJW_12_SIR-3_p18.corems,HJW_13_SIR-1_p2.corems,HJW_13_SIR-2_p18.corems,HJW_13_SIR-3_p12.corems,HJW_14_SIR-1_p08.corems,HJW_14_SIR-2_p12.corems,HJW_14_SIR-3_p15.corems,HJW_15_SIR-1_p2.corems,HJW_15_SIR-2_p16.corems,HJW_15_SIR-3_p2.corems,HJW_16_SIR-1_p1.corems,HJW_16_SIR-2_p1.corems,HJW_16_SIR-3_p13.corems,HJW_17_SIR-1_p12.corems,HJW_17_SIR-2_p2.corems,HJW_17_SIR-3_p12.corems,HJW_18_SIR-1_p3.corems,HJW_18_SIR-2_p08.corems,HJW_18_SIR-3_p14.corems,HJW_19_SIR-1_p12.corems,HJW_19_SIR-2_p14.corems,HJW_19_SIR-3_p1.corems,HJW_20_SIR-1_p1.corems,HJW_20_SIR-2_p12.corems,HJW_20_SIR-3_p08.corems,HJW_21_SIR-1_p12.corems,HJW_21_SIR-2_p2.corems,HJW_21_SIR-3_p12.corems,HJW_22_SIR-1_p08.corems,HJW_22_SIR-2_p12.corems,HJW_22_SIR-3_p1.corems,HJW_23_SIR-1_p1.corems,HJW_23_SIR-2_p1.corems,HJW_23_SIR-3_p2.corems,HJW_24_SIR-1_p06.corems,HJW_24_SIR-2_p12.corems,HJW_24_SIR-3_p18.corems,HJW_25_SIR-1_p12.corems,HJW_25_SIR-2_p12.corems,HJW_25_SIR-3_p16.corems,HJW_26_SIR-1_p06.corems,HJW_26_SIR-2_p1.corems,HJW_26_SIR-3_p2.corems,HJW_28_SIR-1_p12.corems,HJW_28_SIR-2_p12.corems,HJW_28_SIR-3_p06.corems,HJW_29_SIR-1_p1.corems,HJW_29_SIR-2_p08.corems,HJW_29_SIR-3_p12.corems,HJW_30_SIR-1_p06.corems,HJW_30_SIR-2_p14.corems,HJW_30_SIR-3_p16.corems,HJW_31_SIR-1_p08.corems,HJW_31_SIR-2_p1.corems,HJW_31_SIR-3_p1.corems,HJW_32_SIR-1_p16.corems,HJW_32_SIR-2_p1.corems,HJW_32_SIR-3_p12.corems,HJW_33_SIR-1_p08.corems,HJW_33_SIR-2_p12.corems,HJW_33_SIR-3_p12.corems,HJW_34_SIR-1_p12.corems,HJW_34_SIR-2_p1.corems,HJW_35_SIR-1_p14.corems,HJW_35_SIR-2_p14.corems,HJW_35_SIR-3_p1.corems,HJW_36_SIR-1_p2.corems,HJW_36_SIR-2_p18.corems,HJW_36_SIR-3_p15.corems,HJW_37_SIR-1_p08.corems,HJW_37_SIR-2_p1.corems,HJW_37_SIR-3_p1.corems,HJW_38_SIR-1_p12.corems,HJW_38_SIR-2_p08.corems,HJW_38_SIR-3_p1.corems,HJW_39_SIR-1_p1.corems,HJW_39_SIR-2_p04.corems,HJW_39_SIR-3_p12.corems,HJW_40_SIR-1_p08.corems,HJW_40_SIR-2_p1.corems,HJW_40_SIR-3_p13.corems,HJW_41_SIR-1_p15.corems,HJW_41_SIR-2_p12.corems,HJW_41_SIR-3_p1.corems,HJW_42_SIR-1_p06.corems,HJW_42_SIR-2_p12.corems,HJW_42_SIR-3_p12.corems,HJW_43_SIR-1_p06.corems,HJW_43_SIR-3_p14.corems,HJW_44_SIR-1_p3.corems,HJW_44_SIR-2_p08.corems,HJW_44_SIR-3_p14.corems,HJW_45_SIR-1_p12.corems,HJW_45_SIR-2_p1.corems,HJW_45_SIR-3_p1.corems,HJW_46_SIR-1_p08.corems,HJW_46_SIR-2_p1.corems,HJW_46_SIR-3_p13.corems,HJW_47_SIR-1_p12.corems,HJW_47_SIR-2_p16.corems,HJW_47_SIR-3_p1.corems,HJW_48_SIR-1_p15.corems,HJW_48_SIR-2_p13.corems,HJW_48_SIR-3_p16.corems,HJW_Blk-1_p05.corems,HJW_Blk-2_p05.corems
C18H40O8N3P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1290957.6,NA,983944.3,NA,NA,NA,NA,1116736.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,914348.3,NA,NA,NA,819129.1,963715.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1076443.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,949810.6,NA,NA,NA,NA,NA,NA,871885.9,868187.6,NA,NA,NA,NA,NA,NA
C18H40O9N1P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,972318.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C18H40O9N1P1S1,NA,NA,NA,NA,NA,NA,1633986.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C18H40O9N3P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4907818.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2783652,NA,NA,NA,NA,NA,NA,NA,1222600.4,NA,1240744.9,1166427.1,NA,NA,NA,NA,NA,2501921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1555062.9,NA,NA,NA,NA,1156425.1,2658860.3,NA,1624077,NA,NA,6328076.5,2708803.3,3935120.5,NA,NA,NA,NA,4739976.5,NA,NA,NA,NA,NA,NA,1196523,NA,NA,NA,NA,5943047.5,NA,NA,NA,5132817.5,4460246,NA,1329437.4,1446972.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,5116947.5,NA,NA,1770610.8,2656924.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3054465,NA,1400400.8,NA,NA,3473749.3,NA,NA,1829294.1,NA,NA,NA,NA,NA,NA,NA,2185111.8,NA,NA,NA,NA,NA,1894736.8,NA,2191192,NA,2412492.3,3388076,NA,NA,NA,NA,NA,NA,4785610,NA,NA,1254534.3,NA,NA,NA,NA
C18H41O10N4P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4690340,NA,NA,NA,NA,NA,NA,NA,NA,NA,1045484.6,1028245.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,845712.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1420123.4,NA,899265.8,NA,960529.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1206989.1,NA,NA,NA,NA,NA,9350566,NA,NA,NA,NA,NA,NA,NA,1269918.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1522316.5,NA,NA,NA,NA,NA,NA,NA,NA,1166594.3,1055891.6
C18H41O10N4P113C1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1832034.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4528956.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C18H41O11N2P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,959524.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C18H41O11N4P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2608682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1018400.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,992673.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,910047.2
C18H41O11N4P113C1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1847306.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C18H41O12N2P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,961354.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1339021.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C18H41O12N2P1S1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2525251.3,NA,2333506.5,NA,NA,NA,NA,NA,NA,NA,2584255,4928085.5,NA,NA,1157887.6,NA,NA,5203758,NA,1279103.8,2389351.3,NA,NA,NA,2265783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1851282.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1816944.6,NA,NA,3439134.5,NA,1741355.1,NA,1048356.9,5103545.5,1660176,NA,2990779.8,NA,NA,NA,NA,NA,NA,NA,NA,1295944.4,942145.8,1357806.1,NA,NA,NA,1674907.9,1663600.9,1479495,NA,NA,NA,NA,NA,NA,NA,NA,5428992.5,2517985,NA,NA,1760625.9,NA,NA,NA,NA,1514288.1,NA,NA,NA,NA,NA,NA,2163287.3,1932023.9,7073689.5,2634409,NA,2999336.5,3346936.3,7400190.5,NA,NA,NA,3093137.8,1747547.6,NA,NA,NA,NA,NA,1050490,NA,NA,NA,3548114.8,1059700.8,NA,NA,NA,NA,NA,NA,1876898.3,NA,NA,NA
C18H41O13N2P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1250811.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1132466.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C18H41O15N2P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2155918.5,NA,NA,NA,NA,NA,NA,NA,NA
C18H41O16N2P1S1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5898474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C18H41O17N2P1S1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1391929.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C18H41O5N2P1S1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1390111.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
