Calibrated m/z,C,H,O,N,S,P,Molecular Formula,Is Isotopologue,Heteroatom Class,Calculated m/z,m/z Error (ppm),MolForm,AI,AI_Mod,DBE_1,DBE_O,DBE_AI,GFE,kmass.CH2,kdefect.CH2,NOSC,OtoC_ratio,HtoC_ratio,NtoC_ratio,PtoC_ratio,NtoP_ratio,bs1_class,bs2_class,bs3_class,delGcox0PerCmol,delGcoxPerCmol,lamO20,lamO2,delGd0,delGd
277.048436628,10,15,7,-9999,-9999,1,C10H15O7P1,0,P1 O7,277.048263367,0.625382467,C10H15O7P,0.749725,0.749768790461669,-4995.5,-5002.5,14994.5,142563.15,276.739081868625,0.260918131374581,-5000.1,0.7,1.5,-999.9,0.1,-9999,Carbohydrate;Amino Sugar,Amino Sugar,Other,142563.15,-57417.8221458948,-0.0998041921612052,-0.099797434671993,1425631.5,-574178.221458948
353.02161291,10,15,8,2,1,1,C10H15O8N2P1S1,0,N2 S1 P1 O8,353.021397169,0.611124977,C10H15O8N2SP,0,0,5,-3,-7,48.9,352.627425823276,0.372574176723901,0.4,0.8,1.5,0.2,0.1,2,Carbohydrate,Carbohydrate,Amino Sugar,48.9,-138.883063769545,0.11833913086197,0.102013469450368,489,-1388.83063769545
349.055270985,10,15,8,4,-9999,1,C10H15O8N4P1,0,N4 P1 O8,349.055474004,-0.581624087,C10H15O8N4P,0.999599839935974,0.9996,6,-2,9992,57031.8,348.665512751103,0.334487248896778,-1999,0.8,1.5,0.4,0.1,4,Carbohydrate,Carbohydrate,Protein,57031.8,16922.1366556922,-0.0995108962291003,-0.0993582763195301,570318,169221.366556922
293.043462771,10,15,8,-9999,-9999,1,C10H15O8P1,0,P1 O8,293.043177986,0.971820449,C10H15O8P,0.749712485624281,0.749762535619657,-4995.5,-5003.5,14993.5,142557.45,292.716247822541,0.28375217745878,-4999.9,0.8,1.5,-999.9,0.1,-9999,Carbohydrate,Carbohydrate,Other,142557.45,-57415.5313772237,-0.0998041843358873,-0.09979742657744,1425574.5,-574155.313772237
337.044484182,10,15,9,2,-9999,1,C10H15O9N2P1,0,N2 P1 O9,337.044240615,0.722657173,C10H15O9N2P,0.999499849954987,0.999500074988752,5,-4,9992,57043.2,336.668137299947,0.331862700053136,-1999.4,0.9,1.5,0.2,0.1,2,Carbohydrate,Carbohydrate,Amino Sugar,57043.2,16909.5643496791,-0.0995109938560693,-0.0993584731740728,570432,169095.643496791
320.065508644,10,16,7,3,-9999,1,C10H16O7N3P1,0,N3 P1 O7,320.065310412,0.619349352,C10H16O7N3P,0.999499899979996,0.999500074988752,5,-2,9993,57048.9,319.708120637716,0.291879362284362,-1999.6,0.7,1.6,0.3,0.1,3,Carbohydrate;Amino Sugar,Amino Sugar,Protein,57048.9,16911.2689653436,-0.0995110426549401,-0.0993585371402949,570489,169112.689653436
247.074274039,10,17,5,-9999,-9999,1,C10H17O5P1,0,P1 O5,247.074084192,0.768382882,C10H17O5P,0.749700029997,0.749731310455148,-4996.5,-5001.5,14995.5,142580.25,246.798388697349,0.201611302651003,-5000.7,0.5,1.7,-999.9,0.1,-9999,Protein,Protein,Lipid,142580.25,-57424.6944519079,-0.0998042156334065,-0.0997974589517711,1425802.5,-574246.944519079
263.069152687,10,17,6,-9999,-9999,1,C10H17O6P1,0,P1 O6,263.068998811,0.584926234,C10H17O6P,0.749687515624219,0.749725054989002,-4996.5,-5002.5,14994.5,142574.55,262.775407320959,0.224592679040938,-5000.5,0.6,1.7,-999.9,0.1,-9999,Amino Sugar,Amino Sugar,Lipid,142574.55,-57422.4036832368,-0.0998042078099647,-0.0997974508591584,1425745.5,-574224.036832368
307.070292577,10,17,7,2,-9999,1,C10H17O7N2P1,0,N2 P1 O7,307.07006144,0.752718291,C10H17O7N2P,0.999399939993999,0.999400149962509,4,-3,9993,57060.3,306.72741514507,0.272584854930074,-2000,0.7,1.7,0.2,0.1,2,Carbohydrate;Amino Sugar,Amino Sugar,Amino Sugar,57060.3,16902.692043666,-0.0995111402234693,-0.0993587166361608,570603,169026.92043666
279.064152221,10,17,7,-9999,-9999,1,C10H17O7P1,0,P1 O7,279.063913431,0.855683368,C10H17O7P,0.749675,0.749718799210138,-4996.5,-5003.5,14993.5,142568.85,278.752546695587,0.247453304413341,-5000.3,0.7,1.7,-999.9,0.1,-9999,Carbohydrate;Amino Sugar,Amino Sugar,Other,142568.85,-57420.1129145658,-0.0998041999858976,-0.0997974427658991,1425688.5,-574201.129145658
295.059110065,10,17,8,-9999,-9999,1,C10H17O8P1,0,P1 O8,295.058828051,0.955791798,C10H17O8P,0.749662483124156,0.749712543118532,-4996.5,-5004.5,14992.5,142563.15,294.729644426766,0.270355573234212,-5000.1,0.8,1.7,-999.9,0.1,-9999,Carbohydrate,Carbohydrate,Other,142563.15,-57417.8221458948,-0.0998041921612052,-0.099797434671993,1425631.5,-574178.221458948
339.060106107,10,17,9,2,-9999,1,C10H17O9N2P1,0,N2 P1 O9,339.059890679,0.635369393,C10H17O9N2P,0.999399819945984,0.999400089986502,4,-5,9991,57048.9,338.681508563499,0.318491436501347,-1999.6,0.9,1.7,0.2,0.1,2,Carbohydrate,Carbohydrate,Amino Sugar,57048.9,16907.273581008,-0.0995110426549401,-0.0993585543486395,570489,169072.73581008
367.066195152,10,17,9,4,-9999,1,C10H17O9N4P1,0,N4 P1 O9,367.066038688,0.426256187,C10H17O9N4P,0.999499749874938,0.99949997499875,5,-4,9990,57031.8,366.656325759276,0.343674240723828,-1999,0.9,1.7,0.4,0.1,4,Carbohydrate,Carbohydrate,Protein,57031.8,16922.1366556922,-0.0995108962291003,-0.0993582763195301,570318,169221.366556922
311.054040761,10,17,9,-9999,-9999,1,C10H17O9P1,0,P1 O9,311.05374267,0.958327218,C10H17O9P,0.7496499649965,0.749706286714161,-4996.5,-5005.5,14991.5,142557.45,310.706715040259,0.293284959741413,-4999.9,0.9,1.7,-999.9,0.1,-9999,Carbohydrate,Carbohydrate,Other,142557.45,-57415.5313772237,-0.0998041843358873,-0.09979742657744,1425574.5,-574155.313772237
297.039064906,10,19,4,-9999,2,1,C10H19O4P1S2,0,S2 P1 O4,297.038961986,0.346488563,C10H19O4S2P,0.499350129974005,0.499450219912035,-4997.5,-5001.5,4994.5,85585.95,296.707388432502,0.292611567497772,-3000.9,0.4,1.9,-999.9,0.1,-9999,Protein,Protein,Lipid,85585.95,-74477.1372496921,-0.0996739433007198,-0.0997044134814782,855859.5,-744771.372496921
309.067776492,10,19,5,2,1,1,C10H19O5N2P1S1,0,N2 S1 P1 O5,309.06795344,-0.572520539,C10H19O5N2SP,0,0,3,-2,-6,77.4,308.722668651686,0.277331348314192,-0.6,0.5,1.9,0.2,0.1,2,Protein,Protein,Protein,77.4,-150.336907124768,0.0895493608691158,0.079881891410686,774,-1503.36907124768
249.089965016,10,19,5,-9999,-9999,1,C10H19O5P1,0,P1 O5,249.089734256,0.926410359,C10H19O5P,0.7496500349965,0.749681321702617,-4997.5,-5002.5,14994.5,142585.95,248.811828935797,0.188171064203232,-5000.9,0.5,1.9,-999.9,0.1,-9999,Protein,Protein,Lipid,142585.95,-57426.985220579,-0.0998042234562232,-0.099797467043737,1425859.5,-574269.85220579
265.084892567,10,19,6,-9999,-9999,1,C10H19O6P1,0,P1 O6,265.084648876,0.919294065,C10H19O6P,0.749637518124094,0.749675064987003,-4997.5,-5003.5,14993.5,142580.25,264.788896407801,0.211103592198754,-5000.7,0.6,1.9,-999.9,0.1,-9999,Other,Amino Sugar,Lipid,142580.25,-57424.6944519079,-0.0998042156334065,-0.0997974589517711,1425802.5,-574246.944519079
341.058063646,10,19,7,2,1,1,C10H19O7N2P1S1,0,N2 S1 P1 O7,341.057782679,0.82381167,C10H19O7N2SP,0,0,3,-4,-8,66,340.677235165262,0.322764834738337,-0.2,0.7,1.9,0.2,0.1,2,Carbohydrate,Amino Sugar,Amino Sugar,66,-145.755369782679,0.114076154533263,0.0936229287126429,660,-1457.55369782679
281.079737743,10,19,7,-9999,-9999,1,C10H19O7P1,0,P1 O7,281.079563495,0.619923076,C10H19O7P,0.749625,0.749668807958607,-4997.5,-5004.5,14992.5,142574.55,280.765881596786,0.234118403213529,-5000.5,0.7,1.9,-999.9,0.1,-9999,Carbohydrate,Amino Sugar,Other,142574.55,-57422.4036832368,-0.0998042078099647,-0.0997974508591585,1425745.5,-574224.036832368
325.080759233,10,19,8,2,-9999,1,C10H19O8N2P1,0,N2 P1 O8,325.080626124,0.409465392,C10H19O8N2P,0.999299859971994,0.999300139972006,3,-5,9991,57060.3,324.717771153104,0.282228846896203,-2000,0.8,1.9,0.2,0.1,2,Carbohydrate,Carbohydrate,Amino Sugar,57060.3,16902.692043666,-0.0995111402234693,-0.0993587166361608,570603,169026.92043666
297.074615663,10,19,8,-9999,-9999,1,C10H19O8P1,0,P1 O8,297.074478115,0.463009397,C10H19O8P,0.749612480624031,0.749662550617407,-4997.5,-5005.5,14991.5,142568.85,296.742899493209,0.257100506790664,-5000.3,0.8,1.9,-999.9,0.1,-9999,Carbohydrate,Carbohydrate,Other,142568.85,-57420.1129145658,-0.0998041999858976,-0.0997974427658991,1425688.5,-574201.129145658
329.046700282,10,19,8,-9999,1,1,C10H19O8P1S1,0,S1 P1 O8,329.046549289,0.458877857,C10H19O8SP,0.499199919991999,0.499400179946016,-4997.5,-5005.5,4991.5,85568.85,328.679283796898,0.32071620310154,-3000.3,0.8,1.9,-999.9,0.1,-9999,Carbohydrate,Carbohydrate,Other,85568.85,-74466.2695593434,-0.0996738781950662,-0.0997043581116505,855688.5,-744662.695593434
369.081828342,10,19,9,4,-9999,1,C10H19O9N4P1,0,N4 P1 O9,369.081688752,0.378208012,C10H19O9N4P,0.999399699849925,0.9993999699985,4,-5,9989,57037.5,368.669708275249,0.330291724750566,-1999.2,0.9,1.9,0.4,0.1,4,Carbohydrate,Carbohydrate,Protein,57037.5,16919.8458870212,-0.099510945047457,-0.0993583575439187,570375,169198.458870212
313.069592967,10,19,9,-9999,-9999,1,C10H19O9P1,0,P1 O9,313.069392735,0.639578436,C10H19O9P,0.749599959996,0.74965629296338,-4997.5,-5006.5,14990.5,142563.15,312.720016662659,0.279983337340752,-5000.1,0.9,1.9,-999.9,0.1,-9999,Carbohydrate,Carbohydrate,Other,142563.15,-57417.8221458948,-0.0998041921612051,-0.099797434671993,1425631.5,-574178.221458948
280.095782152,10,20,6,1,-9999,1,C10H20O6N1P1,0,N1 P1 O6,280.095547913,0.836284594,C10H20O6NP,0.999200079992001,0.999200319872051,2,-4,9993,57083.1,279.78302469939,0.216975300610386,-2000.8,0.6,2,0.1,0.1,1,Other,Amino Sugar,Lipid,57083.1,16889.5335846462,-0.099511335243759,-0.0993590581462965,570831,168895.335846462
344.039941062,10,20,6,1,2,1,C10H20O6N1P1S2,0,N1 S2 P1 O6,344.039690261,0.728987604,C10H20O6NS2P,0,0,2,-4,-8,77.4,343.6557829903,0.344217009699889,-0.6,0.6,2,0.1,0.1,1,Other,Amino Sugar,Lipid,77.4,-158.327675795812,0.0895493608691158,0.0772154821131417,774,-1583.27675795812
